,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07151031-0.04092026j)
1,2502300000.0,(-0.07092285-0.04038239j)
2,2504600000.0,(-0.07001114-0.04106522j)
3,2506900000.0,(-0.07100296-0.04005432j)
4,2509200000.0,(-0.07050705-0.03975677j)
5,2511500000.0,(-0.07080841-0.03974152j)
6,2513800000.0,(-0.07102585-0.04005814j)
7,2516100000.0,(-0.07141876-0.03942108j)
8,2518400000.0,(-0.0719223-0.03897858j)
9,2520700000.0,(-0.07247162-0.0391655j)
10,2523000000.0,(-0.07290649-0.03882217j)
11,2525300000.0,(-0.07374573-0.03864288j)
12,2527600000.0,(-0.07429886-0.03763962j)
13,2529900000.0,(-0.07480621-0.03744888j)
14,2532200000.0,(-0.07582474-0.03717422j)
15,2534500000.0,(-0.07735443-0.03681946j)
16,2536800000.0,(-0.07796097-0.03518295j)
17,2539100000.0,(-0.07943344-0.03507233j)
18,2541400000.0,(-0.07997894-0.03474426j)
19,2543700000.0,(-0.08048248-0.0332222j)
20,2546000000.0,(-0.08071136-0.03200912j)
21,2548300000.0,(-0.0814743-0.03152084j)
22,2550600000.0,(-0.08263397-0.03074646j)
23,2552900000.0,(-0.0823555-0.02958298j)
24,2555200000.0,(-0.08314514-0.02839279j)
25,2557500000.0,(-0.08308029-0.02733231j)
26,2559800000.0,(-0.08355713-0.02639008j)
27,2562100000.0,(-0.08294678-0.02577972j)
28,2564400000.0,(-0.08279419-0.02484894j)
29,2566700000.0,(-0.0831871-0.02429581j)
30,2569000000.0,(-0.08250809-0.02440643j)
31,2571300000.0,(-0.08282471-0.02308655j)
32,2573600000.0,(-0.08201218-0.02270508j)
33,2575900000.0,(-0.08259964-0.02270508j)
34,2578200000.0,(-0.08259964-0.02233887j)
35,2580500000.0,(-0.08305359-0.02209473j)
36,2582800000.0,(-0.08306885-0.02189255j)
37,2585100000.0,(-0.08377075-0.02142334j)
38,2587400000.0,(-0.08423996-0.02152634j)
39,2589700000.0,(-0.08483505-0.02099228j)
40,2592000000.0,(-0.0853653-0.02000046j)
41,2594300000.0,(-0.08509445-0.0201416j)
42,2596600000.0,(-0.08607483-0.0188446j)
43,2598900000.0,(-0.08660889-0.0178833j)
44,2601200000.0,(-0.08644485-0.01728439j)
