,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.0695343-0.04033279j)
1,2502300000.0,(-0.06988907-0.039814j)
2,2504600000.0,(-0.07011032-0.04059219j)
3,2506900000.0,(-0.07089615-0.03990173j)
4,2509200000.0,(-0.07186508-0.04014206j)
5,2511500000.0,(-0.07151413-0.03995514j)
6,2513800000.0,(-0.07256317-0.03941727j)
7,2516100000.0,(-0.07228851-0.03977966j)
8,2518400000.0,(-0.07341766-0.03818893j)
9,2520700000.0,(-0.07397461-0.03805923j)
10,2523000000.0,(-0.07466125-0.03717804j)
11,2525300000.0,(-0.07591629-0.03611374j)
12,2527600000.0,(-0.0759964-0.03523254j)
13,2529900000.0,(-0.07670593-0.03458786j)
14,2532200000.0,(-0.07644272-0.0346489j)
15,2534500000.0,(-0.07691193-0.03380203j)
16,2536800000.0,(-0.07726288-0.03312683j)
17,2539100000.0,(-0.07762909-0.03249741j)
18,2541400000.0,(-0.07853699-0.03189468j)
19,2543700000.0,(-0.07933807-0.03198242j)
20,2546000000.0,(-0.07968521-0.03052902j)
21,2548300000.0,(-0.08003235-0.03062439j)
22,2550600000.0,(-0.08153534-0.02975845j)
23,2552900000.0,(-0.08166504-0.02884674j)
24,2555200000.0,(-0.08279037-0.02833557j)
25,2557500000.0,(-0.083004-0.02737045j)
26,2559800000.0,(-0.08330536-0.02644348j)
27,2562100000.0,(-0.08368301-0.02537537j)
28,2564400000.0,(-0.08367538-0.02428436j)
29,2566700000.0,(-0.08426666-0.02332687j)
30,2569000000.0,(-0.08400726-0.02269745j)
31,2571300000.0,(-0.08396149-0.02227783j)
32,2573600000.0,(-0.08361816-0.02108002j)
33,2575900000.0,(-0.08406067-0.0201683j)
34,2578200000.0,(-0.08303452-0.0200386j)
35,2580500000.0,(-0.08351517-0.01932144j)
36,2582800000.0,(-0.08356857-0.0194664j)
37,2585100000.0,(-0.08369446-0.0186615j)
38,2587400000.0,(-0.08416367-0.01895523j)
39,2589700000.0,(-0.08343124-0.018116j)
40,2592000000.0,(-0.08446121-0.01818085j)
41,2594300000.0,(-0.08446884-0.01876068j)
42,2596600000.0,(-0.08385849-0.01763153j)
43,2598900000.0,(-0.08542633-0.01742554j)
44,2601200000.0,(-0.08581161-0.01603317j)
45,2603500000.0,(-0.08694839-0.0154953j)
46,2605800000.0,(-0.08724594-0.01409149j)
47,2608100000.0,(-0.0877037-0.01330566j)
48,2610400000.0,(-0.08834839-0.01290512j)
49,2612700000.0,(-0.08852768-0.0113945j)
50,2615000000.0,(-0.08914185-0.009635925j)
51,2617300000.0,(-0.08845139-0.008342743j)
52,2619600000.0,(-0.08883286-0.007480621j)
53,2621900000.0,(-0.08856964-0.004905701j)
54,2624200000.0,(-0.08860016-0.004676819j)
55,2626500000.0,(-0.08813858-0.004611969j)
56,2628800000.0,(-0.08635712-0.002605438j)
57,2631100000.0,(-0.0880394-0.001972198j)
58,2633400000.0,(-0.08623505-0.001739502j)
59,2635700000.0,(-0.0868988-0.000831604j)
60,2638000000.0,(-0.0860672-0.001426697j)
61,2640300000.0,(-0.08613968-0.0009880066j)
62,2642600000.0,(-0.08627319-0.0005493164j)
63,2644900000.0,(-0.0868988-0.0006790161j)
64,2647200000.0,(-0.08654404-0.0004501343j)
65,2649500000.0,(-0.0872879-0.0005645752j)
66,2651800000.0,(-0.08771896-0.0002822876j)
