,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07175827-0.02143097j)
1,2502300000.0,(-0.07184601-0.02127457j)
2,2504600000.0,(-0.07084274-0.02311707j)
3,2506900000.0,(-0.07157516-0.02283096j)
4,2509200000.0,(-0.07361603-0.02399445j)
5,2511500000.0,(-0.07424164-0.02310181j)
6,2513800000.0,(-0.07468033-0.02167892j)
7,2516100000.0,(-0.07453156-0.0216217j)
8,2518400000.0,(-0.07489777-0.02108765j)
9,2520700000.0,(-0.07533646-0.02142334j)
10,2523000000.0,(-0.07619858-0.02057266j)
11,2525300000.0,(-0.07698059-0.01998138j)
12,2527600000.0,(-0.07686234-0.01898575j)
13,2529900000.0,(-0.07784271-0.0188446j)
14,2532200000.0,(-0.07876587-0.01793289j)
15,2534500000.0,(-0.07962036-0.01743698j)
16,2536800000.0,(-0.08090973-0.01651764j)
17,2539100000.0,(-0.0819931-0.01535797j)
18,2541400000.0,(-0.08108139-0.01529694j)
19,2543700000.0,(-0.08278275-0.01392746j)
20,2546000000.0,(-0.08216858-0.01312256j)
21,2548300000.0,(-0.08362961-0.01224899j)
22,2550600000.0,(-0.08376312-0.01093674j)
23,2552900000.0,(-0.08356094-0.009548187j)
24,2555200000.0,(-0.08439636-0.008644104j)
25,2557500000.0,(-0.08439255-0.007831573j)
26,2559800000.0,(-0.08421326-0.006298065j)
27,2562100000.0,(-0.08379364-0.005851746j)
28,2564400000.0,(-0.08405304-0.005123138j)
29,2566700000.0,(-0.0839653-0.004253387j)
30,2569000000.0,(-0.08395767-0.003299713j)
31,2571300000.0,(-0.08322144-0.004226685j)
32,2573600000.0,(-0.08376312-0.003295898j)
33,2575900000.0,(-0.08332825-0.003265381j)
34,2578200000.0,(-0.08330917-0.002346039j)
35,2580500000.0,(-0.08395004-0.002624512j)
36,2582800000.0,(-0.084198-0.002147675j)
37,2585100000.0,(-0.08451843-0.001144409j)
38,2587400000.0,(-0.08529663-0.00107193j)
39,2589700000.0,(-0.08493805-0.001102448j)
40,2592000000.0,(-0.08620834+0.00061035j)
41,2594300000.0,(-0.08626556+0.00063324j)
42,2596600000.0,(-0.08585358+0.00133133j)
43,2598900000.0,(-0.08678818+0.00280762j)
44,2601200000.0,(-0.08656311+0.00429916j)
45,2603500000.0,(-0.08737946+0.00466156j)
46,2605800000.0,(-0.08708191+0.0057106j)
47,2608100000.0,(-0.08742142+0.00657272j)
48,2610400000.0,(-0.08761597+0.00758362j)
49,2612700000.0,(-0.08747101+0.00875473j)
50,2615000000.0,(-0.0871048+0.01018524j)
51,2617300000.0,(-0.08712387+0.01116562j)
52,2619600000.0,(-0.08656311+0.01200867j)
53,2621900000.0,(-0.08565521+0.01345825j)
54,2624200000.0,(-0.08527756+0.01386261j)
55,2626500000.0,(-0.08617401+0.01453781j)
56,2628800000.0,(-0.08586884+0.01585388j)
57,2631100000.0,(-0.08527756+0.01638412j)
58,2633400000.0,(-0.08496857+0.01586151j)
59,2635700000.0,(-0.08492661+0.01755524j)
60,2638000000.0,(-0.08581543+0.01757813j)
61,2640300000.0,(-0.08548737+0.01864243j)
62,2642600000.0,(-0.08608246+0.01893616j)
63,2644900000.0,(-0.08612061+0.01976776j)
64,2647200000.0,(-0.08640289+0.01958466j)
65,2649500000.0,(-0.08594513+0.01987457j)
66,2651800000.0,(-0.08643723+0.02024841j)
67,2654100000.0,(-0.0864563+0.02142715j)
68,2656400000.0,(-0.08750153+0.02174759j)
69,2658700000.0,(-0.087883+0.02181244j)
70,2661000000.0,(-0.08771133+0.02241516j)
71,2663300000.0,(-0.08819962+0.02365875j)
72,2665600000.0,(-0.0881424+0.02368164j)
73,2667900000.0,(-0.08911514+0.02428818j)
74,2670200000.0,(-0.08904266+0.02484512j)
75,2672500000.0,(-0.0897789+0.02620697j)
76,2674800000.0,(-0.09041595+0.02675247j)
77,2677100000.0,(-0.09092331+0.02699661j)
78,2679400000.0,(-0.09038544+0.02922058j)
79,2681700000.0,(-0.09181595+0.02939606j)
80,2684000000.0,(-0.09095383+0.03052139j)
81,2686300000.0,(-0.09065628+0.03372192j)
82,2688600000.0,(-0.09136581+0.03362656j)
83,2690900000.0,(-0.08971405+0.03748322j)
84,2693200000.0,(-0.08908844+0.03794098j)
85,2695500000.0,(-0.08860016+0.03759766j)
86,2697800000.0,(-0.08822632+0.03903961j)
87,2700100000.0,(-0.08866882+0.04087448j)
88,2702400000.0,(-0.08779526+0.04219055j)
89,2704700000.0,(-0.08754349+0.04383469j)
90,2707000000.0,(-0.08627319+0.0451355j)
91,2709300000.0,(-0.08558273+0.04593277j)
92,2711600000.0,(-0.08452606+0.04717255j)
93,2713900000.0,(-0.08352661+0.04618073j)
94,2716200000.0,(-0.08463669+0.04841995j)
95,2718500000.0,(-0.08314514+0.04746628j)
96,2720800000.0,(-0.08319855+0.04866409j)
97,2723100000.0,(-0.08243561+0.04887772j)
98,2725400000.0,(-0.0833931+0.04830551j)
99,2727700000.0,(-0.08316422+0.04770279j)
100,2730000000.0,(-0.08439636+0.0498085j)
101,2732300000.0,(-0.08514023+0.05062103j)
102,2734600000.0,(-0.08481216+0.05219269j)
103,2736900000.0,(-0.08548737+0.05249405j)
104,2739200000.0,(-0.08530807+0.05482101j)
105,2741500000.0,(-0.08581161+0.05624771j)
106,2743800000.0,(-0.08626556+0.05739594j)
107,2746100000.0,(-0.08569717+0.05914688j)
108,2748400000.0,(-0.08679962+0.05919266j)
109,2750700000.0,(-0.08447647+0.062397j)
110,2753000000.0,(-0.08498001+0.06389618j)
111,2755300000.0,(-0.08343887+0.06363678j)
112,2757600000.0,(-0.08210754+0.06599045j)
113,2759900000.0,(-0.08135605+0.06669617j)
114,2762200000.0,(-0.08027649+0.06733322j)
115,2764500000.0,(-0.07911301+0.06928253j)
116,2766800000.0,(-0.07789612+0.06943512j)
117,2769100000.0,(-0.0770607+0.06851196j)
118,2771400000.0,(-0.0749855+0.06967926j)
119,2773700000.0,(-0.07512283+0.06929779j)
120,2776000000.0,(-0.07344437+0.06874466j)
121,2778300000.0,(-0.07387924+0.06888962j)
122,2780600000.0,(-0.07361603+0.06938934j)
123,2782900000.0,(-0.07339859+0.0699501j)
124,2785200000.0,(-0.07358932+0.06916428j)
125,2787500000.0,(-0.07388306+0.07052231j)
126,2789800000.0,(-0.07420731+0.07072067j)
127,2792100000.0,(-0.07398987+0.0720787j)
128,2794400000.0,(-0.07477188+0.07302094j)
129,2796700000.0,(-0.07576752+0.07396698j)
130,2799000000.0,(-0.07448578+0.07674789j)
131,2801300000.0,(-0.07497787+0.07799911j)
132,2803600000.0,(-0.07530975+0.07939911j)
