,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07227325-0.04066849j)
1,2502300000.0,(-0.07443237-0.04051208j)
2,2504600000.0,(-0.07674789-0.03915405j)
3,2506900000.0,(-0.07773972-0.03644943j)
4,2509200000.0,(-0.07855606-0.03517532j)
5,2511500000.0,(-0.08003998-0.03328323j)
6,2513800000.0,(-0.07989883-0.03039551j)
7,2516100000.0,(-0.07965088-0.02799225j)
8,2518400000.0,(-0.0778389-0.02566528j)
9,2520700000.0,(-0.07670212-0.02424622j)
10,2523000000.0,(-0.07497787-0.02396774j)
11,2525300000.0,(-0.07335281-0.02391815j)
12,2527600000.0,(-0.07275009-0.02384949j)
13,2529900000.0,(-0.07089233-0.02468491j)
14,2532200000.0,(-0.070961-0.02566528j)
15,2534500000.0,(-0.07071686-0.02639771j)
16,2536800000.0,(-0.0716362-0.02774048j)
17,2539100000.0,(-0.07201004-0.02891922j)
18,2541400000.0,(-0.0731163-0.03033447j)
19,2543700000.0,(-0.07601166-0.03122711j)
20,2546000000.0,(-0.07755661-0.03092575j)
21,2548300000.0,(-0.08086395-0.0317688j)
22,2550600000.0,(-0.08385468-0.03100204j)
23,2552900000.0,(-0.08617783-0.02940369j)
24,2555200000.0,(-0.08934021-0.02767181j)
25,2557500000.0,(-0.09117889-0.02358627j)
26,2559800000.0,(-0.09239578-0.02020264j)
27,2562100000.0,(-0.09194946-0.01699829j)
28,2564400000.0,(-0.09059143-0.01290131j)
29,2566700000.0,(-0.08836365-0.00995636j)
30,2569000000.0,(-0.08657837-0.008274078j)
31,2571300000.0,(-0.08398819-0.00856781j)
32,2573600000.0,(-0.08174515-0.007781982j)
33,2575900000.0,(-0.07992935-0.00863266j)
34,2578200000.0,(-0.07791138-0.00951767j)
35,2580500000.0,(-0.07740784-0.01043701j)
36,2582800000.0,(-0.07699585-0.01198578j)
37,2585100000.0,(-0.07674026-0.01338959j)
38,2587400000.0,(-0.07754898-0.01510239j)
39,2589700000.0,(-0.07798767-0.01623917j)
40,2592000000.0,(-0.07979584-0.0174408j)
41,2594300000.0,(-0.08110046-0.01865387j)
42,2596600000.0,(-0.08368683-0.01771545j)
43,2598900000.0,(-0.08633041-0.01857376j)
44,2601200000.0,(-0.08844376-0.01743317j)
45,2603500000.0,(-0.09236145-0.0160141j)
46,2605800000.0,(-0.09400558-0.01181412j)
47,2608100000.0,(-0.09578323-0.00844574j)
48,2610400000.0,(-0.09605789-0.005310059j)
49,2612700000.0,(-0.09531021-0.0008735657j)
50,2615000000.0,(-0.09390259+0.00236511j)
51,2617300000.0,(-0.09169006+0.00497055j)
52,2619600000.0,(-0.08873749+0.00603867j)
53,2621900000.0,(-0.08643723+0.00749588j)
54,2624200000.0,(-0.08359528+0.00810623j)
55,2626500000.0,(-0.08271027+0.00662613j)
56,2628800000.0,(-0.08041+0.00642395j)
57,2631100000.0,(-0.08012009+0.00578308j)
58,2633400000.0,(-0.07909775+0.0031929j)
59,2635700000.0,(-0.07950974+0.0030365j)
60,2638000000.0,(-0.07992554+0.00112534j)
61,2640300000.0,(-0.08124161+0.00022888j)
62,2642600000.0,(-0.08288956-0.000869751j)
63,2644900000.0,(-0.08515167-0.001914978j)
64,2647200000.0,(-0.08689117-0.001670837j)
65,2649500000.0,(-0.08912659-0.0005950928j)
66,2651800000.0,(-0.0918045-0.000629425j)
67,2654100000.0,(-0.09414291+0.00190353j)
68,2656400000.0,(-0.09575653+0.00416565j)
69,2658700000.0,(-0.09694672+0.0071106j)
70,2661000000.0,(-0.09778214+0.00938416j)
71,2663300000.0,(-0.09653854+0.01261902j)
72,2665600000.0,(-0.09510422+0.01587296j)
73,2667900000.0,(-0.09412766+0.01784897j)
74,2670200000.0,(-0.09187317+0.01899719j)
75,2672500000.0,(-0.09072495+0.01957321j)
76,2674800000.0,(-0.08789063+0.01877975j)
77,2677100000.0,(-0.08703613+0.01837921j)
78,2679400000.0,(-0.08584595+0.01866913j)
79,2681700000.0,(-0.08580017+0.01792908j)
80,2684000000.0,(-0.08560562+0.01616669j)
81,2686300000.0,(-0.08660507+0.01636887j)
82,2688600000.0,(-0.08758545+0.01498032j)
83,2690900000.0,(-0.08682251+0.01566696j)
84,2693200000.0,(-0.08882904+0.01578522j)
85,2695500000.0,(-0.08983612+0.01500702j)
86,2697800000.0,(-0.09189224+0.01569748j)
87,2700100000.0,(-0.09485245+0.01816559j)
88,2702400000.0,(-0.0966568+0.02054596j)
89,2704700000.0,(-0.09794998+0.02374649j)
90,2707000000.0,(-0.09871292+0.02752304j)
91,2709300000.0,(-0.09774017+0.0315361j)
92,2711600000.0,(-0.0957222+0.03599548j)
93,2713900000.0,(-0.09297562+0.03723526j)
94,2716200000.0,(-0.09033966+0.0399437j)
95,2718500000.0,(-0.08756256+0.03965759j)
96,2720800000.0,(-0.08482361+0.04034042j)
97,2723100000.0,(-0.08341599+0.04067612j)
98,2725400000.0,(-0.08230209+0.03817749j)
99,2727700000.0,(-0.08006668+0.03639221j)
100,2730000000.0,(-0.08058929+0.03555298j)
101,2732300000.0,(-0.08121109+0.03389359j)
102,2734600000.0,(-0.0813446+0.03344727j)
103,2736900000.0,(-0.08298111+0.03139877j)
104,2739200000.0,(-0.08443451+0.0316925j)
