,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07123566-0.03977966j)
1,2502300000.0,(-0.07130051-0.03884888j)
2,2504600000.0,(-0.07043457-0.03833008j)
3,2506900000.0,(-0.07107162-0.03806686j)
4,2509200000.0,(-0.07093811-0.03777313j)
5,2511500000.0,(-0.07114792-0.03770065j)
6,2513800000.0,(-0.07150269-0.03756714j)
7,2516100000.0,(-0.07145691-0.03754807j)
8,2518400000.0,(-0.0717659-0.037323j)
9,2520700000.0,(-0.0720253-0.03712845j)
10,2523000000.0,(-0.0724411-0.03728485j)
11,2525300000.0,(-0.0734024-0.03689957j)
12,2527600000.0,(-0.07388687-0.03615189j)
13,2529900000.0,(-0.07434082-0.03633881j)
14,2532200000.0,(-0.07566452-0.03631592j)
15,2534500000.0,(-0.07687378-0.03633881j)
16,2536800000.0,(-0.07792282-0.03512955j)
17,2539100000.0,(-0.07868195-0.03436661j)
18,2541400000.0,(-0.07902527-0.03321838j)
19,2543700000.0,(-0.08052826-0.03221512j)
20,2546000000.0,(-0.08065414-0.03033447j)
21,2548300000.0,(-0.08178329-0.03015137j)
22,2550600000.0,(-0.08259583-0.02939224j)
23,2552900000.0,(-0.08282471-0.02766418j)
24,2555200000.0,(-0.08343887-0.02685928j)
25,2557500000.0,(-0.0833168-0.02589035j)
26,2559800000.0,(-0.0832634-0.02479935j)
27,2562100000.0,(-0.08267212-0.02333832j)
28,2564400000.0,(-0.0819397-0.02291489j)
29,2566700000.0,(-0.0827179-0.0228157j)
30,2569000000.0,(-0.08279419-0.02196884j)
31,2571300000.0,(-0.08227158-0.02265549j)
32,2573600000.0,(-0.08170319-0.02158356j)
33,2575900000.0,(-0.08234787-0.02099991j)
34,2578200000.0,(-0.08232117-0.02171326j)
35,2580500000.0,(-0.08290863-0.02140045j)
36,2582800000.0,(-0.08328247-0.0210762j)
37,2585100000.0,(-0.08381271-0.02058792j)
38,2587400000.0,(-0.08460236-0.02070618j)
39,2589700000.0,(-0.08480072-0.02031326j)
40,2592000000.0,(-0.08478928-0.01840591j)
41,2594300000.0,(-0.08547592-0.01822281j)
42,2596600000.0,(-0.08638-0.01739883j)
43,2598900000.0,(-0.08752823-0.01686096j)
44,2601200000.0,(-0.08784103-0.01527786j)
45,2603500000.0,(-0.08772278-0.01448441j)
46,2605800000.0,(-0.08841324-0.01292801j)
47,2608100000.0,(-0.08771896-0.01157761j)
48,2610400000.0,(-0.08727646-0.01127625j)
49,2612700000.0,(-0.08728027-0.009967804j)
50,2615000000.0,(-0.08763885-0.00856781j)
51,2617300000.0,(-0.08716965-0.007823944j)
52,2619600000.0,(-0.08691406-0.006919861j)
53,2621900000.0,(-0.08682632-0.005821228j)
54,2624200000.0,(-0.0862236-0.005462646j)
55,2626500000.0,(-0.08642578-0.004940033j)
56,2628800000.0,(-0.08636093-0.003902435j)
57,2631100000.0,(-0.0873909-0.004478455j)
58,2633400000.0,(-0.08654404-0.003238678j)
59,2635700000.0,(-0.08682632-0.002876282j)
60,2638000000.0,(-0.0870018-0.003376007j)
61,2640300000.0,(-0.08744431-0.001590729j)
62,2642600000.0,(-0.08750153-0.001880646j)
63,2644900000.0,(-0.08808899-0.001098633j)
64,2647200000.0,(-0.08862305-0.0002822876j)
65,2649500000.0,(-0.0883522+0.00045395j)
66,2651800000.0,(-0.0891037+0.00056458j)
67,2654100000.0,(-0.08909607+0.00230026j)
68,2656400000.0,(-0.08874512+0.00177002j)
69,2658700000.0,(-0.08958817+0.00132751j)
