,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07220078-0.0215416j)
1,2502300000.0,(-0.07071686-0.02194214j)
2,2504600000.0,(-0.07117844-0.02227402j)
3,2506900000.0,(-0.07173157-0.02380753j)
4,2509200000.0,(-0.07359314-0.0230484j)
5,2511500000.0,(-0.07350922-0.02323151j)
6,2513800000.0,(-0.07492828-0.02221298j)
7,2516100000.0,(-0.07411575-0.02223969j)
8,2518400000.0,(-0.07499313-0.02109909j)
9,2520700000.0,(-0.07519531-0.0207634j)
10,2523000000.0,(-0.07605743-0.02023697j)
11,2525300000.0,(-0.07672882-0.01996613j)
12,2527600000.0,(-0.07690811-0.01932144j)
13,2529900000.0,(-0.07825851-0.01935959j)
14,2532200000.0,(-0.07847977-0.01832581j)
15,2534500000.0,(-0.07949829-0.01741409j)
16,2536800000.0,(-0.08030319-0.01610947j)
17,2539100000.0,(-0.08105087-0.01536942j)
18,2541400000.0,(-0.08160782-0.01491547j)
19,2543700000.0,(-0.08197021-0.01364136j)
20,2546000000.0,(-0.08270645-0.0126915j)
21,2548300000.0,(-0.08296967-0.01209641j)
22,2550600000.0,(-0.08372116-0.01067734j)
23,2552900000.0,(-0.08364105-0.009872437j)
24,2555200000.0,(-0.08444977-0.008785248j)
25,2557500000.0,(-0.08408356-0.008022308j)
26,2559800000.0,(-0.08369827-0.006725311j)
27,2562100000.0,(-0.08370972-0.005809784j)
28,2564400000.0,(-0.08438492-0.00535965j)
29,2566700000.0,(-0.08419037-0.00390625j)
30,2569000000.0,(-0.08375168-0.003005981j)
31,2571300000.0,(-0.08363342-0.004081726j)
32,2573600000.0,(-0.08325958-0.003227234j)
33,2575900000.0,(-0.08319473-0.002758026j)
34,2578200000.0,(-0.08313751-0.002967834j)
35,2580500000.0,(-0.08376694-0.002651215j)
36,2582800000.0,(-0.08395004-0.002037048j)
37,2585100000.0,(-0.08441544-0.001407623j)
38,2587400000.0,(-0.08465576-0.001621246j)
39,2589700000.0,(-0.08495331-0.0005950928j)
40,2592000000.0,(-0.08504486-0.0002479553j)
41,2594300000.0,(-0.08638+0.00058746j)
42,2596600000.0,(-0.08566666+0.00122833j)
43,2598900000.0,(-0.08639145+0.00267792j)
44,2601200000.0,(-0.08753967+0.00323486j)
45,2603500000.0,(-0.08769608+0.0041008j)
46,2605800000.0,(-0.08735275+0.00608063j)
47,2608100000.0,(-0.08703232+0.00721741j)
48,2610400000.0,(-0.08755493+0.00776291j)
49,2612700000.0,(-0.08695602+0.00915909j)
50,2615000000.0,(-0.08735657+0.01028061j)
51,2617300000.0,(-0.08706284+0.01109314j)
52,2619600000.0,(-0.08650208+0.01236725j)
53,2621900000.0,(-0.08720779+0.01349258j)
54,2624200000.0,(-0.08619308+0.01413345j)
