,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07157135-0.04100418j)
1,2502300000.0,(-0.07335663-0.04090118j)
2,2504600000.0,(-0.07531738-0.0403862j)
3,2506900000.0,(-0.0771904-0.03739166j)
4,2509200000.0,(-0.07865524-0.03647995j)
5,2511500000.0,(-0.08021927-0.03453827j)
6,2513800000.0,(-0.08072662-0.03191757j)
7,2516100000.0,(-0.07958603-0.02926254j)
8,2518400000.0,(-0.07899857-0.02708054j)
9,2520700000.0,(-0.07743073-0.02555084j)
10,2523000000.0,(-0.07623672-0.02500153j)
11,2525300000.0,(-0.07471085-0.02438736j)
12,2527600000.0,(-0.07342529-0.02375793j)
13,2529900000.0,(-0.07193756-0.02494431j)
14,2532200000.0,(-0.07213593-0.02561569j)
15,2534500000.0,(-0.07136536-0.02632141j)
16,2536800000.0,(-0.07204819-0.02721405j)
17,2539100000.0,(-0.07268524-0.02806854j)
18,2541400000.0,(-0.07332993-0.02996826j)
19,2543700000.0,(-0.07459641-0.03135681j)
20,2546000000.0,(-0.07677841-0.03095627j)
21,2548300000.0,(-0.07976913-0.03134537j)
22,2550600000.0,(-0.0823822-0.03128433j)
23,2552900000.0,(-0.08452988-0.02988052j)
24,2555200000.0,(-0.0880127-0.02811813j)
25,2557500000.0,(-0.09039688-0.02557755j)
26,2559800000.0,(-0.09050369-0.02134705j)
27,2562100000.0,(-0.0921936-0.01970673j)
28,2564400000.0,(-0.09107971-0.01548767j)
29,2566700000.0,(-0.08937454-0.01216125j)
30,2569000000.0,(-0.08769608-0.009708405j)
31,2571300000.0,(-0.0855484-0.009727478j)
32,2573600000.0,(-0.08296585-0.008666992j)
33,2575900000.0,(-0.08103943-0.0090065j)
34,2578200000.0,(-0.07923508-0.009365082j)
35,2580500000.0,(-0.07825851-0.01035309j)
36,2582800000.0,(-0.07746506-0.01160431j)
37,2585100000.0,(-0.07730103-0.01295471j)
38,2587400000.0,(-0.0770874-0.01468277j)
39,2589700000.0,(-0.07793045-0.01560974j)
40,2592000000.0,(-0.07834625-0.01667786j)
41,2594300000.0,(-0.08153915-0.01807022j)
42,2596600000.0,(-0.08260345-0.01854706j)
43,2598900000.0,(-0.08450317-0.01832199j)
44,2601200000.0,(-0.08863068-0.01751709j)
45,2603500000.0,(-0.09038162-0.01623535j)
46,2605800000.0,(-0.09276581-0.01317978j)
47,2608100000.0,(-0.09482574-0.01076508j)
48,2610400000.0,(-0.0957489-0.007530212j)
49,2612700000.0,(-0.09551239-0.003185272j)
50,2615000000.0,(-0.09519958+0.00069427j)
51,2617300000.0,(-0.0928688+0.00406647j)
52,2619600000.0,(-0.09064484+0.00564957j)
53,2621900000.0,(-0.0878334+0.00655746j)
54,2624200000.0,(-0.08519745+0.00753021j)
55,2626500000.0,(-0.08428574+0.00670624j)
56,2628800000.0,(-0.08214569+0.00669861j)
57,2631100000.0,(-0.08054352+0.00600815j)
58,2633400000.0,(-0.0803299+0.00417709j)
59,2635700000.0,(-0.07992935+0.00340271j)
60,2638000000.0,(-0.07982254+0.00183868j)
61,2640300000.0,(-0.08094788+0.00075531j)
62,2642600000.0,(-0.08219147-0.000453949j)
63,2644900000.0,(-0.08405304-0.001289368j)
64,2647200000.0,(-0.0861702-0.001674652j)
65,2649500000.0,(-0.08798599-0.0008659363j)
66,2651800000.0,(-0.09029388-0.001216888j)
67,2654100000.0,(-0.09255981+0.00055695j)
68,2656400000.0,(-0.09484863+0.00234222j)
69,2658700000.0,(-0.09700394+0.00439072j)
70,2661000000.0,(-0.09733582+0.00783157j)
71,2663300000.0,(-0.09753418+0.01085663j)
72,2665600000.0,(-0.0969696+0.01448822j)
73,2667900000.0,(-0.09593582+0.0165062j)
74,2670200000.0,(-0.09344101+0.01742935j)
75,2672500000.0,(-0.09178162+0.01840973j)
76,2674800000.0,(-0.08988571+0.01823044j)
77,2677100000.0,(-0.08845139+0.01844025j)
78,2679400000.0,(-0.08737946+0.01827621j)
79,2681700000.0,(-0.0866127+0.01763535j)
80,2684000000.0,(-0.08589172+0.01742554j)
81,2686300000.0,(-0.08658218+0.01686478j)
82,2688600000.0,(-0.08722687+0.01601791j)
83,2690900000.0,(-0.08718872+0.01658249j)
84,2693200000.0,(-0.08775711+0.01594925j)
85,2695500000.0,(-0.08890533+0.01488113j)
86,2697800000.0,(-0.09137344+0.01563263j)
87,2700100000.0,(-0.09362793+0.01712418j)
88,2702400000.0,(-0.09590149+0.01899719j)
89,2704700000.0,(-0.09746552+0.02212524j)
90,2707000000.0,(-0.09792709+0.0254364j)
91,2709300000.0,(-0.09759521+0.02919006j)
92,2711600000.0,(-0.09687042+0.03232193j)
93,2713900000.0,(-0.09413528+0.03606796j)
94,2716200000.0,(-0.09218216+0.03814316j)
95,2718500000.0,(-0.08905029+0.03929901j)
96,2720800000.0,(-0.08695602+0.03996277j)
97,2723100000.0,(-0.08464432+0.04024124j)
98,2725400000.0,(-0.08322144+0.0379715j)
99,2727700000.0,(-0.08160782+0.03705978j)
100,2730000000.0,(-0.08114624+0.03571701j)
101,2732300000.0,(-0.08245087+0.0341835j)
102,2734600000.0,(-0.08188629+0.03347778j)
103,2736900000.0,(-0.08252716+0.03214645j)
104,2739200000.0,(-0.08433151+0.03219986j)
105,2741500000.0,(-0.08559799+0.03154755j)
106,2743800000.0,(-0.08859634+0.03102875j)
107,2746100000.0,(-0.09079361+0.0330658j)
108,2748400000.0,(-0.09300995+0.03248215j)
109,2750700000.0,(-0.09465027+0.03478622j)
110,2753000000.0,(-0.09802246+0.03759003j)
111,2755300000.0,(-0.0978508+0.04096222j)
112,2757600000.0,(-0.09859848+0.04484177j)
113,2759900000.0,(-0.09762573+0.04897308j)
114,2762200000.0,(-0.09581757+0.05206299j)
115,2764500000.0,(-0.09325409+0.0558548j)
116,2766800000.0,(-0.08997345+0.05725861j)
117,2769100000.0,(-0.08563995+0.05825043j)
118,2771400000.0,(-0.08189392+0.05823898j)
119,2773700000.0,(-0.08016205+0.05683899j)
120,2776000000.0,(-0.07765579+0.05483246j)
121,2778300000.0,(-0.07635117+0.05318069j)
122,2780600000.0,(-0.07506943+0.05286789j)
123,2782900000.0,(-0.0748024+0.05010986j)
124,2785200000.0,(-0.07505035+0.04780579j)
125,2787500000.0,(-0.07678604+0.04725647j)
126,2789800000.0,(-0.07846069+0.04631805j)
127,2792100000.0,(-0.08061218+0.0458107j)
128,2794400000.0,(-0.08285904+0.04540253j)
129,2796700000.0,(-0.08612061+0.04650879j)
130,2799000000.0,(-0.088871+0.04753113j)
131,2801300000.0,(-0.09049225+0.04940796j)
132,2803600000.0,(-0.09283447+0.05343628j)
133,2805900000.0,(-0.09506226+0.0569458j)
134,2808200000.0,(-0.09576797+0.06125259j)
135,2810500000.0,(-0.09435654+0.06668091j)
136,2812800000.0,(-0.09378815+0.07069397j)
137,2815100000.0,(-0.09160233+0.07482529j)
138,2817400000.0,(-0.08781815+0.07888794j)
139,2819700000.0,(-0.08343506+0.08079147j)
140,2822000000.0,(-0.0803566+0.08015823j)
141,2824300000.0,(-0.07667923+0.08039856j)
142,2826600000.0,(-0.07452393+0.07916641j)
143,2828900000.0,(-0.07237625+0.07823563j)
144,2831200000.0,(-0.07136536+0.076828j)
145,2833500000.0,(-0.07086945+0.07468796j)
146,2835800000.0,(-0.0704689+0.0736351j)
147,2838100000.0,(-0.07200241+0.07172775j)
148,2840400000.0,(-0.07318115+0.07160568j)
149,2842700000.0,(-0.07510376+0.07085037j)
150,2845000000.0,(-0.07620621+0.07122421j)
151,2847300000.0,(-0.07908249+0.07179642j)
152,2849600000.0,(-0.0811615+0.07276535j)
153,2851900000.0,(-0.08213425+0.0756073j)
154,2854200000.0,(-0.08296585+0.07780075j)
155,2856500000.0,(-0.08451843+0.08189774j)
156,2858800000.0,(-0.0839119+0.08568192j)
157,2861100000.0,(-0.08340836+0.08967209j)
158,2863400000.0,(-0.08000183+0.09235001j)
159,2865700000.0,(-0.07607651+0.09765625j)
160,2868000000.0,(-0.07442474+0.09803009j)
161,2870300000.0,(-0.07135773+0.09922028j)
162,2872600000.0,(-0.06568146+0.1011543j)
163,2874900000.0,(-0.06070328+0.09902573j)
164,2877200000.0,(-0.05436707+0.09532928j)
165,2879500000.0,(-0.05835724+0.09012222j)
166,2881800000.0,(-0.05998611+0.09096909j)
167,2884100000.0,(-0.05979919+0.09029007j)
168,2886400000.0,(-0.06014633+0.0908432j)
169,2888700000.0,(-0.06144714+0.09004211j)
170,2891000000.0,(-0.06192017+0.09091187j)
171,2893300000.0,(-0.0630722+0.09217453j)
172,2895600000.0,(-0.06407928+0.09257126j)
173,2897900000.0,(-0.0666008+0.09452057j)
174,2900200000.0,(-0.0676651+0.09851837j)
175,2902500000.0,(-0.06735992+0.1024513j)
176,2904800000.0,(-0.06849289+0.1066933j)
177,2907100000.0,(-0.06727982+0.1105118j)
178,2909400000.0,(-0.06467056+0.113018j)
179,2911700000.0,(-0.06245041+0.1165352j)
180,2914000000.0,(-0.057621+0.1196404j)
181,2916300000.0,(-0.05547333+0.1210899j)
182,2918600000.0,(-0.05065536+0.1211662j)
183,2920900000.0,(-0.04608154+0.1196022j)
184,2923200000.0,(-0.04287338+0.1187515j)
185,2925500000.0,(-0.04071045+0.116909j)
186,2927800000.0,(-0.04017639+0.1142807j)
187,2930100000.0,(-0.0376091+0.1120834j)
188,2932400000.0,(-0.03990555+0.110817j)
189,2934700000.0,(-0.04047394+0.1089783j)
190,2937000000.0,(-0.04129028+0.1083679j)
191,2939300000.0,(-0.04305267+0.1076546j)
192,2941600000.0,(-0.04512787+0.1084785j)
193,2943900000.0,(-0.04690552+0.1085777j)
194,2946200000.0,(-0.04759598+0.1105423j)
195,2948500000.0,(-0.05060959+0.1135864j)
196,2950800000.0,(-0.04987717+0.1173477j)
197,2953100000.0,(-0.05248642+0.1221619j)
198,2955400000.0,(-0.05019379+0.1267853j)
199,2957700000.0,(-0.0471344+0.1315536j)
200,2960000000.0,(-0.04616547+0.1354599j)
201,2962300000.0,(-0.04005432+0.1400528j)
202,2964600000.0,(-0.03369904+0.1421051j)
203,2966900000.0,(-0.02745819+0.1437912j)
204,2969200000.0,(-0.02062988+0.1449966j)
205,2971500000.0,(-0.01481628+0.1432419j)
206,2973800000.0,(-0.009796143+0.1401672j)
207,2976100000.0,(-0.006347656+0.136795j)
208,2978400000.0,(-0.003921509+0.133255j)
209,2980700000.0,(-0.002792358+0.1294785j)
210,2983000000.0,(-0.0026474+0.1256027j)
211,2985300000.0,(-0.002788544+0.1238594j)
212,2987600000.0,(-0.004524231+0.12183j)
213,2989900000.0,(-0.006858826+0.1212463j)
214,2992200000.0,(-0.009326935+0.1195488j)
215,2994500000.0,(-0.01092148+0.12183j)
216,2996800000.0,(-0.01221466+0.1241074j)
217,2999100000.0,(-0.01258087+0.1254959j)
218,3001400000.0,(-0.01437378+0.1282349j)
219,3003700000.0,(-0.01508331+0.132431j)
220,3006000000.0,(-0.01430511+0.1371841j)
221,3008300000.0,(-0.01167297+0.141716j)
222,3010600000.0,(-0.00920105+0.1465302j)
223,3012900000.0,(-0.005203247+0.1486816j)
224,3015200000.0,(3.81e-05+0.1509171j)
225,3017500000.0,(0.0047379+0.1530304j)
226,3019800000.0,(0.0112991+0.1529007j)
227,3022100000.0,(0.0153503+0.1510696j)
228,3024400000.0,(0.0208282+0.1488419j)
229,3026700000.0,(0.0242081+0.1439819j)
230,3029000000.0,(0.0267563+0.1409988j)
231,3031300000.0,(0.027359+0.1377716j)
232,3033600000.0,(0.028244+0.1351624j)
233,3035900000.0,(0.0273972+0.1328812j)
234,3038200000.0,(0.0282516+0.1306992j)
235,3040500000.0,(0.0253448+0.1304245j)
236,3042800000.0,(0.026413+0.1299667j)
237,3045100000.0,(0.0250092+0.1290741j)
238,3047400000.0,(0.025177+0.1309357j)
239,3049700000.0,(0.0251923+0.1319275j)
240,3052000000.0,(0.0258331+0.1338806j)
241,3054300000.0,(0.0273666+0.1370163j)
242,3056600000.0,(0.0302658+0.1367188j)
243,3058900000.0,(0.035202+0.1387939j)
244,3061200000.0,(0.0376892+0.1372986j)
245,3063500000.0,(0.03936+0.133667j)
246,3065800000.0,(0.0360565+0.1381836j)
