,Freq (Hz),Complex (decimal)
0,6180000000.0,(0.151947+0.1502686j)
1,6182300000.0,(0.1548615+0.1500702j)
2,6184600000.0,(0.158432+0.1487274j)
3,6186900000.0,(0.1621246+0.1486511j)
4,6189200000.0,(0.1661682+0.1469269j)
5,6191500000.0,(0.1682892+0.1429749j)
6,6193800000.0,(0.1753998+0.1433105j)
7,6196100000.0,(0.1768341+0.1367645j)
8,6198400000.0,(0.1818695+0.1357269j)
9,6200700000.0,(0.1832886+0.1323853j)
10,6203000000.0,(0.184845+0.1277466j)
11,6205300000.0,(0.1871948+0.1258545j)
12,6207600000.0,(0.1874237+0.1218872j)
13,6209900000.0,(0.1890106+0.1196594j)
14,6212200000.0,(0.1886597+0.1172333j)
15,6214500000.0,(0.1895294+0.1153564j)
16,6216800000.0,(0.1878662+0.1141052j)
17,6219100000.0,(0.1887817+0.1132813j)
18,6221400000.0,(0.1904755+0.110611j)
19,6223700000.0,(0.1903839+0.1109924j)
20,6226000000.0,(0.1918182+0.1103058j)
21,6228300000.0,(0.1909637+0.1075897j)
22,6230600000.0,(0.1928558+0.109848j)
23,6232900000.0,(0.1931152+0.1081848j)
24,6235200000.0,(0.1947632+0.1062317j)
25,6237500000.0,(0.1945038+0.1065369j)
26,6239800000.0,(0.1962585+0.1055145j)
27,6242100000.0,(0.1942444+0.1038361j)
28,6244400000.0,(0.1965637+0.1036987j)
29,6246700000.0,(0.1988373+0.1019745j)
30,6249000000.0,(0.1991501+0.1006317j)
31,6251300000.0,(0.1997375+0.0999603j)
32,6253600000.0,(0.200119+0.0965729j)
33,6255900000.0,(0.2019196+0.0964661j)
34,6258200000.0,(0.2045441+0.0954437j)
35,6260500000.0,(0.2058105+0.0935364j)
36,6262800000.0,(0.2090759+0.0910187j)
37,6265100000.0,(0.2099762+0.0878906j)
38,6267400000.0,(0.2141876+0.0866241j)
39,6269700000.0,(0.2153473+0.082016j)
40,6272000000.0,(0.2184448+0.0792542j)
41,6274300000.0,(0.2190247+0.075119j)
42,6276600000.0,(0.2232666+0.0705872j)
43,6278900000.0,(0.2227325+0.0661926j)
44,6281200000.0,(0.225769+0.0617065j)
45,6283500000.0,(0.2254333+0.0574951j)
46,6285800000.0,(0.2268829+0.0543518j)
47,6288100000.0,(0.2272186+0.0497437j)
48,6290400000.0,(0.2265015+0.0445557j)
49,6292700000.0,(0.223999+0.0417633j)
50,6295000000.0,(0.2241211+0.0390625j)
51,6297300000.0,(0.2227325+0.0368347j)
52,6299600000.0,(0.2229767+0.0348511j)
53,6301900000.0,(0.2211456+0.0330505j)
54,6304200000.0,(0.2194672+0.0333557j)
55,6306500000.0,(0.2193451+0.0315247j)
56,6308800000.0,(0.2186279+0.0331268j)
57,6311100000.0,(0.2193909+0.0330658j)
58,6313400000.0,(0.2188263+0.0355682j)
59,6315700000.0,(0.2209625+0.0346375j)
60,6318000000.0,(0.2224121+0.0358124j)
61,6320300000.0,(0.2230072+0.0352325j)
62,6322600000.0,(0.2301941+0.0349884j)
63,6324900000.0,(0.2333679+0.0322876j)
64,6327200000.0,(0.2355652+0.02948j)
65,6329500000.0,(0.2388306+0.0260773j)
66,6331800000.0,(0.2403107+0.0220184j)
67,6334100000.0,(0.2431946+0.0171967j)
68,6336400000.0,(0.2431335+0.0118408j)
69,6338700000.0,(0.243866+0.0062866j)
70,6341000000.0,(0.241806+0.001358j)
71,6343300000.0,(0.2405701-0.005088806j)
72,6345600000.0,(0.2378464-0.01083374j)
73,6347900000.0,(0.2362976-0.01526642j)
74,6350200000.0,(0.2324371-0.02099609j)
75,6352500000.0,(0.2288055-0.02185822j)
76,6354800000.0,(0.2244644-0.02366638j)
77,6357100000.0,(0.2223206-0.02709198j)
78,6359400000.0,(0.2200012-0.02732086j)
79,6361700000.0,(0.2183075-0.02835846j)
80,6364000000.0,(0.2174454-0.02931976j)
81,6366300000.0,(0.2150116-0.02924347j)
82,6368600000.0,(0.2155838-0.02900696j)
83,6370900000.0,(0.2167969-0.03059387j)
84,6373200000.0,(0.2180481-0.03002167j)
85,6375500000.0,(0.2187119-0.02981567j)
86,6377800000.0,(0.2197189-0.0348053j)
87,6380100000.0,(0.2232895-0.0327301j)
88,6382400000.0,(0.2285461-0.03684998j)
89,6384700000.0,(0.2295761-0.03671265j)
90,6387000000.0,(0.2333679-0.04046631j)
91,6389300000.0,(0.2344284-0.04610443j)
92,6391600000.0,(0.2370758-0.05105591j)
93,6393900000.0,(0.2371368-0.05587769j)
94,6396200000.0,(0.2354736-0.06083679j)
95,6398500000.0,(0.2354279-0.06477356j)
96,6400800000.0,(0.2334442-0.07034302j)
97,6403100000.0,(0.2314835-0.07439423j)
98,6405400000.0,(0.2266693-0.07678223j)
99,6407700000.0,(0.2250824-0.08017731j)
100,6410000000.0,(0.2249374-0.08296204j)
101,6412300000.0,(0.2209625-0.08292389j)
102,6414600000.0,(0.218605-0.08563232j)
103,6416900000.0,(0.2154922-0.0864563j)
104,6419200000.0,(0.2138596-0.08562469j)
105,6421500000.0,(0.2127457-0.08776093j)
106,6423800000.0,(0.2114029-0.08950806j)
107,6426100000.0,(0.2106781-0.08882141j)
108,6428400000.0,(0.2074509-0.08963776j)
