,Freq (Hz),Complex (decimal)
0,6180000000.0,(0.1806641+0.1165009j)
1,6182300000.0,(0.1819916+0.1143341j)
2,6184600000.0,(0.1839905+0.1127777j)
3,6186900000.0,(0.1871033+0.1122437j)
4,6189200000.0,(0.190094+0.1095428j)
5,6191500000.0,(0.191803+0.1034546j)
6,6193800000.0,(0.1952972+0.1092072j)
7,6196100000.0,(0.1994781+0.1051636j)
8,6198400000.0,(0.2045898+0.1030121j)
9,6200700000.0,(0.2084198+0.0955658j)
10,6203000000.0,(0.2098999+0.0905914j)
11,6205300000.0,(0.2134857+0.087677j)
12,6207600000.0,(0.2150421+0.0824432j)
13,6209900000.0,(0.2169189+0.0758972j)
14,6212200000.0,(0.216629+0.069046j)
15,6214500000.0,(0.2146454+0.0589905j)
16,6216800000.0,(0.2009811+0.0447693j)
17,6219100000.0,(0.1770477+0.0722122j)
18,6221400000.0,(0.1964264+0.0833282j)
19,6223700000.0,(0.2048645+0.0800629j)
20,6226000000.0,(0.2095947+0.0735931j)
21,6228300000.0,(0.2093048+0.0695343j)
22,6230600000.0,(0.2153778+0.0671387j)
23,6232900000.0,(0.2058105+0.0683136j)
24,6235200000.0,(0.2122498+0.0648193j)
25,6237500000.0,(0.2138062+0.0614319j)
26,6239800000.0,(0.2085724+0.0527496j)
27,6242100000.0,(0.2034912+0.0606537j)
28,6244400000.0,(0.2073364+0.0626068j)
29,6246700000.0,(0.2095184+0.0617676j)
30,6249000000.0,(0.2118835+0.0598755j)
31,6251300000.0,(0.2133636+0.0599518j)
32,6253600000.0,(0.2139435+0.0546417j)
33,6255900000.0,(0.2163239+0.056427j)
34,6258200000.0,(0.2201691+0.0522003j)
35,6260500000.0,(0.2216034+0.0497589j)
36,6262800000.0,(0.22612+0.0457306j)
37,6265100000.0,(0.2287445+0.0402679j)
38,6267400000.0,(0.229248+0.0358124j)
39,6269700000.0,(0.2316437+0.0279541j)
40,6272000000.0,(0.2330322+0.0228882j)
41,6274300000.0,(0.2327881+0.016861j)
42,6276600000.0,(0.2325897+0.0100861j)
43,6278900000.0,(0.2304306+0.0053101j)
44,6281200000.0,(0.2281113-0.002708435j)
45,6283500000.0,(0.2251434-0.01525879j)
46,6285800000.0,(0.2230377+0.0006638j)
47,6288100000.0,(0.225914-0.01609039j)
48,6290400000.0,(0.2205276-0.0296402j)
49,6292700000.0,(0.1986084-0.04876709j)
50,6295000000.0,(0.12286-0.03826523j)
51,6297300000.0,(0.1854782+0.0526352j)
52,6299600000.0,(0.2182617+0.0270996j)
53,6301900000.0,(0.2228241+0.0118561j)
54,6304200000.0,(0.2243958+0.0028839j)
55,6306500000.0,(0.2240906-0.005653381j)
56,6308800000.0,(0.2125168-0.01274872j)
57,6311100000.0,(0.2200928-0.00252533j)
58,6313400000.0,(0.2229614-0.007598877j)
59,6315700000.0,(0.2247467-0.01462555j)
60,6318000000.0,(0.2260742-0.02109528j)
61,6320300000.0,(0.2172775-0.02468109j)
62,6322600000.0,(0.2095642-0.02798462j)
63,6324900000.0,(0.2011261-0.009757996j)
64,6327200000.0,(0.2203064-0.004631042j)
65,6329500000.0,(0.2293167-0.0112915j)
66,6331800000.0,(0.232666-0.01856995j)
67,6334100000.0,(0.233551-0.02632904j)
68,6336400000.0,(0.2313843-0.02508545j)
69,6338700000.0,(0.2326355-0.03547668j)
70,6341000000.0,(0.2310257-0.04224396j)
71,6343300000.0,(0.2315292-0.04875183j)
72,6345600000.0,(0.2260666-0.05164337j)
73,6347900000.0,(0.2233429-0.05551147j)
74,6350200000.0,(0.2210464-0.05973816j)
75,6352500000.0,(0.2188339-0.06198883j)
76,6354800000.0,(0.2145081-0.06428528j)
77,6357100000.0,(0.2121582-0.06833649j)
78,6359400000.0,(0.2088852-0.07046509j)
79,6361700000.0,(0.2073364-0.07215118j)
80,6364000000.0,(0.2050858-0.07390594j)
81,6366300000.0,(0.2041245-0.07557678j)
82,6368600000.0,(0.2019272-0.07492065j)
83,6370900000.0,(0.1998062-0.07626343j)
84,6373200000.0,(0.2015305-0.07628632j)
85,6375500000.0,(0.2028046-0.08079529j)
86,6377800000.0,(0.2013321-0.08595276j)
87,6380100000.0,(0.2049026-0.0838623j)
88,6382400000.0,(0.2087173-0.08861542j)
89,6384700000.0,(0.2066803-0.091362j)
90,6387000000.0,(0.2055893-0.09880829j)
91,6389300000.0,(0.1991653-0.1036682j)
92,6391600000.0,(0.1928101-0.09877014j)
93,6393900000.0,(0.1981735-0.09561157j)
94,6396200000.0,(0.2007828-0.09938049j)
95,6398500000.0,(0.2029419-0.1030731j)
96,6400800000.0,(0.2033768-0.1081619j)
97,6403100000.0,(0.2001343-0.1138458j)
98,6405400000.0,(0.1967773-0.1179733j)
99,6407700000.0,(0.1896591-0.120697j)
100,6410000000.0,(0.1886749-0.119957j)
101,6412300000.0,(0.1928711-0.1190872j)
102,6414600000.0,(0.1868134-0.127037j)
103,6416900000.0,(0.1795959-0.1321487j)
104,6419200000.0,(0.1650085-0.1361694j)
105,6421500000.0,(0.1321869-0.08493805j)
106,6423800000.0,(0.1958008-0.1044998j)
107,6426100000.0,(0.1909637-0.1216812j)
108,6428400000.0,(0.1843262-0.1261749j)
109,6430700000.0,(0.1784973-0.1313934j)
110,6433000000.0,(0.1751022-0.1348877j)
111,6435300000.0,(0.152771-0.1376801j)
112,6437600000.0,(0.1696548-0.1278381j)
113,6439900000.0,(0.1663208-0.1345901j)
114,6442200000.0,(0.1628036-0.1356125j)
115,6444500000.0,(0.1622543-0.135994j)
116,6446800000.0,(0.1600342-0.1394348j)
117,6449100000.0,(0.1587677-0.1408691j)
118,6451400000.0,(0.1555786-0.1437378j)
119,6453700000.0,(0.1527176-0.1453018j)
120,6456000000.0,(0.149025-0.1468658j)
121,6458300000.0,(0.1451492-0.1494904j)
122,6460600000.0,(0.1466217-0.1453171j)
123,6462900000.0,(0.1438446-0.1548615j)
124,6465200000.0,(0.1389389-0.1585922j)
125,6467500000.0,(0.1299896-0.1624298j)
126,6469800000.0,(0.1045151-0.1575089j)
127,6472100000.0,(0.1536026-0.07369995j)
128,6474400000.0,(0.1693573-0.1459961j)
129,6476700000.0,(0.1577911-0.1588669j)
130,6479000000.0,(0.1480255-0.1659241j)
131,6481300000.0,(0.1428528-0.1667709j)
132,6483600000.0,(0.1374054-0.1694489j)
133,6485900000.0,(0.1323471-0.1708679j)
134,6488200000.0,(0.1284409-0.1709061j)
135,6490500000.0,(0.121376-0.1709671j)
136,6492800000.0,(0.1200485-0.1662674j)
137,6495100000.0,(0.1150589-0.1600571j)
138,6497400000.0,(0.1214218-0.1517258j)
139,6499700000.0,(0.1289444-0.1546173j)
140,6502000000.0,(0.1241379-0.1634064j)
141,6504300000.0,(0.1292191-0.1499557j)
