,Freq (Hz),Complex (decimal)
0,6180000000.0,(0.1606598+0.1377411j)
1,6182300000.0,(0.1634827+0.1368713j)
2,6184600000.0,(0.1660919+0.1354675j)
3,6186900000.0,(0.1707611+0.1365356j)
4,6189200000.0,(0.1748657+0.1342773j)
5,6191500000.0,(0.1802063+0.1281738j)
6,6193800000.0,(0.184494+0.1165771j)
7,6196100000.0,(0.1804962+0.1305237j)
8,6198400000.0,(0.1898041+0.1264038j)
9,6200700000.0,(0.1908569+0.120224j)
10,6203000000.0,(0.1939392+0.1160126j)
11,6205300000.0,(0.1961975+0.1093445j)
12,6207600000.0,(0.1967316+0.1085815j)
13,6209900000.0,(0.1991272+0.1024323j)
14,6212200000.0,(0.199295+0.0986023j)
15,6214500000.0,(0.1994934+0.0945435j)
16,6216800000.0,(0.1975861+0.0889282j)
17,6219100000.0,(0.197052+0.0742493j)
18,6221400000.0,(0.1771545+0.102005j)
19,6223700000.0,(0.188736+0.1023865j)
20,6226000000.0,(0.1938171+0.0976868j)
21,6228300000.0,(0.1988983+0.0931702j)
22,6230600000.0,(0.1943359+0.0964508j)
23,6232900000.0,(0.1957703+0.0947571j)
24,6235200000.0,(0.2002716+0.0917358j)
25,6237500000.0,(0.2014923+0.0863953j)
26,6239800000.0,(0.1951599+0.0880432j)
27,6242100000.0,(0.1965179+0.0890808j)
28,6244400000.0,(0.1995697+0.088623j)
29,6246700000.0,(0.2007446+0.0865021j)
30,6249000000.0,(0.2033234+0.0853271j)
31,6251300000.0,(0.2040863+0.0856171j)
32,6253600000.0,(0.2056732+0.0824432j)
33,6255900000.0,(0.207016+0.080307j)
34,6258200000.0,(0.208847+0.0772705j)
35,6260500000.0,(0.211792+0.0741425j)
36,6262800000.0,(0.2137451+0.0737152j)
37,6265100000.0,(0.2143555+0.069046j)
38,6267400000.0,(0.2176056+0.066452j)
39,6269700000.0,(0.220871+0.0610352j)
40,6272000000.0,(0.2220917+0.0563965j)
41,6274300000.0,(0.2227325+0.0530701j)
