,Freq (Hz),Complex (decimal)
0,6180000000.0,(0.2162628-0.009262085j)
1,6182300000.0,(0.2174454-0.01055145j)
2,6184600000.0,(0.2180557-0.01555634j)
3,6186900000.0,(0.2220764-0.01647186j)
4,6189200000.0,(0.22258-0.022789j)
5,6191500000.0,(0.221817-0.02877045j)
6,6193800000.0,(0.2215271-0.039711j)
7,6196100000.0,(0.2240067-0.03739166j)
8,6198400000.0,(0.2268829-0.04734802j)
9,6200700000.0,(0.2162476-0.05455017j)
10,6203000000.0,(0.2112885-0.06160736j)
11,6205300000.0,(0.1995621-0.06291199j)
12,6207600000.0,(0.1888275-0.05990601j)
13,6209900000.0,(0.1830826-0.05001831j)
14,6212200000.0,(0.184494-0.03981781j)
15,6214500000.0,(0.1928864-0.03186798j)
16,6216800000.0,(0.2044678-0.02832794j)
17,6219100000.0,(0.2163925-0.03512573j)
18,6221400000.0,(0.2203979-0.04308319j)
19,6223700000.0,(0.2183151-0.05290222j)
20,6226000000.0,(0.2171326-0.06077576j)
21,6228300000.0,(0.2153397-0.06389618j)
22,6230600000.0,(0.2148743-0.06620789j)
23,6232900000.0,(0.2118683-0.07437134j)
24,6235200000.0,(0.2059555-0.06755829j)
25,6237500000.0,(0.2084427-0.07305908j)
26,6239800000.0,(0.2034378-0.07846832j)
27,6242100000.0,(0.1993027-0.07254791j)
28,6244400000.0,(0.2016602-0.07180786j)
29,6246700000.0,(0.2034149-0.07369232j)
30,6249000000.0,(0.2040787-0.07658386j)
31,6251300000.0,(0.2035828-0.07929993j)
32,6253600000.0,(0.2017899-0.08129883j)
33,6255900000.0,(0.2011566-0.08506775j)
34,6258200000.0,(0.2009125-0.08866882j)
35,6260500000.0,(0.2000427-0.09261322j)
36,6262800000.0,(0.2001724-0.09871674j)
37,6265100000.0,(0.1972504-0.1031418j)
38,6267400000.0,(0.1925049-0.1081009j)
39,6269700000.0,(0.1870346-0.1119003j)
40,6272000000.0,(0.1830444-0.1136551j)
41,6274300000.0,(0.1804962-0.1103134j)
42,6276600000.0,(0.1833496-0.1105499j)
43,6278900000.0,(0.187233-0.1214142j)
44,6281200000.0,(0.1700745-0.1294861j)
45,6283500000.0,(0.1764069-0.1160278j)
46,6285800000.0,(0.1783371-0.1375427j)
