,Freq (Hz),Complex (decimal)
0,6180000000.0,(0.189209+0.1091919j)
1,6182300000.0,(0.190094+0.1073456j)
2,6184600000.0,(0.1930847+0.1042023j)
3,6186900000.0,(0.1949158+0.1043549j)
4,6189200000.0,(0.1990204+0.1031342j)
5,6191500000.0,(0.1962738+0.1003723j)
6,6193800000.0,(0.2077484+0.1024323j)
7,6196100000.0,(0.2096405+0.0975647j)
8,6198400000.0,(0.2155304+0.0937195j)
9,6200700000.0,(0.2176666+0.0872955j)
10,6203000000.0,(0.2197113+0.0820465j)
11,6205300000.0,(0.221283+0.0773468j)
12,6207600000.0,(0.2234192+0.0695496j)
13,6209900000.0,(0.2239075+0.0634766j)
14,6212200000.0,(0.2211609+0.0537872j)
15,6214500000.0,(0.2134094+0.0418549j)
16,6216800000.0,(0.1879883+0.0435333j)
17,6219100000.0,(0.1901855+0.0699921j)
18,6221400000.0,(0.2053375+0.0737915j)
19,6223700000.0,(0.2124481+0.0708923j)
20,6226000000.0,(0.2171326+0.0639343j)
21,6228300000.0,(0.2170868+0.0614471j)
22,6230600000.0,(0.2212677+0.0577087j)
23,6232900000.0,(0.2072754+0.0544434j)
24,6235200000.0,(0.2172394+0.0557861j)
25,6237500000.0,(0.2203522+0.0512238j)
26,6239800000.0,(0.2150421+0.0413055j)
27,6242100000.0,(0.207962+0.0500641j)
28,6244400000.0,(0.212738+0.0523987j)
29,6246700000.0,(0.2142029+0.0510254j)
30,6249000000.0,(0.216507+0.0489502j)
31,6251300000.0,(0.2189331+0.0480804j)
32,6253600000.0,(0.2200165+0.0456238j)
33,6255900000.0,(0.2234039+0.0438843j)
34,6258200000.0,(0.224823+0.0419922j)
35,6260500000.0,(0.2275848+0.0361481j)
36,6262800000.0,(0.2321014+0.032135j)
37,6265100000.0,(0.2329407+0.027771j)
38,6267400000.0,(0.2356567+0.0223083j)
39,6269700000.0,(0.2361908+0.0159149j)
40,6272000000.0,(0.2365265+0.0095062j)
41,6274300000.0,(0.23423+0.0039215j)
42,6276600000.0,(0.2349243-0.003936768j)
43,6278900000.0,(0.2310257-0.007789612j)
44,6281200000.0,(0.233078-0.01380157j)
45,6283500000.0,(0.2191925-0.02629089j)
46,6285800000.0,(0.2286072-0.0152359j)
47,6288100000.0,(0.2261124-0.03152466j)
48,6290400000.0,(0.2187195-0.03990173j)
49,6292700000.0,(0.2032013-0.05645752j)
50,6295000000.0,(0.1482697-0.06218719j)
51,6297300000.0,(0.1653137+0.0504684j)
52,6299600000.0,(0.2217712+0.0213776j)
53,6301900000.0,(0.2282562+0.0006256j)
54,6304200000.0,(0.2283478-0.01236725j)
55,6306500000.0,(0.2264252-0.02328491j)
56,6308800000.0,(0.2092819-0.02268219j)
57,6311100000.0,(0.2194595-0.01623535j)
58,6313400000.0,(0.2255096-0.01945496j)
59,6315700000.0,(0.2244492-0.02793121j)
60,6318000000.0,(0.2243729-0.03365326j)
61,6320300000.0,(0.2153397-0.03376007j)
62,6322600000.0,(0.2079315-0.03848267j)
63,6324900000.0,(0.2034912-0.01944733j)
64,6327200000.0,(0.2204514-0.01663208j)
65,6329500000.0,(0.2289734-0.02368164j)
66,6331800000.0,(0.2328568-0.0319519j)
67,6334100000.0,(0.2304688-0.04284668j)
68,6336400000.0,(0.2333603-0.03736877j)
69,6338700000.0,(0.2357788-0.04898071j)
70,6341000000.0,(0.2321777-0.05490875j)
71,6343300000.0,(0.2283096-0.06069946j)
72,6345600000.0,(0.2238998-0.06388092j)
73,6347900000.0,(0.2212982-0.06907654j)
74,6350200000.0,(0.2182388-0.07518768j)
75,6352500000.0,(0.2145996-0.07427216j)
76,6354800000.0,(0.2124939-0.0802536j)
77,6357100000.0,(0.2082748-0.08267975j)
78,6359400000.0,(0.2060471-0.08390045j)
79,6361700000.0,(0.203537-0.08530426j)
80,6364000000.0,(0.2015228-0.08649445j)
81,6366300000.0,(0.1983261-0.08657837j)
82,6368600000.0,(0.1981506-0.08724213j)
83,6370900000.0,(0.1970291-0.08956909j)
84,6373200000.0,(0.1972885-0.09083557j)
85,6375500000.0,(0.1989517-0.09227753j)
86,6377800000.0,(0.1958008-0.09661102j)
87,6380100000.0,(0.1993027-0.09729004j)
88,6382400000.0,(0.2018661-0.1006241j)
89,6384700000.0,(0.2009506-0.1041183j)
90,6387000000.0,(0.1988907-0.1108475j)
91,6389300000.0,(0.1923752-0.1147079j)
92,6391600000.0,(0.1856689-0.109314j)
93,6393900000.0,(0.1923447-0.1054535j)
94,6396200000.0,(0.1954803-0.1096115j)
95,6398500000.0,(0.1962814-0.1140747j)
96,6400800000.0,(0.1976395-0.1183701j)
97,6403100000.0,(0.1950912-0.127037j)
98,6405400000.0,(0.1896973-0.1304932j)
99,6407700000.0,(0.1832809-0.1326752j)
100,6410000000.0,(0.1822586-0.1320801j)
101,6412300000.0,(0.1847839-0.1310425j)
