,Freq (Hz),Complex (decimal)
0,6180000000.0,(0.164032+0.135025j)
1,6182300000.0,(0.166275+0.1343231j)
2,6184600000.0,(0.1690521+0.1327362j)
3,6186900000.0,(0.171463+0.1338806j)
4,6189200000.0,(0.175766+0.1300049j)
5,6191500000.0,(0.1790924+0.1264038j)
6,6193800000.0,(0.176712+0.1105957j)
7,6196100000.0,(0.1802216+0.1291351j)
8,6198400000.0,(0.1873016+0.1297607j)
9,6200700000.0,(0.1901398+0.1230164j)
10,6203000000.0,(0.1966095+0.118576j)
11,6205300000.0,(0.1979828+0.1147308j)
12,6207600000.0,(0.2003937+0.1112671j)
13,6209900000.0,(0.2038269+0.1061096j)
14,6212200000.0,(0.2038269+0.1006927j)
15,6214500000.0,(0.2051544+0.0954437j)
16,6216800000.0,(0.204895+0.0866699j)
17,6219100000.0,(0.190155+0.0657349j)
18,6221400000.0,(0.1842346+0.1013184j)
19,6223700000.0,(0.1940002+0.1018372j)
20,6226000000.0,(0.2006226+0.0964508j)
21,6228300000.0,(0.203476+0.0926971j)
22,6230600000.0,(0.1942444+0.0950012j)
23,6232900000.0,(0.1994934+0.0921173j)
24,6235200000.0,(0.2026367+0.0909424j)
25,6237500000.0,(0.2036133+0.083252j)
26,6239800000.0,(0.1927948+0.08255j)
27,6242100000.0,(0.1949158+0.0868835j)
28,6244400000.0,(0.1981201+0.0886078j)
29,6246700000.0,(0.2000427+0.0865631j)
30,6249000000.0,(0.2015686+0.0868683j)
31,6251300000.0,(0.2025452+0.0867462j)
32,6253600000.0,(0.2053375+0.0841522j)
33,6255900000.0,(0.2081146+0.0819855j)
34,6258200000.0,(0.2098083+0.0802307j)
35,6260500000.0,(0.2138062+0.0771942j)
36,6262800000.0,(0.2175598+0.0740662j)
37,6265100000.0,(0.2216492+0.0717163j)
38,6267400000.0,(0.2234802+0.0648804j)
39,6269700000.0,(0.2267914+0.0603943j)
40,6272000000.0,(0.2280426+0.0547791j)
41,6274300000.0,(0.2281036+0.0481567j)
42,6276600000.0,(0.2300262+0.0413208j)
43,6278900000.0,(0.2292938+0.0352173j)
44,6281200000.0,(0.2275238+0.0258179j)
45,6283500000.0,(0.2280426+0.017807j)
46,6285800000.0,(0.202034+0.0007553j)
47,6288100000.0,(0.2177124+0.0221939j)
48,6290400000.0,(0.2179184-0.001014709j)
49,6292700000.0,(0.1555328-0.02534485j)
50,6295000000.0,(0.1872559+0.0707092j)
51,6297300000.0,(0.2145233+0.0491028j)
52,6299600000.0,(0.2214203+0.0389099j)
53,6301900000.0,(0.2208099+0.0321655j)
54,6304200000.0,(0.2213898+0.0289612j)
55,6306500000.0,(0.2227783+0.0248718j)
56,6308800000.0,(0.2238159+0.0178223j)
57,6311100000.0,(0.2204742+0.0234528j)
58,6313400000.0,(0.225708+0.0214386j)
59,6315700000.0,(0.2258453+0.0176392j)
60,6318000000.0,(0.2287903+0.0144501j)
61,6320300000.0,(0.227417+0.0081177j)
62,6322600000.0,(0.2181473-0.0004653931j)
63,6324900000.0,(0.2094727+0.0243835j)
64,6327200000.0,(0.2310333+0.0206451j)
65,6329500000.0,(0.2355499+0.0133362j)
66,6331800000.0,(0.2365265+0.0084534j)
67,6334100000.0,(0.2379303+0.0030212j)
68,6336400000.0,(0.2369919-0.002922058j)
69,6338700000.0,(0.2382813-0.007850647j)
70,6341000000.0,(0.2379303-0.01396179j)
71,6343300000.0,(0.2350006-0.01905823j)
72,6345600000.0,(0.2322922-0.02296448j)
73,6347900000.0,(0.2317734-0.02688599j)
74,6350200000.0,(0.2283173-0.03105164j)
75,6352500000.0,(0.224884-0.03379822j)
76,6354800000.0,(0.2244644-0.03704071j)
77,6357100000.0,(0.2207718-0.04123688j)
78,6359400000.0,(0.2193832-0.04234314j)
79,6361700000.0,(0.2175293-0.0446167j)
80,6364000000.0,(0.2170334-0.04607391j)
81,6366300000.0,(0.2139816-0.04807281j)
82,6368600000.0,(0.2128067-0.04859161j)
83,6370900000.0,(0.2129364-0.0499115j)
84,6373200000.0,(0.2124634-0.05059052j)
85,6375500000.0,(0.2160263-0.05088043j)
86,6377800000.0,(0.2152176-0.05667877j)
87,6380100000.0,(0.2173691-0.05684662j)
88,6382400000.0,(0.2205734-0.06208801j)
89,6384700000.0,(0.2220001-0.06308746j)
90,6387000000.0,(0.2201843-0.06951904j)
91,6389300000.0,(0.2150192-0.0750885j)
92,6391600000.0,(0.2110596-0.0697937j)
93,6393900000.0,(0.2163544-0.0692215j)
94,6396200000.0,(0.2191849-0.07406616j)
95,6398500000.0,(0.2218475-0.07711029j)
96,6400800000.0,(0.2202454-0.08415985j)
97,6403100000.0,(0.2178879-0.0888443j)
98,6405400000.0,(0.2140808-0.09537506j)
99,6407700000.0,(0.2054672-0.09411621j)
100,6410000000.0,(0.2119141-0.08766174j)
101,6412300000.0,(0.2125931-0.09346008j)
