,Freq (Hz),Complex (decimal)
0,6180000000.0,(0.193161-0.06641388j)
1,6182300000.0,(0.1940689-0.06786346j)
2,6184600000.0,(0.1943436-0.07271576j)
3,6186900000.0,(0.1980896-0.07905579j)
4,6189200000.0,(0.1958237-0.08630371j)
5,6191500000.0,(0.1898727-0.09599304j)
6,6193800000.0,(0.1677551-0.09976196j)
7,6196100000.0,(0.1862411-0.09439087j)
8,6198400000.0,(0.1788712-0.1057434j)
9,6200700000.0,(0.1632843-0.1067352j)
10,6203000000.0,(0.1527328-0.1026001j)
11,6205300000.0,(0.1464081-0.08997345j)
12,6207600000.0,(0.1496811-0.07519531j)
13,6209900000.0,(0.1620483-0.0681839j)
14,6212200000.0,(0.1751633-0.07026672j)
15,6214500000.0,(0.182251-0.07613373j)
16,6216800000.0,(0.189209-0.08042145j)
17,6219100000.0,(0.1945572-0.09355164j)
18,6221400000.0,(0.1880341-0.1032944j)
19,6223700000.0,(0.1836395-0.1082764j)
20,6226000000.0,(0.1802673-0.1137619j)
21,6228300000.0,(0.1776199-0.1144104j)
22,6230600000.0,(0.1766205-0.1161652j)
23,6232900000.0,(0.1732483-0.1212158j)
24,6235200000.0,(0.171051-0.1140213j)
25,6237500000.0,(0.1703873-0.1204987j)
26,6239800000.0,(0.1655273-0.1232071j)
27,6242100000.0,(0.1614609-0.120842j)
28,6244400000.0,(0.163475-0.1215286j)
29,6246700000.0,(0.163887-0.1232224j)
30,6249000000.0,(0.1616211-0.1250381j)
31,6251300000.0,(0.1591568-0.1271057j)
32,6253600000.0,(0.1575699-0.1306915j)
33,6255900000.0,(0.1566772-0.1312408j)
34,6258200000.0,(0.1529007-0.1347351j)
35,6260500000.0,(0.1497345-0.1367722j)
36,6262800000.0,(0.1463318-0.1406479j)
37,6265100000.0,(0.1417542-0.1419983j)
38,6267400000.0,(0.1373138-0.143074j)
39,6269700000.0,(0.13311-0.1414261j)
40,6272000000.0,(0.1321716-0.1367264j)
41,6274300000.0,(0.1373138-0.1326752j)
42,6276600000.0,(0.148735-0.1440887j)
43,6278900000.0,(0.139679-0.162674j)
44,6281200000.0,(0.121048-0.1566849j)
45,6283500000.0,(0.1328583-0.1561661j)
46,6285800000.0,(0.1212387-0.1762161j)
47,6288100000.0,(0.1018753-0.1646576j)
48,6290400000.0,(0.1074677-0.164772j)
49,6292700000.0,(0.0949554-0.1675568j)
50,6295000000.0,(0.0819244-0.1615906j)
51,6297300000.0,(0.0622635-0.1313477j)
52,6299600000.0,(0.1417542-0.1341476j)
53,6301900000.0,(0.1038513-0.16539j)
54,6304200000.0,(0.0853882-0.1497879j)
55,6306500000.0,(0.0906219-0.1326599j)
56,6308800000.0,(0.1036148-0.1333466j)
57,6311100000.0,(0.1093369-0.1400909j)
58,6313400000.0,(0.1083069-0.1490173j)
59,6315700000.0,(0.0968018-0.1583939j)
60,6318000000.0,(0.09648132-0.1243896j)
61,6320300000.0,(0.1056671-0.1331329j)
62,6322600000.0,(0.1131973-0.1342163j)
63,6324900000.0,(0.1208038-0.1448822j)
64,6327200000.0,(0.1103821-0.1581345j)
65,6329500000.0,(0.0918503-0.1386261j)
66,6331800000.0,(0.1367798-0.1429596j)
67,6334100000.0,(0.1264877-0.1689835j)
68,6336400000.0,(0.1144028-0.1751328j)
69,6338700000.0,(0.1050034-0.1786499j)
70,6341000000.0,(0.0968094-0.1825867j)
71,6343300000.0,(0.0921783-0.1803055j)
72,6345600000.0,(0.0856857-0.1802139j)
73,6347900000.0,(0.0793991-0.1793594j)
74,6350200000.0,(0.0737152-0.1784134j)
75,6352500000.0,(0.0688019-0.1752472j)
76,6354800000.0,(0.0627975-0.1726608j)
77,6357100000.0,(0.0590363-0.1690903j)
78,6359400000.0,(0.0597458-0.1660461j)
79,6361700000.0,(0.0568924-0.164978j)
80,6364000000.0,(0.0561142-0.1640396j)
81,6366300000.0,(0.057312-0.1608353j)
82,6368600000.0,(0.0575027-0.1609039j)
83,6370900000.0,(0.0552521-0.1603699j)
84,6373200000.0,(0.0562439-0.1609116j)
85,6375500000.0,(0.0575714-0.1612549j)
86,6377800000.0,(0.0549774-0.1637192j)
87,6380100000.0,(0.0571671-0.1658478j)
88,6382400000.0,(0.0565262-0.1676407j)
89,6384700000.0,(0.0540237-0.1699219j)
90,6387000000.0,(0.0465698-0.1716614j)
91,6389300000.0,(0.041069-0.1659012j)
92,6391600000.0,(0.0449371-0.1559372j)
93,6393900000.0,(0.0579681-0.1555481j)
94,6396200000.0,(0.0637131-0.1621399j)
95,6398500000.0,(0.0666809-0.1735382j)
96,6400800000.0,(0.0619354-0.1826096j)
97,6403100000.0,(0.0533295-0.1898346j)
98,6405400000.0,(0.0451508-0.1903381j)
99,6407700000.0,(0.0353775-0.1904221j)
100,6410000000.0,(0.0318604-0.1884384j)
101,6412300000.0,(0.0276718-0.1830902j)
102,6414600000.0,(0.0233002-0.1799088j)
103,6416900000.0,(0.0176926-0.1715469j)
104,6419200000.0,(0.0186996-0.1548767j)
105,6421500000.0,(0.0523376-0.1449509j)
106,6423800000.0,(0.0483627-0.1907196j)
107,6426100000.0,(0.0252838-0.1931763j)
108,6428400000.0,(0.0142365-0.1861572j)
109,6430700000.0,(0.0051498-0.1763916j)
110,6433000000.0,(0.0045166-0.1623154j)
111,6435300000.0,(0.0130234-0.1544571j)
112,6437600000.0,(0.0215378-0.1554489j)
113,6439900000.0,(0.02388-0.1641388j)
114,6442200000.0,(0.0182419-0.1676865j)
115,6444500000.0,(0.0232849-0.1568451j)
116,6446800000.0,(0.0230789-0.1667175j)
117,6449100000.0,(0.0215149-0.171196j)
118,6451400000.0,(0.0162048-0.1738281j)
119,6453700000.0,(0.0155716-0.174469j)
120,6456000000.0,(0.0157928-0.174324j)
121,6458300000.0,(0.0105286-0.1848145j)
122,6460600000.0,(0.0006409-0.1818085j)
123,6462900000.0,(-0.002655029-0.1802292j)
124,6465200000.0,(-0.005111694-0.1815109j)
125,6467500000.0,(-0.009933472-0.1800385j)
126,6469800000.0,(-0.01383209-0.1788635j)
127,6472100000.0,(-0.003974915-0.1665802j)
128,6474400000.0,(-0.01010895-0.1816025j)
129,6476700000.0,(-0.01550293-0.1821136j)
130,6479000000.0,(-0.02197266-0.1776505j)
131,6481300000.0,(-0.02335358-0.1772079j)
132,6483600000.0,(-0.02658844-0.1745377j)
133,6485900000.0,(-0.03044128-0.1717148j)
134,6488200000.0,(-0.03253174-0.168602j)
135,6490500000.0,(-0.032547-0.1640015j)
136,6492800000.0,(-0.03000641-0.1595459j)
137,6495100000.0,(-0.02586365-0.1548538j)
138,6497400000.0,(-0.02154541-0.1564941j)
139,6499700000.0,(-0.02127838-0.1577911j)
