,Freq (Hz),Complex (decimal)
0,80000000.0,(0.001327634+0.001724839j)
1,86200000.0,(0.001311302+0.00395155j)
2,92400000.0,(0.001875401+0.003662825j)
3,98600000.0,(0.002326965+0.003786087j)
4,104800000.0,(0.002264261+0.00426054j)
5,111000000.0,(0.002631664+0.004365683j)
6,117200000.0,(0.00312376+0.004473686j)
7,123400000.0,(0.003198624+0.004212856j)
8,129600000.0,(0.003459454+0.004673958j)
9,135800000.0,(0.003637314+0.005095005j)
10,142000000.0,(0.003584862+0.005225658j)
11,148200000.0,(0.004564285+0.0053792j)
12,154400000.0,(0.005133152+0.004998207j)
13,160600000.0,(0.005241394+0.005126953j)
14,166800000.0,(0.005430698+0.004967213j)
15,173000000.0,(0.00538826+0.005117416j)
16,179200000.0,(0.005908489+0.005378723j)
17,185400000.0,(0.006181717+0.005131721j)
18,191600000.0,(0.006519318+0.005440235j)
19,197800000.0,(0.007174015+0.005645752j)
20,204000000.0,(0.007856369+0.005180359j)
21,210200000.0,(0.007853508+0.005234241j)
22,216400000.0,(0.008050919+0.004667759j)
23,222600000.0,(0.008293152+0.004518032j)
24,228800000.0,(0.008301735+0.004827023j)
25,235000000.0,(0.008831978+0.00456953j)
26,241200000.0,(0.009297371+0.004682064j)
27,247400000.0,(0.009599209+0.004648209j)
28,253600000.0,(0.01039314+0.004200935j)
29,259800000.0,(0.01039982+0.003752232j)
30,266000000.0,(0.01062298+0.003552914j)
31,272200000.0,(0.01063395+0.003590584j)
32,278400000.0,(0.0109005+0.003252983j)
33,284600000.0,(0.01151514+0.003436089j)
34,290800000.0,(0.01168203+0.003333092j)
35,297000000.0,(0.01214933+0.002764225j)
36,303200000.0,(0.01253891+0.002359867j)
37,309400000.0,(0.01276779+0.001721382j)
38,315600000.0,(0.01291227+0.001358986j)
39,321800000.0,(0.01304913+0.001331329j)
40,328000000.0,(0.01291943+0.001198292j)
41,334200000.0,(0.01331091+0.001284122j)
42,340400000.0,(0.01366997+0.000696182j)
43,346600000.0,(0.01416779+0.000361919j)
44,352800000.0,(0.01451731-0.0001988411j)
45,359000000.0,(0.01456356-0.0006656647j)
46,365200000.0,(0.01436424-0.001305103j)
47,371400000.0,(0.01433849-0.001295567j)
48,377600000.0,(0.01455879-0.001437187j)
49,383800000.0,(0.01483536-0.00161171j)
50,390000000.0,(0.01516342-0.001914024j)
51,396200000.0,(0.01572895-0.002526283j)
52,402400000.0,(0.01578903-0.003121376j)
53,408600000.0,(0.0156498-0.003802299j)
54,414800000.0,(0.01565933-0.004320145j)
55,421000000.0,(0.01550484-0.004576683j)
56,427200000.0,(0.01573372-0.004864693j)
57,433400000.0,(0.01565933-0.005026817j)
58,439600000.0,(0.01611614-0.005318642j)
59,445800000.0,(0.01624775-0.005980492j)
60,452000000.0,(0.01659203-0.006581306j)
61,458200000.0,(0.01633453-0.007266045j)
62,464400000.0,(0.01602268-0.007699013j)
63,470600000.0,(0.01577377-0.007998466j)
64,476800000.0,(0.01586628-0.008346558j)
65,483000000.0,(0.01589584-0.00865078j)
66,489200000.0,(0.01632309-0.008913994j)
67,495400000.0,(0.01647568-0.009568214j)
68,501600000.0,(0.01658344-0.01049519j)
69,507800000.0,(0.01616478-0.01121807j)
70,514000000.0,(0.0158205-0.01173687j)
71,520200000.0,(0.01547527-0.01163578j)
72,526400000.0,(0.01539564-0.01204586j)
73,532600000.0,(0.01570797-0.01239395j)
74,538800000.0,(0.01558399-0.01279354j)
75,545000000.0,(0.01586723-0.013834j)
76,551200000.0,(0.01570225-0.01438236j)
77,557400000.0,(0.01516724-0.01524067j)
78,563600000.0,(0.01440239-0.01568794j)
79,569800000.0,(0.01416397-0.01587772j)
80,576000000.0,(0.01420021-0.01581192j)
81,582200000.0,(0.01398468-0.01617241j)
82,588400000.0,(0.01421928-0.01693344j)
83,594600000.0,(0.01423073-0.01763725j)
84,600800000.0,(0.01386261-0.01861j)
85,607000000.0,(0.01322079-0.01928425j)
86,613200000.0,(0.01298714-0.0197401j)
87,619400000.0,(0.01210213-0.01996708j)
88,625600000.0,(0.01202965-0.02018833j)
89,631800000.0,(0.01186848-0.02021313j)
90,638000000.0,(0.01177502-0.02108002j)
91,644200000.0,(0.01152134-0.0217123j)
92,650400000.0,(0.01130104-0.02234364j)
93,656600000.0,(0.01060581-0.02310371j)
94,662800000.0,(0.00955772-0.0234499j)
95,669000000.0,(0.0093689-0.02363682j)
96,675200000.0,(0.00896835-0.02398491j)
97,681400000.0,(0.00873947-0.02430725j)
98,687600000.0,(0.00842094-0.02497578j)
99,693800000.0,(0.00815296-0.02552414j)
100,700000000.0,(0.00773621-0.02625084j)
101,706200000.0,(0.00682068-0.02709579j)
102,712400000.0,(0.00567722-0.02759933j)
103,718600000.0,(0.00490761-0.02735806j)
104,724800000.0,(0.00454235-0.02735424j)
105,731000000.0,(0.00414562-0.02774906j)
106,737200000.0,(0.00400257-0.02824211j)
107,743400000.0,(0.00410175-0.02902317j)
108,749600000.0,(0.00316429-0.02979088j)
109,755800000.0,(0.00205231-0.03031063j)
110,762000000.0,(0.00049877-0.03075695j)
111,768200000.0,(-0.0002727509-0.03099632j)
112,774400000.0,(-0.0008888245-0.03072834j)
113,780600000.0,(-0.001405716-0.03073883j)
114,786800000.0,(-0.001564026-0.03108788j)
115,793000000.0,(-0.002183914-0.03177261j)
116,799200000.0,(-0.00268364-0.03274345j)
117,805400000.0,(-0.004283905-0.03302956j)
118,811600000.0,(-0.005577087-0.03344154j)
119,817800000.0,(-0.00693512-0.03355408j)
120,824000000.0,(-0.007951736-0.03311729j)
121,830200000.0,(-0.008508682-0.03271294j)
122,836400000.0,(-0.008699417-0.03310966j)
123,842600000.0,(-0.009683609-0.0333786j)
124,848800000.0,(-0.01057625-0.03385353j)
125,855000000.0,(-0.01166725-0.03424644j)
126,861200000.0,(-0.01318359-0.03448105j)
127,867400000.0,(-0.01433372-0.03375244j)
128,873600000.0,(-0.01518822-0.03398514j)
129,879800000.0,(-0.01579857-0.03378677j)
130,886000000.0,(-0.01679611-0.03379822j)
131,892200000.0,(-0.0181694-0.03462029j)
132,898400000.0,(-0.01967812-0.0350914j)
133,904600000.0,(-0.02183914-0.03451157j)
134,910800000.0,(-0.02324677-0.03327179j)
135,917000000.0,(-0.0242691-0.03190994j)
136,923200000.0,(-0.02464104-0.03142548j)
137,929400000.0,(-0.02506256-0.03095245j)
138,935600000.0,(-0.02531433-0.03155327j)
139,941800000.0,(-0.02633095-0.03199577j)
140,948000000.0,(-0.02834702-0.03226089j)
141,954200000.0,(-0.03055191-0.03206635j)
142,960400000.0,(-0.03237534-0.03055954j)
143,966600000.0,(-0.03348541-0.02888489j)
144,972800000.0,(-0.03462601-0.02755356j)
145,979000000.0,(-0.03440094-0.02643967j)
146,985200000.0,(-0.03475952-0.02610397j)
147,991400000.0,(-0.03580856-0.02647781j)
148,997600000.0,(-0.03685188-0.02611351j)
149,1003800000.0,(-0.03855896-0.02600861j)
150,1010000000.0,(-0.04042053-0.02446747j)
151,1016200000.0,(-0.04209518-0.02357864j)
152,1022400000.0,(-0.0423584-0.02186584j)
153,1028600000.0,(-0.04363251-0.02017975j)
154,1034800000.0,(-0.04427338-0.01940155j)
155,1041000000.0,(-0.0450325-0.01824951j)
156,1047200000.0,(-0.0464592-0.0174675j)
157,1053400000.0,(-0.04754639-0.01639938j)
158,1059600000.0,(-0.0486145-0.01396942j)
159,1065800000.0,(-0.04903793-0.01232147j)
160,1072000000.0,(-0.0492115-0.0108242j)
161,1078200000.0,(-0.0496521-0.009727478j)
162,1084400000.0,(-0.05014038-0.008563995j)
163,1090600000.0,(-0.05118179-0.007030487j)
164,1096800000.0,(-0.05220222-0.005531311j)
165,1103000000.0,(-0.05320358-0.003530502j)
166,1109200000.0,(-0.05355263-0.0009021759j)
167,1115400000.0,(-0.05290222+0.00062561j)
168,1121600000.0,(-0.05248451+0.00222969j)
169,1127800000.0,(-0.05230141+0.0033741j)
170,1134000000.0,(-0.05308151+0.00411606j)
171,1140200000.0,(-0.05319023+0.00497437j)
172,1146400000.0,(-0.05395699+0.00732422j)
173,1152600000.0,(-0.05471039+0.00933266j)
174,1158800000.0,(-0.05444527+0.01201439j)
175,1165000000.0,(-0.05410194+0.01548386j)
176,1171200000.0,(-0.05260468+0.01632881j)
177,1177400000.0,(-0.05194855+0.01810265j)
178,1183600000.0,(-0.05158615+0.01873398j)
179,1189800000.0,(-0.05086136+0.0201416j)
180,1196000000.0,(-0.05096436+0.02117538j)
181,1202200000.0,(-0.05017281+0.02310562j)
182,1208400000.0,(-0.04996109+0.02445412j)
183,1214600000.0,(-0.04897308+0.02626801j)
184,1220800000.0,(-0.04804611+0.0275116j)
185,1227000000.0,(-0.04758835+0.02893066j)
186,1233200000.0,(-0.0466156+0.03037643j)
187,1239400000.0,(-0.04566765+0.03220749j)
188,1245600000.0,(-0.04488373+0.03353119j)
189,1251800000.0,(-0.04326439+0.03553009j)
190,1258000000.0,(-0.04201126+0.03595734j)
191,1264200000.0,(-0.04161835+0.03713608j)
192,1270400000.0,(-0.04019165+0.03770065j)
193,1276600000.0,(-0.03904343+0.03887177j)
194,1282800000.0,(-0.03914642+0.03999329j)
