,Freq (Hz),Complex (decimal)
0,80000000.0,(0.001060963+0.001313925j)
1,86200000.0,(0.000644207+0.003557444j)
2,92400000.0,(0.001270533+0.004063129j)
3,98600000.0,(0.002130508+0.004494905j)
4,104800000.0,(0.003385067+0.004451752j)
5,111000000.0,(0.003359318+0.004817009j)
6,117200000.0,(0.003582954+0.003723145j)
7,123400000.0,(0.003149033+0.003772259j)
8,129600000.0,(0.002643347+0.004242659j)
9,135800000.0,(0.002891541+0.004757881j)
10,142000000.0,(0.003816605+0.005516052j)
11,148200000.0,(0.004787922+0.005851746j)
12,154400000.0,(0.005421162+0.005265713j)
13,160600000.0,(0.006056309+0.004279137j)
14,166800000.0,(0.005505085+0.00443697j)
15,173000000.0,(0.005458832+0.004924774j)
16,179200000.0,(0.005142212+0.004971504j)
17,185400000.0,(0.005732059+0.005801201j)
18,191600000.0,(0.006243229+0.006085873j)
19,197800000.0,(0.007775307+0.006066322j)
20,204000000.0,(0.008619785+0.005038261j)
21,210200000.0,(0.00865984+0.004426956j)
22,216400000.0,(0.00834322+0.003962517j)
23,222600000.0,(0.007916451+0.004297256j)
24,228800000.0,(0.007761478+0.004504204j)
25,235000000.0,(0.008057594+0.005179882j)
26,241200000.0,(0.009309769+0.005627155j)
27,247400000.0,(0.01039028+0.005186081j)
28,253600000.0,(0.01118231+0.004159451j)
29,259800000.0,(0.01110935+0.002919674j)
30,266000000.0,(0.010396+0.002535343j)
31,272200000.0,(0.01002455+0.002541542j)
32,278400000.0,(0.01022816+0.003192902j)
33,284600000.0,(0.01061916+0.003890038j)
34,290800000.0,(0.01175404+0.003829002j)
35,297000000.0,(0.01307869+0.003317833j)
36,303200000.0,(0.01364994+0.00197506j)
37,309400000.0,(0.01342678+0.000756264j)
38,315600000.0,(0.01259661+0.000276089j)
39,321800000.0,(0.0119257+0.000520706j)
40,328000000.0,(0.01222563+0.001255035j)
41,334200000.0,(0.01267672+0.001790524j)
42,340400000.0,(0.01383209+0.001772881j)
43,346600000.0,(0.01503468+0.000927925j)
44,352800000.0,(0.01577377-0.0005302429j)
45,359000000.0,(0.01507473-0.001944542j)
46,365200000.0,(0.01395941-0.002329826j)
47,371400000.0,(0.01351595-0.001984596j)
48,377600000.0,(0.01341963-0.001420021j)
49,383800000.0,(0.01425457-0.0009899139j)
50,390000000.0,(0.015275-0.001199722j)
51,396200000.0,(0.01672935-0.002053261j)
52,402400000.0,(0.01702118-0.003946304j)
53,408600000.0,(0.01605034-0.005145073j)
54,414800000.0,(0.01507521-0.005572319j)
55,421000000.0,(0.01451159-0.00521183j)
56,427200000.0,(0.0145402-0.004685879j)
57,433400000.0,(0.01510143-0.004253387j)
58,439600000.0,(0.01626301-0.004433632j)
59,445800000.0,(0.01734829-0.005725861j)
60,452000000.0,(0.01739311-0.007159233j)
61,458200000.0,(0.01654148-0.008705139j)
62,464400000.0,(0.01507473-0.008995056j)
63,470600000.0,(0.01449442-0.008313179j)
64,476800000.0,(0.01471567-0.007816792j)
65,483000000.0,(0.01537848-0.007781506j)
66,489200000.0,(0.01650238-0.00812149j)
67,495400000.0,(0.01725674-0.009348869j)
68,501600000.0,(0.01735115-0.01132488j)
69,507800000.0,(0.01605892-0.01264954j)
70,514000000.0,(0.01480198-0.01286507j)
71,520200000.0,(0.01420307-0.01210117j)
72,526400000.0,(0.0141716-0.0115571j)
73,532600000.0,(0.01521873-0.0116601j)
