,Freq (Hz),Complex (decimal)
0,80000000.0,(0.000913382+0.004370928j)
1,86200000.0,(0.000862956+0.003111362j)
2,92400000.0,(0.00185442+0.004217625j)
3,98600000.0,(0.001892805+0.004798174j)
4,104800000.0,(0.003437042+0.005025387j)
5,111000000.0,(0.003129482+0.004227161j)
6,117200000.0,(0.003167152+0.004208803j)
7,123400000.0,(0.003133774+0.00404644j)
8,129600000.0,(0.003083706+0.00430584j)
9,135800000.0,(0.003497124+0.005349636j)
10,142000000.0,(0.004116058+0.005702019j)
11,148200000.0,(0.004700661+0.00592804j)
12,154400000.0,(0.005591393+0.005175114j)
13,160600000.0,(0.006055832+0.004673481j)
14,166800000.0,(0.005820751+0.004655361j)
15,173000000.0,(0.005595207+0.004899025j)
16,179200000.0,(0.005685806+0.005277157j)
17,185400000.0,(0.005818844+0.005679607j)
18,191600000.0,(0.006752014+0.005949974j)
19,197800000.0,(0.00778389+0.006073475j)
20,204000000.0,(0.008497238+0.005421162j)
21,210200000.0,(0.008840561+0.00464344j)
22,216400000.0,(0.008373737+0.003912449j)
23,222600000.0,(0.008010387+0.00428772j)
24,228800000.0,(0.008112907+0.004759312j)
25,235000000.0,(0.008714199+0.004826546j)
26,241200000.0,(0.009455204+0.005194664j)
27,247400000.0,(0.01076508+0.005311012j)
28,253600000.0,(0.0111928+0.004102707j)
29,259800000.0,(0.01152468+0.003333092j)
30,266000000.0,(0.01080322+0.002803326j)
31,272200000.0,(0.01032019+0.003023148j)
32,278400000.0,(0.01038599+0.003004074j)
33,284600000.0,(0.01101732+0.003829479j)
34,290800000.0,(0.0119381+0.003890991j)
35,297000000.0,(0.01322842+0.003355026j)
36,303200000.0,(0.01379204+0.002002716j)
37,309400000.0,(0.01333094+0.000899792j)
38,315600000.0,(0.01279545+0.000573158j)
39,321800000.0,(0.01248503+0.000604153j)
40,328000000.0,(0.01244926+0.001159668j)
41,334200000.0,(0.01300383+0.001709461j)
42,340400000.0,(0.01392841+0.001508713j)
43,346600000.0,(0.01525497+0.000728607j)
44,352800000.0,(0.0155201-0.0006608963j)
45,359000000.0,(0.01519346-0.001801968j)
46,365200000.0,(0.01445341-0.002230167j)
47,371400000.0,(0.01373625-0.002053738j)
48,377600000.0,(0.01386261-0.001358986j)
49,383800000.0,(0.01452446-0.001097202j)
50,390000000.0,(0.01556206-0.001321793j)
51,396200000.0,(0.01676846-0.002104759j)
52,402400000.0,(0.01721859-0.003900528j)
53,408600000.0,(0.01643848-0.005226135j)
54,414800000.0,(0.01535702-0.005581856j)
55,421000000.0,(0.01484442-0.00511694j)
56,427200000.0,(0.01499557-0.004825115j)
57,433400000.0,(0.01540184-0.004393578j)
58,439600000.0,(0.01652718-0.00457859j)
59,445800000.0,(0.01732159-0.005716324j)
60,452000000.0,(0.01758671-0.007422447j)
61,458200000.0,(0.01680279-0.008748055j)
62,464400000.0,(0.01554108-0.008974075j)
63,470600000.0,(0.01483536-0.008684635j)
64,476800000.0,(0.01503706-0.008192062j)
65,483000000.0,(0.01582813-0.008105278j)
66,489200000.0,(0.01665401-0.008353233j)
67,495400000.0,(0.01749611-0.009566307j)
68,501600000.0,(0.01761913-0.01135635j)
69,507800000.0,(0.01638603-0.01284409j)
70,514000000.0,(0.01500654-0.01284885j)
71,520200000.0,(0.01433849-0.01233292j)
72,526400000.0,(0.01462269-0.01180792j)
73,532600000.0,(0.01535177-0.01170301j)
74,538800000.0,(0.01625824-0.01221466j)
75,545000000.0,(0.01714802-0.0137825j)
76,551200000.0,(0.0165205-0.01565742j)
77,557400000.0,(0.01532269-0.0168829j)
78,563600000.0,(0.01351738-0.01699448j)
79,569800000.0,(0.0130024-0.0161562j)
80,576000000.0,(0.01302147-0.01536369j)
81,582200000.0,(0.01360703-0.01551819j)
82,588400000.0,(0.01490784-0.01622391j)
83,594600000.0,(0.01545525-0.01774311j)
84,600800000.0,(0.01471806-0.01984215j)
85,607000000.0,(0.01334-0.02112675j)
86,613200000.0,(0.01172733-0.02085114j)
87,619400000.0,(0.0106554-0.0202322j)
88,625600000.0,(0.01104546-0.01969051j)
89,631800000.0,(0.01152706-0.01953411j)
90,638000000.0,(0.01257324-0.02030563j)
91,644200000.0,(0.01268864-0.02211571j)
92,650400000.0,(0.01205349-0.02377892j)
93,656600000.0,(0.01033211-0.0250721j)
94,662800000.0,(0.00828075-0.02468586j)
95,669000000.0,(0.00775909-0.02359772j)
96,675200000.0,(0.00802898-0.0231781j)
97,681400000.0,(0.00849915-0.0233326j)
98,687600000.0,(0.00915527-0.02440739j)
99,693800000.0,(0.00950527-0.02622223j)
100,700000000.0,(0.00831509-0.02789688j)
101,706200000.0,(0.00624084-0.02899265j)
102,712400000.0,(0.00428581-0.02863312j)
103,718600000.0,(0.00352287-0.02742577j)
104,724800000.0,(0.00372124-0.02656746j)
105,731000000.0,(0.00434875-0.02670765j)
106,737200000.0,(0.00503445-0.02778149j)
107,743400000.0,(0.00542736-0.02955437j)
108,749600000.0,(0.00353813-0.03182411j)
109,755800000.0,(0.00136185-0.03274727j)
110,762000000.0,(-0.0009975433-0.03189278j)
111,768200000.0,(-0.002077103-0.03085327j)
112,774400000.0,(-0.001974106-0.02991676j)
113,780600000.0,(-0.0008001328-0.0298748j)
114,786800000.0,(-0.0005474091-0.03102779j)
115,793000000.0,(-0.0007705688-0.03265953j)
116,799200000.0,(-0.002355576-0.0347538j)
117,805400000.0,(-0.005210876-0.03525734j)
118,811600000.0,(-0.007551193-0.0345192j)
119,817800000.0,(-0.008842468-0.0333004j)
120,824000000.0,(-0.008808136-0.03190613j)
121,830200000.0,(-0.008237839-0.03186989j)
122,836400000.0,(-0.007938385-0.03294373j)
123,842600000.0,(-0.008813858-0.03471565j)
124,848800000.0,(-0.01034164-0.03592682j)
125,855000000.0,(-0.01305008-0.03661919j)
126,861200000.0,(-0.01555634-0.03540421j)
127,867400000.0,(-0.01662254-0.03333855j)
128,873600000.0,(-0.01633644-0.03247833j)
129,879800000.0,(-0.01525879-0.03289223j)
130,886000000.0,(-0.01577568-0.03388786j)
131,892200000.0,(-0.01702881-0.03604317j)
132,898400000.0,(-0.01986694-0.03744316j)
133,904600000.0,(-0.02365112-0.03689957j)
134,910800000.0,(-0.02594376-0.03437042j)
135,917000000.0,(-0.02630806-0.03126335j)
136,923200000.0,(-0.02551842-0.03015518j)
137,929400000.0,(-0.02416229-0.03036499j)
138,935600000.0,(-0.02404022-0.03195381j)
139,941800000.0,(-0.02541161-0.03373909j)
140,948000000.0,(-0.028759-0.03521347j)
141,954200000.0,(-0.03299332-0.03437805j)
142,960400000.0,(-0.03568649-0.03112793j)
143,966600000.0,(-0.03624344-0.02780151j)
144,972800000.0,(-0.03530884-0.02555466j)
145,979000000.0,(-0.0340271-0.02571869j)
146,985200000.0,(-0.03347015-0.02668381j)
147,991400000.0,(-0.03572083-0.02815628j)
148,997600000.0,(-0.03859329-0.02968979j)
149,1003800000.0,(-0.04181671-0.02796936j)
150,1010000000.0,(-0.04423141-0.02462006j)
151,1016200000.0,(-0.04468536-0.02164459j)
152,1022400000.0,(-0.04427719-0.01964569j)
153,1028600000.0,(-0.04333496-0.0191803j)
154,1034800000.0,(-0.0435524-0.02013016j)
155,1041000000.0,(-0.04553604-0.02069855j)
156,1047200000.0,(-0.04850769-0.01974869j)
157,1053400000.0,(-0.05160904-0.01745987j)
158,1059600000.0,(-0.05276489-0.01296997j)
159,1065800000.0,(-0.05176926-0.009990692j)
160,1072000000.0,(-0.05017662-0.008396149j)
161,1078200000.0,(-0.04905891-0.008714676j)
162,1084400000.0,(-0.04998398-0.009422302j)
163,1090600000.0,(-0.05218887-0.009170532j)
164,1096800000.0,(-0.05514526-0.0076828j)
165,1103000000.0,(-0.05765152-0.004020691j)
166,1109200000.0,(-0.05766678+0.00092888j)
167,1115400000.0,(-0.05569458+0.00414658j)
168,1121600000.0,(-0.05311203+0.00501251j)
169,1127800000.0,(-0.05190277+0.00426674j)
170,1134000000.0,(-0.05276871+0.00361633j)
171,1140200000.0,(-0.05486107+0.00380325j)
172,1146400000.0,(-0.05745888+0.00613213j)
173,1152600000.0,(-0.05949974+0.00994873j)
174,1158800000.0,(-0.0592289+0.01458168j)
175,1165000000.0,(-0.0567894+0.01893806j)
176,1171200000.0,(-0.05280304+0.02017593j)
177,1177400000.0,(-0.05172729+0.01954651j)
178,1183600000.0,(-0.05188751+0.01885414j)
179,1189800000.0,(-0.05257416+0.01947021j)
180,1196000000.0,(-0.05463409+0.02113533j)
181,1202200000.0,(-0.05497932+0.02521515j)
182,1208400000.0,(-0.05356026+0.02867317j)
183,1214600000.0,(-0.05023956+0.0312233j)
184,1220800000.0,(-0.04805756+0.03168869j)
185,1227000000.0,(-0.04641724+0.03113174j)
186,1233200000.0,(-0.04707146+0.031147j)
187,1239400000.0,(-0.04750824+0.03208733j)
188,1245600000.0,(-0.04828262+0.03466797j)
189,1251800000.0,(-0.04725456+0.03845024j)
190,1258000000.0,(-0.0448494+0.04085922j)
191,1264200000.0,(-0.04150772+0.04244614j)
192,1270400000.0,(-0.03886795+0.04172516j)
193,1276600000.0,(-0.03802109+0.04096985j)
194,1282800000.0,(-0.03899384+0.04078674j)
195,1289000000.0,(-0.03925323+0.04163361j)
196,1295200000.0,(-0.04043198+0.04444885j)
197,1301400000.0,(-0.03931999+0.04836273j)
198,1307600000.0,(-0.03582191+0.05218124j)
199,1313800000.0,(-0.03111267+0.05338287j)
200,1320000000.0,(-0.02848434+0.05238724j)
201,1326200000.0,(-0.02666092+0.05031967j)
202,1332400000.0,(-0.0260849+0.04907227j)
203,1338600000.0,(-0.0265274+0.04911041j)
204,1344800000.0,(-0.02708817+0.05131149j)
205,1351000000.0,(-0.02632523+0.05340195j)
206,1357200000.0,(-0.02358627+0.05606461j)
207,1363400000.0,(-0.0203743+0.05681229j)
208,1369600000.0,(-0.01766014+0.05586243j)
209,1375800000.0,(-0.01652145+0.05439186j)
210,1382000000.0,(-0.01576996+0.05338669j)
211,1388200000.0,(-0.01648331+0.05397797j)
212,1394400000.0,(-0.0165596+0.05575943j)
213,1400600000.0,(-0.0153389+0.05781174j)
214,1406800000.0,(-0.01140785+0.06016731j)
215,1413000000.0,(-0.00879097+0.05900764j)
216,1419200000.0,(-0.0054245+0.05781746j)
217,1425400000.0,(-0.005096436+0.05621147j)
218,1431600000.0,(-0.005231857+0.05530548j)
219,1437800000.0,(-0.005867004+0.05599022j)
220,1444000000.0,(-0.005132675+0.05776405j)
221,1450200000.0,(-0.003044128+0.05999565j)
222,1456400000.0,(0.0008316+0.06152344j)
223,1462600000.0,(0.00481796+0.06022644j)
224,1468800000.0,(0.00639343+0.05716705j)
225,1475000000.0,(0.00619888+0.05465698j)
226,1481200000.0,(0.00527954+0.05471992j)
227,1487400000.0,(0.00409508+0.05467987j)
228,1493600000.0,(0.00383759+0.05738449j)
229,1499800000.0,(0.00634384+0.06035233j)
230,1506000000.0,(0.01065826+0.06178284j)
231,1512200000.0,(0.01541138+0.06022263j)
232,1518400000.0,(0.01877594+0.05699539j)
233,1524600000.0,(0.01839828+0.05391693j)
234,1530800000.0,(0.01701355+0.05266571j)
235,1537000000.0,(0.01548767+0.05298615j)
236,1543200000.0,(0.01483154+0.05550385j)
237,1549400000.0,(0.01708221+0.05692291j)
