,Freq (Hz),Complex (decimal)
0,80000000.0,(0.000357866+0.004377604j)
1,86200000.0,(0.000374079+0.00372839j)
2,92400000.0,(0.0008564+0.003972292j)
3,98600000.0,(0.00302124+0.005768776j)
4,104800000.0,(0.003436565+0.005162716j)
5,111000000.0,(0.003799915+0.003770351j)
6,117200000.0,(0.003198862+0.003756046j)
7,123400000.0,(0.003046513+0.003970146j)
8,129600000.0,(0.002622128+0.004353762j)
9,135800000.0,(0.003234386+0.005160332j)
10,142000000.0,(0.003369331+0.005830288j)
11,148200000.0,(0.004914761+0.006728649j)
12,154400000.0,(0.006184101+0.005734921j)
13,160600000.0,(0.006137848+0.004603863j)
14,166800000.0,(0.005626202+0.004189491j)
15,173000000.0,(0.005104065+0.004653931j)
16,179200000.0,(0.004985809+0.005030632j)
17,185400000.0,(0.005473614+0.005800247j)
18,191600000.0,(0.006102562+0.006801605j)
19,197800000.0,(0.008370399+0.007003307j)
20,204000000.0,(0.009358406+0.005331993j)
21,210200000.0,(0.00888586+0.004025936j)
22,216400000.0,(0.008138657+0.003726006j)
23,222600000.0,(0.00768137+0.003978729j)
24,228800000.0,(0.007321835+0.00476265j)
25,235000000.0,(0.008098125+0.005620003j)
26,241200000.0,(0.009102345+0.006186008j)
27,247400000.0,(0.0108614+0.006026268j)
28,253600000.0,(0.01215935+0.004360199j)
29,259800000.0,(0.01181316+0.002623081j)
30,266000000.0,(0.01076937+0.002176285j)
31,272200000.0,(0.01009798+0.002560139j)
32,278400000.0,(0.00973177+0.003314495j)
33,284600000.0,(0.01045752+0.004268169j)
34,290800000.0,(0.01181412+0.004747391j)
35,297000000.0,(0.01369667+0.004020691j)
36,303200000.0,(0.01459694+0.00209713j)
37,309400000.0,(0.01386356+0.000193596j)
38,315600000.0,(0.01271534+2.1458e-05j)
39,321800000.0,(0.0119729+0.000478268j)
40,328000000.0,(0.01192188+0.001410007j)
41,334200000.0,(0.01285267+0.002214432j)
42,340400000.0,(0.01416016+0.002275467j)
43,346600000.0,(0.01608658+0.0013876j)
44,352800000.0,(0.01660633-0.000793457j)
45,359000000.0,(0.01550007-0.002385139j)
46,365200000.0,(0.01413536-0.002686501j)
47,371400000.0,(0.01347685-0.002125263j)
48,377600000.0,(0.01360989-0.001219749j)
49,383800000.0,(0.01423693-0.0004811287j)
50,390000000.0,(0.01589203-0.0005187988j)
51,396200000.0,(0.01762486-0.001716614j)
52,402400000.0,(0.01798153-0.003893852j)
53,408600000.0,(0.01663208-0.005927086j)
54,414800000.0,(0.01510715-0.005982399j)
55,421000000.0,(0.01454401-0.005104065j)
56,427200000.0,(0.01452494-0.004277706j)
57,433400000.0,(0.01538754-0.003773689j)
58,439600000.0,(0.01698685-0.003851891j)
59,445800000.0,(0.01840687-0.005318642j)
60,452000000.0,(0.01843071-0.007686615j)
61,458200000.0,(0.01690483-0.009451866j)
62,464400000.0,(0.01533985-0.009431839j)
63,470600000.0,(0.01456213-0.008676052j)
64,476800000.0,(0.01492405-0.007762909j)
65,483000000.0,(0.01592541-0.007295609j)
66,489200000.0,(0.017313-0.00766468j)
67,495400000.0,(0.01865673-0.009250641j)
68,501600000.0,(0.01857471-0.01190376j)
69,507800000.0,(0.01670933-0.01358128j)
70,514000000.0,(0.01468801-0.0134697j)
71,520200000.0,(0.01414394-0.01219082j)
72,526400000.0,(0.0144825-0.01144552j)
73,532600000.0,(0.01566219-0.01128483j)
74,538800000.0,(0.01697826-0.01170826j)
