,Freq (Hz),Complex (decimal)
0,80000000.0,(0.000994205+0.005181313j)
1,86200000.0,(0.001722813+0.003536224j)
2,92400000.0,(0.001850605+0.003158808j)
3,98600000.0,(0.002240896+0.00425005j)
4,104800000.0,(0.003201962+0.004569054j)
5,111000000.0,(0.003355503+0.003954411j)
6,117200000.0,(0.002951384+0.0039711j)
7,123400000.0,(0.002978802+0.004496098j)
8,129600000.0,(0.003695965+0.004542828j)
9,135800000.0,(0.003881454+0.005149364j)
10,142000000.0,(0.003912449+0.005434513j)
11,148200000.0,(0.004880905+0.005256176j)
12,154400000.0,(0.005292892+0.005120277j)
13,160600000.0,(0.005096436+0.004882813j)
14,166800000.0,(0.00548172+0.004918575j)
15,173000000.0,(0.005973816+0.005117416j)
16,179200000.0,(0.006138325+0.004751205j)
17,185400000.0,(0.006540775+0.004982948j)
18,191600000.0,(0.007177353+0.004842758j)
19,197800000.0,(0.007196426+0.004814148j)
20,204000000.0,(0.007884979+0.004597187j)
21,210200000.0,(0.00787735+0.004570961j)
22,216400000.0,(0.008288383+0.004255295j)
23,222600000.0,(0.008686543+0.004060268j)
24,228800000.0,(0.008735657+0.004002571j)
25,235000000.0,(0.00925684+0.00408268j)
26,241200000.0,(0.009367466+0.00384903j)
27,247400000.0,(0.01001501+0.003708363j)
28,253600000.0,(0.01030111+0.003349304j)
29,259800000.0,(0.01062775+0.00311327j)
30,266000000.0,(0.01066113+0.002761841j)
31,272200000.0,(0.01086903+0.002567768j)
32,278400000.0,(0.01115274+0.00235033j)
33,284600000.0,(0.01137924+0.002380848j)
34,290800000.0,(0.01167679+0.002238274j)
35,297000000.0,(0.01204586+0.001637936j)
36,303200000.0,(0.0122714+0.001311779j)
37,309400000.0,(0.01256657+0.000873089j)
38,315600000.0,(0.0125308+0.000615597j)
39,321800000.0,(0.01251316+0.000331879j)
40,328000000.0,(0.01260996+0.000169754j)
41,334200000.0,(0.01307344+0.000281811j)
42,340400000.0,(0.01331139-0.0002784729j)
43,346600000.0,(0.01362848-0.0005269051j)
44,352800000.0,(0.01403332-0.001131535j)
45,359000000.0,(0.01391268-0.00174427j)
46,365200000.0,(0.01377487-0.002083778j)
47,371400000.0,(0.01377487-0.002143383j)
48,377600000.0,(0.0137291-0.002396584j)
49,383800000.0,(0.01411629-0.002670288j)
50,390000000.0,(0.01447392-0.002900124j)
51,396200000.0,(0.01488018-0.003454208j)
52,402400000.0,(0.01499033-0.004043102j)
53,408600000.0,(0.01480389-0.004778862j)
54,414800000.0,(0.01457071-0.005094528j)
55,421000000.0,(0.01456785-0.005270481j)
56,427200000.0,(0.01464605-0.00576973j)
57,433400000.0,(0.0147953-0.005698204j)
58,439600000.0,(0.01494026-0.006187916j)
59,445800000.0,(0.01493883-0.006752968j)
60,452000000.0,(0.01524639-0.007338047j)
61,458200000.0,(0.01506758-0.008049011j)
62,464400000.0,(0.01484346-0.0084548j)
63,470600000.0,(0.01464462-0.008609772j)
64,476800000.0,(0.01455498-0.008965492j)
65,483000000.0,(0.01473713-0.009230137j)
66,489200000.0,(0.01500845-0.009560585j)
67,495400000.0,(0.01492119-0.01015663j)
68,501600000.0,(0.01506996-0.01084518j)
69,507800000.0,(0.01474142-0.01153517j)
70,514000000.0,(0.01405191-0.01194334j)
71,520200000.0,(0.0141058-0.01182556j)
72,526400000.0,(0.01401424-0.01236629j)
73,532600000.0,(0.01409483-0.01274824j)
74,538800000.0,(0.01420879-0.01296711j)
75,545000000.0,(0.01431036-0.01409435j)
76,551200000.0,(0.01395464-0.01457596j)
77,557400000.0,(0.01363945-0.01519299j)
78,563600000.0,(0.01285839-0.01560307j)
79,569800000.0,(0.01268768-0.01581573j)
80,576000000.0,(0.01259804-0.01575279j)
81,582200000.0,(0.01236725-0.01632881j)
82,588400000.0,(0.01255035-0.0166893j)
83,594600000.0,(0.01246929-0.01738358j)
84,600800000.0,(0.01229954-0.01805401j)
85,607000000.0,(0.01174736-0.01901913j)
86,613200000.0,(0.01135063-0.01930809j)
87,619400000.0,(0.01058102-0.01956463j)
88,625600000.0,(0.01054764-0.01986694j)
89,631800000.0,(0.01022243-0.02002811j)
90,638000000.0,(0.01033497-0.02054596j)
91,644200000.0,(0.00988483-0.02122116j)
92,650400000.0,(0.00954819-0.02175999j)
93,656600000.0,(0.00908566-0.02248955j)
94,662800000.0,(0.0083828-0.02280807j)
95,669000000.0,(0.00779724-0.02319908j)
96,675200000.0,(0.0075655-0.02330971j)
97,681400000.0,(0.00714874-0.02372551j)
98,687600000.0,(0.00703907-0.02412605j)
99,693800000.0,(0.00654411-0.02507973j)
100,700000000.0,(0.00609493-0.02535439j)
101,706200000.0,(0.00535679-0.02614117j)
102,712400000.0,(0.00440979-0.02668381j)
103,718600000.0,(0.0037632-0.02641678j)
104,724800000.0,(0.00326824-0.02654934j)
105,731000000.0,(0.00289822-0.02686024j)
106,737200000.0,(0.00267124-0.0272665j)
107,743400000.0,(0.00259495-0.02799702j)
108,749600000.0,(0.00178909-0.02875137j)
109,755800000.0,(0.00076294-0.02930069j)
110,762000000.0,(-0.0004081726-0.02980614j)
111,768200000.0,(-0.001233101-0.02992153j)
112,774400000.0,(-0.002044678-0.02998734j)
113,780600000.0,(-0.002340317-0.03001785j)
114,786800000.0,(-0.002639771-0.03007889j)
115,793000000.0,(-0.003189087-0.03091812j)
116,799200000.0,(-0.003871918-0.03160095j)
117,805400000.0,(-0.005153656-0.03173637j)
118,811600000.0,(-0.006406784-0.03242111j)
119,817800000.0,(-0.00759697-0.03229713j)
120,824000000.0,(-0.008895874-0.03186226j)
121,830200000.0,(-0.009466171-0.03198051j)
122,836400000.0,(-0.009988785-0.03201485j)
123,842600000.0,(-0.0107193-0.03215599j)
124,848800000.0,(-0.0117054-0.0328331j)
125,855000000.0,(-0.0124588-0.03326035j)
126,861200000.0,(-0.0139637-0.0333519j)
127,867400000.0,(-0.01503944-0.0327549j)
128,873600000.0,(-0.01602936-0.03321075j)
129,879800000.0,(-0.0168457-0.03288269j)
130,886000000.0,(-0.01769066-0.0331192j)
131,892200000.0,(-0.01907158-0.03368378j)
132,898400000.0,(-0.02066994-0.03393936j)
133,904600000.0,(-0.02243042-0.03357315j)
134,910800000.0,(-0.02404022-0.03266144j)
135,917000000.0,(-0.02513695-0.03137589j)
136,923200000.0,(-0.02570534-0.03091621j)
137,929400000.0,(-0.02580643-0.03054047j)
138,935600000.0,(-0.02643967-0.03109169j)
139,941800000.0,(-0.02755737-0.03121948j)
140,948000000.0,(-0.0296936-0.03145218j)
141,954200000.0,(-0.03172684-0.03134918j)
142,960400000.0,(-0.03363037-0.03014374j)
143,966600000.0,(-0.03520584-0.02837753j)
144,972800000.0,(-0.03602219-0.02709961j)
145,979000000.0,(-0.03599167-0.02606964j)
146,985200000.0,(-0.03636169-0.02561569j)
147,991400000.0,(-0.03768921-0.02584076j)
148,997600000.0,(-0.03837204-0.02573776j)
149,1003800000.0,(-0.04068756-0.02536011j)
150,1010000000.0,(-0.04238892-0.02383423j)
151,1016200000.0,(-0.04433823-0.02261353j)
152,1022400000.0,(-0.04499054-0.02149582j)
153,1028600000.0,(-0.0462532-0.01947784j)
154,1034800000.0,(-0.0471077-0.01864624j)
155,1041000000.0,(-0.04792404-0.01729584j)
156,1047200000.0,(-0.04915237-0.01586533j)
157,1053400000.0,(-0.05062866-0.01478195j)
158,1059600000.0,(-0.05161285-0.0123024j)
159,1065800000.0,(-0.05218887-0.01095963j)
160,1072000000.0,(-0.05240631-0.009061813j)
161,1078200000.0,(-0.05299759-0.007989883j)
162,1084400000.0,(-0.05396652-0.006210327j)
163,1090600000.0,(-0.05490875-0.004829407j)
164,1096800000.0,(-0.05606842-0.003036499j)
165,1103000000.0,(-0.05670738-0.0007133484j)
166,1109200000.0,(-0.05690384+0.0017643j)
167,1115400000.0,(-0.05647278+0.00354767j)
168,1121600000.0,(-0.05660629+0.00562668j)
169,1127800000.0,(-0.05651283+0.00658798j)
170,1134000000.0,(-0.05696106+0.00828552j)
171,1140200000.0,(-0.05731583+0.00922585j)
172,1146400000.0,(-0.05797958+0.01165009j)
173,1152600000.0,(-0.05835342+0.01429176j)
174,1158800000.0,(-0.05799484+0.016922j)
175,1165000000.0,(-0.05767632+0.02056694j)
176,1171200000.0,(-0.05611801+0.0222187j)
177,1177400000.0,(-0.0554924+0.02404785j)
178,1183600000.0,(-0.05508804+0.02490044j)
179,1189800000.0,(-0.05370712+0.02699852j)
180,1196000000.0,(-0.05345726+0.02823448j)
181,1202200000.0,(-0.05311012+0.0301075j)
182,1208400000.0,(-0.05255508+0.03177261j)
183,1214600000.0,(-0.05134964+0.03373718j)
184,1220800000.0,(-0.05060196+0.03548813j)
185,1227000000.0,(-0.04956055+0.03735733j)
186,1233200000.0,(-0.04860687+0.03853989j)
187,1239400000.0,(-0.04742241+0.04084778j)
188,1245600000.0,(-0.04577255+0.04242897j)
189,1251800000.0,(-0.04376221+0.04424286j)
190,1258000000.0,(-0.04274368+0.0446434j)
191,1264200000.0,(-0.04157639+0.04621506j)
192,1270400000.0,(-0.04010391+0.04679108j)
193,1276600000.0,(-0.03891754+0.04792404j)
194,1282800000.0,(-0.03863907+0.04957581j)
195,1289000000.0,(-0.03779602+0.05105209j)
196,1295200000.0,(-0.03595734+0.05281067j)
197,1301400000.0,(-0.03398132+0.0547905j)
198,1307600000.0,(-0.03171158+0.05635452j)
199,1313800000.0,(-0.02949524+0.05734253j)
200,1320000000.0,(-0.02669907+0.05854416j)
201,1326200000.0,(-0.0250206+0.05773926j)
202,1332400000.0,(-0.02297592+0.05804443j)
203,1338600000.0,(-0.02152252+0.05788422j)
204,1344800000.0,(-0.02025604+0.05865097j)
205,1351000000.0,(-0.01973343+0.05879593j)
206,1357200000.0,(-0.01775742+0.06005478j)
207,1363400000.0,(-0.0161705+0.06087875j)
208,1369600000.0,(-0.01473427+0.06163216j)
209,1375800000.0,(-0.01314735+0.06184006j)
210,1382000000.0,(-0.0111866+0.06175423j)
211,1388200000.0,(-0.009216309+0.06242752j)
212,1394400000.0,(-0.007598877+0.06275177j)
213,1400600000.0,(-0.006004333+0.06280899j)
214,1406800000.0,(-0.003829956+0.06310272j)
215,1413000000.0,(-0.002685547+0.06277084j)
216,1419200000.0,(-0.0001945496+0.06278229j)
217,1425400000.0,(0.00090027+0.06325912j)
218,1431600000.0,(0.002388+0.06262589j)
219,1437800000.0,(0.00389099+0.06295776j)
220,1444000000.0,(0.0055275+0.06337738j)
221,1450200000.0,(0.00788879+0.06324005j)
222,1456400000.0,(0.01078033+0.06364822j)
223,1462600000.0,(0.0118866+0.06200027j)
224,1468800000.0,(0.01345825+0.06080627j)
225,1475000000.0,(0.01393127+0.05987549j)
226,1481200000.0,(0.01495743+0.06068802j)
227,1487400000.0,(0.01502228+0.06025314j)
228,1493600000.0,(0.01715851+0.06122971j)
229,1499800000.0,(0.01963806+0.06184006j)
230,1506000000.0,(0.0220108+0.06192398j)
231,1512200000.0,(0.02464676+0.06077194j)
232,1518400000.0,(0.02769089+0.05953979j)
233,1524600000.0,(0.02747345+0.05700302j)
234,1530800000.0,(0.02817535+0.05625153j)
235,1537000000.0,(0.02880478+0.05579758j)
236,1543200000.0,(0.02952576+0.05667114j)
237,1549400000.0,(0.03047943+0.05626678j)
238,1555600000.0,(0.03364563+0.05609894j)
239,1561800000.0,(0.03613281+0.05531693j)
240,1568000000.0,(0.0377121+0.05326843j)
241,1574200000.0,(0.03885651+0.05223846j)
242,1580400000.0,(0.03951263+0.05089951j)
243,1586600000.0,(0.04000854+0.05054092j)
244,1592800000.0,(0.04141998+0.05026627j)
245,1599000000.0,(0.04341507+0.04987717j)
246,1605200000.0,(0.0451622+0.04846954j)
247,1611400000.0,(0.04624557+0.04691696j)
248,1617600000.0,(0.04740906+0.04502869j)
249,1623800000.0,(0.0477066+0.04406738j)
250,1630000000.0,(0.0477829+0.04406738j)
251,1636200000.0,(0.04849243+0.04393005j)
252,1642400000.0,(0.05144119+0.04438019j)
253,1648600000.0,(0.05361938+0.04459j)
254,1654800000.0,(0.05652618+0.0416832j)
255,1661000000.0,(0.05778122+0.03919983j)
256,1667200000.0,(0.0582695+0.03641129j)
257,1673400000.0,(0.05838013+0.03457642j)
258,1679600000.0,(0.05776596+0.03426743j)
259,1685800000.0,(0.05857086+0.03443146j)
260,1692000000.0,(0.06096649+0.0346489j)
261,1698200000.0,(0.06315613+0.03380585j)
262,1704400000.0,(0.06648254+0.03173447j)
263,1710600000.0,(0.06829834+0.02873611j)
264,1716800000.0,(0.0692749+0.02484131j)
265,1723000000.0,(0.06847763+0.02283478j)
266,1729200000.0,(0.06852722+0.02113342j)
267,1735400000.0,(0.06929016+0.01992798j)
268,1741600000.0,(0.06929016+0.01973724j)
269,1747800000.0,(0.07055283+0.01826477j)
270,1754000000.0,(0.07255554+0.01696396j)
271,1760200000.0,(0.07429504+0.01503754j)
272,1766400000.0,(0.07458878+0.01269531j)
273,1772600000.0,(0.07510376+0.01005936j)
274,1778800000.0,(0.07524872+0.00847244j)
275,1785000000.0,(0.07608032+0.00730133j)
276,1791200000.0,(0.07775116+0.00537872j)
277,1797400000.0,(0.07883453+0.0016098j)
278,1803600000.0,(0.07960129-0.001667023j)
279,1809800000.0,(0.07896423-0.00548172j)
280,1816000000.0,(0.07662201-0.006736755j)
281,1822200000.0,(0.0756073-0.008659363j)
282,1828400000.0,(0.07524872-0.009094238j)
283,1834600000.0,(0.07619476-0.009368896j)
284,1840800000.0,(0.07756805-0.01009369j)
285,1847000000.0,(0.07901764-0.01286316j)
286,1853200000.0,(0.08003998-0.01643753j)
287,1859400000.0,(0.08162308-0.02122879j)
288,1865600000.0,(0.08032227-0.02627182j)
289,1871800000.0,(0.07763672-0.03031158j)
290,1878000000.0,(0.07558441-0.0313797j)
291,1884200000.0,(0.07355499-0.03167725j)
292,1890400000.0,(0.0724411-0.03234863j)
293,1896600000.0,(0.0730896-0.03317261j)
294,1902800000.0,(0.07453156-0.03450012j)
295,1909000000.0,(0.07541656-0.03871155j)
296,1915200000.0,(0.0749588-0.04268646j)
297,1921400000.0,(0.07341766-0.04746628j)
298,1927600000.0,(0.0700798-0.0507164j)
299,1933800000.0,(0.06548309-0.05288315j)
300,1940000000.0,(0.06296539-0.05263519j)
301,1946200000.0,(0.06084442-0.05408096j)
302,1952400000.0,(0.06108856-0.05426407j)
303,1958600000.0,(0.06067657-0.05524445j)
304,1964800000.0,(0.0608387-0.05737305j)
305,1971000000.0,(0.05929756-0.06114006j)
306,1977200000.0,(0.05775833-0.0635643j)
307,1983400000.0,(0.05565262-0.06557465j)
308,1989600000.0,(0.05166626-0.06844711j)
309,1995800000.0,(0.04961395-0.06900024j)
310,2002000000.0,(0.04668427-0.07051086j)
311,2008200000.0,(0.0442276-0.07105255j)
312,2014400000.0,(0.04310226-0.07209015j)
313,2020600000.0,(0.04094696-0.07316208j)
314,2026800000.0,(0.03817749-0.07374191j)
315,2033000000.0,(0.03582001-0.0746727j)
316,2039200000.0,(0.03413773-0.07493591j)
317,2045400000.0,(0.03181839-0.07608032j)
318,2051600000.0,(0.03074265-0.07632065j)
319,2057800000.0,(0.0308876-0.07590103j)
320,2064000000.0,(0.02848053-0.08082962j)
321,2070200000.0,(0.02474976-0.08288193j)
322,2076400000.0,(0.01929474-0.08402252j)
323,2082600000.0,(0.01516724-0.08252716j)
324,2088800000.0,(0.01367188-0.07988739j)
325,2095000000.0,(0.01296234-0.07771301j)
326,2101200000.0,(0.01242065-0.07736206j)
327,2107400000.0,(0.01348877-0.07759857j)
328,2113600000.0,(0.01194-0.08057785j)
329,2119800000.0,(0.00897217-0.08265686j)
330,2126000000.0,(0.00536728-0.085289j)
331,2132200000.0,(0.00092697-0.08502579j)
332,2138400000.0,(-0.003154755-0.08302307j)
333,2144600000.0,(-0.006130219-0.08037567j)
334,2150800000.0,(-0.006752014-0.07821655j)
335,2157000000.0,(-0.007400513-0.07745361j)
336,2163200000.0,(-0.007087708-0.07817459j)
337,2169400000.0,(-0.007774353-0.07924652j)
338,2175600000.0,(-0.01073837-0.08063889j)
339,2181800000.0,(-0.01317978-0.08151627j)
340,2188000000.0,(-0.01689911-0.08042145j)
341,2194200000.0,(-0.0198822-0.0789566j)
342,2200400000.0,(-0.02108002-0.07838821j)
343,2206600000.0,(-0.02358627-0.07700729j)
