,Freq (Hz),Complex (decimal)
0,80000000.0,(0.001786709+0.004444361j)
1,86200000.0,(0.001394033+0.003957748j)
2,92400000.0,(0.00186348+0.003548145j)
3,98600000.0,(0.002507925+0.004504204j)
4,104800000.0,(0.002584696+0.004578829j)
5,111000000.0,(0.002285957+0.004691362j)
6,117200000.0,(0.002917767+0.004624367j)
7,123400000.0,(0.003428459+0.004757881j)
8,129600000.0,(0.003573418+0.004566669j)
9,135800000.0,(0.003490925+0.004999638j)
10,142000000.0,(0.003712177+0.004823208j)
11,148200000.0,(0.004231453+0.005396843j)
12,154400000.0,(0.004953384+0.005281925j)
13,160600000.0,(0.005096912+0.005147457j)
14,166800000.0,(0.005484581+0.005212784j)
15,173000000.0,(0.005349159+0.004939079j)
16,179200000.0,(0.005957603+0.005131245j)
17,185400000.0,(0.006358624+0.005345821j)
18,191600000.0,(0.006795883+0.005720615j)
19,197800000.0,(0.007052422+0.005315781j)
20,204000000.0,(0.007624626+0.005028725j)
21,210200000.0,(0.00799799+0.004922867j)
22,216400000.0,(0.008386135+0.004849434j)
23,222600000.0,(0.00841856+0.004765034j)
24,228800000.0,(0.008682251+0.00485611j)
25,235000000.0,(0.008867264+0.004640579j)
26,241200000.0,(0.009216785+0.004733562j)
27,247400000.0,(0.009805202+0.004568577j)
28,253600000.0,(0.01057911+0.004309177j)
29,259800000.0,(0.01080179+0.003689766j)
30,266000000.0,(0.01100349+0.003572464j)
31,272200000.0,(0.0108552+0.003268242j)
32,278400000.0,(0.01115704+0.003195286j)
33,284600000.0,(0.01150513+0.003418922j)
34,290800000.0,(0.01192617+0.003260136j)
35,297000000.0,(0.01250982+0.00281477j)
36,303200000.0,(0.01270008+0.002345085j)
37,309400000.0,(0.012887+0.001704693j)
38,315600000.0,(0.0128932+0.001586914j)
39,321800000.0,(0.01301765+0.001355171j)
40,328000000.0,(0.01314545+0.001172066j)
41,334200000.0,(0.01334572+0.001154423j)
42,340400000.0,(0.01378393+0.000718117j)
