,Freq (Hz),Complex (decimal)
0,80000000.0,(0.001346946+0.001652956j)
1,86200000.0,(0.001482248+0.003388882j)
2,92400000.0,(0.001957417+0.00449872j)
3,98600000.0,(0.001743793+0.004628181j)
4,104800000.0,(0.002893209+0.004361868j)
5,111000000.0,(0.002342463+0.004049778j)
6,117200000.0,(0.003348112+0.004106045j)
7,123400000.0,(0.003340721+0.004440784j)
8,129600000.0,(0.003388882+0.004701614j)
9,135800000.0,(0.003635406+0.00472641j)
10,142000000.0,(0.003900051+0.005125523j)
11,148200000.0,(0.004734993+0.005246639j)
12,154400000.0,(0.004919529+0.005223751j)
13,160600000.0,(0.005218506+0.004449368j)
14,166800000.0,(0.0055933+0.004866123j)
15,173000000.0,(0.005812645+0.00464344j)
16,179200000.0,(0.005836487+0.004835606j)
17,185400000.0,(0.006509304+0.005066872j)
18,191600000.0,(0.006832123+0.005025387j)
19,197800000.0,(0.007339478+0.005205631j)
20,204000000.0,(0.007927418+0.004559517j)
21,210200000.0,(0.008085251+0.004539967j)
22,216400000.0,(0.008338928+0.003952026j)
23,222600000.0,(0.008135319+0.004068375j)
24,228800000.0,(0.008449078+0.004266262j)
25,235000000.0,(0.008598328+0.004434586j)
26,241200000.0,(0.009381771+0.004109859j)
27,247400000.0,(0.009617329+0.004422665j)
28,253600000.0,(0.01036978+0.003659725j)
29,259800000.0,(0.0107069+0.003006935j)
30,266000000.0,(0.01037312+0.002715588j)
31,272200000.0,(0.01063442+0.002650738j)
32,278400000.0,(0.01053095+0.00262022j)
33,284600000.0,(0.01096201+0.002799034j)
34,290800000.0,(0.0114007+0.002529621j)
35,297000000.0,(0.01222134+0.002196789j)
36,303200000.0,(0.01220703+0.001538754j)
37,309400000.0,(0.01246262+0.000728607j)
38,315600000.0,(0.01233006+0.000647545j)
39,321800000.0,(0.01225233+0.000259876j)
40,328000000.0,(0.01205778+0.00049305j)
41,334200000.0,(0.01273108+0.000441551j)
42,340400000.0,(0.01331568+0.00022316j)
43,346600000.0,(0.01405001-0.0002689362j)
44,352800000.0,(0.01415443-0.001108646j)
45,359000000.0,(0.01418209-0.001675606j)
46,365200000.0,(0.01362896-0.002198696j)
47,371400000.0,(0.01336908-0.002420425j)
48,377600000.0,(0.0136261-0.002188206j)
49,383800000.0,(0.0138278-0.002132416j)
50,390000000.0,(0.01449203-0.002459526j)
51,396200000.0,(0.01503134-0.003016472j)
52,402400000.0,(0.01521587-0.004116535j)
53,408600000.0,(0.01483202-0.004718304j)
54,414800000.0,(0.0145936-0.005205631j)
55,421000000.0,(0.01431608-0.005309105j)
56,427200000.0,(0.01425219-0.005105019j)
57,433400000.0,(0.01455879-0.005249023j)
58,439600000.0,(0.01512384-0.005513191j)
59,445800000.0,(0.015378-0.006278515j)
60,452000000.0,(0.01552296-0.007243156j)
61,458200000.0,(0.01507854-0.008073807j)
62,464400000.0,(0.01470947-0.008455276j)
63,470600000.0,(0.01426506-0.008522034j)
64,476800000.0,(0.01439428-0.008580685j)
65,483000000.0,(0.01443052-0.008559704j)
66,489200000.0,(0.01511383-0.009008884j)
67,495400000.0,(0.01546192-0.009759903j)
68,501600000.0,(0.01538658-0.01081848j)
69,507800000.0,(0.01490211-0.01159334j)
70,514000000.0,(0.014112-0.01214266j)
71,520200000.0,(0.01368046-0.01186752j)
72,526400000.0,(0.01366663-0.01193094j)
73,532600000.0,(0.01409054-0.01227713j)
74,538800000.0,(0.01427174-0.0122571j)
75,545000000.0,(0.01485252-0.01373482j)
76,551200000.0,(0.01433754-0.01459742j)
77,557400000.0,(0.01368237-0.01538086j)
78,563600000.0,(0.01271439-0.01572132j)
79,569800000.0,(0.01245308-0.0156498j)
80,576000000.0,(0.01231956-0.01528931j)
81,582200000.0,(0.01234245-0.0157547j)
82,588400000.0,(0.0130024-0.0162468j)
83,594600000.0,(0.01306248-0.01715279j)
84,600800000.0,(0.01257801-0.01832199j)
85,607000000.0,(0.01176071-0.01919174j)
86,613200000.0,(0.0111227-0.01937199j)
87,619400000.0,(0.01022053-0.01935101j)
88,625600000.0,(0.01021099-0.01921654j)
89,631800000.0,(0.01037884-0.01950455j)
90,638000000.0,(0.01049137-0.02005386j)
