,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.06962585-0.03805923j)
1,2502300000.0,(-0.07011414-0.03812027j)
2,2504600000.0,(-0.07085037-0.03907013j)
3,2506900000.0,(-0.07037735-0.03793716j)
4,2509200000.0,(-0.07112503-0.03855133j)
5,2511500000.0,(-0.07204437-0.03788376j)
6,2513800000.0,(-0.07269287-0.03820801j)
7,2516100000.0,(-0.07363129-0.03715515j)
8,2518400000.0,(-0.07333755-0.03715515j)
9,2520700000.0,(-0.0746727-0.03620148j)
10,2523000000.0,(-0.07497025-0.03609848j)
11,2525300000.0,(-0.07584763-0.03553772j)
12,2527600000.0,(-0.0761795-0.03444672j)
13,2529900000.0,(-0.07636642-0.03419876j)
14,2532200000.0,(-0.07744598-0.03352737j)
15,2534500000.0,(-0.07782745-0.03278351j)
16,2536800000.0,(-0.07854462-0.03228378j)
17,2539100000.0,(-0.07860184-0.03224182j)
18,2541400000.0,(-0.07857895-0.03124619j)
19,2543700000.0,(-0.07962418-0.02954483j)
20,2546000000.0,(-0.08005524-0.02942276j)
21,2548300000.0,(-0.0795517-0.02845383j)
22,2550600000.0,(-0.08002853-0.02734756j)
23,2552900000.0,(-0.08090973-0.02667236j)
24,2555200000.0,(-0.08106613-0.0261879j)
25,2557500000.0,(-0.08133316-0.02473831j)
26,2559800000.0,(-0.08130646-0.02471924j)
27,2562100000.0,(-0.08165741-0.02375412j)
28,2564400000.0,(-0.08173752-0.02269363j)
29,2566700000.0,(-0.08294678-0.0216713j)
30,2569000000.0,(-0.0823822-0.02103424j)
31,2571300000.0,(-0.08181763-0.02009964j)
32,2573600000.0,(-0.08252335-0.01927185j)
33,2575900000.0,(-0.08217621-0.01861572j)
34,2578200000.0,(-0.08170319-0.01833725j)
35,2580500000.0,(-0.08156967-0.01754379j)
36,2582800000.0,(-0.08164215-0.01743317j)
37,2585100000.0,(-0.08148575-0.01710892j)
38,2587400000.0,(-0.08191681-0.01672363j)
39,2589700000.0,(-0.08242416-0.01710129j)
40,2592000000.0,(-0.08295059-0.0163269j)
41,2594300000.0,(-0.08245468-0.01635361j)
42,2596600000.0,(-0.08395004-0.01577759j)
43,2598900000.0,(-0.08484268-0.01384735j)
44,2601200000.0,(-0.08497238-0.01470566j)
45,2603500000.0,(-0.0860405-0.0143013j)
46,2605800000.0,(-0.0867157-0.01220703j)
47,2608100000.0,(-0.0868454-0.01171112j)
48,2610400000.0,(-0.08754349-0.01039505j)
49,2612700000.0,(-0.08769989-0.009372711j)
50,2615000000.0,(-0.08779907-0.008201599j)
51,2617300000.0,(-0.0878067-0.006877899j)
52,2619600000.0,(-0.08718109-0.005371094j)
53,2621900000.0,(-0.08684921-0.00409317j)
54,2624200000.0,(-0.08682251-0.003433228j)
55,2626500000.0,(-0.0857048-0.001815796j)
56,2628800000.0,(-0.08535385-0.001098633j)
57,2631100000.0,(-0.08437347-0.0008773804j)
58,2633400000.0,(-0.0844841-0.0006713867j)
59,2635700000.0,(-0.08407593-0.0002975464j)
60,2638000000.0,(-0.08366013-0.0003547668j)
61,2640300000.0,(-0.08353424-0.0004425049j)
62,2642600000.0,(-0.08346176-0.0002250671j)
63,2644900000.0,(-0.0835228-0.0002174377j)
64,2647200000.0,(-0.08385849-0.000705719j)
65,2649500000.0,(-0.08369446-3.814697e-05j)
66,2651800000.0,(-0.08415985-0.0004043579j)
67,2654100000.0,(-0.08615875+0.0003891j)
68,2656400000.0,(-0.08522034+8.774e-05j)
69,2658700000.0,(-0.08618927+0.00064087j)
70,2661000000.0,(-0.08650589+0.00160599j)
71,2663300000.0,(-0.08825684+0.00249481j)
72,2665600000.0,(-0.0888443+0.00371552j)
73,2667900000.0,(-0.08953094+0.00265503j)
74,2670200000.0,(-0.09041214+0.00490952j)
75,2672500000.0,(-0.09043503+0.00559616j)
76,2674800000.0,(-0.09066391+0.00669861j)
77,2677100000.0,(-0.09077835+0.00745773j)
78,2679400000.0,(-0.09207153+0.0087738j)
79,2681700000.0,(-0.09113312+0.01054382j)
80,2684000000.0,(-0.09115982+0.01120758j)
81,2686300000.0,(-0.0921936+0.01210403j)
82,2688600000.0,(-0.09142685+0.01284409j)
83,2690900000.0,(-0.0916748+0.01491928j)
