,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.06791306-0.03989792j)
1,2502300000.0,(-0.06897354-0.04016113j)
2,2504600000.0,(-0.06940079-0.04146194j)
3,2506900000.0,(-0.0704155-0.03995895j)
4,2509200000.0,(-0.07235718-0.03992844j)
5,2511500000.0,(-0.07398987-0.04020309j)
6,2513800000.0,(-0.07458878-0.03837585j)
7,2516100000.0,(-0.07534409-0.03756332j)
8,2518400000.0,(-0.07602692-0.03669357j)
9,2520700000.0,(-0.07685852-0.03503418j)
10,2523000000.0,(-0.07682037-0.03355026j)
11,2525300000.0,(-0.07641602-0.03253555j)
12,2527600000.0,(-0.07646942-0.03146744j)
13,2529900000.0,(-0.07572174-0.03097534j)
14,2532200000.0,(-0.07674026-0.02999878j)
15,2534500000.0,(-0.07683182-0.03013992j)
16,2536800000.0,(-0.07622147-0.02980042j)
17,2539100000.0,(-0.07597733-0.030159j)
18,2541400000.0,(-0.07632446-0.03005219j)
19,2543700000.0,(-0.07584-0.02954865j)
20,2546000000.0,(-0.07655716-0.03032684j)
21,2548300000.0,(-0.07715607-0.02923965j)
22,2550600000.0,(-0.07814407-0.02907181j)
23,2552900000.0,(-0.07979202-0.02888489j)
24,2555200000.0,(-0.0803833-0.02802277j)
25,2557500000.0,(-0.08132553-0.02658081j)
26,2559800000.0,(-0.08234024-0.02585602j)
27,2562100000.0,(-0.08362198-0.02444839j)
28,2564400000.0,(-0.0837059-0.02304077j)
29,2566700000.0,(-0.08414459-0.02087784j)
30,2569000000.0,(-0.08361435-0.01974869j)
31,2571300000.0,(-0.08334351-0.01821518j)
32,2573600000.0,(-0.08298492-0.01705933j)
33,2575900000.0,(-0.08309555-0.01631546j)
34,2578200000.0,(-0.08174896-0.01580811j)
35,2580500000.0,(-0.08054352-0.01521683j)
36,2582800000.0,(-0.07999039-0.01507187j)
37,2585100000.0,(-0.07951355-0.01552963j)
38,2587400000.0,(-0.07965469-0.01553345j)
39,2589700000.0,(-0.07923508-0.01599503j)
40,2592000000.0,(-0.08028793-0.01685333j)
41,2594300000.0,(-0.07972336-0.0168457j)
42,2596600000.0,(-0.08270264-0.01633453j)
43,2598900000.0,(-0.08293915-0.01700211j)
44,2601200000.0,(-0.08268356-0.01606369j)
45,2603500000.0,(-0.0845871-0.01617432j)
46,2605800000.0,(-0.0867157-0.0146904j)
47,2608100000.0,(-0.08742142-0.01318741j)
48,2610400000.0,(-0.08837128-0.01195526j)
49,2612700000.0,(-0.08908463-0.01020813j)
50,2615000000.0,(-0.08973694-0.008201599j)
51,2617300000.0,(-0.08959579-0.006015778j)
52,2619600000.0,(-0.0890007-0.004001617j)
53,2621900000.0,(-0.08842087-0.002349854j)
54,2624200000.0,(-0.08703232-0.001358032j)
55,2626500000.0,(-0.0851059+3.052e-05j)
56,2628800000.0,(-0.08558655+0.00038528j)
57,2631100000.0,(-0.08296967+0.00149918j)
58,2633400000.0,(-0.08208466+0.00087738j)
59,2635700000.0,(-0.08195877+0.0009346j)
60,2638000000.0,(-0.08086777+0.00030899j)
61,2640300000.0,(-0.080616-0.0002822876j)
62,2642600000.0,(-0.08053589-0.0005073547j)
63,2644900000.0,(-0.08089447-0.0008964539j)
64,2647200000.0,(-0.08137131-0.001991272j)
65,2649500000.0,(-0.08221054-0.001876831j)
66,2651800000.0,(-0.08316803-0.001461029j)
67,2654100000.0,(-0.08506012-0.002140045j)
68,2656400000.0,(-0.08509445-0.001792908j)
69,2658700000.0,(-0.08714676-0.002170563j)
70,2661000000.0,(-0.08825302-9.536743e-05j)
71,2663300000.0,(-0.08968735+0.00172806j)
72,2665600000.0,(-0.08959198+0.00376892j)
73,2667900000.0,(-0.09067917+0.0037117j)
74,2670200000.0,(-0.09134293+0.00590134j)
75,2672500000.0,(-0.09079742+0.00714874j)
76,2674800000.0,(-0.09133911+0.00899506j)
77,2677100000.0,(-0.09050369+0.01031494j)
