,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.06894302-0.03740311j)
1,2502300000.0,(-0.07006836-0.03777695j)
2,2504600000.0,(-0.07068253-0.03830338j)
3,2506900000.0,(-0.07163239-0.03752518j)
4,2509200000.0,(-0.07193375-0.03725433j)
5,2511500000.0,(-0.07448959-0.03764343j)
6,2513800000.0,(-0.07509613-0.03633499j)
7,2516100000.0,(-0.07563782-0.03490829j)
8,2518400000.0,(-0.07674789-0.03463364j)
9,2520700000.0,(-0.07764053-0.03286362j)
10,2523000000.0,(-0.07746887-0.03189087j)
11,2525300000.0,(-0.07799149-0.03131104j)
12,2527600000.0,(-0.07751465-0.02979279j)
13,2529900000.0,(-0.07668686-0.02915192j)
14,2532200000.0,(-0.078022-0.02881622j)
15,2534500000.0,(-0.07740021-0.02775192j)
16,2536800000.0,(-0.07728958-0.02773666j)
17,2539100000.0,(-0.07731628-0.027565j)
18,2541400000.0,(-0.07730484-0.0274086j)
19,2543700000.0,(-0.07780075-0.02663422j)
20,2546000000.0,(-0.07805252-0.02691269j)
21,2548300000.0,(-0.07888794-0.02703857j)
22,2550600000.0,(-0.07902527-0.02607727j)
23,2552900000.0,(-0.08065796-0.02561569j)
24,2555200000.0,(-0.08102036-0.02516174j)
25,2557500000.0,(-0.08189392-0.02383804j)
26,2559800000.0,(-0.08249283-0.02313614j)
27,2562100000.0,(-0.0837059-0.02163315j)
28,2564400000.0,(-0.08375168-0.02109146j)
29,2566700000.0,(-0.08418274-0.01931j)
30,2569000000.0,(-0.08349991-0.01782227j)
31,2571300000.0,(-0.08426285-0.01674652j)
32,2573600000.0,(-0.08348465-0.01530075j)
33,2575900000.0,(-0.0835762-0.01464081j)
34,2578200000.0,(-0.08269882-0.01436996j)
35,2580500000.0,(-0.08154678-0.01365662j)
36,2582800000.0,(-0.08149719-0.01316071j)
37,2585100000.0,(-0.08107376-0.01327515j)
38,2587400000.0,(-0.08115387-0.01352692j)
39,2589700000.0,(-0.08119202-0.01343536j)
40,2592000000.0,(-0.08138275-0.01331711j)
41,2594300000.0,(-0.08219147-0.01354218j)
42,2596600000.0,(-0.08290482-0.01312256j)
43,2598900000.0,(-0.08334732-0.0125618j)
44,2601200000.0,(-0.08397675-0.01278687j)
45,2603500000.0,(-0.08591843-0.0128212j)
46,2605800000.0,(-0.0870285-0.0110054j)
47,2608100000.0,(-0.08760071-0.01034927j)
48,2610400000.0,(-0.08862686-0.008865356j)
49,2612700000.0,(-0.0886879-0.00718689j)
50,2615000000.0,(-0.08937073-0.005893707j)
51,2617300000.0,(-0.08934402-0.003868103j)
52,2619600000.0,(-0.08842468-0.002418518j)
53,2621900000.0,(-0.08779907-0.001205444j)
54,2624200000.0,(-0.08782578+0.00037384j)
55,2626500000.0,(-0.08583069+0.0025444j)
56,2628800000.0,(-0.08599854+0.00239944j)
57,2631100000.0,(-0.08465195+0.00267029j)
58,2633400000.0,(-0.08369446+0.00334167j)
59,2635700000.0,(-0.08346176+0.00337219j)
60,2638000000.0,(-0.08275223+0.00307846j)
61,2640300000.0,(-0.08194351+0.00268555j)
62,2642600000.0,(-0.08208084+0.002388j)
63,2644900000.0,(-0.08235168+0.00223541j)
64,2647200000.0,(-0.08302307+0.00107956j)
65,2649500000.0,(-0.08345413+0.0018692j)
66,2651800000.0,(-0.08372498+0.00180054j)
67,2654100000.0,(-0.08542252+0.0015564j)
68,2656400000.0,(-0.08522034+0.00155258j)
69,2658700000.0,(-0.08780289+0.00227737j)
70,2661000000.0,(-0.08827209+0.00352478j)
71,2663300000.0,(-0.08935928+0.00465393j)
72,2665600000.0,(-0.08893585+0.00645447j)
73,2667900000.0,(-0.09067535+0.00617218j)
74,2670200000.0,(-0.0915184+0.00798035j)
75,2672500000.0,(-0.09091568+0.00980759j)
76,2674800000.0,(-0.09180832+0.01081085j)
77,2677100000.0,(-0.09115601+0.01197052j)
78,2679400000.0,(-0.09182358+0.01293182j)
79,2681700000.0,(-0.09083939+0.01490784j)
80,2684000000.0,(-0.09063339+0.01633072j)
81,2686300000.0,(-0.09059906+0.01644897j)
82,2688600000.0,(-0.08993149+0.01797485j)
83,2690900000.0,(-0.08983612+0.01902771j)
84,2693200000.0,(-0.08787918+0.01879883j)
85,2695500000.0,(-0.0887413+0.01919174j)
86,2697800000.0,(-0.08900452+0.01917267j)
87,2700100000.0,(-0.088974+0.01980591j)
88,2702400000.0,(-0.08982849+0.02135849j)
89,2704700000.0,(-0.0899353+0.0220871j)
90,2707000000.0,(-0.08946609+0.02254486j)
91,2709300000.0,(-0.09015656+0.02423859j)
92,2711600000.0,(-0.08932114+0.02528j)
93,2713900000.0,(-0.08945465+0.0252533j)
94,2716200000.0,(-0.08934784+0.0271225j)
95,2718500000.0,(-0.08873749+0.02750397j)
96,2720800000.0,(-0.08663559+0.02949524j)
97,2723100000.0,(-0.08782959+0.03007507j)
98,2725400000.0,(-0.08681107+0.03065872j)
99,2727700000.0,(-0.08633804+0.03079605j)
100,2730000000.0,(-0.0861702+0.03091431j)
101,2732300000.0,(-0.08535385+0.0309906j)
102,2734600000.0,(-0.08535004+0.03094864j)
103,2736900000.0,(-0.08564758+0.03210449j)
104,2739200000.0,(-0.08609009+0.03123093j)
105,2741500000.0,(-0.08612442+0.03197098j)
106,2743800000.0,(-0.08570862+0.03261948j)
107,2746100000.0,(-0.08712769+0.03321457j)
108,2748400000.0,(-0.08773041+0.03452301j)
109,2750700000.0,(-0.08837128+0.03456497j)
110,2753000000.0,(-0.08924866+0.03710938j)
111,2755300000.0,(-0.08982468+0.03766251j)
112,2757600000.0,(-0.08969879+0.03987122j)
113,2759900000.0,(-0.08880234+0.04092407j)
114,2762200000.0,(-0.08935547+0.04283905j)
115,2764500000.0,(-0.08821106+0.04444122j)
116,2766800000.0,(-0.0873642+0.04637909j)
117,2769100000.0,(-0.08664703+0.04719543j)
118,2771400000.0,(-0.08569336+0.04875946j)
119,2773700000.0,(-0.0833931+0.04846954j)
120,2776000000.0,(-0.08285904+0.04933548j)
121,2778300000.0,(-0.08128738+0.04940033j)
122,2780600000.0,(-0.0808754+0.0494957j)
123,2782900000.0,(-0.0796051+0.04836273j)
124,2785200000.0,(-0.07951355+0.04858017j)
125,2787500000.0,(-0.08047485+0.04798889j)
126,2789800000.0,(-0.07995224+0.04692841j)
127,2792100000.0,(-0.0808754+0.04774857j)
128,2794400000.0,(-0.08127213+0.04776764j)
129,2796700000.0,(-0.08260345+0.04725647j)
130,2799000000.0,(-0.08390045+0.04883957j)
131,2801300000.0,(-0.0847168+0.04935074j)
132,2803600000.0,(-0.08624268+0.04975128j)
133,2805900000.0,(-0.08690643+0.05155563j)
134,2808200000.0,(-0.08794785+0.05353546j)
135,2810500000.0,(-0.0876503+0.05630493j)
136,2812800000.0,(-0.08796692+0.05799103j)
137,2815100000.0,(-0.08906555+0.06083679j)
138,2817400000.0,(-0.08732224+0.06349182j)
139,2819700000.0,(-0.08579254+0.0655098j)
140,2822000000.0,(-0.08508301+0.06717682j)
141,2824300000.0,(-0.08389282+0.06935883j)
142,2826600000.0,(-0.08162308+0.070755j)
143,2828900000.0,(-0.08054352+0.07032776j)
144,2831200000.0,(-0.07916641+0.07120895j)
145,2833500000.0,(-0.07741165+0.07086563j)
146,2835800000.0,(-0.07511902+0.0719223j)
147,2838100000.0,(-0.07516861+0.07012939j)
148,2840400000.0,(-0.07506943+0.07143402j)
149,2842700000.0,(-0.07315063+0.07175446j)
150,2845000000.0,(-0.07509613+0.07228088j)
151,2847300000.0,(-0.07422256+0.07164764j)
152,2849600000.0,(-0.07571793+0.07168579j)
153,2851900000.0,(-0.07609177+0.07230377j)
154,2854200000.0,(-0.07663727+0.07312775j)
155,2856500000.0,(-0.07648087+0.07528687j)
156,2858800000.0,(-0.07773972+0.07642746j)
157,2861100000.0,(-0.07673264+0.07878494j)
158,2863400000.0,(-0.07701111+0.08127594j)
159,2865700000.0,(-0.07604599+0.08244705j)
160,2868000000.0,(-0.07631302+0.0853653j)
161,2870300000.0,(-0.07387924+0.08704758j)
162,2872600000.0,(-0.07206726+0.0877533j)
163,2874900000.0,(-0.06709671+0.09033203j)
164,2877200000.0,(-0.06449509+0.08293915j)
165,2879500000.0,(-0.06838226+0.08560944j)
166,2881800000.0,(-0.06830597+0.0881424j)
167,2884100000.0,(-0.06765366+0.0887146j)
168,2886400000.0,(-0.06549835+0.08987808j)
169,2888700000.0,(-0.06603241+0.08945084j)
170,2891000000.0,(-0.06473541+0.09034729j)
171,2893300000.0,(-0.06389999+0.09091187j)
172,2895600000.0,(-0.06409836+0.09178925j)
173,2897900000.0,(-0.06454849+0.09469604j)
174,2900200000.0,(-0.06466675+0.09300995j)
175,2902500000.0,(-0.06396484+0.09420776j)
176,2904800000.0,(-0.06386948+0.09674835j)
177,2907100000.0,(-0.06391144+0.09689713j)
178,2909400000.0,(-0.06288528+0.09931946j)
179,2911700000.0,(-0.06131363+0.1001778j)
180,2914000000.0,(-0.06116867+0.1023712j)
181,2916300000.0,(-0.05996704+0.1034431j)
182,2918600000.0,(-0.05867767+0.1051369j)
183,2920900000.0,(-0.05680466+0.1055794j)
184,2923200000.0,(-0.05419922+0.1068802j)
185,2925500000.0,(-0.05268097+0.1071091j)
186,2927800000.0,(-0.05109406+0.1066628j)
187,2930100000.0,(-0.04889297+0.1082649j)
188,2932400000.0,(-0.04855728+0.1070518j)
189,2934700000.0,(-0.048069+0.1074295j)
190,2937000000.0,(-0.04824448+0.1076813j)
191,2939300000.0,(-0.04722595+0.1070518j)
192,2941600000.0,(-0.04735565+0.1074715j)
193,2943900000.0,(-0.04754639+0.1081657j)
194,2946200000.0,(-0.04817581+0.1094017j)
195,2948500000.0,(-0.04853058+0.1109009j)
196,2950800000.0,(-0.04838181+0.1117554j)
197,2953100000.0,(-0.04868317+0.1128693j)
198,2955400000.0,(-0.04773331+0.1158905j)
199,2957700000.0,(-0.0476799+0.1181946j)
200,2960000000.0,(-0.04605865+0.1211967j)
201,2962300000.0,(-0.04541779+0.1241913j)
202,2964600000.0,(-0.04190063+0.1253891j)
203,2966900000.0,(-0.03941345+0.1281967j)
204,2969200000.0,(-0.03626251+0.1296844j)
205,2971500000.0,(-0.03287506+0.1318665j)
206,2973800000.0,(-0.02770996+0.1324081j)
207,2976100000.0,(-0.02394104+0.1312561j)
208,2978400000.0,(-0.02178955+0.1298065j)
209,2980700000.0,(-0.02030945+0.1300354j)
210,2983000000.0,(-0.01740265+0.1269379j)
211,2985300000.0,(-0.01795197+0.1259918j)
212,2987600000.0,(-0.01499939+0.1247978j)
213,2989900000.0,(-0.01556396+0.1237526j)
214,2992200000.0,(-0.01592636+0.1223679j)
215,2994500000.0,(-0.01634598+0.1213341j)
216,2996800000.0,(-0.01673126+0.1214905j)
217,2999100000.0,(-0.0160141+0.1232033j)
218,3001400000.0,(-0.01687241+0.1229324j)
219,3003700000.0,(-0.01797867+0.124794j)
220,3006000000.0,(-0.01850891+0.1259766j)
221,3008300000.0,(-0.01712036+0.1292343j)
222,3010600000.0,(-0.01698303+0.1309662j)
223,3012900000.0,(-0.01383972+0.1334686j)
224,3015200000.0,(-0.01361847+0.1375809j)
225,3017500000.0,(-0.01025391+0.1392899j)
226,3019800000.0,(-0.007553101+0.1412888j)
