,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.0710144-0.04378128j)
1,2502300000.0,(-0.07389069-0.04323578j)
2,2504600000.0,(-0.07763672-0.04241562j)
3,2506900000.0,(-0.0790329-0.03971863j)
4,2509200000.0,(-0.08063507-0.03733063j)
5,2511500000.0,(-0.08153152-0.03476715j)
6,2513800000.0,(-0.08165359-0.03131104j)
7,2516100000.0,(-0.08018494-0.02886581j)
8,2518400000.0,(-0.07901764-0.027668j)
9,2520700000.0,(-0.07727432-0.02541351j)
10,2523000000.0,(-0.07556915-0.02485657j)
11,2525300000.0,(-0.07377243-0.02516937j)
12,2527600000.0,(-0.07235336-0.02476883j)
13,2529900000.0,(-0.07158279-0.02599716j)
14,2532200000.0,(-0.07145309-0.02679062j)
15,2534500000.0,(-0.07021332-0.02840042j)
16,2536800000.0,(-0.0701828-0.02963257j)
17,2539100000.0,(-0.0718689-0.03063202j)
18,2541400000.0,(-0.07299042-0.03215027j)
19,2543700000.0,(-0.07480621-0.03299332j)
20,2546000000.0,(-0.0770607-0.03382111j)
21,2548300000.0,(-0.07932281-0.03342819j)
22,2550600000.0,(-0.08218002-0.03275681j)
23,2552900000.0,(-0.08558655-0.03098297j)
24,2555200000.0,(-0.08817291-0.0292511j)
25,2557500000.0,(-0.08966064-0.02511597j)
26,2559800000.0,(-0.09046936-0.02152634j)
27,2562100000.0,(-0.09010696-0.01741028j)
28,2564400000.0,(-0.08928299-0.01493073j)
29,2566700000.0,(-0.08710861-0.01215744j)
30,2569000000.0,(-0.08514023-0.01052475j)
31,2571300000.0,(-0.0826683-0.008865356j)
32,2573600000.0,(-0.08016205-0.009189606j)
33,2575900000.0,(-0.07799911-0.009807587j)
34,2578200000.0,(-0.07656097-0.01081848j)
35,2580500000.0,(-0.07517624-0.01171112j)
36,2582800000.0,(-0.07502365-0.01320648j)
37,2585100000.0,(-0.0750618-0.01487732j)
38,2587400000.0,(-0.07537842-0.01626968j)
39,2589700000.0,(-0.07666016-0.01833725j)
40,2592000000.0,(-0.07801437-0.01963043j)
41,2594300000.0,(-0.07930374-0.02024078j)
42,2596600000.0,(-0.08300018-0.02058411j)
43,2598900000.0,(-0.08603668-0.01976776j)
44,2601200000.0,(-0.08823013-0.01935196j)
45,2603500000.0,(-0.09163284-0.01773453j)
46,2605800000.0,(-0.09495163-0.01401901j)
47,2608100000.0,(-0.09613419-0.01055527j)
48,2610400000.0,(-0.09664536-0.006614685j)
49,2612700000.0,(-0.09575653-0.002067566j)
50,2615000000.0,(-0.09376144+0.00097275j)
51,2617300000.0,(-0.09085083+0.0034256j)
52,2619600000.0,(-0.08766174+0.00552368j)
53,2621900000.0,(-0.08568954+0.00669861j)
54,2624200000.0,(-0.08237839+0.0065918j)
55,2626500000.0,(-0.08098984+0.00535583j)
56,2628800000.0,(-0.07901764+0.00462723j)
57,2631100000.0,(-0.07803726+0.00404358j)
58,2633400000.0,(-0.07745361+0.00167465j)
59,2635700000.0,(-0.07717514-2.288818e-05j)
60,2638000000.0,(-0.07759094-0.001628876j)
61,2640300000.0,(-0.0786438-0.002986908j)
62,2642600000.0,(-0.07988739-0.004013062j)
63,2644900000.0,(-0.08211136-0.004718781j)
