,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07288742-0.01418686j)
1,2502300000.0,(-0.07253647-0.01421738j)
2,2504600000.0,(-0.07250977-0.01525879j)
3,2506900000.0,(-0.07329178-0.01632309j)
4,2509200000.0,(-0.07489014-0.01568222j)
5,2511500000.0,(-0.07616806-0.01468277j)
6,2513800000.0,(-0.07605362-0.01359177j)
7,2516100000.0,(-0.07597351-0.01309204j)
8,2518400000.0,(-0.07662201-0.01355743j)
9,2520700000.0,(-0.07708359-0.01291656j)
10,2523000000.0,(-0.07765961-0.01235962j)
11,2525300000.0,(-0.078022-0.01232529j)
12,2527600000.0,(-0.07811356-0.01107788j)
13,2529900000.0,(-0.07899475-0.01130295j)
14,2532200000.0,(-0.08020401-0.01024246j)
15,2534500000.0,(-0.08029938-0.009170532j)
16,2536800000.0,(-0.08174133-0.008766174j)
17,2539100000.0,(-0.08238983-0.008033752j)
18,2541400000.0,(-0.08275986-0.006721497j)
19,2543700000.0,(-0.08288193-0.005195618j)
20,2546000000.0,(-0.08335114-0.004192352j)
21,2548300000.0,(-0.083004-0.003082275j)
22,2550600000.0,(-0.08283234-0.001911163j)
23,2552900000.0,(-0.08337784-0.0005607605j)
24,2555200000.0,(-0.08314514-0.0004386902j)
25,2557500000.0,(-0.08227539+0.00138474j)
26,2559800000.0,(-0.08272171+0.00177765j)
27,2562100000.0,(-0.08233643+0.0032692j)
28,2564400000.0,(-0.08162308+0.00291061j)
29,2566700000.0,(-0.08207321+0.00351334j)
30,2569000000.0,(-0.08149338+0.00445175j)
31,2571300000.0,(-0.08172989+0.00492859j)
32,2573600000.0,(-0.08190155+0.0050087j)
33,2575900000.0,(-0.08174133+0.00508881j)
34,2578200000.0,(-0.08200836+0.00537109j)
35,2580500000.0,(-0.08211899+0.00595474j)
36,2582800000.0,(-0.08262634+0.00621796j)
37,2585100000.0,(-0.08350372+0.00702286j)
38,2587400000.0,(-0.08343887+0.00745773j)
39,2589700000.0,(-0.08459091+0.00699997j)
40,2592000000.0,(-0.08504868+0.00894165j)
41,2594300000.0,(-0.08548355+0.00998306j)
42,2596600000.0,(-0.08611679+0.01156616j)
43,2598900000.0,(-0.08595657+0.01296234j)
44,2601200000.0,(-0.08650208+0.01337051j)
45,2603500000.0,(-0.086483+0.01406479j)
46,2605800000.0,(-0.08667755+0.01603317j)
47,2608100000.0,(-0.08612061+0.01724625j)
48,2610400000.0,(-0.08595657+0.01826096j)
49,2612700000.0,(-0.08531952+0.01930618j)
50,2615000000.0,(-0.08531952+0.02012634j)
51,2617300000.0,(-0.0841713+0.02083206j)
52,2619600000.0,(-0.08381271+0.02160263j)
53,2621900000.0,(-0.0830574+0.02228928j)
54,2624200000.0,(-0.08325195+0.02213669j)
55,2626500000.0,(-0.08306122+0.02319336j)
56,2628800000.0,(-0.08304596+0.02324295j)
57,2631100000.0,(-0.08258057+0.02445602j)
58,2633400000.0,(-0.08168411+0.02444839j)
59,2635700000.0,(-0.08224106+0.02513885j)
60,2638000000.0,(-0.08269119+0.02526093j)
61,2640300000.0,(-0.08234024+0.02618027j)
62,2642600000.0,(-0.081604+0.02624893j)
63,2644900000.0,(-0.08274078+0.0273819j)
64,2647200000.0,(-0.08283615+0.02784348j)
65,2649500000.0,(-0.08259583+0.02801514j)
66,2651800000.0,(-0.08282089+0.02978516j)
67,2654100000.0,(-0.08271408+0.03000641j)
68,2656400000.0,(-0.08267212+0.02960587j)
69,2658700000.0,(-0.08371353+0.03050613j)
70,2661000000.0,(-0.08304214+0.03108978j)
71,2663300000.0,(-0.08439255+0.03230286j)
72,2665600000.0,(-0.08401108+0.03331757j)
73,2667900000.0,(-0.08528137+0.03337479j)
74,2670200000.0,(-0.08546829+0.03404617j)
75,2672500000.0,(-0.08545685+0.0352478j)
