,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07164764-0.03229904j)
1,2502300000.0,(-0.07233047-0.03183746j)
2,2504600000.0,(-0.07281876-0.03183746j)
3,2506900000.0,(-0.07205963-0.03130341j)
4,2509200000.0,(-0.07192612-0.03152084j)
5,2511500000.0,(-0.07279587-0.03213882j)
6,2513800000.0,(-0.07339478-0.03202057j)
7,2516100000.0,(-0.07360077-0.03102493j)
8,2518400000.0,(-0.07349396-0.031353j)
9,2520700000.0,(-0.07468033-0.0308342j)
10,2523000000.0,(-0.07502747-0.03050232j)
11,2525300000.0,(-0.07544708-0.03036499j)
12,2527600000.0,(-0.07607651-0.02968597j)
13,2529900000.0,(-0.07673264-0.02946091j)
14,2532200000.0,(-0.07802963-0.02837753j)
15,2534500000.0,(-0.07809067-0.02790833j)
16,2536800000.0,(-0.07910919-0.02706909j)
17,2539100000.0,(-0.08021927-0.02689362j)
18,2541400000.0,(-0.08001709-0.02568436j)
19,2543700000.0,(-0.08088303-0.02492142j)
20,2546000000.0,(-0.08128738-0.02394104j)
21,2548300000.0,(-0.08134842-0.02294159j)
22,2550600000.0,(-0.08210373-0.02184677j)
23,2552900000.0,(-0.08231735-0.02045441j)
24,2555200000.0,(-0.08213806-0.0200119j)
25,2557500000.0,(-0.08194733-0.01838684j)
26,2559800000.0,(-0.08213043-0.01806641j)
27,2562100000.0,(-0.08287048-0.01666641j)
28,2564400000.0,(-0.08214188-0.01628113j)
29,2566700000.0,(-0.0813942-0.0161171j)
30,2569000000.0,(-0.08136749-0.0153656j)
31,2571300000.0,(-0.08112717-0.0148735j)
32,2573600000.0,(-0.0821991-0.01417542j)
33,2575900000.0,(-0.08212662-0.0138855j)
34,2578200000.0,(-0.08194351-0.01370621j)
35,2580500000.0,(-0.08176804-0.01335144j)
36,2582800000.0,(-0.08230591-0.0131073j)
37,2585100000.0,(-0.08242798-0.01271439j)
38,2587400000.0,(-0.08302689-0.01242065j)
39,2589700000.0,(-0.08355331-0.01216125j)
40,2592000000.0,(-0.08457565-0.0123024j)
41,2594300000.0,(-0.08414459-0.01035309j)
42,2596600000.0,(-0.08576584-0.01018524j)
43,2598900000.0,(-0.0858345-0.008743286j)
44,2601200000.0,(-0.08644485-0.007297516j)
45,2603500000.0,(-0.08645248-0.00775528j)
46,2605800000.0,(-0.08722305-0.005016327j)
47,2608100000.0,(-0.08747864-0.005172729j)
48,2610400000.0,(-0.08732605-0.00390625j)
49,2612700000.0,(-0.08697891-0.002616882j)
50,2615000000.0,(-0.08721542-0.001495361j)
51,2617300000.0,(-0.08671951-0.0006332397j)
52,2619600000.0,(-0.08590698+0j)
53,2621900000.0,(-0.0863533+0.0003624j)
54,2624200000.0,(-0.08571625+0.00146484j)
55,2626500000.0,(-0.08497238+0.00234604j)
56,2628800000.0,(-0.08503723+0.00208282j)
57,2631100000.0,(-0.08472443+0.00403214j)
58,2633400000.0,(-0.08424377+0.00432587j)
59,2635700000.0,(-0.08420944+0.00444794j)
60,2638000000.0,(-0.08418655+0.00411224j)
61,2640300000.0,(-0.08418655+0.00475311j)
62,2642600000.0,(-0.08394623+0.00510788j)
63,2644900000.0,(-0.08481598+0.00537491j)
64,2647200000.0,(-0.08464432+0.00552368j)
