,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07065964-0.03650284j)
1,2502300000.0,(-0.07197189-0.03512573j)
2,2504600000.0,(-0.07194138-0.03630066j)
3,2506900000.0,(-0.0714798-0.03561783j)
4,2509200000.0,(-0.07204056-0.03530502j)
5,2511500000.0,(-0.07380676-0.03619003j)
6,2513800000.0,(-0.07326508-0.03496933j)
7,2516100000.0,(-0.07356644-0.03469086j)
8,2518400000.0,(-0.0743866-0.0349884j)
9,2520700000.0,(-0.0749054-0.03382492j)
10,2523000000.0,(-0.07535172-0.03403091j)
11,2525300000.0,(-0.07580948-0.03347015j)
12,2527600000.0,(-0.07648087-0.03225708j)
13,2529900000.0,(-0.07657623-0.03240967j)
14,2532200000.0,(-0.07812881-0.03083038j)
15,2534500000.0,(-0.07774353-0.03051376j)
16,2536800000.0,(-0.07904434-0.02996826j)
17,2539100000.0,(-0.07979584-0.02907562j)
18,2541400000.0,(-0.07955551-0.02899933j)
19,2543700000.0,(-0.08042908-0.02765656j)
20,2546000000.0,(-0.08057404-0.02762604j)
21,2548300000.0,(-0.08115005-0.02622986j)
22,2550600000.0,(-0.08110809-0.02502441j)
23,2552900000.0,(-0.08161926-0.02411652j)
24,2555200000.0,(-0.08182907-0.02357101j)
25,2557500000.0,(-0.08178329-0.02241516j)
26,2559800000.0,(-0.08190918-0.0220108j)
27,2562100000.0,(-0.08216095-0.02043533j)
28,2564400000.0,(-0.08204269-0.02062225j)
29,2566700000.0,(-0.08241272-0.01906204j)
30,2569000000.0,(-0.08255386-0.01773834j)
31,2571300000.0,(-0.08215332-0.01760483j)
32,2573600000.0,(-0.08234024-0.01784134j)
33,2575900000.0,(-0.08180237-0.01692581j)
34,2578200000.0,(-0.08237076-0.01654053j)
35,2580500000.0,(-0.08184052-0.01604462j)
36,2582800000.0,(-0.08202744-0.01575089j)
37,2585100000.0,(-0.08231735-0.01541138j)
38,2587400000.0,(-0.08281708-0.01552963j)
39,2589700000.0,(-0.08376312-0.01580811j)
40,2592000000.0,(-0.08413696-0.01536179j)
41,2594300000.0,(-0.08363724-0.01403427j)
42,2596600000.0,(-0.08492279-0.01390076j)
43,2598900000.0,(-0.08544159-0.01134109j)
44,2601200000.0,(-0.08552933-0.01203537j)
45,2603500000.0,(-0.08644867-0.01089478j)
46,2605800000.0,(-0.0868187-0.009433746j)
47,2608100000.0,(-0.08739471-0.008735657j)
48,2610400000.0,(-0.08795929-0.007225037j)
49,2612700000.0,(-0.08760834-0.006378174j)
50,2615000000.0,(-0.08767319-0.005729675j)
51,2617300000.0,(-0.08722305-0.004314423j)
52,2619600000.0,(-0.0870018-0.003131866j)
53,2621900000.0,(-0.08753586-0.002151489j)
54,2624200000.0,(-0.08649063-0.001716614j)
55,2626500000.0,(-0.08624268-0.0004310608j)
56,2628800000.0,(-0.08590317+5.341e-05j)
57,2631100000.0,(-0.08495331+0.00125885j)
58,2633400000.0,(-0.08494949+0.00096893j)
59,2635700000.0,(-0.08445358+0.00129318j)
60,2638000000.0,(-0.08430481+0.0013504j)
61,2640300000.0,(-0.08424759+0.00151825j)
62,2642600000.0,(-0.08395767+0.00194931j)
63,2644900000.0,(-0.08418655+0.00214767j)
64,2647200000.0,(-0.08480453+0.00202942j)
65,2649500000.0,(-0.08455276+0.00307846j)
66,2651800000.0,(-0.08467865+0.00208282j)
67,2654100000.0,(-0.08593369+0.00339508j)
68,2656400000.0,(-0.08598709+0.00331116j)
69,2658700000.0,(-0.08716202+0.00395966j)
70,2661000000.0,(-0.08691025+0.00462341j)
71,2663300000.0,(-0.08792877+0.00469971j)
72,2665600000.0,(-0.08783722+0.00579453j)
73,2667900000.0,(-0.08877182+0.00597j)
74,2670200000.0,(-0.08992004+0.00714111j)
75,2672500000.0,(-0.09008026+0.0080986j)
76,2674800000.0,(-0.09053421+0.00916672j)
77,2677100000.0,(-0.09120941+0.01040268j)
78,2679400000.0,(-0.09129333+0.01106644j)
79,2681700000.0,(-0.091362+0.01276016j)
80,2684000000.0,(-0.09172821+0.0137825j)
81,2686300000.0,(-0.0928421+0.01559448j)
