,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07047653-0.02359009j)
1,2502300000.0,(-0.07078552-0.02396011j)
2,2504600000.0,(-0.07130432-0.02462769j)
3,2506900000.0,(-0.07162857-0.02527237j)
4,2509200000.0,(-0.07378769-0.0254097j)
5,2511500000.0,(-0.07647705-0.02494049j)
6,2513800000.0,(-0.07699966-0.02336502j)
7,2516100000.0,(-0.07804489-0.02259445j)
8,2518400000.0,(-0.07878876-0.02129364j)
9,2520700000.0,(-0.07909393-0.02000046j)
10,2523000000.0,(-0.07928848-0.01890564j)
11,2525300000.0,(-0.07875824-0.01767731j)
12,2527600000.0,(-0.07863235-0.01644135j)
13,2529900000.0,(-0.07807922-0.01602554j)
14,2532200000.0,(-0.07892227-0.01503754j)
15,2534500000.0,(-0.07876587-0.0156517j)
16,2536800000.0,(-0.07866287-0.01466751j)
17,2539100000.0,(-0.07901001-0.01431274j)
18,2541400000.0,(-0.0787468-0.01415634j)
19,2543700000.0,(-0.0794754-0.01379776j)
20,2546000000.0,(-0.07910538-0.01353836j)
21,2548300000.0,(-0.07973862-0.01337051j)
22,2550600000.0,(-0.08029938-0.01255035j)
23,2552900000.0,(-0.08175278-0.01169586j)
24,2555200000.0,(-0.08230591-0.01156235j)
25,2557500000.0,(-0.08284378-0.009918213j)
26,2559800000.0,(-0.08332443-0.009616852j)
27,2562100000.0,(-0.08399582-0.007789612j)
28,2564400000.0,(-0.08422089-0.007129669j)
29,2566700000.0,(-0.08452225-0.005313873j)
30,2569000000.0,(-0.08349609-0.00422287j)
31,2571300000.0,(-0.08327103-0.002578735j)
32,2573600000.0,(-0.08375168-0.001861572j)
33,2575900000.0,(-0.08292389-0.00112915j)
34,2578200000.0,(-0.08240509-0.0004692078j)
35,2580500000.0,(-0.08175659-1.907349e-05j)
36,2582800000.0,(-0.08153152-0.0001144409j)
37,2585100000.0,(-0.08112335-0.0002632141j)
38,2587400000.0,(-0.08147812+0.00045776j)
39,2589700000.0,(-0.08139801-0.0001373291j)
40,2592000000.0,(-0.08132172+9.155e-05j)
41,2594300000.0,(-0.08191299+0.00017166j)
42,2596600000.0,(-0.08331299+0.00063324j)
43,2598900000.0,(-0.08426285+0.00107574j)
44,2601200000.0,(-0.08501053+0.00161743j)
45,2603500000.0,(-0.0861969+0.00130844j)
46,2605800000.0,(-0.0869751+0.00346756j)
47,2608100000.0,(-0.08776855+0.00439835j)
48,2610400000.0,(-0.08807755+0.00613403j)
49,2612700000.0,(-0.08815765+0.00786209j)
50,2615000000.0,(-0.08852005+0.00934219j)
51,2617300000.0,(-0.08841705+0.01051712j)
52,2619600000.0,(-0.0866127+0.01253891j)
53,2621900000.0,(-0.08727646+0.01345062j)
54,2624200000.0,(-0.08522034+0.01530075j)
55,2626500000.0,(-0.0844841+0.0152359j)
56,2628800000.0,(-0.08358383+0.01716995j)
57,2631100000.0,(-0.08228683+0.01735687j)
58,2633400000.0,(-0.08205032+0.0172348j)
59,2635700000.0,(-0.0815773+0.016922j)
60,2638000000.0,(-0.08067322+0.01668167j)
61,2640300000.0,(-0.08070374+0.01646042j)
62,2642600000.0,(-0.08074951+0.01609039j)
63,2644900000.0,(-0.08116531+0.0160408j)
64,2647200000.0,(-0.08198929+0.01588058j)
65,2649500000.0,(-0.08218384+0.01588058j)
66,2651800000.0,(-0.08268738+0.01627731j)
67,2654100000.0,(-0.08475113+0.01551056j)
68,2656400000.0,(-0.08552933+0.01674271j)
69,2658700000.0,(-0.08659363+0.01800156j)
70,2661000000.0,(-0.08680344+0.01937103j)
71,2663300000.0,(-0.08816147+0.02047729j)
72,2665600000.0,(-0.08821487+0.02204132j)
73,2667900000.0,(-0.08887863+0.02160645j)
74,2670200000.0,(-0.08964157+0.02413559j)
75,2672500000.0,(-0.08973312+0.02606583j)
76,2674800000.0,(-0.08927536+0.02727509j)
77,2677100000.0,(-0.08885193+0.02861023j)
78,2679400000.0,(-0.08893967+0.030056j)
79,2681700000.0,(-0.08798981+0.03059769j)
80,2684000000.0,(-0.08851242+0.03165817j)
81,2686300000.0,(-0.08804321+0.03266907j)
82,2688600000.0,(-0.08722305+0.0341568j)
83,2690900000.0,(-0.08638382+0.03474426j)
84,2693200000.0,(-0.08499527+0.03497314j)
85,2695500000.0,(-0.0847168+0.03521729j)
86,2697800000.0,(-0.08586121+0.03544998j)
87,2700100000.0,(-0.08630371+0.03626633j)
88,2702400000.0,(-0.08655167+0.03770447j)
89,2704700000.0,(-0.08649826+0.03895569j)
90,2707000000.0,(-0.0868721+0.04032898j)
91,2709300000.0,(-0.0862999+0.04064941j)
92,2711600000.0,(-0.08634567+0.04178238j)
93,2713900000.0,(-0.08566284+0.0438118j)
94,2716200000.0,(-0.0844574+0.04441833j)
95,2718500000.0,(-0.08444214+0.0452652j)
96,2720800000.0,(-0.08241272+0.0450058j)
