,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07194901-0.03761673j)
1,2502300000.0,(-0.07460785-0.03733063j)
2,2504600000.0,(-0.07642365-0.03574753j)
3,2506900000.0,(-0.07775497-0.03455353j)
4,2509200000.0,(-0.07860947-0.03368759j)
5,2511500000.0,(-0.08045959-0.03151703j)
6,2513800000.0,(-0.08034134-0.02772522j)
7,2516100000.0,(-0.08065414-0.02577972j)
8,2518400000.0,(-0.07973862-0.02402878j)
9,2520700000.0,(-0.07817078-0.02263641j)
10,2523000000.0,(-0.07686615-0.02174759j)
11,2525300000.0,(-0.075634-0.02166748j)
12,2527600000.0,(-0.07427216-0.02032471j)
13,2529900000.0,(-0.07310486-0.02183914j)
14,2532200000.0,(-0.07328415-0.02189636j)
15,2534500000.0,(-0.07326126-0.02292633j)
16,2536800000.0,(-0.0728302-0.02384949j)
17,2539100000.0,(-0.07365036-0.02524567j)
18,2541400000.0,(-0.0737648-0.02593994j)
19,2543700000.0,(-0.07580948-0.02666473j)
20,2546000000.0,(-0.07749176-0.02730179j)
21,2548300000.0,(-0.07924271-0.02708054j)
22,2550600000.0,(-0.08109665-0.02643204j)
23,2552900000.0,(-0.08361816-0.02505493j)
24,2555200000.0,(-0.08601379-0.02386475j)
25,2557500000.0,(-0.08774948-0.0213089j)
26,2559800000.0,(-0.08869934-0.01860428j)
27,2562100000.0,(-0.08948517-0.01568985j)
28,2564400000.0,(-0.08851624-0.0128746j)
29,2566700000.0,(-0.08773041-0.009319305j)
30,2569000000.0,(-0.08533096-0.007339478j)
31,2571300000.0,(-0.08321381-0.006736755j)
32,2573600000.0,(-0.08156586-0.005249023j)
33,2575900000.0,(-0.08005524-0.005867004j)
34,2578200000.0,(-0.07846451-0.006137848j)
35,2580500000.0,(-0.07714844-0.007011414j)
36,2582800000.0,(-0.07673264-0.0079422j)
37,2585100000.0,(-0.07635498-0.009403229j)
38,2587400000.0,(-0.07669449-0.01052856j)
39,2589700000.0,(-0.07733917-0.01210022j)
40,2592000000.0,(-0.0780983-0.0127449j)
41,2594300000.0,(-0.07927704-0.01399231j)
42,2596600000.0,(-0.0818367-0.01407623j)
43,2598900000.0,(-0.08375549-0.01337814j)
44,2601200000.0,(-0.08603668-0.01253128j)
45,2603500000.0,(-0.089077-0.01185608j)
46,2605800000.0,(-0.09156799-0.009185791j)
47,2608100000.0,(-0.09309387-0.006797791j)
48,2610400000.0,(-0.09378433-0.003330231j)
49,2612700000.0,(-0.09407806+0.00039291j)
50,2615000000.0,(-0.0933342+0.00323868j)
51,2617300000.0,(-0.09143066+0.00608444j)
52,2619600000.0,(-0.08916473+0.0080719j)
53,2621900000.0,(-0.08689117+0.00918198j)
54,2624200000.0,(-0.08413315+0.00989151j)
55,2626500000.0,(-0.08208847+0.01026535j)
56,2628800000.0,(-0.08053207+0.00996399j)
57,2631100000.0,(-0.07897568+0.00930786j)
58,2633400000.0,(-0.07899094+0.00796509j)
59,2635700000.0,(-0.07817078+0.00634003j)
60,2638000000.0,(-0.07801819+0.00506592j)
61,2640300000.0,(-0.07837677+0.00369644j)
62,2642600000.0,(-0.07949448+0.00299454j)
63,2644900000.0,(-0.08094788+0.00221252j)
64,2647200000.0,(-0.08245468+0.00136185j)
65,2649500000.0,(-0.084095+0.00112152j)
66,2651800000.0,(-0.08692932+0.00235367j)
67,2654100000.0,(-0.08949661+0.0032692j)
68,2656400000.0,(-0.09083557+0.00419998j)
69,2658700000.0,(-0.09272385+0.00596619j)
70,2661000000.0,(-0.09256363+0.0091362j)
71,2663300000.0,(-0.09376907+0.01255798j)
72,2665600000.0,(-0.09304428+0.0153923j)
73,2667900000.0,(-0.09316254+0.01666641j)
74,2670200000.0,(-0.09171295+0.01884842j)
75,2672500000.0,(-0.08943558+0.02009201j)
76,2674800000.0,(-0.08837509+0.02110672j)
77,2677100000.0,(-0.0871582+0.02125931j)
78,2679400000.0,(-0.08611298+0.02163315j)
79,2681700000.0,(-0.08490372+0.02103806j)
80,2684000000.0,(-0.08495331+0.02102661j)
81,2686300000.0,(-0.08542633+0.02013779j)
82,2688600000.0,(-0.08514786+0.01954269j)
83,2690900000.0,(-0.08611298+0.02031708j)
84,2693200000.0,(-0.08503723+0.02010345j)
85,2695500000.0,(-0.08668137+0.01949692j)
