,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07099915-0.03060532j)
1,2502300000.0,(-0.07215118-0.02949524j)
2,2504600000.0,(-0.07259369-0.02972412j)
3,2506900000.0,(-0.0719223-0.02965164j)
4,2509200000.0,(-0.07141113-0.03028488j)
5,2511500000.0,(-0.07265854-0.03078842j)
6,2513800000.0,(-0.07331467-0.03011703j)
7,2516100000.0,(-0.07344055-0.02976608j)
8,2518400000.0,(-0.07407761-0.02975464j)
9,2520700000.0,(-0.07464218-0.02901459j)
10,2523000000.0,(-0.07514954-0.02863312j)
11,2525300000.0,(-0.07556152-0.02880859j)
12,2527600000.0,(-0.07610321-0.02772522j)
13,2529900000.0,(-0.07711411-0.02816391j)
14,2532200000.0,(-0.07805252-0.02679825j)
15,2534500000.0,(-0.07899094-0.02634811j)
16,2536800000.0,(-0.0790062-0.02519226j)
17,2539100000.0,(-0.08043671-0.02505493j)
18,2541400000.0,(-0.07979965-0.02368927j)
19,2543700000.0,(-0.08161545-0.02262115j)
20,2546000000.0,(-0.08185577-0.02161026j)
21,2548300000.0,(-0.08133316-0.02087784j)
22,2550600000.0,(-0.08137512-0.01922226j)
23,2552900000.0,(-0.08229446-0.01832581j)
24,2555200000.0,(-0.0818634-0.01774597j)
25,2557500000.0,(-0.08171082-0.01602173j)
26,2559800000.0,(-0.08148193-0.01633453j)
27,2562100000.0,(-0.08221054-0.01544189j)
28,2564400000.0,(-0.0815239-0.01454926j)
29,2566700000.0,(-0.08211899-0.0138855j)
30,2569000000.0,(-0.08197403-0.01364517j)
31,2571300000.0,(-0.08150101-0.01334j)
32,2573600000.0,(-0.08177185-0.01255035j)
33,2575900000.0,(-0.08132172-0.01272964j)
34,2578200000.0,(-0.08169174-0.01194382j)
35,2580500000.0,(-0.08164215-0.01170349j)
36,2582800000.0,(-0.08195114-0.0112915j)
37,2585100000.0,(-0.08262634-0.01102066j)
38,2587400000.0,(-0.08317947-0.01008987j)
39,2589700000.0,(-0.08353424-0.01033401j)
40,2592000000.0,(-0.08407974-0.009845734j)
41,2594300000.0,(-0.08436203-0.00888443j)
42,2596600000.0,(-0.08597565-0.00844574j)
43,2598900000.0,(-0.08536148-0.007102966j)
44,2601200000.0,(-0.08612061-0.0066185j)
45,2603500000.0,(-0.08565521-0.005378723j)
46,2605800000.0,(-0.0868187-0.003543854j)
47,2608100000.0,(-0.0870018-0.003204346j)
48,2610400000.0,(-0.08672333-0.001598358j)
49,2612700000.0,(-0.08679962-0.0007247925j)
50,2615000000.0,(-0.08662033+0.0003624j)
51,2617300000.0,(-0.08603668+0.00121307j)
52,2619600000.0,(-0.08591843+0.00234604j)
53,2621900000.0,(-0.08543777+0.00309753j)
54,2624200000.0,(-0.08539963+0.0034523j)
55,2626500000.0,(-0.08499527+0.00410461j)
56,2628800000.0,(-0.08433533+0.00472641j)
57,2631100000.0,(-0.08384705+0.00615692j)
58,2633400000.0,(-0.08341217+0.00564957j)
59,2635700000.0,(-0.08428574+0.0059166j)
60,2638000000.0,(-0.08380127+0.00601196j)
61,2640300000.0,(-0.08363342+0.00667191j)
62,2642600000.0,(-0.08399963+0.00720596j)
63,2644900000.0,(-0.08422089+0.00738525j)
64,2647200000.0,(-0.08430481+0.00753784j)
65,2649500000.0,(-0.08475113+0.00770187j)
66,2651800000.0,(-0.08441925+0.00905991j)
67,2654100000.0,(-0.08554077+0.00898361j)
68,2656400000.0,(-0.08495712+0.00917816j)
69,2658700000.0,(-0.08571243+0.01033783j)
70,2661000000.0,(-0.08599091+0.00977707j)
71,2663300000.0,(-0.08725357+0.01092911j)
72,2665600000.0,(-0.08683395+0.01159286j)
73,2667900000.0,(-0.08791351+0.01132584j)
74,2670200000.0,(-0.08827972+0.01257324j)
75,2672500000.0,(-0.08844376+0.01377869j)
76,2674800000.0,(-0.08921432+0.01431656j)
77,2677100000.0,(-0.09006119+0.01495743j)
78,2679400000.0,(-0.09005356+0.01636124j)
79,2681700000.0,(-0.09070587+0.01768875j)
80,2684000000.0,(-0.09139252+0.01902771j)
81,2686300000.0,(-0.09223938+0.02077866j)
82,2688600000.0,(-0.09093857+0.02168655j)
83,2690900000.0,(-0.0915451+0.0233345j)
84,2693200000.0,(-0.09006882+0.02484131j)
85,2695500000.0,(-0.08969498+0.02590561j)
86,2697800000.0,(-0.08922958+0.02621841j)
87,2700100000.0,(-0.08937073+0.02725601j)
88,2702400000.0,(-0.08938599+0.0286293j)
89,2704700000.0,(-0.08839798+0.02999115j)
90,2707000000.0,(-0.0877533+0.03028488j)
91,2709300000.0,(-0.08631134+0.03168106j)
92,2711600000.0,(-0.08657074+0.03206253j)
