,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.0725708-0.0160675j)
1,2502300000.0,(-0.07229233-0.01575851j)
2,2504600000.0,(-0.07167816-0.01683044j)
3,2506900000.0,(-0.07300568-0.01842117j)
4,2509200000.0,(-0.07470703-0.01806259j)
5,2511500000.0,(-0.07586288-0.01707458j)
6,2513800000.0,(-0.07566071-0.01615524j)
7,2516100000.0,(-0.07651901-0.01572037j)
8,2518400000.0,(-0.07671356-0.01558685j)
9,2520700000.0,(-0.07738876-0.01504135j)
10,2523000000.0,(-0.07775879-0.01462936j)
11,2525300000.0,(-0.07814407-0.01427841j)
12,2527600000.0,(-0.0788269-0.01244354j)
13,2529900000.0,(-0.07938004-0.01308441j)
14,2532200000.0,(-0.08031845-0.01110458j)
15,2534500000.0,(-0.080513-0.01082993j)
16,2536800000.0,(-0.08107758-0.01041031j)
17,2539100000.0,(-0.08178329-0.009223938j)
18,2541400000.0,(-0.08191681-0.008415222j)
19,2543700000.0,(-0.08268738-0.006790161j)
20,2546000000.0,(-0.08272552-0.006336212j)
21,2548300000.0,(-0.08270264-0.005588531j)
22,2550600000.0,(-0.08246994-0.004077911j)
23,2552900000.0,(-0.08317184-0.002796173j)
24,2555200000.0,(-0.08294678-0.002361298j)
25,2557500000.0,(-0.08255768-0.001125336j)
26,2559800000.0,(-0.08245468-0.000957489j)
27,2562100000.0,(-0.08259201+0.00056839j)
28,2564400000.0,(-0.08253098+0.00012207j)
29,2566700000.0,(-0.08243942+0.00157928j)
30,2569000000.0,(-0.08161545+0.00174713j)
31,2571300000.0,(-0.08176041+0.00284576j)
32,2573600000.0,(-0.08228683+0.00312424j)
33,2575900000.0,(-0.08238983+0.00324249j)
34,2578200000.0,(-0.08259583+0.00350571j)
35,2580500000.0,(-0.08259583+0.00401688j)
36,2582800000.0,(-0.08314514+0.00432205j)
37,2585100000.0,(-0.0831604+0.00463104j)
38,2587400000.0,(-0.08377838+0.00580597j)
39,2589700000.0,(-0.08421707+0.00538635j)
40,2592000000.0,(-0.085289+0.00709534j)
41,2594300000.0,(-0.08530426+0.0071106j)
42,2596600000.0,(-0.08604431+0.0091362j)
43,2598900000.0,(-0.08641434+0.0104599j)
44,2601200000.0,(-0.08690262+0.01091385j)
45,2603500000.0,(-0.08634949+0.01147461j)
46,2605800000.0,(-0.08699417+0.01356888j)
47,2608100000.0,(-0.0866127+0.01469803j)
48,2610400000.0,(-0.08654404+0.01560593j)
49,2612700000.0,(-0.08605194+0.01667023j)
50,2615000000.0,(-0.08620453+0.01735306j)
51,2617300000.0,(-0.08510971+0.01904297j)
52,2619600000.0,(-0.08493423+0.01977158j)
53,2621900000.0,(-0.08481216+0.02019501j)
54,2624200000.0,(-0.0843811+0.01976013j)
55,2626500000.0,(-0.08296585+0.02151489j)
56,2628800000.0,(-0.0836525+0.02169418j)
57,2631100000.0,(-0.08309937+0.02258301j)
58,2633400000.0,(-0.08329391+0.02319717j)
59,2635700000.0,(-0.08326721+0.02275848j)
60,2638000000.0,(-0.0828743+0.0234108j)
61,2640300000.0,(-0.08321762+0.02433014j)
62,2642600000.0,(-0.08287048+0.02448654j)
63,2644900000.0,(-0.08314133+0.02473068j)
64,2647200000.0,(-0.08312225+0.02475357j)
65,2649500000.0,(-0.08319473+0.02642441j)
66,2651800000.0,(-0.08289719+0.02630615j)
67,2654100000.0,(-0.08384323+0.02755737j)
68,2656400000.0,(-0.084198+0.02722549j)
69,2658700000.0,(-0.085495+0.02796173j)
70,2661000000.0,(-0.08477783+0.0287056j)
71,2663300000.0,(-0.08543777+0.02977753j)
72,2665600000.0,(-0.08577728+0.03078079j)
73,2667900000.0,(-0.08615494+0.03051758j)
74,2670200000.0,(-0.08691788+0.03218079j)
75,2672500000.0,(-0.08702087+0.03347778j)
76,2674800000.0,(-0.08760834+0.03372955j)
77,2677100000.0,(-0.08782196+0.03504181j)
78,2679400000.0,(-0.08755112+0.03553772j)
79,2681700000.0,(-0.08800507+0.03855515j)
80,2684000000.0,(-0.0882988+0.03934479j)
81,2686300000.0,(-0.08952332+0.04216385j)
82,2688600000.0,(-0.08819962+0.04304123j)
83,2690900000.0,(-0.08757019+0.04458618j)
84,2693200000.0,(-0.0858078+0.04539108j)
85,2695500000.0,(-0.08613968+0.04608536j)
86,2697800000.0,(-0.08640671+0.04705429j)
87,2700100000.0,(-0.08535004+0.04875183j)
88,2702400000.0,(-0.08483887+0.05040741j)
89,2704700000.0,(-0.08400345+0.05174637j)
90,2707000000.0,(-0.08249283+0.05204391j)
91,2709300000.0,(-0.08148956+0.0531044j)
92,2711600000.0,(-0.08179092+0.05330276j)
93,2713900000.0,(-0.08134079+0.05384064j)
94,2716200000.0,(-0.07991409+0.05376434j)
95,2718500000.0,(-0.07935715+0.05440903j)
96,2720800000.0,(-0.0791626+0.05381775j)
97,2723100000.0,(-0.07881165+0.05501556j)
98,2725400000.0,(-0.07902527+0.05500793j)
99,2727700000.0,(-0.07976532+0.05541229j)
100,2730000000.0,(-0.08044434+0.05623245j)
101,2732300000.0,(-0.08044434+0.05718994j)
102,2734600000.0,(-0.08025742+0.05887222j)
103,2736900000.0,(-0.08048248+0.06019592j)
104,2739200000.0,(-0.08102798+0.06060028j)
105,2741500000.0,(-0.08015442+0.06219482j)
106,2743800000.0,(-0.08011627+0.06436539j)
107,2746100000.0,(-0.08141327+0.06600571j)
108,2748400000.0,(-0.07978821+0.06769943j)
109,2750700000.0,(-0.07954788+0.06872559j)
110,2753000000.0,(-0.0791626+0.07116699j)
111,2755300000.0,(-0.07809067+0.07257462j)
112,2757600000.0,(-0.07678604+0.07369614j)
113,2759900000.0,(-0.07440948+0.07449341j)
114,2762200000.0,(-0.07420349+0.07600403j)
115,2764500000.0,(-0.0721817+0.07678604j)
116,2766800000.0,(-0.07133865+0.07696533j)
117,2769100000.0,(-0.0695076+0.07840347j)
118,2771400000.0,(-0.06956482+0.07814789j)
