,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07600021-0.02744293j)
1,2502300000.0,(-0.07653046-0.02607346j)
2,2504600000.0,(-0.07609558-0.02678299j)
3,2506900000.0,(-0.07578278-0.02718353j)
4,2509200000.0,(-0.07675552-0.02770233j)
5,2511500000.0,(-0.07761383-0.02753448j)
6,2513800000.0,(-0.07798004-0.02642059j)
7,2516100000.0,(-0.07810593-0.02629471j)
8,2518400000.0,(-0.07811737-0.02648163j)
9,2520700000.0,(-0.07914734-0.02584076j)
10,2523000000.0,(-0.0794487-0.02606583j)
11,2525300000.0,(-0.08024216-0.02591705j)
12,2527600000.0,(-0.08061981-0.02510834j)
13,2529900000.0,(-0.08095932-0.02560425j)
14,2532200000.0,(-0.08299255-0.02409363j)
15,2534500000.0,(-0.0840683-0.02342224j)
16,2536800000.0,(-0.08416367-0.02316284j)
17,2539100000.0,(-0.08507156-0.02243423j)
18,2541400000.0,(-0.08573914-0.02037811j)
19,2543700000.0,(-0.08682632-0.01952744j)
20,2546000000.0,(-0.08715439-0.01863098j)
21,2548300000.0,(-0.08694839-0.01737595j)
22,2550600000.0,(-0.0868187-0.01564026j)
23,2552900000.0,(-0.08773041-0.0144577j)
24,2555200000.0,(-0.08777618-0.01406479j)
25,2557500000.0,(-0.08669662-0.01239395j)
26,2559800000.0,(-0.08684158-0.01161194j)
27,2562100000.0,(-0.08726501-0.01029587j)
28,2564400000.0,(-0.08634949-0.01086807j)
29,2566700000.0,(-0.08662796-0.009044647j)
30,2569000000.0,(-0.08625031-0.009605408j)
31,2571300000.0,(-0.08564377-0.008808136j)
32,2573600000.0,(-0.08591461-0.008663177j)
33,2575900000.0,(-0.08618164-0.00831604j)
34,2578200000.0,(-0.08687973-0.008365631j)
35,2580500000.0,(-0.0867157-0.008102417j)
36,2582800000.0,(-0.08740234-0.007675171j)
37,2585100000.0,(-0.08758545-0.007263184j)
38,2587400000.0,(-0.08856583-0.006755829j)
39,2589700000.0,(-0.08908081-0.007030487j)
40,2592000000.0,(-0.08972549-0.005958557j)
41,2594300000.0,(-0.0908432-0.004619598j)
42,2596600000.0,(-0.09170532-0.002624512j)
43,2598900000.0,(-0.09234238-0.001026154j)
44,2601200000.0,(-0.09220505-0.0007286072j)
45,2603500000.0,(-0.09188843-0.0003013611j)
46,2605800000.0,(-0.09291077+0.00180435j)
47,2608100000.0,(-0.09294128+0.00269699j)
48,2610400000.0,(-0.09251022+0.00360107j)
49,2612700000.0,(-0.09220886+0.00487137j)
50,2615000000.0,(-0.09254074+0.00584412j)
51,2617300000.0,(-0.09155655+0.00671387j)
52,2619600000.0,(-0.09088135+0.00777817j)
53,2621900000.0,(-0.0907135+0.00846481j)
54,2624200000.0,(-0.09114456+0.00786972j)
55,2626500000.0,(-0.09035492+0.00997543j)
56,2628800000.0,(-0.08955765+0.00930786j)
57,2631100000.0,(-0.08959198+0.01084518j)
58,2633400000.0,(-0.08934784+0.01095581j)
59,2635700000.0,(-0.08999634+0.0116272j)
60,2638000000.0,(-0.08991241+0.01167297j)
61,2640300000.0,(-0.09009933+0.01254272j)
62,2642600000.0,(-0.08988571+0.01287079j)
63,2644900000.0,(-0.0903244+0.0136795j)
64,2647200000.0,(-0.09000397+0.0137558j)
65,2649500000.0,(-0.09066772+0.01403046j)
66,2651800000.0,(-0.09030914+0.01463318j)
67,2654100000.0,(-0.09075928+0.01627731j)
68,2656400000.0,(-0.09101868+0.01575851j)
69,2658700000.0,(-0.09197998+0.01622391j)
70,2661000000.0,(-0.09197998+0.01698303j)
71,2663300000.0,(-0.0923996+0.01754379j)
72,2665600000.0,(-0.09215164+0.01898193j)
73,2667900000.0,(-0.09341431+0.01793289j)
74,2670200000.0,(-0.09394836+0.01961517j)
75,2672500000.0,(-0.09422302+0.02013016j)
76,2674800000.0,(-0.09509277+0.02099991j)
77,2677100000.0,(-0.09566879+0.02183914j)
78,2679400000.0,(-0.09648895+0.02259445j)
79,2681700000.0,(-0.09589005+0.02546692j)
80,2684000000.0,(-0.09710312+0.02597427j)
81,2686300000.0,(-0.09737778+0.02902985j)
82,2688600000.0,(-0.09758759+0.03025436j)
83,2690900000.0,(-0.09740448+0.03163528j)
84,2693200000.0,(-0.09618378+0.03248978j)
85,2695500000.0,(-0.09615326+0.0345192j)
86,2697800000.0,(-0.09525299+0.0356636j)
87,2700100000.0,(-0.09497452+0.03659058j)
88,2702400000.0,(-0.0946312+0.03809738j)
89,2704700000.0,(-0.09457779+0.03929901j)
90,2707000000.0,(-0.09260178+0.04025269j)
91,2709300000.0,(-0.09172821+0.04039001j)
92,2711600000.0,(-0.09169388+0.04190445j)
93,2713900000.0,(-0.0904541+0.04312897j)
94,2716200000.0,(-0.08933258+0.04288864j)
95,2718500000.0,(-0.08939743+0.0418129j)
96,2720800000.0,(-0.08905792+0.04252243j)
97,2723100000.0,(-0.0891304+0.04336929j)
98,2725400000.0,(-0.08974075+0.04310989j)
99,2727700000.0,(-0.09025574+0.04285812j)
100,2730000000.0,(-0.09085083+0.0432663j)
101,2732300000.0,(-0.09099579+0.04447174j)
102,2734600000.0,(-0.09135056+0.04530334j)
103,2736900000.0,(-0.09189987+0.04670334j)
104,2739200000.0,(-0.09234619+0.04700089j)
105,2741500000.0,(-0.09311295+0.04855728j)
106,2743800000.0,(-0.09267426+0.05088425j)
107,2746100000.0,(-0.09417343+0.05233383j)
108,2748400000.0,(-0.09287643+0.05451202j)
109,2750700000.0,(-0.09337234+0.05594635j)
110,2753000000.0,(-0.09196472+0.0577774j)
111,2755300000.0,(-0.09237671+0.05944824j)
112,2757600000.0,(-0.09024811+0.06128693j)
113,2759900000.0,(-0.08872223+0.06184769j)
114,2762200000.0,(-0.08853149+0.06244659j)
115,2764500000.0,(-0.08700562+0.06410217j)
116,2766800000.0,(-0.08541107+0.06401062j)
117,2769100000.0,(-0.08432007+0.06532288j)
118,2771400000.0,(-0.08359528+0.06545258j)
119,2773700000.0,(-0.08355713+0.06530762j)
120,2776000000.0,(-0.08177185+0.06517792j)
121,2778300000.0,(-0.08236694+0.06494904j)
