,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07514191-0.02727509j)
1,2502300000.0,(-0.07582855-0.02632523j)
2,2504600000.0,(-0.07621765-0.02677536j)
3,2506900000.0,(-0.07521439-0.02669144j)
4,2509200000.0,(-0.07627106-0.02732468j)
5,2511500000.0,(-0.07741547-0.0279007j)
6,2513800000.0,(-0.07862091-0.02690887j)
7,2516100000.0,(-0.07862091-0.02596283j)
8,2518400000.0,(-0.07907486-0.02632141j)
9,2520700000.0,(-0.07941437-0.02521133j)
10,2523000000.0,(-0.08029175-0.02547073j)
11,2525300000.0,(-0.08078384-0.02471542j)
12,2527600000.0,(-0.0810585-0.02372742j)
13,2529900000.0,(-0.08231735-0.02399445j)
14,2532200000.0,(-0.0835228-0.0226593j)
15,2534500000.0,(-0.08433533-0.02208328j)
16,2536800000.0,(-0.08481979-0.02222061j)
17,2539100000.0,(-0.08534622-0.02084732j)
18,2541400000.0,(-0.08594894-0.02043915j)
19,2543700000.0,(-0.08724976-0.01872253j)
20,2546000000.0,(-0.0865593-0.01712799j)
21,2548300000.0,(-0.08648682-0.01642227j)
22,2550600000.0,(-0.08675766-0.01525879j)
23,2552900000.0,(-0.08734894-0.01411438j)
24,2555200000.0,(-0.08690643-0.01357651j)
25,2557500000.0,(-0.08696747-0.01185608j)
26,2559800000.0,(-0.08724594-0.01065445j)
27,2562100000.0,(-0.08758926-0.0105896j)
28,2564400000.0,(-0.08592224-0.01019287j)
29,2566700000.0,(-0.08638763-0.009613037j)
30,2569000000.0,(-0.08706284-0.008831024j)
31,2571300000.0,(-0.08616257-0.008209229j)
32,2573600000.0,(-0.08655167-0.007946014j)
33,2575900000.0,(-0.08705902-0.007606506j)
34,2578200000.0,(-0.0870018-0.006958008j)
35,2580500000.0,(-0.08702087-0.006885529j)
36,2582800000.0,(-0.08763123-0.006584167j)
37,2585100000.0,(-0.08783722-0.006263733j)
38,2587400000.0,(-0.08839798-0.005470276j)
39,2589700000.0,(-0.08831406-0.005386353j)
40,2592000000.0,(-0.09019089-0.004291534j)
41,2594300000.0,(-0.08978271-0.004077911j)
42,2596600000.0,(-0.09132004-0.002670288j)
43,2598900000.0,(-0.09178543-0.001636505j)
44,2601200000.0,(-0.09212494-0.0003089905j)
45,2603500000.0,(-0.09342957-0.0003509521j)
46,2605800000.0,(-0.0929451+0.00235748j)
47,2608100000.0,(-0.09241104+0.00315094j)
48,2610400000.0,(-0.09284592+0.00408173j)
49,2612700000.0,(-0.092556+0.00515366j)
50,2615000000.0,(-0.09276581+0.00586319j)
51,2617300000.0,(-0.09222412+0.00743866j)
52,2619600000.0,(-0.09088898+0.00889206j)
53,2621900000.0,(-0.09117508+0.00942993j)
54,2624200000.0,(-0.09064102+0.00883102j)
55,2626500000.0,(-0.09017181+0.0104599j)
56,2628800000.0,(-0.09069824+0.01169586j)
57,2631100000.0,(-0.09040451+0.01232529j)
58,2633400000.0,(-0.08966064+0.01219559j)
59,2635700000.0,(-0.08947372+0.0124855j)
60,2638000000.0,(-0.08979034+0.01300049j)
61,2640300000.0,(-0.0893631+0.01334381j)
62,2642600000.0,(-0.08944702+0.01433182j)
63,2644900000.0,(-0.09001923+0.01452637j)
64,2647200000.0,(-0.09064865+0.01536179j)
65,2649500000.0,(-0.09039688+0.0154686j)
66,2651800000.0,(-0.09005356+0.01542282j)
67,2654100000.0,(-0.0916214+0.01537704j)
68,2656400000.0,(-0.09089279+0.01595306j)
69,2658700000.0,(-0.09225464+0.01672745j)
70,2661000000.0,(-0.0920105+0.0175209j)
71,2663300000.0,(-0.09238815+0.01893234j)
72,2665600000.0,(-0.09296417+0.01983643j)
73,2667900000.0,(-0.0938797+0.0196991j)
74,2670200000.0,(-0.09456253+0.02047348j)
75,2672500000.0,(-0.09489822+0.02128601j)
76,2674800000.0,(-0.09503937+0.02259064j)
77,2677100000.0,(-0.09612274+0.02368546j)
78,2679400000.0,(-0.09675598+0.0247345j)
79,2681700000.0,(-0.09592056+0.0264473j)
80,2684000000.0,(-0.09733963+0.02820969j)
81,2686300000.0,(-0.0983696+0.03059006j)
82,2688600000.0,(-0.09710312+0.03105927j)
83,2690900000.0,(-0.09662247+0.03280258j)
84,2693200000.0,(-0.09601212+0.03375626j)
85,2695500000.0,(-0.09474564+0.03578186j)
86,2697800000.0,(-0.09527206+0.03625488j)
87,2700100000.0,(-0.09491348+0.03767014j)
88,2702400000.0,(-0.0941658+0.03907776j)
89,2704700000.0,(-0.09405136+0.04008484j)
90,2707000000.0,(-0.09283066+0.04059219j)
91,2709300000.0,(-0.09192657+0.04145432j)
92,2711600000.0,(-0.09243011+0.04263687j)
93,2713900000.0,(-0.09124374+0.04349899j)
94,2716200000.0,(-0.08959579+0.04297256j)
95,2718500000.0,(-0.09027863+0.04299927j)
96,2720800000.0,(-0.08936691+0.04384995j)
97,2723100000.0,(-0.08998108+0.04414749j)
98,2725400000.0,(-0.08898544+0.04449844j)
99,2727700000.0,(-0.08981323+0.04504776j)
100,2730000000.0,(-0.09045792+0.04483414j)
101,2732300000.0,(-0.09052277+0.04603577j)
102,2734600000.0,(-0.09090805+0.04708481j)
103,2736900000.0,(-0.09163284+0.04763794j)
104,2739200000.0,(-0.09187317+0.04842377j)
105,2741500000.0,(-0.09137344+0.04961395j)
106,2743800000.0,(-0.09296036+0.05126572j)
107,2746100000.0,(-0.09371948+0.05311966j)
108,2748400000.0,(-0.09167099+0.05501938j)
109,2750700000.0,(-0.09157562+0.05613708j)
110,2753000000.0,(-0.0915947+0.05941772j)
111,2755300000.0,(-0.09134293+0.06004333j)
112,2757600000.0,(-0.09063721+0.06188965j)
113,2759900000.0,(-0.08829117+0.06250763j)
114,2762200000.0,(-0.08876801+0.06394196j)
115,2764500000.0,(-0.08675385+0.06538391j)
116,2766800000.0,(-0.08625793+0.06542206j)
117,2769100000.0,(-0.08486938+0.06620789j)
118,2771400000.0,(-0.08410645+0.06748581j)
119,2773700000.0,(-0.08217239+0.06711197j)
120,2776000000.0,(-0.08239365+0.06739044j)
121,2778300000.0,(-0.08140945+0.06676483j)
122,2780600000.0,(-0.08152771+0.06784821j)
123,2782900000.0,(-0.0814743+0.06603241j)
124,2785200000.0,(-0.08161163+0.06719589j)
125,2787500000.0,(-0.08312225+0.06770706j)
126,2789800000.0,(-0.08246231+0.06791687j)
127,2792100000.0,(-0.08322525+0.06918335j)
128,2794400000.0,(-0.08300018+0.06988907j)
129,2796700000.0,(-0.08447647+0.07080841j)
130,2799000000.0,(-0.08413696+0.07209778j)
131,2801300000.0,(-0.08471298+0.07452774j)
132,2803600000.0,(-0.08441544+0.0747261j)
133,2805900000.0,(-0.08626175+0.07779694j)
134,2808200000.0,(-0.08594894+0.07910156j)
135,2810500000.0,(-0.0833931+0.0807724j)
136,2812800000.0,(-0.08354568+0.08382034j)
137,2815100000.0,(-0.08348465+0.08480453j)
138,2817400000.0,(-0.08164597+0.08742142j)
139,2819700000.0,(-0.08005524+0.08890533j)
140,2822000000.0,(-0.08034515+0.09103012j)
141,2824300000.0,(-0.07777023+0.09247971j)
142,2826600000.0,(-0.07674026+0.09289551j)
143,2828900000.0,(-0.07587814+0.0937233j)
144,2831200000.0,(-0.07373047+0.09460449j)
145,2833500000.0,(-0.07375336+0.09622955j)
146,2835800000.0,(-0.0709343+0.09640121j)
147,2838100000.0,(-0.071064+0.09575272j)
148,2840400000.0,(-0.06974792+0.09738922j)
149,2842700000.0,(-0.06881332+0.09844208j)
150,2845000000.0,(-0.06951904+0.09940338j)
151,2847300000.0,(-0.06721497+0.09924698j)
152,2849600000.0,(-0.06790161+0.1003609j)
153,2851900000.0,(-0.06728745+0.1009979j)
154,2854200000.0,(-0.06678009+0.1030579j)
155,2856500000.0,(-0.06533051+0.1029854j)
156,2858800000.0,(-0.06579208+0.1038971j)
157,2861100000.0,(-0.06460953+0.1062431j)
158,2863400000.0,(-0.0630188+0.1082649j)
159,2865700000.0,(-0.06079865+0.109726j)
160,2868000000.0,(-0.06082916+0.1107254j)
161,2870300000.0,(-0.0588913+0.111927j)
162,2872600000.0,(-0.05807114+0.1114655j)
163,2874900000.0,(-0.0552597+0.1133614j)
164,2877200000.0,(-0.052845+0.1113205j)
165,2879500000.0,(-0.05408478+0.1079788j)
166,2881800000.0,(-0.05680084+0.1115227j)
167,2884100000.0,(-0.05693054+0.1133156j)
168,2886400000.0,(-0.05421066+0.1170654j)
169,2888700000.0,(-0.05340195+0.1161919j)
170,2891000000.0,(-0.05120468+0.1178665j)
171,2893300000.0,(-0.05025101+0.1191483j)
172,2895600000.0,(-0.04940796+0.1208954j)
173,2897900000.0,(-0.04918671+0.1226768j)
174,2900200000.0,(-0.04698181+0.1225014j)
175,2902500000.0,(-0.04519272+0.1242332j)
176,2904800000.0,(-0.04345703+0.1257324j)
177,2907100000.0,(-0.04197693+0.1264038j)
178,2909400000.0,(-0.04075623+0.1274414j)
179,2911700000.0,(-0.03845978+0.1279526j)
180,2914000000.0,(-0.03704071+0.128212j)
181,2916300000.0,(-0.03523254+0.1294632j)
182,2918600000.0,(-0.03509521+0.1296082j)
183,2920900000.0,(-0.0313797+0.1304626j)
184,2923200000.0,(-0.03068542+0.1307907j)
185,2925500000.0,(-0.0296402+0.1307983j)
186,2927800000.0,(-0.02862549+0.1289597j)
187,2930100000.0,(-0.02836609+0.1315613j)
188,2932400000.0,(-0.02639771+0.1314011j)
189,2934700000.0,(-0.02560425+0.1319733j)
190,2937000000.0,(-0.02508545+0.1320496j)
191,2939300000.0,(-0.02429199+0.1318665j)
192,2941600000.0,(-0.02341461+0.1333542j)
193,2943900000.0,(-0.02248383+0.1348419j)
194,2946200000.0,(-0.02094269+0.1366272j)
195,2948500000.0,(-0.02104187+0.138092j)
196,2950800000.0,(-0.0193634+0.1395721j)
197,2953100000.0,(-0.01731873+0.1404877j)
198,2955400000.0,(-0.01646423+0.1434174j)
199,2957700000.0,(-0.01202393+0.1440887j)
200,2960000000.0,(-0.01156616+0.1477737j)
201,2962300000.0,(-0.008758545+0.1475525j)
202,2964600000.0,(-0.005897522+0.1478424j)
203,2966900000.0,(-0.002067566+0.1484604j)
204,2969200000.0,(0.0022278+0.1495819j)
205,2971500000.0,(0.0053635+0.1487885j)
206,2973800000.0,(0.0100327+0.1479416j)
207,2976100000.0,(0.0118256+0.1467438j)
208,2978400000.0,(0.0142365+0.1458206j)
209,2980700000.0,(0.015419+0.1448364j)
210,2983000000.0,(0.0195465+0.1424026j)
211,2985300000.0,(0.019165+0.1398468j)
212,2987600000.0,(0.0206528+0.1401596j)
213,2989900000.0,(0.0209122+0.1387634j)
214,2992200000.0,(0.021431+0.138855j)
215,2994500000.0,(0.0201797+0.1386032j)
216,2996800000.0,(0.0221024+0.1365509j)
217,2999100000.0,(0.0241699+0.1393661j)
218,3001400000.0,(0.023262+0.1379471j)
219,3003700000.0,(0.0231018+0.1386108j)
220,3006000000.0,(0.0234222+0.1399307j)
221,3008300000.0,(0.0257645+0.1411896j)
222,3010600000.0,(0.0270309+0.1435165j)
223,3012900000.0,(0.0283127+0.143219j)
224,3015200000.0,(0.0312347+0.1455002j)
225,3017500000.0,(0.0347672+0.1464386j)
226,3019800000.0,(0.0384216+0.1474457j)
227,3022100000.0,(0.0403595+0.1470795j)
228,3024400000.0,(0.0447617+0.1473007j)
229,3026700000.0,(0.048378+0.1461105j)
230,3029000000.0,(0.0512161+0.1455765j)
231,3031300000.0,(0.0546646+0.1444855j)
232,3033600000.0,(0.0571823+0.141922j)
233,3035900000.0,(0.0606995+0.1391602j)
234,3038200000.0,(0.0612183+0.1380157j)
235,3040500000.0,(0.0632629+0.1349869j)
236,3042800000.0,(0.0623016+0.1328049j)
237,3045100000.0,(0.0653229+0.1331253j)
238,3047400000.0,(0.0646896+0.1307526j)
239,3049700000.0,(0.0661697+0.1287537j)
240,3052000000.0,(0.0666962+0.1276321j)
241,3054300000.0,(0.0686035+0.1266937j)
242,3056600000.0,(0.0685806+0.1258392j)
243,3058900000.0,(0.0692978+0.1258087j)
244,3061200000.0,(0.07008362+0.1241074j)
245,3063500000.0,(0.06620789+0.1217651j)
246,3065800000.0,(0.0637054+0.1259689j)
247,3068100000.0,(0.0678101+0.1320572j)
248,3070400000.0,(0.0722961+0.1341476j)
249,3072700000.0,(0.0780487+0.1328659j)
250,3075000000.0,(0.080986+0.131218j)
251,3077300000.0,(0.0837784+0.1294098j)
252,3079600000.0,(0.0867767+0.1285019j)
253,3081900000.0,(0.0893631+0.1264343j)
254,3084200000.0,(0.09249115+0.1235886j)
255,3086500000.0,(0.09274292+0.1227112j)
256,3088800000.0,(0.09356689+0.1201172j)
257,3091100000.0,(0.09538269+0.119606j)
258,3093400000.0,(0.09777069+0.1176071j)
259,3095700000.0,(0.09670258+0.1166916j)
260,3098000000.0,(0.0998764+0.1137466j)
261,3100300000.0,(0.101799+0.1126251j)
262,3102600000.0,(0.1017914+0.1125183j)
263,3104900000.0,(0.1030045+0.1118317j)
264,3107200000.0,(0.1055069+0.1095734j)
265,3109500000.0,(0.106987+0.1077042j)
266,3111800000.0,(0.1090317+0.1062775j)
267,3114100000.0,(0.1113968+0.1047134j)
268,3116400000.0,(0.1132431+0.1023407j)
269,3118700000.0,(0.1149368+0.1002197j)
270,3121000000.0,(0.1165237+0.0980072j)
271,3123300000.0,(0.1182175+0.09593964j)
272,3125600000.0,(0.118454+0.09141541j)
273,3127900000.0,(0.1199722+0.08906555j)
274,3130200000.0,(0.1191635+0.08566284j)
275,3132500000.0,(0.1192474+0.08432007j)
276,3134800000.0,(0.1173859+0.08107758j)
277,3137100000.0,(0.1161652+0.07957458j)
278,3139400000.0,(0.115097+0.07932281j)
279,3141700000.0,(0.1150131+0.07720184j)
280,3144000000.0,(0.1134186+0.07736969j)
281,3146300000.0,(0.1134872+0.0770874j)
282,3148600000.0,(0.1135101+0.07615662j)
283,3150900000.0,(0.1130371+0.076828j)
284,3153200000.0,(0.1122208+0.07817841j)
285,3155500000.0,(0.1141357+0.0789032j)
286,3157800000.0,(0.1162949+0.07977295j)
287,3160100000.0,(0.1176987+0.07922363j)
288,3162400000.0,(0.1212769+0.07841492j)
289,3164700000.0,(0.1237411+0.07861328j)
290,3167000000.0,(0.1289139+0.0763931j)
291,3169300000.0,(0.1312714+0.0751266j)
292,3171600000.0,(0.1339035+0.0714188j)
293,3173900000.0,(0.1366882+0.0673218j)
294,3176200000.0,(0.1379166+0.0625076j)
295,3178500000.0,(0.1398392+0.0585632j)
296,3180800000.0,(0.1389313+0.0537415j)
297,3183100000.0,(0.1364441+0.0489349j)
298,3185400000.0,(0.1340637+0.0474548j)
299,3187700000.0,(0.1340866+0.0442505j)
300,3190000000.0,(0.1321716+0.041275j)
301,3192300000.0,(0.1294632+0.0389481j)
302,3194600000.0,(0.125618+0.0374908j)
303,3196900000.0,(0.1231995+0.03894806j)
304,3199200000.0,(0.1215439+0.03972626j)
305,3201500000.0,(0.1218643+0.04071808j)
306,3203800000.0,(0.1216736+0.04239655j)
307,3206100000.0,(0.1209641+0.04335022j)
308,3208400000.0,(0.1214523+0.04421997j)
309,3210700000.0,(0.122673+0.04484558j)
310,3213000000.0,(0.1261826+0.0457764j)
311,3215300000.0,(0.1276474+0.0459595j)
312,3217600000.0,(0.128746+0.0470123j)
313,3219900000.0,(0.1320801+0.0464096j)
314,3222200000.0,(0.1365891+0.0432281j)
315,3224500000.0,(0.1370087+0.0421219j)
316,3226800000.0,(0.1426239+0.0392456j)
317,3229100000.0,(0.1454697+0.0325165j)
318,3231400000.0,(0.1455231+0.0288773j)
319,3233700000.0,(0.1453171+0.0236969j)
320,3236000000.0,(0.144928+0.0191498j)
321,3238300000.0,(0.143692+0.0143509j)
322,3240600000.0,(0.1398392+0.0099945j)
323,3242900000.0,(0.1372528+0.0066605j)
324,3245200000.0,(0.1304855+0.0057449j)
325,3247500000.0,(0.1273575+0.0052948j)
326,3249800000.0,(0.1237183+0.00583649j)
327,3252100000.0,(0.1194458+0.01217651j)
328,3254400000.0,(0.1249924+0.01669312j)
329,3256700000.0,(0.1266251+0.0127792j)
330,3259000000.0,(0.1275406+0.0114822j)
331,3261300000.0,(0.1271057+0.0112305j)
332,3263600000.0,(0.1269455+0.0106354j)
333,3265900000.0,(0.1270676+0.0105591j)
334,3268200000.0,(0.1280746+0.0096817j)
335,3270500000.0,(0.1299896+0.0111542j)
336,3272800000.0,(0.1310654+0.0073776j)
337,3275100000.0,(0.1336212+0.0095673j)
338,3277400000.0,(0.1338577+0.0062408j)
339,3279700000.0,(0.1333084+0.0039291j)
340,3282000000.0,(0.1351471+0.002182j)
341,3284300000.0,(0.1341019+0.0001373j)
342,3286600000.0,(0.1340714-0.00163269j)
343,3288900000.0,(0.1346741-0.004821777j)
344,3291200000.0,(0.132782-0.006813049j)
345,3293500000.0,(0.1325684-0.008644104j)
346,3295800000.0,(0.1313477-0.01033783j)
347,3298100000.0,(0.1305771-0.01018524j)
348,3300400000.0,(0.1286469-0.01193237j)
349,3302700000.0,(0.1290512-0.01351929j)
350,3305000000.0,(0.1288376-0.01263428j)
