,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07617569-0.03457642j)
1,2502300000.0,(-0.07637405-0.03409195j)
2,2504600000.0,(-0.07595825-0.0343399j)
3,2506900000.0,(-0.07581711-0.03361511j)
4,2509200000.0,(-0.07596207-0.03382492j)
5,2511500000.0,(-0.07615662-0.03440094j)
6,2513800000.0,(-0.077034-0.03358459j)
7,2516100000.0,(-0.07701874-0.03283691j)
8,2518400000.0,(-0.07761383-0.0341568j)
9,2520700000.0,(-0.07842255-0.03307343j)
10,2523000000.0,(-0.07913589-0.03313828j)
11,2525300000.0,(-0.07947159-0.03266144j)
12,2527600000.0,(-0.08007813-0.03151321j)
13,2529900000.0,(-0.08135223-0.03204727j)
14,2532200000.0,(-0.08165741-0.03113556j)
15,2534500000.0,(-0.08322906-0.03123474j)
16,2536800000.0,(-0.08430099-0.02918625j)
17,2539100000.0,(-0.08482742-0.0286293j)
18,2541400000.0,(-0.08499908-0.02719116j)
19,2543700000.0,(-0.08629608-0.0270195j)
20,2546000000.0,(-0.0863266-0.02609253j)
21,2548300000.0,(-0.08618546-0.02473068j)
22,2550600000.0,(-0.08628464-0.02309418j)
23,2552900000.0,(-0.08706665-0.02219009j)
24,2555200000.0,(-0.08696747-0.02124023j)
25,2557500000.0,(-0.08658218-0.02016068j)
26,2559800000.0,(-0.08666229-0.01928711j)
27,2562100000.0,(-0.08646774-0.01823425j)
28,2564400000.0,(-0.08544922-0.01773834j)
29,2566700000.0,(-0.08639145-0.01712799j)
30,2569000000.0,(-0.08628464-0.01622009j)
31,2571300000.0,(-0.08599091-0.0163002j)
32,2573600000.0,(-0.08694458-0.01604843j)
33,2575900000.0,(-0.08679581-0.01543045j)
34,2578200000.0,(-0.08673096-0.01576233j)
35,2580500000.0,(-0.08654785-0.01497269j)
36,2582800000.0,(-0.0871315-0.01465988j)
37,2585100000.0,(-0.08755493-0.01447296j)
38,2587400000.0,(-0.08850861-0.01355743j)
39,2589700000.0,(-0.08879852-0.01379776j)
40,2592000000.0,(-0.08965683-0.01261902j)
41,2594300000.0,(-0.08906174-0.01220703j)
42,2596600000.0,(-0.09031296-0.0110054j)
43,2598900000.0,(-0.0908699-0.009731293j)
44,2601200000.0,(-0.09156799-0.008331299j)
45,2603500000.0,(-0.09206009-0.008407593j)
46,2605800000.0,(-0.09246445-0.007011414j)
47,2608100000.0,(-0.092556-0.005905151j)
48,2610400000.0,(-0.09247971-0.004302979j)
49,2612700000.0,(-0.09231186-0.003353119j)
50,2615000000.0,(-0.0920372-0.002780914j)
51,2617300000.0,(-0.09223175-0.001670837j)
52,2619600000.0,(-0.09144211+9.155e-05j)
53,2621900000.0,(-0.09186554-0.00025177j)
54,2624200000.0,(-0.09088898+0.0006218j)
55,2626500000.0,(-0.09049606+0.00193024j)
56,2628800000.0,(-0.0904541+0.00235367j)
57,2631100000.0,(-0.08999634+0.00338745j)
58,2633400000.0,(-0.090065+0.00341034j)
59,2635700000.0,(-0.09009171+0.00400543j)
60,2638000000.0,(-0.08997345+0.00434113j)
61,2640300000.0,(-0.08918381+0.00463867j)
62,2642600000.0,(-0.08979416+0.00505829j)
63,2644900000.0,(-0.09002304+0.00567245j)
64,2647200000.0,(-0.09010315+0.00556946j)
65,2649500000.0,(-0.08990479+0.00655365j)
