,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07429886-0.04683304j)
1,2502300000.0,(-0.0775528-0.04621887j)
2,2504600000.0,(-0.08011246-0.04623413j)
3,2506900000.0,(-0.08259201-0.04317474j)
4,2509200000.0,(-0.08501434-0.04137421j)
5,2511500000.0,(-0.08593369-0.03878403j)
6,2513800000.0,(-0.08623123-0.03476715j)
7,2516100000.0,(-0.08509827-0.03205872j)
8,2518400000.0,(-0.08446121-0.03046417j)
9,2520700000.0,(-0.08267212-0.02871323j)
10,2523000000.0,(-0.08093262-0.02803802j)
11,2525300000.0,(-0.07973099-0.02766037j)
12,2527600000.0,(-0.07781601-0.02726364j)
13,2529900000.0,(-0.0763588-0.02843857j)
14,2532200000.0,(-0.07605362-0.02878952j)
15,2534500000.0,(-0.07591248-0.02924347j)
16,2536800000.0,(-0.07580566-0.0308342j)
17,2539100000.0,(-0.07651901-0.03264618j)
18,2541400000.0,(-0.07764435-0.03412628j)
19,2543700000.0,(-0.07912445-0.034729j)
20,2546000000.0,(-0.07984543-0.03571701j)
21,2548300000.0,(-0.0831604-0.03575134j)
22,2550600000.0,(-0.08586884-0.03484344j)
23,2552900000.0,(-0.08926392-0.03399658j)
24,2555200000.0,(-0.09159851-0.03263855j)
25,2557500000.0,(-0.09378815-0.02907562j)
26,2559800000.0,(-0.09520721-0.02607727j)
27,2562100000.0,(-0.09564972-0.0221405j)
28,2564400000.0,(-0.09475708-0.01865005j)
29,2566700000.0,(-0.09466934-0.01555252j)
30,2569000000.0,(-0.09098053-0.0125351j)
31,2571300000.0,(-0.08932114-0.01166534j)
32,2573600000.0,(-0.0868187-0.01054382j)
33,2575900000.0,(-0.08478165-0.01070404j)
34,2578200000.0,(-0.08273697-0.0118866j)
35,2580500000.0,(-0.0814209-0.0124054j)
36,2582800000.0,(-0.08039856-0.01366043j)
37,2585100000.0,(-0.08024597-0.01510239j)
38,2587400000.0,(-0.08029556-0.01623917j)
39,2589700000.0,(-0.08155823-0.01877594j)
40,2592000000.0,(-0.08219147-0.01999283j)
41,2594300000.0,(-0.08340073-0.02048874j)
42,2596600000.0,(-0.08624268-0.02129745j)
43,2598900000.0,(-0.08982086-0.02183151j)
44,2601200000.0,(-0.09174347-0.02018356j)
45,2603500000.0,(-0.0947876-0.01898956j)
46,2605800000.0,(-0.09860992-0.01689529j)
47,2608100000.0,(-0.1005554-0.0141449j)
48,2610400000.0,(-0.1016426-0.01003647j)
49,2612700000.0,(-0.1018257-0.006313324j)
50,2615000000.0,(-0.1010551-0.002365112j)
51,2617300000.0,(-0.09854507+0.00123215j)
52,2619600000.0,(-0.09639359+0.00431824j)
53,2621900000.0,(-0.0940094+0.00587082j)
54,2624200000.0,(-0.09111786+0.00590515j)
55,2626500000.0,(-0.08847809+0.00613785j)
56,2628800000.0,(-0.08618546+0.00503159j)
57,2631100000.0,(-0.08463669+0.00535583j)
58,2633400000.0,(-0.08308029+0.0029068j)
59,2635700000.0,(-0.08228683+0.00120926j)
60,2638000000.0,(-0.08297729-0.0001068115j)
61,2640300000.0,(-0.08321381-0.001773834j)
62,2642600000.0,(-0.08434296-0.003112793j)
63,2644900000.0,(-0.08595276-0.003875732j)
64,2647200000.0,(-0.08792114-0.005134583j)
65,2649500000.0,(-0.09045792-0.004970551j)
66,2651800000.0,(-0.0925293-0.004211426j)
67,2654100000.0,(-0.09578705-0.003990173j)
68,2656400000.0,(-0.09771347-0.00120163j)
69,2658700000.0,(-0.1002846+0.00055695j)
70,2661000000.0,(-0.1004753+0.00440598j)
71,2663300000.0,(-0.1023369+0.00719833j)
72,2665600000.0,(-0.1007919+0.01157379j)
73,2667900000.0,(-0.1000938+0.01214218j)
74,2670200000.0,(-0.09858322+0.01511383j)
75,2672500000.0,(-0.09631729+0.01675415j)
76,2674800000.0,(-0.09463501+0.01671982j)
77,2677100000.0,(-0.09311676+0.0173645j)
78,2679400000.0,(-0.09150696+0.01717377j)
79,2681700000.0,(-0.0907402+0.01606369j)
80,2684000000.0,(-0.09005737+0.01581192j)
81,2686300000.0,(-0.09128571+0.01516342j)
82,2688600000.0,(-0.09035492+0.0147171j)
83,2690900000.0,(-0.09122086+0.01386642j)
84,2693200000.0,(-0.09115982+0.01348877j)
85,2695500000.0,(-0.09415436+0.01389313j)
86,2697800000.0,(-0.0959549+0.01359558j)
87,2700100000.0,(-0.09820175+0.01485062j)
88,2702400000.0,(-0.1002426+0.01694489j)
89,2704700000.0,(-0.1023788+0.01987076j)
90,2707000000.0,(-0.1028023+0.02272797j)
91,2709300000.0,(-0.1034279+0.02639771j)
92,2711600000.0,(-0.1022339+0.03010559j)
93,2713900000.0,(-0.1004791+0.03382111j)
94,2716200000.0,(-0.09786987+0.03636932j)
95,2718500000.0,(-0.09518814+0.03539276j)
96,2720800000.0,(-0.09248352+0.03781509j)
97,2723100000.0,(-0.08952332+0.03700638j)
98,2725400000.0,(-0.0879097+0.03710175j)
99,2727700000.0,(-0.08634567+0.03582382j)
100,2730000000.0,(-0.08534241+0.03431702j)
101,2732300000.0,(-0.08458328+0.03244019j)
102,2734600000.0,(-0.08495712+0.03116989j)
103,2736900000.0,(-0.08577347+0.02997971j)
104,2739200000.0,(-0.08673859+0.02920151j)
105,2741500000.0,(-0.08880615+0.028862j)
106,2743800000.0,(-0.08982849+0.0283699j)
107,2746100000.0,(-0.09312057+0.02737045j)
108,2748400000.0,(-0.09513092+0.03001785j)
109,2750700000.0,(-0.09746933+0.03119659j)
110,2753000000.0,(-0.09997177+0.03432465j)
111,2755300000.0,(-0.1021118+0.03673553j)
112,2757600000.0,(-0.1026001+0.04167557j)
113,2759900000.0,(-0.1017456+0.04568863j)
114,2762200000.0,(-0.1015739+0.04950714j)
115,2764500000.0,(-0.09851837+0.05371094j)
116,2766800000.0,(-0.0959549+0.05476379j)
117,2769100000.0,(-0.09166718+0.05735016j)
118,2771400000.0,(-0.08798981+0.05731201j)
119,2773700000.0,(-0.08429337+0.05669022j)
120,2776000000.0,(-0.08283234+0.05612946j)
121,2778300000.0,(-0.08075333+0.05393982j)
122,2780600000.0,(-0.07978439+0.05234146j)
123,2782900000.0,(-0.07883835+0.04991913j)
124,2785200000.0,(-0.07889557+0.04822922j)
125,2787500000.0,(-0.0810318+0.04582214j)
126,2789800000.0,(-0.08207703+0.04410934j)
127,2792100000.0,(-0.08363342+0.04402924j)
128,2794400000.0,(-0.08613968+0.04358673j)
129,2796700000.0,(-0.08909607+0.04277802j)
130,2799000000.0,(-0.0916748+0.04469299j)
131,2801300000.0,(-0.09470749+0.04598618j)
132,2803600000.0,(-0.09767914+0.04838181j)
133,2805900000.0,(-0.1006012+0.05263138j)
134,2808200000.0,(-0.1004333+0.05646133j)
135,2810500000.0,(-0.1017647+0.06171417j)
136,2812800000.0,(-0.1004486+0.06628799j)
137,2815100000.0,(-0.0984726+0.07019043j)
138,2817400000.0,(-0.09480286+0.0749054j)
139,2819700000.0,(-0.09067154+0.07734299j)
140,2822000000.0,(-0.08769608+0.07796478j)
141,2824300000.0,(-0.08362579+0.07839966j)
142,2826600000.0,(-0.08034515+0.07784271j)
143,2828900000.0,(-0.0786438+0.07500839j)
144,2831200000.0,(-0.07726288+0.07399368j)
145,2833500000.0,(-0.07591629+0.07223511j)
146,2835800000.0,(-0.07520294+0.07099915j)
147,2838100000.0,(-0.07599258+0.06882477j)
148,2840400000.0,(-0.07728958+0.06869507j)
149,2842700000.0,(-0.07892227+0.06809998j)
150,2845000000.0,(-0.08133698+0.06892014j)
151,2847300000.0,(-0.08295059+0.06849289j)
152,2849600000.0,(-0.08548355+0.06988525j)
153,2851900000.0,(-0.08731842+0.07180405j)
154,2854200000.0,(-0.08975601+0.0753746j)
155,2856500000.0,(-0.08985519+0.07923126j)
156,2858800000.0,(-0.08994293+0.0829277j)
157,2861100000.0,(-0.08880615+0.08710861j)
158,2863400000.0,(-0.08760071+0.09132767j)
159,2865700000.0,(-0.08440399+0.09491348j)
160,2868000000.0,(-0.080513+0.09805679j)
161,2870300000.0,(-0.07577133+0.09957504j)
162,2872600000.0,(-0.07206726+0.1002464j)
163,2874900000.0,(-0.06453323+0.09868622j)
164,2877200000.0,(-0.06497192+0.09089279j)
165,2879500000.0,(-0.0658226+0.0915947j)
166,2881800000.0,(-0.06523514+0.0910759j)
167,2884100000.0,(-0.06612396+0.08987045j)
168,2886400000.0,(-0.06603241+0.08913803j)
169,2888700000.0,(-0.06633759+0.08874893j)
170,2891000000.0,(-0.06836319+0.08916473j)
171,2893300000.0,(-0.07035065+0.08854294j)
172,2895600000.0,(-0.07169342+0.0893631j)
173,2897900000.0,(-0.07197952+0.09121323j)
174,2900200000.0,(-0.07488632+0.09389496j)
175,2902500000.0,(-0.07484818+0.09640121j)
176,2904800000.0,(-0.0759697+0.1003838j)
177,2907100000.0,(-0.07607651+0.1043816j)
178,2909400000.0,(-0.07486343+0.1085663j)
179,2911700000.0,(-0.072155+0.1122475j)
180,2914000000.0,(-0.06946945+0.1153717j)
181,2916300000.0,(-0.06531906+0.1186638j)
182,2918600000.0,(-0.06111145+0.1198196j)
183,2920900000.0,(-0.05630493+0.1198959j)
184,2923200000.0,(-0.05194855+0.1185532j)
185,2925500000.0,(-0.04922485+0.1156921j)
186,2927800000.0,(-0.04756546+0.1124763j)
187,2930100000.0,(-0.04572678+0.1125984j)
188,2932400000.0,(-0.04606628+0.1101494j)
189,2934700000.0,(-0.04675293+0.1081467j)
190,2937000000.0,(-0.04878235+0.1069031j)
191,2939300000.0,(-0.04920959+0.1062317j)
192,2941600000.0,(-0.05106354+0.1060371j)
193,2943900000.0,(-0.05342484+0.1072235j)
194,2946200000.0,(-0.05615234+0.1085434j)
195,2948500000.0,(-0.05717087+0.1113243j)
196,2950800000.0,(-0.05937576+0.1147728j)
197,2953100000.0,(-0.06147003+0.1180878j)
198,2955400000.0,(-0.06105423+0.1221199j)
199,2957700000.0,(-0.06004333+0.1287308j)
200,2960000000.0,(-0.05722046+0.1341095j)
201,2962300000.0,(-0.05490112+0.1395645j)
202,2964600000.0,(-0.04762268+0.1425095j)
203,2966900000.0,(-0.04130554+0.1452408j)
204,2969200000.0,(-0.03513336+0.1462326j)
205,2971500000.0,(-0.02925873+0.14505j)
206,2973800000.0,(-0.02255249+0.1433182j)
207,2976100000.0,(-0.01818848+0.1395798j)
208,2978400000.0,(-0.01823425+0.1346588j)
209,2980700000.0,(-0.01600647+0.1320953j)
210,2983000000.0,(-0.01539612+0.1300507j)
211,2985300000.0,(-0.01659393+0.1259232j)
212,2987600000.0,(-0.01501465+0.1240311j)
213,2989900000.0,(-0.01826096+0.1227798j)
214,2992200000.0,(-0.01932907+0.1225624j)
215,2994500000.0,(-0.02347183+0.1224365j)
216,2996800000.0,(-0.02431107+0.1242294j)
217,2999100000.0,(-0.0256424+0.1277313j)
218,3001400000.0,(-0.02749634+0.1295319j)
219,3003700000.0,(-0.02829742+0.1333847j)
220,3006000000.0,(-0.02976227+0.1371765j)
221,3008300000.0,(-0.0274353+0.141922j)
222,3010600000.0,(-0.02468109+0.1476974j)
223,3012900000.0,(-0.02081299+0.1506348j)
224,3015200000.0,(-0.01593018+0.1571884j)
225,3017500000.0,(-0.009246826+0.1576767j)
226,3019800000.0,(-0.003845215+0.1560593j)
227,3022100000.0,(0.0040054+0.1567001j)
228,3024400000.0,(0.0060425+0.1548462j)
229,3026700000.0,(0.0124054+0.1518478j)
230,3029000000.0,(0.0146942+0.1483383j)
231,3031300000.0,(0.0164261+0.1450272j)
232,3033600000.0,(0.0180969+0.1414719j)
233,3035900000.0,(0.0189743+0.1389236j)
234,3038200000.0,(0.0177841+0.1377335j)
235,3040500000.0,(0.0168304+0.1353683j)
236,3042800000.0,(0.0147324+0.1348877j)
237,3045100000.0,(0.0143967+0.1359558j)
238,3047400000.0,(0.0137482+0.1360092j)
239,3049700000.0,(0.0137253+0.1395493j)
240,3052000000.0,(0.0137177+0.1407547j)
241,3054300000.0,(0.0154495+0.1437302j)
242,3056600000.0,(0.0182953+0.1462479j)
243,3058900000.0,(0.0220871+0.1479645j)
244,3061200000.0,(0.0219269+0.1408386j)
245,3063500000.0,(0.0158386+0.1492538j)
246,3065800000.0,(0.0235519+0.1548767j)
247,3068100000.0,(0.0322113+0.1581116j)
248,3070400000.0,(0.0354385+0.1551971j)
249,3072700000.0,(0.0424805+0.1545486j)
250,3075000000.0,(0.0442352+0.1511078j)
251,3077300000.0,(0.0494766+0.1481705j)
252,3079600000.0,(0.0504532+0.1443787j)
253,3081900000.0,(0.051918+0.1415863j)
254,3084200000.0,(0.0537033+0.1378632j)
255,3086500000.0,(0.0508652+0.1366425j)
256,3088800000.0,(0.0518112+0.1347046j)
257,3091100000.0,(0.0496674+0.1347427j)
258,3093400000.0,(0.0498657+0.1350327j)
259,3095700000.0,(0.0472107+0.1362991j)
260,3098000000.0,(0.0493469+0.1375046j)
261,3100300000.0,(0.0513077+0.1403122j)
262,3102600000.0,(0.0530243+0.1426544j)
263,3104900000.0,(0.0542984+0.1450119j)
264,3107200000.0,(0.0584488+0.1487198j)
265,3109500000.0,(0.0643082+0.1493607j)
266,3111800000.0,(0.069664+0.1511536j)
267,3114100000.0,(0.0764236+0.1491013j)
268,3116400000.0,(0.0831985+0.1465912j)
269,3118700000.0,(0.0878296+0.1429596j)
270,3121000000.0,(0.0927582+0.1380997j)
271,3123300000.0,(0.095253+0.1312027j)
272,3125600000.0,(0.0961838+0.1251984j)
273,3127900000.0,(0.09500122+0.1208496j)
274,3130200000.0,(0.09431458+0.1154938j)
275,3132500000.0,(0.0916748+0.112442j)
276,3134800000.0,(0.08995056+0.1088104j)
277,3137100000.0,(0.08612061+0.1075974j)
278,3139400000.0,(0.08364868+0.1080093j)
279,3141700000.0,(0.08155823+0.1081619j)
280,3144000000.0,(0.07897949+0.1097641j)
281,3146300000.0,(0.07777405+0.1118774j)
282,3148600000.0,(0.07743835+0.1147537j)
283,3150900000.0,(0.07781982+0.1172638j)
284,3153200000.0,(0.07817078+0.1206894j)
285,3155500000.0,(0.08131409+0.1245117j)
286,3157800000.0,(0.0847015+0.1276703j)
287,3160100000.0,(0.0907974+0.1310577j)
288,3162400000.0,(0.0969315+0.1313095j)
289,3164700000.0,(0.1041641+0.1328125j)
290,3167000000.0,(0.1112366+0.1301575j)
291,3169300000.0,(0.119194+0.1262589j)
292,3171600000.0,(0.1252899+0.118927j)
293,3173900000.0,(0.1294556+0.1114044j)
294,3176200000.0,(0.1301651+0.1033707j)
295,3178500000.0,(0.1301498+0.0967865j)
296,3180800000.0,(0.1277313+0.0905609j)
297,3183100000.0,(0.1247253+0.08493042j)
298,3185400000.0,(0.1212387+0.08214569j)
299,3187700000.0,(0.1180191+0.07901764j)
300,3190000000.0,(0.1139526+0.07884979j)
301,3192300000.0,(0.1126251+0.07955933j)
302,3194600000.0,(0.1088028+0.0771637j)
303,3196900000.0,(0.1051712+0.08029938j)
304,3199200000.0,(0.1052322+0.08193207j)
305,3201500000.0,(0.1029816+0.08564758j)
306,3203800000.0,(0.1050339+0.08882141j)
307,3206100000.0,(0.1063995+0.09085846j)
308,3208400000.0,(0.1085052+0.09340668j)
309,3210700000.0,(0.1129379+0.09498596j)
310,3213000000.0,(0.1195679+0.097435j)
311,3215300000.0,(0.1248245+0.09861755j)
