,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.07516861-0.03995895j)
1,2502300000.0,(-0.07565689-0.03872681j)
2,2504600000.0,(-0.07631683-0.03900909j)
3,2506900000.0,(-0.07564545-0.0383606j)
4,2509200000.0,(-0.07556534-0.03932571j)
5,2511500000.0,(-0.07582855-0.03911972j)
6,2513800000.0,(-0.07645035-0.03845215j)
7,2516100000.0,(-0.07633591-0.03843307j)
8,2518400000.0,(-0.07688904-0.03843689j)
9,2520700000.0,(-0.07787323-0.03775024j)
10,2523000000.0,(-0.0782547-0.03816223j)
11,2525300000.0,(-0.07864761-0.03839493j)
12,2527600000.0,(-0.07931137-0.03682709j)
13,2529900000.0,(-0.0806427-0.03694153j)
14,2532200000.0,(-0.08213425-0.03630447j)
15,2534500000.0,(-0.08225632-0.03559494j)
16,2536800000.0,(-0.08311844-0.03512573j)
17,2539100000.0,(-0.08429337-0.03359222j)
18,2541400000.0,(-0.08482361-0.03260803j)
19,2543700000.0,(-0.08625031-0.03146744j)
20,2546000000.0,(-0.08624649-0.03128052j)
21,2548300000.0,(-0.08631134-0.02959442j)
22,2550600000.0,(-0.08661652-0.02770615j)
23,2552900000.0,(-0.08698273-0.02705765j)
24,2555200000.0,(-0.08678055-0.02614975j)
25,2557500000.0,(-0.08627319-0.02456284j)
26,2559800000.0,(-0.08679199-0.02402115j)
27,2562100000.0,(-0.08634186-0.02320099j)
28,2564400000.0,(-0.08599091-0.0229454j)
29,2566700000.0,(-0.0859375-0.02189255j)
30,2569000000.0,(-0.08564758-0.02140045j)
31,2571300000.0,(-0.08522797-0.02078629j)
32,2573600000.0,(-0.08595276-0.02031326j)
33,2575900000.0,(-0.08581924-0.02051163j)
34,2578200000.0,(-0.0861969-0.02049255j)
35,2580500000.0,(-0.0860405-0.01986694j)
36,2582800000.0,(-0.08682632-0.01990128j)
37,2585100000.0,(-0.08744812-0.01946259j)
38,2587400000.0,(-0.08791351-0.01859665j)
39,2589700000.0,(-0.08811569-0.01928711j)
40,2592000000.0,(-0.08922577-0.01821518j)
41,2594300000.0,(-0.0896225-0.0172348j)
42,2596600000.0,(-0.09105301-0.01559067j)
43,2598900000.0,(-0.09235001-0.01467514j)
44,2601200000.0,(-0.09155655-0.01393127j)
45,2603500000.0,(-0.09264755-0.01356506j)
46,2605800000.0,(-0.09265518-0.0114975j)
47,2608100000.0,(-0.09264374-0.01029205j)
48,2610400000.0,(-0.09231186-0.009662628j)
49,2612700000.0,(-0.09258652-0.008255005j)
50,2615000000.0,(-0.09238052-0.007530212j)
51,2617300000.0,(-0.09225845-0.006340027j)
52,2619600000.0,(-0.09119415-0.005355835j)
53,2621900000.0,(-0.0912056-0.004768372j)
54,2624200000.0,(-0.09060287-0.003955841j)
55,2626500000.0,(-0.09025192-0.003227234j)
56,2628800000.0,(-0.09041214-0.002536774j)
57,2631100000.0,(-0.09057617-0.00194931j)
58,2633400000.0,(-0.0906868-0.001659393j)
59,2635700000.0,(-0.09085846-0.001224518j)
60,2638000000.0,(-0.08907318-0.0006599426j)
61,2640300000.0,(-0.09009933-0.0007247925j)
62,2642600000.0,(-0.0903511+0.00025177j)
63,2644900000.0,(-0.090168+0.00053787j)
64,2647200000.0,(-0.09120178+0.00063324j)
65,2649500000.0,(-0.09046173+0.001194j)
66,2651800000.0,(-0.09081268+0.00135803j)
67,2654100000.0,(-0.09176254+0.00198364j)
68,2656400000.0,(-0.09052277+0.00229263j)
69,2658700000.0,(-0.09204865+0.0030632j)
70,2661000000.0,(-0.09266663+0.00327682j)
71,2663300000.0,(-0.09270096+0.00375748j)
72,2665600000.0,(-0.09229279+0.00531387j)
73,2667900000.0,(-0.09362793+0.00411224j)
74,2670200000.0,(-0.0942955+0.00545502j)
75,2672500000.0,(-0.09454346+0.00640488j)
76,2674800000.0,(-0.09531021+0.00701141j)
77,2677100000.0,(-0.09605789+0.00755692j)
78,2679400000.0,(-0.09638977+0.00818253j)
79,2681700000.0,(-0.09638596+0.00997543j)
80,2684000000.0,(-0.09737778+0.01235199j)
81,2686300000.0,(-0.09900284+0.01218796j)
82,2688600000.0,(-0.0986557+0.01396179j)
83,2690900000.0,(-0.09921265+0.0146904j)
84,2693200000.0,(-0.09796906+0.01763153j)
85,2695500000.0,(-0.09896851+0.01920319j)
86,2697800000.0,(-0.09837341+0.02044678j)
87,2700100000.0,(-0.09750366+0.02164078j)
88,2702400000.0,(-0.09732056+0.02371216j)
89,2704700000.0,(-0.09622574+0.02405167j)
90,2707000000.0,(-0.09557343+0.02527618j)
91,2709300000.0,(-0.09473419+0.02605057j)
92,2711600000.0,(-0.09369659+0.02626801j)
93,2713900000.0,(-0.09284973+0.02750397j)
94,2716200000.0,(-0.09244156+0.02739334j)
95,2718500000.0,(-0.09238052+0.02701187j)
96,2720800000.0,(-0.09072495+0.02711868j)
97,2723100000.0,(-0.09136581+0.02750015j)
98,2725400000.0,(-0.09193039+0.02743149j)
99,2727700000.0,(-0.09170151+0.0279274j)
100,2730000000.0,(-0.09247208+0.02787018j)
101,2732300000.0,(-0.09209824+0.0281601j)
102,2734600000.0,(-0.09276199+0.02830887j)
103,2736900000.0,(-0.09395981+0.0301857j)
104,2739200000.0,(-0.09397507+0.02946854j)
105,2741500000.0,(-0.09395981+0.03141403j)
106,2743800000.0,(-0.09473038+0.03312683j)
107,2746100000.0,(-0.09634781+0.03495407j)
108,2748400000.0,(-0.09564972+0.03638077j)
109,2750700000.0,(-0.09538269+0.0381012j)
110,2753000000.0,(-0.09603882+0.03946686j)
111,2755300000.0,(-0.09484482+0.0398674j)
112,2757600000.0,(-0.09435654+0.04210663j)
113,2759900000.0,(-0.09281921+0.04279327j)
114,2762200000.0,(-0.09286499+0.04381943j)
115,2764500000.0,(-0.09187317+0.04506683j)
116,2766800000.0,(-0.09072876+0.04595184j)
117,2769100000.0,(-0.08938599+0.04541779j)
118,2771400000.0,(-0.08947754+0.04684448j)
119,2773700000.0,(-0.08817673+0.04729843j)
120,2776000000.0,(-0.08800507+0.04605103j)
121,2778300000.0,(-0.08678055+0.04751968j)
122,2780600000.0,(-0.08750916+0.04718018j)
123,2782900000.0,(-0.08702087+0.04699326j)
124,2785200000.0,(-0.08796692+0.04650116j)
125,2787500000.0,(-0.08860779+0.04639435j)
126,2789800000.0,(-0.08872604+0.04646683j)
127,2792100000.0,(-0.08924866+0.04771423j)
128,2794400000.0,(-0.08985138+0.04894638j)
129,2796700000.0,(-0.09082031+0.04863739j)
130,2799000000.0,(-0.0910759+0.05036163j)
131,2801300000.0,(-0.09163284+0.05176544j)
132,2803600000.0,(-0.09249496+0.05280685j)
133,2805900000.0,(-0.0927887+0.0540657j)
134,2808200000.0,(-0.09251022+0.05617523j)
135,2810500000.0,(-0.09243011+0.05681229j)
136,2812800000.0,(-0.09225845+0.05993271j)
137,2815100000.0,(-0.09253311+0.05932999j)
138,2817400000.0,(-0.09130096+0.06378555j)
139,2819700000.0,(-0.09037781+0.06397629j)
140,2822000000.0,(-0.08971024+0.06555939j)
141,2824300000.0,(-0.08892441+0.06677628j)
142,2826600000.0,(-0.08789063+0.06835556j)
143,2828900000.0,(-0.08699036+0.06805038j)
144,2831200000.0,(-0.08597946+0.06974411j)
145,2833500000.0,(-0.08586884+0.06999588j)
146,2835800000.0,(-0.08489609+0.07151794j)
147,2838100000.0,(-0.08447266+0.07051468j)
148,2840400000.0,(-0.08398056+0.07245636j)
149,2842700000.0,(-0.08285141+0.07384872j)
150,2845000000.0,(-0.08364868+0.07338715j)
151,2847300000.0,(-0.0821991+0.07413101j)
152,2849600000.0,(-0.08266449+0.07504654j)
153,2851900000.0,(-0.08307266+0.07565308j)
154,2854200000.0,(-0.08277893+0.07658768j)
155,2856500000.0,(-0.08135986+0.07844543j)
156,2858800000.0,(-0.08257294+0.07960129j)
157,2861100000.0,(-0.08127594+0.08039093j)
158,2863400000.0,(-0.08121109+0.08198166j)
159,2865700000.0,(-0.08043289+0.08245087j)
160,2868000000.0,(-0.08088303+0.08361816j)
161,2870300000.0,(-0.07919693+0.0845871j)
162,2872600000.0,(-0.07892227+0.08483505j)
163,2874900000.0,(-0.07859039+0.08658981j)
164,2877200000.0,(-0.07787704+0.08682632j)
165,2879500000.0,(-0.07713318+0.08851624j)
166,2881800000.0,(-0.07664871+0.08990097j)
167,2884100000.0,(-0.07631683+0.09047318j)
168,2886400000.0,(-0.07490921+0.09100342j)
169,2888700000.0,(-0.07482529+0.09229279j)
170,2891000000.0,(-0.07488251+0.09389114j)
171,2893300000.0,(-0.07280731+0.094944j)
172,2895600000.0,(-0.07302094+0.0953331j)
173,2897900000.0,(-0.07191849+0.09674454j)
174,2900200000.0,(-0.07157135+0.09874344j)
175,2902500000.0,(-0.06988525+0.09979248j)
176,2904800000.0,(-0.06949234+0.1006317j)
177,2907100000.0,(-0.06876373+0.1018257j)
178,2909400000.0,(-0.06716537+0.1031418j)
179,2911700000.0,(-0.06611633+0.1035156j)
180,2914000000.0,(-0.06608582+0.1038895j)
181,2916300000.0,(-0.06437683+0.1049957j)
182,2918600000.0,(-0.06292725+0.105381j)
183,2920900000.0,(-0.06164551+0.1057281j)
184,2923200000.0,(-0.06076813+0.1075592j)
185,2925500000.0,(-0.06096649+0.1077118j)
186,2927800000.0,(-0.05975342+0.1077576j)
187,2930100000.0,(-0.05835342+0.1095619j)
188,2932400000.0,(-0.0595932+0.1092606j)
189,2934700000.0,(-0.05962372+0.1096306j)
190,2937000000.0,(-0.05844116+0.1101151j)
191,2939300000.0,(-0.05754471+0.1107216j)
192,2941600000.0,(-0.05764771+0.111805j)
193,2943900000.0,(-0.05778503+0.1137695j)
194,2946200000.0,(-0.05674744+0.1153946j)
195,2948500000.0,(-0.05609512+0.1157227j)
196,2950800000.0,(-0.05606461+0.1185074j)
197,2953100000.0,(-0.05619431+0.1195717j)
198,2955400000.0,(-0.05484009+0.1221085j)
199,2957700000.0,(-0.05255508+0.1234512j)
200,2960000000.0,(-0.05052948+0.1269226j)
201,2962300000.0,(-0.05115509+0.1281204j)
202,2964600000.0,(-0.04676056+0.1294479j)
203,2966900000.0,(-0.04538727+0.1316223j)
204,2969200000.0,(-0.04257202+0.132431j)
205,2971500000.0,(-0.03944397+0.1333237j)
206,2973800000.0,(-0.03500366+0.1341324j)
207,2976100000.0,(-0.03367615+0.1332779j)
208,2978400000.0,(-0.03308105+0.1325455j)
209,2980700000.0,(-0.03024292+0.1330872j)
210,2983000000.0,(-0.02816772+0.1320648j)
211,2985300000.0,(-0.02668762+0.1314468j)
212,2987600000.0,(-0.02606964+0.131218j)
213,2989900000.0,(-0.02606201+0.1295853j)
214,2992200000.0,(-0.02477264+0.1306076j)
215,2994500000.0,(-0.02577972+0.1290283j)
216,2996800000.0,(-0.02444458+0.1307144j)
217,2999100000.0,(-0.02362823+0.1326065j)
218,3001400000.0,(-0.02459717+0.1321793j)
219,3003700000.0,(-0.02339935+0.1332779j)
220,3006000000.0,(-0.02391052+0.1344528j)
221,3008300000.0,(-0.02257538+0.1361084j)
222,3010600000.0,(-0.02188873+0.1367874j)
223,3012900000.0,(-0.01883698+0.1394653j)
224,3015200000.0,(-0.01794434+0.1427765j)
225,3017500000.0,(-0.01741028+0.1448364j)
226,3019800000.0,(-0.01399231+0.1457977j)
227,3022100000.0,(-0.0116806+0.1467056j)
228,3024400000.0,(-0.008659363+0.1478882j)
229,3026700000.0,(-0.005172729+0.1483917j)
230,3029000000.0,(-0.002464294+0.1488571j)
231,3031300000.0,(-0.0003585815+0.149704j)
232,3033600000.0,(0.0038223+0.1479187j)
233,3035900000.0,(0.0072327+0.1468048j)
234,3038200000.0,(0.0085068+0.1474686j)
235,3040500000.0,(0.0089493+0.1455231j)
236,3042800000.0,(0.0121384+0.1446991j)
237,3045100000.0,(0.01297+0.1435165j)
238,3047400000.0,(0.0144272+0.143219j)
239,3049700000.0,(0.0138092+0.1426315j)
240,3052000000.0,(0.0161667+0.1418915j)
241,3054300000.0,(0.0162506+0.1434326j)
242,3056600000.0,(0.0163956+0.1429443j)
243,3058900000.0,(0.0174255+0.1443176j)
244,3061200000.0,(0.0195847+0.1445465j)
245,3063500000.0,(0.0191727+0.1441956j)
246,3065800000.0,(0.0209732+0.1469727j)
247,3068100000.0,(0.0239563+0.1475372j)
248,3070400000.0,(0.0252228+0.1471939j)
249,3072700000.0,(0.0281143+0.1489182j)
250,3075000000.0,(0.028923+0.149765j)
251,3077300000.0,(0.0329971+0.1516342j)
252,3079600000.0,(0.0349579+0.1491318j)
253,3081900000.0,(0.0373917+0.1497955j)
254,3084200000.0,(0.0410233+0.1484756j)
255,3086500000.0,(0.0424194+0.1485596j)
256,3088800000.0,(0.0450745+0.1476669j)
257,3091100000.0,(0.0465851+0.1467438j)
258,3093400000.0,(0.0485077+0.1466751j)
259,3095700000.0,(0.0500183+0.1451263j)
260,3098000000.0,(0.0527344+0.14534j)
261,3100300000.0,(0.05513+0.1443939j)
262,3102600000.0,(0.0583038+0.1427231j)
263,3104900000.0,(0.0582047+0.1426773j)
264,3107200000.0,(0.0616913+0.142868j)
265,3109500000.0,(0.0641174+0.142868j)
266,3111800000.0,(0.0657654+0.1417694j)
267,3114100000.0,(0.0689163+0.1414108j)
268,3116400000.0,(0.0712662+0.1393585j)
269,3118700000.0,(0.0733032+0.1384354j)
270,3121000000.0,(0.0759964+0.1367035j)
271,3123300000.0,(0.0779495+0.1346588j)
272,3125600000.0,(0.0802307+0.1314316j)
273,3127900000.0,(0.0801239+0.1300049j)
274,3130200000.0,(0.0828094+0.1266251j)
275,3132500000.0,(0.0821075+0.1253967j)
276,3134800000.0,(0.08244324+0.1240845j)
277,3137100000.0,(0.08087158+0.1218491j)
278,3139400000.0,(0.08201599+0.1207733j)
279,3141700000.0,(0.08180237+0.1203613j)
280,3144000000.0,(0.08137512+0.1199799j)
281,3146300000.0,(0.08180237+0.1199722j)
282,3148600000.0,(0.08214569+0.1208649j)
283,3150900000.0,(0.08313751+0.1213303j)
284,3153200000.0,(0.08232117+0.122612j)
285,3155500000.0,(0.08533478+0.122879j)
286,3157800000.0,(0.08647919+0.1231079j)
287,3160100000.0,(0.0893784+0.1254196j)
288,3162400000.0,(0.0927734+0.1256866j)
289,3164700000.0,(0.0973511+0.1254578j)
290,3167000000.0,(0.1009445+0.1262207j)
291,3169300000.0,(0.1039505+0.1237793j)
292,3171600000.0,(0.1087723+0.1225739j)
293,3173900000.0,(0.1139145+0.1184387j)
294,3176200000.0,(0.1160812+0.1143417j)
295,3178500000.0,(0.1189651+0.1120605j)
296,3180800000.0,(0.1189346+0.1064987j)
297,3183100000.0,(0.1200562+0.1014099j)
298,3185400000.0,(0.1192093+0.09844971j)
299,3187700000.0,(0.120079+0.0941391j)
300,3190000000.0,(0.1175232+0.09189606j)
301,3192300000.0,(0.1177216+0.09003448j)
302,3194600000.0,(0.1144257+0.08580017j)
303,3196900000.0,(0.1117401+0.08583832j)
304,3199200000.0,(0.1106873+0.08508301j)
305,3201500000.0,(0.1085968+0.08616638j)
306,3203800000.0,(0.1097488+0.08892059j)
307,3206100000.0,(0.109314+0.08862305j)
308,3208400000.0,(0.1085968+0.0895462j)
309,3210700000.0,(0.1110229+0.09160614j)
310,3213000000.0,(0.1147308+0.09291077j)
311,3215300000.0,(0.1154556+0.09563446j)
312,3217600000.0,(0.1163025+0.09421539j)
313,3219900000.0,(0.1218414+0.09638977j)
314,3222200000.0,(0.1266327+0.0930481j)
315,3224500000.0,(0.129776+0.0926285j)
316,3226800000.0,(0.1330948+0.0910873j)
317,3229100000.0,(0.1379318+0.0870209j)
318,3231400000.0,(0.1402283+0.0829086j)
319,3233700000.0,(0.1430969+0.0774155j)
320,3236000000.0,(0.1440735+0.0728455j)
321,3238300000.0,(0.1446075+0.0685806j)
322,3240600000.0,(0.1443024+0.063385j)
323,3242900000.0,(0.1430206+0.0586929j)
324,3245200000.0,(0.138382+0.0565033j)
325,3247500000.0,(0.1376724+0.0544052j)
326,3249800000.0,(0.1370621+0.0518723j)
327,3252100000.0,(0.1339264+0.049614j)
328,3254400000.0,(0.1313477+0.0507965j)
329,3256700000.0,(0.1284866+0.0503845j)
330,3259000000.0,(0.1302032+0.0506287j)
331,3261300000.0,(0.129364+0.0504608j)
332,3263600000.0,(0.1289978+0.0512924j)
333,3265900000.0,(0.1296463+0.0514832j)
334,3268200000.0,(0.1300278+0.0520401j)
335,3270500000.0,(0.1313248+0.0521622j)
336,3272800000.0,(0.1330109+0.0511322j)
337,3275100000.0,(0.1352921+0.050621j)
338,3277400000.0,(0.1364365+0.0501328j)
339,3279700000.0,(0.1390533+0.0473785j)
340,3282000000.0,(0.1394119+0.0476913j)
341,3284300000.0,(0.1393661+0.0427551j)
342,3286600000.0,(0.1412811+0.0410385j)
343,3288900000.0,(0.1421204+0.0396194j)
344,3291200000.0,(0.1412582+0.0360718j)
345,3293500000.0,(0.141571+0.0338135j)
346,3295800000.0,(0.1414337+0.0315323j)
347,3298100000.0,(0.1406479+0.031929j)
348,3300400000.0,(0.140007+0.0291519j)
349,3302700000.0,(0.1398697+0.0282669j)
350,3305000000.0,(0.1383209+0.0281677j)
351,3307300000.0,(0.1372681+0.0267181j)
352,3309600000.0,(0.1379089+0.0268021j)
353,3311900000.0,(0.1395416+0.0250549j)
354,3314200000.0,(0.1406174+0.0250702j)
355,3316500000.0,(0.1420441+0.024025j)
356,3318800000.0,(0.1433105+0.0225525j)
357,3321100000.0,(0.1438828+0.0209961j)
358,3323400000.0,(0.1463394+0.0189438j)
359,3325700000.0,(0.1466217+0.0168228j)
360,3328000000.0,(0.1466064+0.01297j)
361,3330300000.0,(0.1468124+0.0116043j)
362,3332600000.0,(0.1478424+0.0082321j)
363,3334900000.0,(0.1454239+0.0053253j)
364,3337200000.0,(0.1441879+0.0026779j)
365,3339500000.0,(0.143074-0.0007705688j)
366,3341800000.0,(0.1433105-0.001556396j)
367,3344100000.0,(0.1399841-0.003364563j)
368,3346400000.0,(0.1374893-0.003471375j)
369,3348700000.0,(0.1363983-0.005073547j)
370,3351000000.0,(0.1350327-0.004173279j)
371,3353300000.0,(0.13311-0.004730225j)
372,3355600000.0,(0.1332397-0.003990173j)
373,3357900000.0,(0.1322937-0.002883911j)
374,3360200000.0,(0.1335297-0.002433777j)
375,3362500000.0,(0.1339035-0.00138092j)
376,3364800000.0,(0.1356125-0.001853943j)
377,3367100000.0,(0.1372986-0.002212524j)
378,3369400000.0,(0.1364441-0.0027771j)
379,3371700000.0,(0.140686-0.004020691j)
380,3374000000.0,(0.1438065-0.006164551j)
381,3376300000.0,(0.1453323-0.009414673j)
382,3378600000.0,(0.1443863-0.01345825j)
383,3380900000.0,(0.1466293-0.01634979j)
