,Freq (Hz),Complex (decimal)
0,2500000000.0,(-0.06998444-0.04506683j)
1,2502300000.0,(-0.07249451-0.04509354j)
2,2504600000.0,(-0.07495117-0.04499054j)
3,2506900000.0,(-0.07747269-0.0425148j)
4,2509200000.0,(-0.07935333-0.04064941j)
5,2511500000.0,(-0.08043289-0.03858948j)
6,2513800000.0,(-0.08044815-0.03517532j)
7,2516100000.0,(-0.07964325-0.03256607j)
8,2518400000.0,(-0.07858276-0.03145218j)
9,2520700000.0,(-0.0775032-0.02925491j)
10,2523000000.0,(-0.07569122-0.02890015j)
11,2525300000.0,(-0.07453537-0.02830887j)
12,2527600000.0,(-0.07307816-0.02813721j)
13,2529900000.0,(-0.07141495-0.02911377j)
14,2532200000.0,(-0.07229614-0.0292511j)
15,2534500000.0,(-0.07095337-0.03071213j)
16,2536800000.0,(-0.0717659-0.03142548j)
17,2539100000.0,(-0.07218933-0.0333786j)
18,2541400000.0,(-0.07291412-0.03398514j)
19,2543700000.0,(-0.07468033-0.03467941j)
20,2546000000.0,(-0.07603073-0.036026j)
21,2548300000.0,(-0.07836533-0.03556442j)
22,2550600000.0,(-0.08120346-0.03470612j)
23,2552900000.0,(-0.08423615-0.03364563j)
24,2555200000.0,(-0.08656311-0.03173828j)
25,2557500000.0,(-0.0876236-0.02778625j)
26,2559800000.0,(-0.08930969-0.02619171j)
27,2562100000.0,(-0.08922958-0.02120972j)
28,2564400000.0,(-0.08890915-0.01932907j)
29,2566700000.0,(-0.08746719-0.01593018j)
30,2569000000.0,(-0.0849762-0.01390839j)
31,2571300000.0,(-0.08267975-0.0127449j)
32,2573600000.0,(-0.08087921-0.01225281j)
33,2575900000.0,(-0.07914734-0.01265717j)
34,2578200000.0,(-0.0774498-0.01314545j)
35,2580500000.0,(-0.07595825-0.01402283j)
36,2582800000.0,(-0.07542419-0.01547241j)
37,2585100000.0,(-0.0752449-0.01680756j)
38,2587400000.0,(-0.07575989-0.01819611j)
39,2589700000.0,(-0.07639694-0.02004623j)
40,2592000000.0,(-0.07785797-0.0214386j)
41,2594300000.0,(-0.07876205-0.02184677j)
42,2596600000.0,(-0.08211899-0.02138519j)
43,2598900000.0,(-0.0846138-0.02264786j)
44,2601200000.0,(-0.08724213-0.02098846j)
45,2603500000.0,(-0.09001923-0.02016449j)
46,2605800000.0,(-0.09309387-0.01744843j)
47,2608100000.0,(-0.09480286-0.01415634j)
48,2610400000.0,(-0.09541321-0.01000214j)
49,2612700000.0,(-0.09532166-0.006378174j)
50,2615000000.0,(-0.09393311-0.003635406j)
51,2617300000.0,(-0.09179306-0.0002174377j)
52,2619600000.0,(-0.0891571+0.00201035j)
53,2621900000.0,(-0.08665466+0.00272369j)
54,2624200000.0,(-0.08427811+0.00289536j)
55,2626500000.0,(-0.08151627+0.0021553j)
56,2628800000.0,(-0.08047867+0.00223541j)
57,2631100000.0,(-0.07937622+0.00163269j)
58,2633400000.0,(-0.07839966-5.340576e-05j)
59,2635700000.0,(-0.07803345-0.001724243j)
60,2638000000.0,(-0.07791901-0.003364563j)
61,2640300000.0,(-0.07853699-0.004737854j)
62,2642600000.0,(-0.07991028-0.005691528j)
63,2644900000.0,(-0.08139038-0.006347656j)
64,2647200000.0,(-0.08322906-0.007266998j)
65,2649500000.0,(-0.0864296-0.007286072j)
66,2651800000.0,(-0.08760071-0.006351471j)
67,2654100000.0,(-0.09142685-0.005756378j)
68,2656400000.0,(-0.09203339-0.002464294j)
69,2658700000.0,(-0.0951004-0.001220703j)
70,2661000000.0,(-0.09474945+0.00275803j)
71,2663300000.0,(-0.09506607+0.00607681j)
72,2665600000.0,(-0.09293365+0.00918961j)
73,2667900000.0,(-0.09316254+0.01018524j)
74,2670200000.0,(-0.09103775+0.01237106j)
75,2672500000.0,(-0.0890007+0.01268005j)
76,2674800000.0,(-0.0874939+0.01335907j)
77,2677100000.0,(-0.08621979+0.01282501j)
78,2679400000.0,(-0.08572006+0.01250458j)
79,2681700000.0,(-0.08459473+0.01158524j)
80,2684000000.0,(-0.08484268+0.01147842j)
81,2686300000.0,(-0.08547974+0.01031876j)
82,2688600000.0,(-0.08525467+0.00931931j)
83,2690900000.0,(-0.08768082+0.00901794j)
84,2693200000.0,(-0.08840561+0.00872421j)
85,2695500000.0,(-0.09002304+0.01052856j)
86,2697800000.0,(-0.0922966+0.01066208j)
87,2700100000.0,(-0.09387207+0.01150131j)
88,2702400000.0,(-0.09606552+0.01463699j)
89,2704700000.0,(-0.09729767+0.01678467j)
90,2707000000.0,(-0.09738922+0.01983643j)
91,2709300000.0,(-0.09777069+0.02362442j)
92,2711600000.0,(-0.09619522+0.02772141j)
93,2713900000.0,(-0.09466553+0.03046417j)
94,2716200000.0,(-0.09151077+0.0321846j)
95,2718500000.0,(-0.08890152+0.03252411j)
96,2720800000.0,(-0.08558655+0.03262329j)
97,2723100000.0,(-0.08448029+0.03236008j)
98,2725400000.0,(-0.08266068+0.03152084j)
99,2727700000.0,(-0.0808754+0.03020477j)
100,2730000000.0,(-0.08027267+0.02870178j)
101,2732300000.0,(-0.08000183+0.02740479j)
102,2734600000.0,(-0.08034134+0.02556992j)
103,2736900000.0,(-0.08144379+0.02482224j)
104,2739200000.0,(-0.08228302+0.02333069j)
105,2741500000.0,(-0.08407211+0.02284241j)
106,2743800000.0,(-0.08621597+0.02390289j)
107,2746100000.0,(-0.0886116+0.02255249j)
108,2748400000.0,(-0.0919838+0.02507782j)
109,2750700000.0,(-0.0933609+0.02709961j)
110,2753000000.0,(-0.0961113+0.03025055j)
111,2755300000.0,(-0.0970993+0.0323143j)
112,2757600000.0,(-0.09819031+0.03745651j)
113,2759900000.0,(-0.09588242+0.04153442j)
114,2762200000.0,(-0.09496689+0.04463959j)
115,2764500000.0,(-0.09277344+0.04869843j)
116,2766800000.0,(-0.0892868+0.04957581j)
117,2769100000.0,(-0.08566284+0.0508194j)
118,2771400000.0,(-0.08312225+0.05135345j)
119,2773700000.0,(-0.07958984+0.05002975j)
120,2776000000.0,(-0.07736206+0.04841995j)
121,2778300000.0,(-0.07526398+0.0472908j)
122,2780600000.0,(-0.07618713+0.04472733j)
123,2782900000.0,(-0.07496262+0.04376602j)
124,2785200000.0,(-0.07638168+0.04124069j)
125,2787500000.0,(-0.07709122+0.03983307j)
126,2789800000.0,(-0.07869339+0.03791046j)
127,2792100000.0,(-0.08063889+0.03752518j)
128,2794400000.0,(-0.08284378+0.03767014j)
129,2796700000.0,(-0.08515167+0.03705215j)
130,2799000000.0,(-0.08821106+0.03819656j)
131,2801300000.0,(-0.09096909+0.04008102j)
132,2803600000.0,(-0.09433365+0.04280853j)
133,2805900000.0,(-0.09555817+0.04683685j)
134,2808200000.0,(-0.09592056+0.05162811j)
135,2810500000.0,(-0.09606552+0.05501175j)
136,2812800000.0,(-0.09531403+0.05933762j)
137,2815100000.0,(-0.09309006+0.06330109j)
138,2817400000.0,(-0.08887863+0.06734085j)
139,2819700000.0,(-0.08597183+0.06836319j)
140,2822000000.0,(-0.08290482+0.06951904j)
141,2824300000.0,(-0.07963562+0.06881714j)
142,2826600000.0,(-0.07641983+0.06868362j)
143,2828900000.0,(-0.07483292+0.06638718j)
144,2831200000.0,(-0.07384491+0.06581879j)
145,2833500000.0,(-0.07361221+0.06373596j)
146,2835800000.0,(-0.07265472+0.06246185j)
147,2838100000.0,(-0.07321167+0.06014633j)
148,2840400000.0,(-0.07537842+0.06031799j)
149,2842700000.0,(-0.07686615+0.06002426j)
150,2845000000.0,(-0.0799942+0.06069565j)
151,2847300000.0,(-0.08054352+0.0610733j)
152,2849600000.0,(-0.08328629+0.06241608j)
153,2851900000.0,(-0.08480835+0.06480026j)
154,2854200000.0,(-0.08645248+0.06845474j)
155,2856500000.0,(-0.08678818+0.07158661j)
