% Model,EigenRadiusSweep_Al&NO_Zotefoam_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 3 2025, 17:43"
% Table,Table 1 - 
% search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
2.5E9,2.3038670157145975+4.5074464409337943E-4i,2.3038670157145975,2555.6232846078055
2.5E9,2.304754119082655+4.56167573535594E-4i,2.304754119082655,2526.214326480199
2.5E9,2.3051418226656604+0.11932005482912696i,2.3051418226656604,9.65949029258641
2.5E9,2.30551433213257+0.1198787290443914i,2.30551433213257,9.616027591011713
2.5E9,2.317344003337939+0.08977499571543486i,2.317344003337939,12.906399966218666
2.5E9,2.317375186362966+0.09022774440563429i,2.317375186362966,12.841810474308263
2.5E9,2.319860593631526+0.008208548667111548i,2.319860593631526,141.30759819493443
2.5E9,2.3200136692424764+0.008177181795947053i,2.3200136692424764,141.85900027270827
2.5E9,2.329581334634528+0.15103938230777705i,2.329581334634528,7.7118341555696945
2.5E9,2.329667035624566+0.15072904653479846i,2.329667035624566,7.727996325800155
2.5E9,2.330614187906323+0.1528022695623429i,2.330614187906323,7.62624205315039
2.5E9,2.330677795035542+0.1522999911733836i,2.330677795035542,7.651601871671212
2.5E9,2.333240466047781+0.1648200294433651i,2.333240466047781,7.078146005457185
2.5E9,2.333447731383207+0.16472366288223433i,2.333447731383207,7.082915989585102
2.5E9,2.333660350541914+0.16604315968139685i,2.333660350541914,7.027270364583926
2.5E9,2.3337750505323736+0.16614416068157312i,2.3337750505323736,7.023343585951289
2.5E9,2.352342582896992+0.12991930873479543i,2.352342582896992,9.05309074457452
2.5E9,2.3525105114243017+0.1308597918498245i,2.3525105114243017,8.988668246255722
2.5E9,2.3527669018100505+0.1301364305029062i,2.3527669018100505,9.03961670347762
2.5E9,2.352944579028817+0.13112076190162253i,2.352944579028817,8.972433293188868
2.5E9,2.358202724605145+0.1482039074362631i,2.358202724605145,7.955939777159111
2.5E9,2.3583483261992435+0.14851970380431248i,2.3583483261992435,7.939513296183823
2.5E9,2.3589618539065795+0.1486354259644729i,2.3589618539065795,7.9353957463358125
2.5E9,2.3590048192245523+0.1483487783038263i,2.3590048192245523,7.950873765853276
2.5E9,2.366308099590747+0.189579156132926i,2.366308099590747,6.240950080850602
2.5E9,2.3670557341812124+0.19029310035492256i,2.3670557341812124,6.219499629167666
2.5E9,2.3843500379178324+0.03522458022775394i,2.3843500379178324,33.844974482324275
2.5E9,2.3854425874568+0.03525938596965302i,2.3854425874568,33.82705798549495
2.5E9,2.4052374476883145+0.2071653891270342i,2.4052374476883145,5.8051141115406555
2.5E9,2.40609038560598+0.20609764928709232i,2.40609038560598,5.837258197579722
2.5E9,2.409642825257658+0.19857133554123757i,2.409642825257658,6.067448805462771
2.5E9,2.4097100484789578+0.19735702461420854i,2.4097100484789578,6.10495130130137
2.5E9,2.409717884088133+0.2162124450282361i,2.409717884088133,5.572569802291995
2.5E9,2.409723845962101+0.2160407257693178i,2.409723845962101,5.577012939067647
2.5E9,2.4110092575220996+0.05092109198487017i,2.4110092575220996,23.67397441357371
2.5E9,2.4118311052304855+0.05073956481619263i,2.4118311052304855,23.76676971873429
2.5E9,2.4151731072440317+0.16417087008247608i,2.4151731072440317,7.355668840734954
2.5E9,2.4158883812358316+0.16458176096542337i,2.4158883812358316,7.339477859103051
2.5E9,2.4165292229336783+0.20147808807494608i,2.4165292229336783,5.997002567432481
2.5E9,2.417575041798577+0.20286837999080604i,2.417575041798577,5.9584816566981536
2.5E9,2.4216526438399177+0.1954073465469642i,2.4216526438399177,6.19642169711848
2.5E9,2.4219376012132288+0.19629451292829303i,2.4219376012132288,6.1691423898791555
2.5E9,2.4227945509662243+0.19796240811731683i,2.4227945509662243,6.119329861683698
2.5E9,2.423159190055122+0.19849904998112228i,2.423159190055122,6.1037047539662534
2.5E9,2.4256124382789364+0.05004212963256942i,2.4256124382789364,24.23570355707095
2.5E9,2.4264266471336238+0.050108696262313714i,2.4264266471336238,24.211632192858676
2.5E9,2.4298736717345273+0.22022914442982477i,2.4298736717345273,5.5166941642203895
2.5E9,2.4300900706466737+0.19369874719164934i,2.4300900706466737,6.272859545762305
2.5E9,2.4304445504964285+0.19338837852389806i,2.4304445504964285,6.283843344278531
2.5E9,2.4305025778084843+0.2191058755222171i,2.4305025778084843,5.546411231592084
2.5E9,2.4309620216556795+0.1940134681910756i,2.4309620216556795,6.264931100714947
2.5E9,2.4314171826218143+0.1934347275695555i,2.4314171826218143,6.284851777061393
2.5E9,2.441438344658446+0.17686863035624117i,2.441438344658446,6.901841043663327
2.5E9,2.4416691583734793+0.17634025209281431i,2.4416691583734793,6.923175875603093
2.5E9,2.4420385363908665+0.17814763732205297i,2.4420385363908665,6.853973965358241
2.5E9,2.4426285067631754+0.1784793405145562i,2.4426285067631754,6.8428886495240135
2.5E9,2.445985478242854+0.22537678587362908i,2.445985478242854,5.426436153931004
2.5E9,2.4462135953852155+0.16080993557645237i,2.4462135953852155,7.605915600352426
2.5E9,2.4464018294795684+0.16126275335760698i,2.4464018294795684,7.585142193543505
2.5E9,2.4467354991558636+0.16277327565344632i,2.4467354991558636,7.5157776647719015
2.5E9,2.4468131948015777+0.16243805494842797i,2.4468131948015777,7.531527004489218
2.5E9,2.447655072303591+0.07437280664779022i,2.447655072303591,16.45530928996019
2.5E9,2.448397670725025+0.22453110757974662i,2.448397670725025,5.4522460097325895
2.5E9,2.4488163032976655+0.07486121835300469i,2.4488163032976655,16.355706981353038
2.5E9,2.4493026441774473+0.1485365974640211i,2.4493026441774473,8.244778344174485
2.5E9,2.4493091861588874+0.22439479361100614i,2.4493091861588874,5.457589159588133
2.5E9,2.449569025075003+0.1481732164116652i,2.449569025075003,8.26589678079687
