% Model,EigenRadiusSweep_Al&ZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 3 2025, 11:13"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.300989871141712+0.12010240723273422i,2.300989871141712,9.579282897647747
0.01905625,2.5E9,2.30147009818249+0.11839508820555768i,2.30147009818249,9.719449231655096
0.01905625,2.5E9,2.3022081010323068+4.4294281350402477E-4i,2.3022081010323068,2598.76448024976
0.01905625,2.5E9,2.3024590697478735+4.4347501705243507E-4i,2.3024590697478735,2595.928723393722
0.01905625,2.5E9,2.3158330694866827+0.09043663638389454i,2.3158330694866827,12.80362230443977
0.01905625,2.5E9,2.316150952753473+0.09042328587449393i,2.316150952753473,12.807270441201691
0.01905625,2.5E9,2.3191832011337814+0.008136132363134405i,2.3191832011337814,142.52368924344339
0.01905625,2.5E9,2.3199065733577346+0.008193554043080897i,2.3199065733577346,141.56900419280177
0.01905625,2.5E9,2.329515749409678+0.15110842332318758i,2.329515749409678,7.708093626347216
0.01905625,2.5E9,2.3297898022925194+0.15070250080202316i,2.3297898022925194,7.729764900693812
0.01905625,2.5E9,2.3301893588077416+0.15256783239787666i,2.3301893588077416,7.636568345321041
0.01905625,2.5E9,2.3305129149376476+0.15216838951350817i,2.3305129149376476,7.65767753206971
0.01905625,2.5E9,2.3332029829220082+0.16475850974513898i,2.3332029829220082,7.080675184945482
0.01905625,2.5E9,2.333378376118478+0.16470734607718351i,2.333378376118478,7.083407120848858
0.01905625,2.5E9,2.333441449014368+0.16607246265311024i,2.333441449014368,7.025371370232604
0.01905625,2.5E9,2.333625291714324+0.1658811916420415i,2.333625291714324,7.03402618649528
0.01905625,2.5E9,2.3522276421620463+0.12992724395223862i,2.3522276421620463,9.052095505953805
0.01905625,2.5E9,2.3526979425075623+0.1308622516654323i,2.3526979425075623,8.989215425249462
0.01905625,2.5E9,2.3528232596596736+0.13004576512590932i,2.3528232596596736,9.046135633027683
0.01905625,2.5E9,2.3530729890782585+0.1310770555026806i,2.3530729890782585,8.975914892405166
0.01905625,2.5E9,2.3582889978283754+0.14828002717628694i,2.3582889978283754,7.95214649854581
0.01905625,2.5E9,2.3585245882706203+0.14859053570003475i,2.3585245882706203,7.936321708375365
0.01905625,2.5E9,2.3588748072308743+0.1481914507060299i,2.3588748072308743,7.958876156459989
0.01905625,2.5E9,2.3591426476793553+0.14849613984292367i,2.3591426476793553,7.943447722529387
0.01905625,2.5E9,2.3672944917656698+0.19554648091426755i,2.3672944917656698,6.0530224852360055
0.01905625,2.5E9,2.368121119646582+0.19383745718436024i,2.368121119646582,6.1085229708575985
0.01905625,2.5E9,2.383383738659654+0.03507467602802931i,2.383383738659654,33.97584822672368
0.01905625,2.5E9,2.3843479800802845+0.03517935668861614i,2.3843479800802845,33.88845340727688
0.01905625,2.5E9,2.399669905581904+0.2068821504967318i,2.399669905581904,5.799605958803615
0.01905625,2.5E9,2.4011052523213703+0.20742054678974903i,2.4011052523213703,5.78801205927598
0.01905625,2.5E9,2.4024682380428786+0.050177696902506064i,2.4024682380428786,23.939602516141893
0.01905625,2.5E9,2.4026128296291085+0.050270591759872175i,2.4026128296291085,23.896802738126528
0.01905625,2.5E9,2.4095786129545727+0.19820465168604007i,2.4095786129545727,6.078511761599296
0.01905625,2.5E9,2.409866992488811+0.21361412879261707i,2.409866992488811,5.64070131060568
0.01905625,2.5E9,2.410285969319492+0.21271517379980673i,2.410285969319492,5.66552429303396
0.01905625,2.5E9,2.4105964597707787+0.19824878353652983i,2.4105964597707787,6.079725728371484
0.01905625,2.5E9,2.4135963733706682+0.16691923797015365i,2.4135963733706682,7.229832830300353
0.01905625,2.5E9,2.415546579431719+0.16827233545534132i,2.415546579431719,7.177491691950735
0.01905625,2.5E9,2.4157280201571996+0.20130342832299408i,2.4157280201571996,6.000215794340897
0.01905625,2.5E9,2.41702050981916+0.2016920255735814i,2.41702050981916,5.991859378043137
0.01905625,2.5E9,2.4216162088945064+0.19564584058403864i,2.4216162088945064,6.188775088868587
0.01905625,2.5E9,2.4219735355612673+0.195904192008346i,2.4219735355612673,6.1815255475954425
0.01905625,2.5E9,2.42242374987872+0.04957697658928786i,2.42242374987872,24.43093464479372
0.01905625,2.5E9,2.422613289969478+0.04959878612278207i,2.422613289969478,24.422102629409974
0.01905625,2.5E9,2.422686166827255+0.19799545644665967i,2.422686166827255,6.118034752681132
0.01905625,2.5E9,2.4231791116693953+0.19824118196249965i,2.4231791116693953,6.111694572442008
0.01905625,2.5E9,2.4300806852524817+0.1941306917415453i,2.4300806852524817,6.258878138877068
0.01905625,2.5E9,2.4304100583526465+0.19323595824429982i,2.4304100583526465,6.288710653117637
0.01905625,2.5E9,2.4306259568542763+0.19375914605881994i,2.4306259568542763,6.272287028237638
0.01905625,2.5E9,2.4313874911503395+0.1931858723739366i,2.4313874911503395,6.292870853527192
0.01905625,2.5E9,2.431431488327012+0.21779348869690646i,2.431431488327012,5.581965518975472
0.01905625,2.5E9,2.4318702938541503+0.21896170595196257i,2.4318702938541503,5.553186305526118
