% Model,EigenRadiusSweep_Al&_DoubleZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 8 2025, 10:29"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.3002909060073793+0.1178957683240334i,2.3002909060073793,9.75561268528778
0.01905625,2.5E9,2.3004108993284587+4.3616906201747273E-4i,2.3004108993284587,2637.063354159109
0.01905625,2.5E9,2.300565244262835+0.11713286491542141i,2.300565244262835,9.820323467388992
0.01905625,2.5E9,2.300917035384515+4.3869046709515237E-4i,2.300917035384515,2622.483513968681
0.01905625,2.5E9,2.3137700372629015+0.08981712452426459i,2.3137700372629015,12.880450412536996
0.01905625,2.5E9,2.314218966787032+0.09041354929260118i,2.314218966787032,12.797965486885339
0.01905625,2.5E9,2.319085120877679+0.00812830316319238i,2.319085120877679,142.65493512712814
0.01905625,2.5E9,2.319464151177004+0.008113330013762424i,2.319464151177004,142.9415632818189
0.01905625,2.5E9,2.3295256608005155+0.15110795660603776i,2.3295256608005155,7.7081502295539455
0.01905625,2.5E9,2.3295421150678037+0.1507030749881849i,2.3295421150678037,7.728913677608899
0.01905625,2.5E9,2.3304556525080558+0.1521529106982485i,2.3304556525080558,7.65826838873245
0.01905625,2.5E9,2.3305482796452446+0.1525609741914424i,2.3305482796452446,7.638087957935878
0.01905625,2.5E9,2.3330154694992196+0.16496202834585844i,2.3330154694992196,7.071371190368225
0.01905625,2.5E9,2.333430011652086+0.1645957617216037i,2.333430011652086,7.088366028521547
0.01905625,2.5E9,2.3335295776856344+0.16613941180482264i,2.3335295776856344,7.022805583382647
0.01905625,2.5E9,2.3339157498504792+0.1659033962983716i,2.3339157498504792,7.033960129583517
0.01905625,2.5E9,2.3521088484743777+0.129971405673949i,2.3521088484743777,9.048562783013072
0.01905625,2.5E9,2.352309016588288+0.13096282504954748i,2.352309016588288,8.9808272526892
0.01905625,2.5E9,2.3524952995192048+0.13085643372965639i,2.3524952995192048,8.988840794711539
0.01905625,2.5E9,2.352523274273547+0.12999938191910013i,2.352523274273547,9.048209458940141
0.01905625,2.5E9,2.35823998841823+0.14824239562636038i,2.35823998841823,7.9539998610184695
0.01905625,2.5E9,2.3584401517983506+0.14857445045060994i,2.3584401517983506,7.9368967700888735
0.01905625,2.5E9,2.358595799966027+0.1483583170440946i,2.358595799966027,7.948984077734625
0.01905625,2.5E9,2.358679733187091+0.14814255766549608i,2.358679733187091,7.960844508007477
0.01905625,2.5E9,2.3657068787232745+0.18922722449295623i,2.3657068787232745,6.250968604180249
0.01905625,2.5E9,2.366588660328193+0.1901563949331413i,2.366588660328193,6.222742761715382
0.01905625,2.5E9,2.3839990038398766+0.035103551320558084i,2.3839990038398766,33.95666412879014
0.01905625,2.5E9,2.384412637826793+0.03509599657608918i,2.384412637826793,33.969866515363286
0.01905625,2.5E9,2.401428283016945+0.05025907733463848i,2.401428283016945,23.8904931245314
0.01905625,2.5E9,2.401759623651061+0.05044441492758576i,2.401759623651061,23.80600138884402
0.01905625,2.5E9,2.405039566665812+0.20631321090764373i,2.405039566665812,5.828612613039186
0.01905625,2.5E9,2.4053753890251457+0.20652817563047438i,2.4053753890251457,5.823358923503267
0.01905625,2.5E9,2.408706283133394+0.2165466628591926i,2.408706283133394,5.561633348050329
0.01905625,2.5E9,2.4097480947221532+0.21566257764887903i,2.4097480947221532,5.586848031292365
0.01905625,2.5E9,2.409867315371836+0.1986130027089913i,2.409867315371836,6.066741055475569
0.01905625,2.5E9,2.4102203532666695+0.19771430659890563i,2.4102203532666695,6.0952097871100905
0.01905625,2.5E9,2.4142322940467045+0.1667105200419663i,2.4142322940467045,7.240791683209212
0.01905625,2.5E9,2.4147894687539657+0.16748935502434506i,2.4147894687539657,7.20878490577198
0.01905625,2.5E9,2.416587902880088+0.20117798678062465i,2.416587902880088,6.006094258998789
0.01905625,2.5E9,2.4169818314568774+0.20197985959216255i,2.4169818314568774,5.983224853055258
0.01905625,2.5E9,2.421671666744755+0.19623820018756505i,2.421671666744755,6.170235113321754
0.01905625,2.5E9,2.4219280370378033+0.19549988221534706i,2.4219280370378033,6.194193084909383
0.01905625,2.5E9,2.422738910274343+0.0495085379532429i,2.422738910274343,24.467889887623404
0.01905625,2.5E9,2.4229770018191363+0.04964628840846i,2.4229770018191363,24.40239824057268
0.01905625,2.5E9,2.423012921742208+0.1985570110059257i,2.423012921742208,6.101554685646169
0.01905625,2.5E9,2.4232070286404688+0.19771117080860792i,2.4232070286404688,6.128149003240255
0.01905625,2.5E9,2.4297969811626436+0.19417400489981101i,2.4297969811626436,6.256751469941506
0.01905625,2.5E9,2.4305583410613045+0.1937704991154077i,2.4305583410613045,6.271745059638025
0.01905625,2.5E9,2.4307755414699743+0.19325973787749115i,2.4307755414699743,6.288882433988557
0.01905625,2.5E9,2.4308856752493297+0.22010570301582583i,2.4308856752493297,5.52208698353115
0.01905625,2.5E9,2.430957700295488+0.219514614309058i,2.430957700295488,5.537120405279499
0.01905625,2.5E9,2.4314679873950524+0.19374621999875052i,2.4314679873950524,6.274878517399548
0.01905625,2.5E9,2.434332788560464+0.22829821380576515i,2.434332788560464,5.331475765797233
0.01905625,2.5E9,2.441436915190088+0.1766033155304681i,2.441436915190088,6.9122057755730095
0.01905625,2.5E9,2.441591641478609+0.17609411305456396i,2.441591641478609,6.932632781205086
0.01905625,2.5E9,2.442070431776835+0.17815098900915896i,2.442070431776835,6.853934534293508
0.01905625,2.5E9,2.4422593542890656+0.07250213101778986i,2.4422593542890656,16.842672898054598
0.01905625,2.5E9,2.4425620253406444+0.1786022639683954i,2.4425620253406444,6.83799289849111
0.01905625,2.5E9,2.4431396352063413+0.07255804624162399i,2.4431396352063413,16.835759517769365
0.01905625,2.5E9,2.4458061490052962+0.16127943915964843i,2.4458061490052962,7.582510708585192
0.01905625,2.5E9,2.4462792032959593+0.2251027722906814i,2.4462792032959593,5.433694082045803
0.01905625,2.5E9,2.4464228554562135+0.16080564715669463i,2.4464228554562135,7.606769098949411
0.01905625,2.5E9,2.4465726833861057+0.1627838223754299i,2.4465726833861057,7.514790621341817
0.01905625,2.5E9,2.4469910385156792+0.16228849968734652i,2.4469910385156792,7.539015528610708
0.01905625,2.5E9,2.4487699800722686+0.22488720370535842i,2.4487699800722686,5.444440456649072
0.01905625,2.5E9,2.449006209811587+0.2243543944281691i,2.449006209811587,5.457896681840298
0.01905625,2.5E9,2.449046816434333+0.14826238881338355i,2.449046816434333,8.259164161711048
0.01905625,2.5E9,2.4495498165761953+0.1484796389206311i,2.4495498165761953,8.248773482960809
0.01905625,2.5E9,2.4501088342747472+0.1501200900426466i,2.4501088342747472,8.160496152043049
0.01905625,2.5E9,2.4501303774301655+0.2204799146955489i,2.4501303774301655,5.556357323553585
0.01905625,2.5E9,2.4507035980962715+0.1503349444740916i,2.4507035980962715,8.150811531774705
0.01905625,2.5E9,2.455939367682171+0.21275900959588315i,2.455939367682171,5.7716459865718726
0.01905625,2.5E9,2.456499284584028+0.21231346083065092i,2.456499284584028,5.78507663850721
0.01905625,2.5E9,2.4569754503707935+0.21462890635347703i,2.4569754503707935,5.723775730199983
0.01905625,2.5E9,2.457344600852069+0.2093810205782071i,2.457344600852069,5.868116876272013
0.01905625,2.5E9,2.457804562977142+0.2108148460588944i,2.457804562977142,5.829296676502842
0.01905625,2.5E9,2.4580694560264873+0.21526014753050093i,2.4580694560264873,5.709532127116552
0.01905625,2.5E9,2.4602648967859913+0.21589962267555612i,2.4602648967859913,5.69770541119278
0.01905625,2.5E9,2.460329749402288+0.21776874201417337i,2.460329749402288,5.648950640588627
0.01905625,2.5E9,2.460896645609698+0.1768023959806693i,2.460896645609698,6.959455023106022
