index,cf,freqs,Q
130,2500000000.0,2.527269519509891,11538.5480920362
244,3000000000.0,2.872341637841935,10784.35390268575
325,3000000000.0,2.970540379357987,11045.628029380783
330,3000000000.0,2.971980038831947,38121.12605493999
420,3000000000.0,3.0615015530085197,39522.71831428996
475,3000000000.0,3.1888001166331854,44358.34716106784
477,3000000000.0,3.1932506881110996,44730.15150592594
501,3500000000.0,3.4069204937267163,21533.539236413268
503,3500000000.0,3.413258794074431,15082.65945959862
522,3500000000.0,3.443743334947149,16498.940826187518
536,3500000000.0,3.4509451437118943,18504.550967688025
702,3500000000.0,3.625473380840644,14521.078554825812
706,3500000000.0,3.6320447751599767,21089.97564725188
712,3500000000.0,3.6488050794817233,14651.433850831649
723,4000000000.0,3.844326035135522,11686.016693474896
725,4000000000.0,3.85438862394703,7300.988273189526
