index,cf,freqs,Q
1811,2500000000.0,2.5270838508466156,11636.646055835025
1925,3000000000.0,2.8732409092463884,9887.118001530536
2005,3000000000.0,2.969833012286034,8013.885756769508
2009,3000000000.0,2.9716733256678167,79424.85916484181
2098,3000000000.0,3.05970950586748,33547.62975324983
2102,3000000000.0,3.062964230854598,36821.935743511414
2155,3000000000.0,3.187906766219891,54614.716229991325
2157,3000000000.0,3.192901720601182,48748.839562511486
2182,3500000000.0,3.4110230007333624,20305.07060384791
2201,3500000000.0,3.4422777156303233,3943.9123694609393
2217,3500000000.0,3.4526627499164744,8490.73097854154
2383,3500000000.0,3.6247667485399098,11235.013441642725
2387,3500000000.0,3.630728147540744,7007.156383754608
2391,3500000000.0,3.6450736022664945,12481.142564532229
2403,4000000000.0,3.844447091338926,6657.635097799087
2586,4000000000.0,4.060610712414864,3349.915866646434
