% Model,6inch_1inch_ALUMINA_only_WGM_testing_LN_with_fieldnormplot.mph
% Version,COMSOL 6.1.0.282
% Date,"May 20 2025, 18:49"
% Table,Table 1 - 
% Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
4.958019977829263+0.01467401949897859i,4.958019977829263,168.93871437796489
4.958290983525943+0.01474005043179777i,4.958290983525943,168.191113268844
4.978140984295603+2.2762978942384356E-5i,4.978140984295603,109347.30899887564
4.97996690531432+3.153782434747802E-5i,4.97996690531432,78952.28996214115
4.999343528519236+0.025656193671191808i,4.999343528519236,97.42956403803528
5.000266259573953+0.04520335256815842i,5.000266259573953,55.3085775223692
5.000345207654794+0.025853769620307283i,5.000345207654794,96.70437388997208
5.000410320010499+0.04562503702892557i,5.000410320010499,54.7989727311379
5.001458475772488+2.1673746431570586E-4i,5.001458475772488,11538.057094935888
5.003266321589357+2.0643174870297267E-4i,5.003266321589357,12118.451626325123
5.005192089031219+0.031059980959708668i,5.005192089031219,80.5730063956576
5.006878468127566+0.031507774808232636i,5.006878468127566,79.45465045692983
5.0145244068836465+0.0787386290547895i,5.0145244068836465,31.842848085368225
5.014819334493274+0.0807020429812333i,5.014819334493274,31.069965203107902
5.015099143695231+0.00791709946944989i,5.015099143695231,316.7257884688228
5.016727339467044+0.008227425126639898i,5.016727339467044,304.8783344878575
5.018487870417766+8.88609894564859E-5i,5.018487870417766,28237.857248231834
5.019157396803392+1.0872077392767735E-4i,5.019157396803392,23082.789127964676
5.020410917015002+1.5110060230129476E-4i,5.020410917015002,16612.809083991266
5.021189450396078+0.023434181451674713i,5.021189450396078,107.13387751030753
5.022378359787885+1.1632200625986103E-4i,5.022378359787885,21588.255400994345
5.025658309568733+0.013337906377805159i,5.025658309568733,188.39757032376693
5.026641329297581+0.013437130398725313i,5.026641329297581,187.0429615602459
5.032474409768512+9.735344282799786E-4i,5.032474409768512,2584.6412122577876
5.033343448333274+9.229572073316891E-4i,5.033343448333274,2726.7480054058506
5.043020661237219+0.02523049179556056i,5.043020661237219,99.93900836535747
5.0443649736390554+0.025104124229306062i,5.0443649736390554,100.46884981054951
5.046782067118921+0.026490737648512078i,5.046782067118921,95.2555971464688
5.0475892715592945+0.02675408909716056i,5.0475892715592945,94.33304294585383
5.0533501927948565+0.01691963288275855i,5.0533501927948565,149.3339195894824
5.054534868849022+0.016963468477004917i,5.054534868849022,148.98294165785646
5.067909244583606+3.274084855562199E-5i,5.067909244583606,77394.2867725917
5.0696096991906945+2.714962433111796E-5i,5.0696096991906945,93364.26974755748
5.093231809560546+3.117965033060829E-5i,5.093231809560546,81675.57614590447
5.09479344402228+2.1391374433697883E-5i,5.09479344402228,119085.22895089058
5.107987467444235+0.015887206027220865i,5.107987467444235,160.75789093098868
5.108315812759812+0.01574660470314587i,5.108315812759812,162.20372293143512
5.110492888062914+0.0566854367270478i,5.110492888062914,45.077652948772375
5.111304540746357+0.05609667903098672i,5.111304540746357,45.55799584787337
5.1139748945413865+2.1014945322310423E-5i,5.1139748945413865,121674.71330777527
5.115972102528406+3.24384214289471E-5i,5.115972102528406,78856.6748498289
5.130881195131747+0.028786858987080336i,5.130881195131747,89.11846195923125
5.131844664560144+0.02883336528892639i,5.131844664560144,88.99142734703702
5.141885164160622+2.277167090037845E-5i,5.141885164160622,112900.91945064883
5.144246344608651+3.218574745946138E-5i,5.144246344608651,79914.97402830144
5.146576534565599+0.019541913063528673i,5.146576534565599,131.6804684841916
5.147059952879794+0.04269388699933667i,5.147059952879794,60.27865245626106
5.147481370609641+0.01934877069102005i,5.147481370609641,133.0183052145694
5.148470247807773+0.04278363819413927i,5.148470247807773,60.16868206071634
5.1552560060022845+2.139735473064308E-4i,5.1552560060022845,12046.479742235286
5.156950185948033+2.0730005888467892E-4i,5.156950185948033,12438.37125202373
5.160396221170581+0.2995569167017919i,5.160396221170581,8.613381854086416
5.163438324962516+0.30456144920284106i,5.163438324962516,8.476841600401654
5.164075705483739+0.29838153114385924i,5.164075705483739,8.653477455000347
5.165168496073294+0.04762547386539484i,5.165168496073294,54.226951218078675
5.1662537073049375+0.047851070872018404i,5.1662537073049375,53.9826341726239
5.1667509070900905+0.30390191119394006i,5.1667509070900905,8.500688407636966
5.172791011237017+0.04863747354192928i,5.172791011237017,53.177011823791275
5.174130982977593+0.04819238357407914i,5.174130982977593,53.68204059697686
5.177959102538597+0.26557923288067836i,5.177959102538597,9.748426197286655
5.178088255386527+0.26329056482343804i,5.178088255386527,9.833410207576064
5.178868889073971+0.2620643995976302i,5.178868889073971,9.880908847263361
5.179420170157329+0.2647132885764137i,5.179420170157329,9.78307548897797
5.180789080680726+0.3200020805763629i,5.180789080680726,8.094930306936584
5.182051541895885+0.02116127332304307i,5.182051541895885,122.44186497636258
