% Model:              6inch_1inch_ALUMINA_only_WGM_testing_LN_with_fieldnormplot.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 20 2025, 17:48
% Table:              Table 1 - 
% Eigenfrequency (GHz)                            Frequency (GHz)                                   Quality factor (1)
5.174248834391213+0.05067597861738806i            5.174248834391213                                 51.05228330623509
5.181973988284765+0.023623669382107356i           5.181973988284765                                 109.67758446978627
5.183335490891878+0.0025116448325358067i          5.183335490891878                                 1031.860759878752
5.1838123805161525+0.047619827228007394i          5.1838123805161525                                54.42913889308817
5.184905306561785+0.023521955520981037i           5.184905306561785                                 110.21416357022208
5.185878176197307+0.0025649997537338493i          5.185878176197307                                 1010.8925290632613
5.188874969558223+0.009518416409727821i           5.188874969558223                                 272.570286179915
5.1898849910516995+0.002927358395449982i          5.1898849910516995                                886.4450965618665
5.19014636457959+0.009573158501446941i            5.19014636457959                                  271.0780545310684
5.1907248642657695+0.0033921723194919057i         5.1907248642657695                                765.1033578747054
5.191292456903575+0.003491820829509205i           5.191292456903575                                 743.3503479090651
5.191994512849378+0.003406988238334139i           5.191994512849378                                 761.9624943859544
5.195758960987035+0.004940407400393163i           5.195758960987035                                 525.843168376514
5.196061873928065+0.004440796669702434i           5.196061873928065                                 585.0371296414525
5.205972564978887+0.024422512880813645i           5.205972564978887                                 106.58142735731148
5.206519397722041+0.024510405714981226i           5.206519397722041                                 106.21038791168841
5.207911292265086+0.06633187769140059i            5.207911292265086                                 39.25647421360613
5.208580356828513+0.06581926471387188i            5.208580356828513                                 39.567293705506614
5.214368283587752+0.016454238040410536i           5.214368283587752                                 158.45061529988817
5.215955054213567+0.016402363725819692i           5.215955054213567                                 159.00010332056286
5.216184937547153+0.0026413332345987966i          5.216184937547153                                 987.4151563347631
5.2163994001168215+0.0027058081608440816i         5.2163994001168215                                963.9263188727979
5.217776404409815+0.002731247722931701i           5.217776404409815                                 955.2001381275466
5.218792317647018+0.0026432233635154566i          5.218792317647018                                 987.2022905219188
5.2374219489765865+0.07956481555268509i           5.2374219489765865                                32.912927106005455
5.239893317939212+0.08036948029600587i            5.239893317939212                                 32.598775671065404
5.242786856816356+0.022348342684345414i           5.242786856816356                                 117.29699447666042
5.24297819270527+0.1823818083083812i              5.24297819270527                                  14.37363254958015
5.243309980569914+0.18660136672492056i            5.243309980569914                                 14.04949511516539
5.245101753225938+0.022507279790210936i           5.245101753225938                                 116.52011709356327
5.249582882499776+0.0026383062711801586i          5.249582882499776                                 994.8774598014257
5.2564974274047795+0.1775437007438616i            5.2564974274047795                                14.803390391721678
5.257501870563934+0.05864667023816891i            5.257501870563934                                 44.82353259965818
5.258124104604322+0.0026361638836931794i          5.258124104604322                                 997.305997766319
5.259637744586454+0.17967533290797294i            5.259637744586454                                 14.636504798575672
5.261857121963814+0.059833363533037004i           5.261857121963814                                 43.970928686455
5.27494366477517+0.0026137608502843084i           5.27494366477517                                  1009.0715958580134
5.277665301869765+0.0026180893564886286i          5.277665301869765                                 1007.9230658781162
5.290388155283833+0.014339312474418914i           5.290388155283833                                 184.47147186177142
