% Model,6inch_1inch_ALUMINA_only_WGM_Qtesting_1to10GHz_PEC_null.mph
% Version,COMSOL 6.1.0.282
% Date,"Jun 4 2025, 08:53"
% Table,Table 1 - 
% search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
500000000,4.09811350200765E-15+0.24458074838854507i,4.09811350200765E-15,8.377833351579492E-15
500000000,-2.1249477417817453E-15+0.2568284727708749i,-2.1249477417817453E-15,-4.1369006303235715E-15
500000000,-4.17400449278557E-15+0.7279313775986606i,-4.17400449278557E-15,-2.867031578275278E-15
500000000,-4.17400449278557E-15+0.7288063804408617i,-4.17400449278557E-15,-2.86358942841628E-15
500000000,4.209769260554526E-9+1.1065661150692555E-6i,4.209769260554526E-9,0.0019021770155554848
500000000,5.669527004016472E-9-1.0511375182072267E-6i,5.669527004016472E-9,0.002696853126166671
500000000,6.057363055363619E-9-9.936194526645507E-7i,6.057363055363619E-9,0.003048130267135886
500000000,1.0667672367339534E-8+7.437962593279939E-7i,1.0667672367339534E-8,0.0071710984248412185
500000000,1.2103850400511827E-8+8.095563277573842E-7i,1.2103850400511827E-8,0.007475607308290491
500000000,1.2836559702634851E-8+9.634806186254165E-7i,1.2836559702634851E-8,0.006661555746159473
500000000,1.5643634111039296E-8+9.031956599591423E-7i,1.5643634111039296E-8,0.008660157928431013
500000000,1.6537628919929317E-8-9.720720162426138E-7i,1.6537628919929317E-8,0.008506380516874064
500000000,1.745768127995789E-8+8.443312740576939E-7i,1.745768127995789E-8,0.01033817046481035
500000000,2.0436803600095506E-8-1.0261018364781278E-6i,2.0436803600095506E-8,0.009958467509540965
500000000,2.167469729533081E-8-9.422788058208452E-7i,2.167469729533081E-8,0.011501212359567707
500000000,2.2057173545454267E-8+9.214165026358301E-7i,2.2057173545454267E-8,0.011969165671743935
500000000,2.5710491164768384E-8-7.664811026597188E-7i,2.5710491164768384E-8,0.016771771068818265
500000000,2.7468351907427608E-8+9.783882639657426E-7i,2.7468351907427608E-8,0.014037551818175424
500000000,3.086708872060874E-8-9.019336091779409E-7i,3.086708872060874E-8,0.017111619085102208
500000000,3.870874003835018E-8-6.956727215736319E-7i,3.870874003835018E-8,0.027821085143880507
500000000,4.0514648429744776E-8+6.492309975230788E-7i,4.0514648429744776E-8,0.031202028695729803
500000000,4.1540344236357824E-8-8.807197528644806E-7i,4.1540344236357824E-8,0.02358317961034183
500000000,5.11296708151042E-8+5.548039119679618E-7i,5.11296708151042E-8,0.046079046769642085
500000000,5.7249620487543454E-8-6.111278897265989E-7i,5.7249620487543454E-8,0.046839312564474274
500000000,7.89905465603793E-8+4.2764778501111133E-7i,7.89905465603793E-8,0.0923546775278246
500000000,8.191925070079362E-8-5.17705018053018E-7i,8.191925070079362E-8,0.07911769042617653
500000000,8.604656614536072E-8-3.673121228607286E-7i,8.604656614536072E-8,0.11713003844687485
500000000,1.6315731388597543E-7+2.780809038017907E-7i,1.6315731388597543E-7,0.29336303150515863
500000000,2.0237064727840167E-7-2.5698773211609116E-7i,2.0237064727840167E-7,0.39373600757522376
500000000,3.0248561815788556E-7-1.4770492807711186E-7i,3.0248561815788556E-7,1.0239523558752481
500000000,3.3734740820493735E-7+2.235020562036251E-7i,3.3734740820493735E-7,0.7546852452614387
500000000,4.304519782570154E-7+1.2535826316640018E-7i,4.304519782570154E-7,1.716887133661204
500000000,4.60763164331811E-7-7.293326913053932E-8i,4.60763164331811E-7,3.1587996111014567
500000000,5.107143247859258E-7-2.3752964894846456E-7i,5.107143247859258E-7,1.0750538449554408
500000000,5.460392842281024E-7+4.840967435671749E-8i,5.460392842281024E-7,5.639774399270796
500000000,6.064594903673602E-7-1.462708793545565E-8i,6.064594903673602E-7,20.730698175995766
500000000,6.48460954486746E-7-5.348889680886601E-8i,6.48460954486746E-7,6.061640762604594
500000000,6.622934675577981E-7+5.7380769906626386E-8i,6.622934675577981E-7,5.771040268678199
500000000,7.02623072047203E-7+3.0332747824753506E-8i,7.02623072047203E-7,11.581922549625007
500000000,7.822288014517848E-7-2.7613097370238705E-8i,7.822288014517848E-7,14.164090159166067
500000000,7.863512459089998E-7+3.0750981457018366E-8i,7.863512459089998E-7,12.785791032525387
500000000,8.14452416284958E-7+1.326212908141381E-9i,8.14452416284958E-7,307.0594514972604
500000000,8.617911697039849E-7+1.7579315995664306E-8i,8.617911697039849E-7,24.511510286194685
500000000,8.75876789626347E-7-2.2277758972927353E-8i,8.75876789626347E-7,19.65809915375107
500000000,9.048972460909999E-7-5.489696383177999E-9i,9.048972460909999E-7,82.41778624259294
500000000,9.431438536328321E-7+1.0871135601390853E-8i,9.431438536328321E-7,43.37835016574379
500000000,9.522145866393058E-7+4.2933357300166964E-9i,9.522145866393058E-7,110.89449399239071
500000000,9.695804152317414E-7-4.012958004166755E-9i,9.695804152317414E-7,120.80620009292417
500000000,9.911387783166169E-7+3.1171210085628434E-9i,9.911387783166169E-7,158.9830448663884
500000000,1.009275651862148E-6-3.856657538544259E-9i,1.009275651862148E-6,130.84849273953307
500000000,1.0105719419292941E-6+1.4318786203437019E-9i,1.0105719419292941E-6,352.8832428850432
500000000,1.086232616831126E-6-3.229666798137285E-8i,1.086232616831126E-6,16.81648115306527
500000000,1.0966060413098178E-6-1.0828275186834045E-9i,1.0966060413098178E-6,506.36228872496997
500000000,1.1089274403691474E-6+1.222905504685704E-8i,1.1089274403691474E-6,45.33986624968829
500000000,1.198291712467779E-6+1.68931224355391E-8i,1.198291712467779E-6,35.46685099336222
500000000,4.431183830029713E-5+1.8024400211468267E-5i,4.431183830029713E-5,1.229218109352208
500000000,1.058189458266179E-4-3.152978216649895E-6i,1.058189458266179E-4,16.78079240570408
500000000,0.41073588284871976+0.7453087078904497i,0.41073588284871976,0.27554748690061753
500000000,0.410736407001303+0.7453095626930284i,0.410736407001303,0.27554752250674763
500000000,0.6609348831396515+0.7151609565652465i,0.6609348831396515,0.4620882034122568
500000000,0.6609632677860714+0.7151485085518585i,0.6609632677860714,0.46211609189012387
500000000,0.8709765301893213+0.08865121889832812i,0.8709765301893213,4.912377635710923
500000000,1.0297197596746486+0.8961720452436078i,1.0297197596746486,0.5745100871756931
500000000,1.0297500754588074+0.8961580186186416i,1.0297500754588074,0.5745359936889743
500000000,1.07318205570244+0.5031731435948547i,1.07318205570244,1.0664142843904898
500000000,1.1192537477452973+0.8772631899468714i,1.1192537477452973,0.6379235790191319
500000000,1.119285278460503+0.8772365937070673i,1.119285278460503,0.6379608913318213
500000000,1.1552784396196942+0.45850512789632103i,1.1552784396196942,1.2598315365852684
500000000,1.1553078291511494+0.4584862710102738i,1.1553078291511494,1.259915402270858
500000000,1.1632509437210736+0.094025059921358i,1.1632509437210736,6.185855902107427
500000000,1.1632552940078533+0.09402477227909214i,1.1632552940078533,6.185897959715246
500000000,1.267085283693179+0.5367349313314412i,1.267085283693179,1.1803640956905934
500000000,1.345129744284268+0.072764292722692i,1.345129744284268,9.24306204288014
500000000,1.345140926701231+0.07275453207327241i,1.345140926701231,9.244378929868693
500000000,1.3879012732168008+0.3759761398480161i,1.3879012732168008,1.8457305213275546
500000000,1.387911331474848+0.37598633094334877i,1.387911331474848,1.845693868700734
500000000,1.5159704685721198+0.05099985522830983i,1.5159704685721198,14.862497763823162
500000000,1.57003151819505+0.7439936454220586i,1.57003151819505,1.0551377205005492
500000000,1.5700355114221647+0.7439958383177588i,1.5700355114221647,1.0551372941629322
500000000,1.5721120491232106+0.27610571609719026i,1.5721120491232106,2.8469386134871266
500000000,1.572128439799831+0.2761297529058657i,1.572128439799831,2.8467204697347097
500000000,1.596852082315307+0.023712608742847405i,1.596852082315307,33.67094906411292
500000000,1.5968641465938747+0.023707906944704163i,1.5968641465938747,33.67788118787474
500000000,1.6040348032576008+0.7353797902691177i,1.6040348032576008,1.090616593278007
500000000,1.6040424567568439+0.7353823595300759i,1.6040424567568439,1.090617986663332
500000000,1.699115971703889+0.24922079265071528i,1.699115971703889,3.408856768394145
500000000,1.7315879385748958+0.4130939315618198i,1.7315879385748958,2.09587675619941
500000000,1.7315993297055352+0.4130877750981044i,1.7315993297055352,2.0959217799344185
500000000,1.7532252418357555+0.3094166789580399i,1.7532252418357555,2.833113663652099
500000000,1.7532264543722569+0.30943386554182933i,1.7532264543722569,2.83295826606163
500000000,1.772835953348876+0.18525524853117822i,1.772835953348876,4.784846765220015
500000000,1.7728639807482252+0.18525320860421232i,1.7728639807482252,4.784975100042379
500000000,1.7873544582977452+0.2802941422600704i,1.7873544582977452,3.1883549971575063
500000000,1.807232644917571+0.05105953167172461i,1.807232644917571,17.697309255955904
