% Model,6inch_1inch_ALUMINA_only_WGM_Qtesting_1to10GHz_CoorstekDataSheetmph_epsilon9.7.mph
% Version,COMSOL 6.1.0.282
% Date,"May 28 2025, 12:11"
% Table,Table 1 - 
% search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
500000000,8.272117994793221E-15+0.24457808776357792i,8.272117994793221E-15,1.691099572826304E-14
500000000,2.049056751003825E-15+0.25684191229839964i,2.049056751003825E-15,3.988945442485308E-15
500000000,1.4419288247804696E-15+0.7279271178061364i,1.4419288247804696E-15,9.904348866176519E-16
500000000,-8.348008985571141E-16+0.7288114221698467i,-8.348008985571141E-16,-5.727139237689986E-16
500000000,7.1511056081658E-10-8.992798324443377E-7i,7.1511056081658E-10,3.976018003610922E-4
500000000,8.837353335197258E-10-9.40824288291095E-7i,8.837353335197258E-10,4.696601397934437E-4
500000000,8.944766407904693E-10-9.749442449146888E-7i,8.944766407904693E-10,4.587322021008182E-4
500000000,1.0256539906771307E-9+9.244763492806804E-7i,1.0256539906771307E-9,5.547215953524258E-4
500000000,2.2107368150318743E-9+1.0357647968674863E-6i,2.2107368150318743E-9,0.0010672002088301866
500000000,3.469812672376173E-9+9.077810403026893E-7i,3.469812672376173E-9,0.0019111506620689076
500000000,7.941800028920621E-9+8.66764452491395E-7i,7.941800028920621E-9,0.004581290802877882
500000000,1.1710693480019258E-8-8.73429154006367E-7i,1.1710693480019258E-8,0.006703859967521699
500000000,1.4421563004362274E-8+8.279809100632512E-7i,1.4421563004362274E-8,0.008708874099078312
500000000,1.655721957207071E-8+8.807726122518926E-7i,1.655721957207071E-8,0.009399258867585851
500000000,2.022811635281565E-8-8.138532153045664E-7i,2.022811635281565E-8,0.012427373863262143
500000000,2.4492870002226616E-8-8.597146458220073E-7i,2.4492870002226616E-8,0.014244767215061231
500000000,4.061099553352292E-8+7.801671685999326E-7i,4.061099553352292E-8,0.026027111347432335
500000000,4.2099763139446664E-8-7.619494989568123E-7i,4.2099763139446664E-8,0.027626347413500233
500000000,4.628532567834572E-8+7.295738221690357E-7i,4.628532567834572E-8,0.03172079662942034
500000000,6.710461888537908E-8+5.991758136462635E-7i,6.710461888537908E-8,0.05599743627585388
500000000,7.164752591745953E-8+6.595689010868521E-7i,7.164752591745953E-8,0.054313905491448405
500000000,7.45363901715731E-8-7.226171822080717E-7i,7.45363901715731E-8,0.0515739121673078
500000000,7.662882090053622E-8-6.586536496696352E-7i,7.662882090053622E-8,0.05817080110234824
500000000,8.536885694152922E-8+9.058292604435554E-7i,8.536885694152922E-8,0.04712193603666923
500000000,9.8187633867205E-8+5.203987422683523E-7i,9.8187633867205E-8,0.09433884624626254
500000000,1.0296757381107583E-7-5.72161289761614E-7i,1.0296757381107583E-7,0.08998124799213206
500000000,1.0902535024466622E-7-6.603397321974691E-7i,1.0902535024466622E-7,0.08255246877380316
500000000,1.4921391398389497E-7+3.6761191783236606E-7i,1.4921391398389497E-7,0.2029503217193542
500000000,1.7597709689851595E-7-4.61718566944103E-7i,1.7597709689851595E-7,0.19056749013064947
500000000,1.8132818105533276E-7-4.084816287120319E-7i,1.8132818105533276E-7,0.2219538998939461
500000000,2.12062297148777E-7+4.526764557400565E-7i,2.12062297148777E-7,0.23423163990502632
500000000,2.895203289692716E-7+3.1893886133795717E-7i,2.895203289692716E-7,0.45388060858235657
500000000,2.9354123978061674E-7-2.523921392144065E-7i,2.9354123978061674E-7,0.5815181896993514
500000000,2.943405195973763E-7-3.639422388022084E-7i,2.943405195973763E-7,0.40437806912176166
500000000,2.949781119127907E-7+3.8560550183389585E-7i,2.949781119127907E-7,0.3824869076166035
500000000,3.1136979259162525E-7+2.2751924013832451E-7i,3.1136979259162525E-7,0.6842713442659228
500000000,3.8273234768693173E-7-3.216535636063239E-7i,3.8273234768693173E-7,0.5949449827258295
500000000,3.9431517532044693E-7+1.8077524800013706E-7i,3.9431517532044693E-7,1.0906226922176534
500000000,4.219909675861759E-7-1.6191110814240476E-7i,4.219909675861759E-7,1.3031563196239278
500000000,4.6638312389411074E-7+1.0358149611246544E-7i,4.6638312389411074E-7,2.251285902395767
500000000,4.870336891166935E-7-1.0914417844732475E-7i,4.870336891166935E-7,2.2311482666560454
500000000,5.640603526751659E-7+4.8388905940561594E-8i,5.640603526751659E-7,5.828405723494019
500000000,5.81391203034061E-7-7.87015019325419E-8i,5.81391203034061E-7,3.693647444825092
500000000,6.441837927362339E-7+3.522666712323296E-8i,6.441837927362339E-7,9.14341101987728
500000000,6.57450896752404E-7-4.2410853006844434E-8i,6.57450896752404E-7,7.7509746932737
500000000,6.940123280721038E-7+2.449657036725525E-8i,6.940123280721038E-7,14.16549985706969
500000000,7.252392307787338E-7-1.6683455668557094E-8i,7.252392307787338E-7,21.73528210182422
500000000,7.510796162802988E-7+3.1570060250289405E-8i,7.510796162802988E-7,11.89544160393887
500000000,7.74902380141714E-7-1.2691271490614807E-8i,7.74902380141714E-7,30.528949787054593
500000000,7.811201485960245E-7+2.14915538404834E-8i,7.811201485960245E-7,18.172723908046084
500000000,8.181654831848755E-7+2.2471463957670864E-8i,8.181654831848755E-7,18.20454343175061
500000000,8.354927159720221E-7-1.41261077754319E-8i,8.354927159720221E-7,29.572644115922344
500000000,8.515982332017835E-7-4.666644116259909E-8i,8.515982332017835E-7,9.124310875073741
500000000,8.586274900565401E-7+6.8832273104390375E-9i,8.586274900565401E-7,62.370996287915254
500000000,8.73243975427948E-7-1.1455039370125862E-10i,8.73243975427948E-7,3811.6149024564775
500000000,8.869397674640191E-7+7.896113265784878E-9i,8.869397674640191E-7,56.16306007838508
500000000,8.924143121471073E-7+9.264435502529614E-9i,8.924143121471073E-7,48.16344783788701
500000000,9.044650466708466E-7-3.842038733549962E-9i,9.044650466708466E-7,117.70639358379661
500000000,9.135984654839207E-7-6.4616598024131135E-9i,9.135984654839207E-7,70.69379179810244
500000000,9.182958125795091E-7+2.761547103050236E-9i,9.182958125795091E-7,166.26473826305835
500000000,1.0069969228665493E-6+5.944063762901052E-10i,1.0069969228665493E-6,847.06100324122
500000000,1.1058838435676478E-6-9.0888810939296E-10i,1.1058838435676478E-6,608.3718293477621
500000000,2.2804783270894468E-5+9.433926969725249E-7i,2.2804783270894468E-5,12.086580351998755
