% Model,6inch_1inch_ALUMINA_only_WGM_Qtesting.mph
% Version,COMSOL 6.1.0.282
% Date,"May 21 2025, 09:33"
% Table,Table 5 - 
% search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
5.0E9,4.628162904838757+0.056213986510173126i,4.628162904838757,41.16558166534936
5.0E9,4.628537993150745+0.056543966106898096i,4.628537993150745,40.928664115993854
5.0E9,4.6455593170708225+0.018875172634287358i,4.6455593170708225,123.06004843187537
5.0E9,4.646160808283856+0.018871334710491468i,4.646160808283856,123.10101218492073
5.0E9,4.650254443869332+0.017912079269131024i,4.650254443869332,129.80777870616612
5.0E9,4.651755331882803+0.01781640072863124i,4.651755331882803,130.54700000116628
5.0E9,4.655021201627788+1.3125616612296879E-5i,4.655021201627788,177325.81025057062
5.0E9,4.656494308123879+9.417868620838266E-6i,4.656494308123879,247215.93046120732
5.0E9,4.657635811111273+1.2342607215104248E-5i,4.657635811111273,188681.19717086593
5.0E9,4.657901386784582+1.3540272320654361E-5i,4.657901386784582,172001.76172525753
5.0E9,4.669742594841388+0.06532473235694547i,4.669742594841388,35.742531399326054
5.0E9,4.670909265091103+0.06562611998188812i,4.670909265091103,35.58727276867967
5.0E9,4.671602509873163+0.03263139124389307i,4.671602509873163,71.58141795053635
5.0E9,4.672821389143979+0.03279880584630088i,4.672821389143979,71.23462681905828
5.0E9,4.685594695720246+8.532146695156351E-4i,4.685594695720246,2745.847477271007
5.0E9,4.686396897673236+8.17529565567119E-4i,4.686396897673236,2866.1941384482466
5.0E9,4.6873023822091495+0.026201042219643915i,4.6873023822091495,89.4487773218216
5.0E9,4.687824450627579+0.02627905915057164i,4.687824450627579,89.1931561127752
5.0E9,4.6885146563954025+1.532894161438934E-4i,4.6885146563954025,15293.014920202559
5.0E9,4.688675322344706+1.5686256541699972E-4i,4.688675322344706,14945.169709166887
5.0E9,4.690607864545315+1.8155379124771943E-5i,4.690607864545315,129179.5624952072
5.0E9,4.6927805815551045+2.6795530422844865E-5i,4.6927805815551045,87566.48044470535
5.0E9,4.698719428864159+0.020405164343832872i,4.698719428864159,115.13554484760301
5.0E9,4.698880975096715+0.008283145741625652i,4.698880975096715,283.641090092332
5.0E9,4.698902514545121+0.020758174704581984i,4.698902514545121,113.18197725515637
5.0E9,4.700279654531448+0.00827577305597122i,4.700279654531448,283.97828352361927
5.0E9,4.712954072899392+7.145598564085693E-6i,4.712954072899392,329780.2157951504
5.0E9,4.713156335878398+9.0640711238605E-6i,4.713156335878398,259991.13816921404
5.0E9,4.727698886961272+0.029052071377767427i,4.727698886961272,81.3659519399918
5.0E9,4.72878184671103+0.02928940657009362i,4.72878184671103,80.72512215968594
5.0E9,4.731834174998371+0.26845969179685614i,4.731834174998371,8.812932294094557
5.0E9,4.732242462837528+0.2684663203636203i,4.732242462837528,8.81347510635228
5.0E9,4.732424916287253+0.052881845590615865i,4.732424916287253,44.74526998285253
5.0E9,4.732445053711899+0.27051130551988606i,4.732445053711899,8.747222310388805
5.0E9,4.732473186335786+0.27023256960657616i,4.732473186335786,8.756296832068868
5.0E9,4.734503471478313+0.05291708156980976i,4.734503471478313,44.73511511809677
5.0E9,4.743413182883516+0.025003452394518077i,4.743413182883516,94.85516455966484
5.0E9,4.743990559742321+0.024972188944854597i,4.743990559742321,94.98547704845471
5.0E9,4.754156161496099+0.04597132680895339i,4.754156161496099,51.707841512311724
5.0E9,4.7546435980774415+0.045746941569114324i,4.7546435980774415,51.96679204110446
5.0E9,4.764442753174184+1.1130001076487529E-5i,4.764442753174184,214036.04188499213
5.0E9,4.765385281571485+1.4729277958741738E-5i,4.765385281571485,161765.74625449505
5.0E9,4.7656358115871145+0.0222104449446161i,4.7656358115871145,107.28366368775345
5.0E9,4.787003826806637+4.2199921210116616E-4i,4.787003826806637,5671.816071612766
5.0E9,4.787501598551128+2.905627058638728E-4i,4.787501598551128,8238.327737755251
5.0E9,4.788024997777664+3.708519779090833E-4i,4.788024997777664,6455.439478539708
5.0E9,4.789242122927127+3.316373614172498E-4i,4.789242122927127,7220.600993899385
5.0E9,4.792201574117355+0.024654567907135362i,4.792201574117355,97.18689031922615
5.0E9,4.792800550514581+0.0249618842231803i,4.792800550514581,96.00237922071311
5.0E9,4.798033740569851+0.03828006010844967i,4.798033740569851,62.67014376383865
5.0E9,4.798305525435603+0.03892643621678302i,4.798305525435603,61.63299279073006
5.0E9,4.804586118915814+0.039576866357406315i,4.804586118915814,60.69942571409138
5.0E9,4.805817887928264+0.0401354699835869i,4.805817887928264,59.86995903989123
5.0E9,4.818579512142244+0.04334545269873094i,4.818579512142244,55.58344892177492
5.0E9,4.819309506266162+0.04407561365566882i,4.819309506266162,54.67092918905195
5.0E9,4.822558699014947+0.3290489657190212i,4.822558699014947,7.328025919298872
5.0E9,4.822749215633819+0.32921942365364326i,4.822749215633819,7.324521077935567
5.0E9,4.823606560709955+0.3299384377150547i,4.823606560709955,7.309858460437662
5.0E9,4.823990473998509+0.33014702032284754i,4.823990473998509,7.305821614384366
5.0E9,4.8358783303747215+0.016189427777949954i,4.8358783303747215,149.35297271473678
5.0E9,4.836428937511101+0.0561409767733605i,4.836428937511101,43.07396500274322
5.0E9,4.836496927940291+0.016206109938391295i,4.836496927940291,149.21831785439522
5.0E9,4.837703970529338+0.05635242824608596i,4.837703970529338,42.9236513944308
5.0E9,4.845647382672428+0.0038759198139959273i,4.845647382672428,625.0964435815749
5.0E9,4.8457106884911525+0.00387782291227387i,4.8457106884911525,624.7978309109703
5.0E9,4.8532157317823605+4.644303546813497E-5i,4.8532157317823605,52249.12285408434
5.0E9,4.854040382238896+0.022411314674906237i,4.854040382238896,108.29441406384615
5.0E9,4.855026124316373+0.022480599923310415i,4.855026124316373,107.98257477288531
5.0E9,4.855467964914694+4.31233208756606E-5i,4.855467964914694,56297.47276322574
5.0E9,4.8592807236633915+0.04089390921046816i,4.8592807236633915,59.413257591175665
5.0E9,4.859545857976143+0.040499599594808935i,4.859545857976143,59.9949864516564
5.0E9,4.861228182208059+1.4414023990252096E-5i,4.861228182208059,168628.41998513413
5.0E9,4.863492411440337+2.0280653832168026E-5i,4.863492411440337,119904.72426796566
5.0E9,4.87267312852834+0.04333484138487396i,4.87267312852834,56.22119491856671
5.0E9,4.873561003732308+0.04338946766642886i,4.873561003732308,56.16064526533777
5.0E9,4.885231074294941+1.902854717746009E-5i,4.885231074294941,128365.84497847661
5.0E9,4.887610728694075+1.9495148493036246E-5i,4.887610728694075,125354.53962917879
5.0E9,4.890677002465682+2.2242910939273227E-5i,4.890677002465682,109937.88123816231
5.0E9,4.892312874499999+2.4182941275891195E-5i,4.892312874499999,101152.14726542206
5.0E9,4.895147065084538+0.020452738789727108i,4.895147065084538,119.66972040789098
5.0E9,4.896181597128065+0.02045780322618069i,4.896181597128065,119.66538007517396
5.0E9,4.907388806695232+0.331852252370851i,4.907388806695232,7.393936264761486
5.0E9,4.911736040267304+0.33065219996444206i,4.911736040267304,7.427345169328234
5.0E9,4.914948370702801+0.020805014772985353i,4.914948370702801,118.11931941246937
5.0E9,4.917434238740652+4.6293000632047335E-4i,4.917434238740652,5311.207063273029
5.0E9,4.918208191862083+4.418104655990348E-4i,4.918208191862083,5565.9706761288035
5.0E9,4.920111046737918+0.03673183090061464i,4.920111046737918,66.97339781469469
5.0E9,4.920159829151234+0.036549240799440386i,4.920159829151234,67.30864611046267
5.0E9,4.922483887771524+0.3213263507283824i,4.922483887771524,7.65963307493027
5.0E9,4.922867368676928+0.31968823443397054i,4.922867368676928,7.6994816174470655
5.0E9,4.9228940144867614+0.30298760805881764i,4.9228940144867614,8.123919730623276
5.0E9,4.924185583232279+0.058253147026865425i,4.924185583232279,42.26540397003206
5.0E9,4.9246586848402+0.05785555334685789i,4.9246586848402,42.55994800806495
5.0E9,4.925756420369553+0.3029321244629873i,4.925756420369553,8.130132169213685
5.0E9,4.925792852616144+0.30728156439689275i,4.925792852616144,8.015112885610451
5.0E9,4.9272596661753685+1.5058145791133191E-5i,4.9272596661753685,163607.78194473073
5.0E9,4.928586942078605+0.3074403608722601i,4.928586942078605,8.015517104025271
5.0E9,4.928873974919763+9.260021068865029E-6i,4.928873974919763,266137.2980830528
5.0E9,4.9389135561756+0.03478021765374255i,4.9389135561756,71.00176320552934
5.0E9,4.93981293912994+0.03454590010987419i,4.93981293912994,71.4963703857582
5.0E9,4.940958150396211+0.06337811506013817i,4.940958150396211,38.98000236917616
5.0E9,4.946950813098771+0.005034574663608169i,4.946950813098771,491.29779014473877
5.0E9,4.947589338322173+0.005033647962443416i,4.947589338322173,491.45166440290063
5.0E9,4.954659787999731+0.26480422384691105i,4.954659787999731,9.355326202923644
5.0E9,4.955114961418903+0.26687805717097246i,4.955114961418903,9.283481403352061
5.0E9,4.955758400401278+0.2658480247110892i,4.955758400401278,9.320660564973082
5.0E9,4.956019954340222+0.26819000543322535i,4.956019954340222,9.2397551249802
5.0E9,4.956953034008575+0.34016880746378086i,4.956953034008575,7.286019360455854
5.0E9,4.958019977929041+0.014674017181805122i,4.958019977929041,168.93874105847038
5.0E9,4.9582584714684+0.3407684061771571i,4.9582584714684,7.275114684327168
5.0E9,4.95829098362631+0.01474004811546664i,4.95829098362631,168.19113970271258
5.0E9,4.961965907629977+0.34217308597054347i,4.961965907629977,7.25066656478227
5.0E9,4.963961890386953+0.34282079689589523i,4.963961890386953,7.239878582824667
5.0E9,4.967524897970782+0.31086786118581766i,4.967524897970782,7.989769156293551
5.0E9,4.9693232830817+0.3076681224924072i,4.9693232830817,8.075785107058557
5.0E9,4.9781409842958+2.2760540331282408E-5i,4.9781409842958,109359.02469445713
5.0E9,4.979966905314357+3.153538517885699E-5i,4.979966905314357,78958.39668787671
5.0E9,4.992607187560342+0.26814136069544553i,4.992607187560342,9.309655128570293
5.0E9,4.994275430154643+0.2680285394143597i,4.994275430154643,9.316685904171054
5.0E9,4.999343528550891+0.02565619131239072i,4.999343528550891,97.42957299621564
5.0E9,5.000266259651982+0.04520335013433501i,5.000266259651982,55.3085805011379
5.0E9,5.000345207684589+0.025853767261461668i,5.000345207684589,96.70438271366046
5.0E9,5.000410320091866+0.04562503459119669i,5.000410320091866,54.798975659918646
5.0E9,5.001458475774101+2.1673505060462045E-4i,5.001458475774101,11538.185590705463
5.0E9,5.003266321590951+2.0642933449522137E-4i,5.003266321590951,12118.593352600214
5.0E9,5.005192089023112+0.031059978520015318i,5.005192089023112,80.57301272436044
5.0E9,5.006246662007841+0.3554348161114896i,5.006246662007841,7.042425833204713
5.0E9,5.006313727287246+0.35611207028714087i,5.006313727287246,7.029126706166611
5.0E9,5.006878468117918+0.03150777236851706i,5.006878468117918,79.4546566091237
5.0E9,5.008056828231425+0.3599352728729543i,5.008056828231425,6.956885314764788
5.0E9,5.0084541306537735+0.35930777167621203i,5.0084541306537735,6.969587809482605
5.0E9,5.014524406945341+0.07873862650623145i,5.014524406945341,31.842849116427548
5.0E9,5.014819334554266+0.08070204043100933i,5.014819334554266,31.0699661853119
5.0E9,5.015099143712649+0.007917097113189844i,5.015099143712649,316.725882732796
5.0E9,5.016727339485319+0.008227422770137577i,5.016727339485319,304.8784218123649
5.0E9,5.018487870417211+8.885863078700947E-5i,5.018487870417211,28238.60679581212
5.0E9,5.019157396803693+1.0871841562703661E-4i,5.019157396803693,23083.28983574474
5.0E9,5.02041091701618+1.51098153385423E-4i,5.02041091701618,16613.078335279373
5.0E9,5.021189450424799+0.02343417908314737i,5.021189450424799,107.13388833910071
5.0E9,5.022378359788864+1.1631955354486097E-4i,5.022378359788864,21588.710611117862
5.0E9,5.025658309601551+0.0133379040233269i,5.025658309601551,188.39760358194533
5.0E9,5.026641329329738+0.013437128043957282i,5.026641329329738,187.0429943394874
5.0E9,5.032474409774512+9.735320707715692E-4i,5.032474409774512,2584.647471236383
5.0E9,5.032849623866521+0.3213031724093418i,5.032849623866521,7.831932666781525
5.0E9,5.032878459036577+0.3214962253111901i,5.032878459036577,7.827274572454211
5.0E9,5.032884369492986+0.3217090608009729i,5.032884369492986,7.822105409406868
5.0E9,5.0331967935933655+0.3214359852982262i,5.0331967935933655,7.829236650220725
5.0E9,5.033343448339481+9.229548497929311E-4i,5.033343448339481,2726.754970445593
5.0E9,5.043020661256185+0.025230489318328914i,5.043020661256185,99.93901817815
5.0E9,5.044364973659619+0.025104121751324423i,5.044364973659619,100.46885972805426
5.0E9,5.046782067325028+0.02649073534362831i,5.046782067325028,95.25560543827837
5.0E9,5.047589271767423+0.02675408679063597i,5.047589271767423,94.33305108238825
5.0E9,5.0533501928641655+0.016919630451620257i,5.0533501928641655,149.33394104893844
5.0E9,5.0545348689204355+0.016963466046424274i,5.0545348689204355,148.9829630067223
5.0E9,5.055379939906483+0.33450691007173466i,5.055379939906483,7.556465632985522
5.0E9,5.060099078827246+0.3337119679320088i,5.060099078827246,7.58153672189875
5.0E9,5.067909244583529+3.273835534029648E-5i,5.067909244583529,77400.18079566781
5.0E9,5.069609699190636+2.7147130092563657E-5i,5.069609699190636,93372.84791992324
5.0E9,5.09323180956061+3.11771633142563E-5i,5.09323180956061,81682.09144338094
5.0E9,5.094793444022325+2.1388886518301025E-5i,5.094793444022325,119099.08072267003
5.0E9,5.107987467490282+0.01588720363720355i,5.107987467490282,160.75791511631257
5.0E9,5.108315812805557+0.01574660231278459i,5.108315812805557,162.20374755569145
5.0E9,5.110492888122762+0.05668543415798371i,5.110492888122762,45.07765499228331
5.0E9,5.111304540808402+0.05609667646232079i,5.111304540808402,45.557997934526306
5.0E9,5.113974894541394+2.1012454210314984E-5i,5.113974894541394,121689.13834041695
5.0E9,5.115972102528428+3.2435929130457465E-5i,5.115972102528428,78862.73400635392
5.0E9,5.130881195151938+0.028786856553409013i,5.130881195151938,89.11846949375106
5.0E9,5.131844664580769+0.028833362854884394i,5.131844664580769,88.99143485983339
5.0E9,5.141885164160687+2.2769141889424687E-5i,5.141885164160687,112913.45956583627
5.0E9,5.144246344608729+3.218321716441162E-5i,5.144246344608729,79921.25706899905
5.0E9,5.146576534594123+0.019541910654894527i,5.146576534594123,131.68048471517025
5.0E9,5.147059952923273+0.04269388447458909i,5.147059952923273,60.27865602141151
5.0E9,5.147481370637799+0.01934876828150771i,5.147481370637799,133.01832178013692
5.0E9,5.148470247850104+0.04278363567010902i,5.148470247850104,60.168685610876054
5.0E9,5.155256006004358+2.139710610278866E-4i,5.155256006004358,12046.619718664853
5.0E9,5.15695018595008+2.0729757155046535E-4i,5.15695018595008,12438.5204982844
5.0E9,5.160396221170648+0.2995569167017651i,5.160396221170648,8.6133818540873
5.0E9,5.163438324961119+0.3045614492004525i,5.163438324961119,8.47684160046584
5.0E9,5.1640757054835476+0.2983815311435558i,5.1640757054835476,8.653477455008824
5.0E9,5.165168496112463+0.0476254713009789i,5.165168496112463,54.226954138365635
5.0E9,5.166253707339171+0.047851068313210746i,5.166253707339171,53.98263705967114
5.0E9,5.166750907088203+0.30390191119394966i,5.166750907088203,8.500688407633593
5.0E9,5.172791011115851+0.04863747105560959i,5.172791011115851,53.17701454092409
5.0E9,5.174130982858321+0.04819238109000475i,5.174130982858321,53.68204336277805
5.0E9,5.177959102538499+0.26557923288061175i,5.177959102538499,9.748426197288916
5.0E9,5.178088255386369+0.26329056482331364i,5.178088255386369,9.83341020758041
5.0E9,5.178868889073896+0.2620643995976498i,5.178868889073896,9.880908847262479
5.0E9,5.179420170157362+0.2647132885764386i,5.179420170157362,9.783075488977111
5.0E9,5.180789080651013+0.3200020804585867i,5.180789080651013,8.094930309869483
5.0E9,5.1820515419715605+0.021161270860423152i,5.1820515419715605,122.4418792271897
5.0E9,5.1833372652226135+5.5073546727558374E-5i,5.1833372652226135,47058.32085650761
5.0E9,5.183856823715674+0.045059037195209505i,5.183856823715674,57.5229426369856
5.0E9,5.184982684126704+0.02105776087751515i,5.184982684126704,123.11334320599762
5.0E9,5.185879426518748+1.0547128692649527E-4i,5.185879426518748,24584.31852705503
5.0E9,5.185917880919701+0.3151126274339831i,5.185917880919701,8.228673543090817
5.0E9,5.188930906925629+0.007078638489712111i,5.188930906925629,366.5204060404463
5.0E9,5.189890768244992+3.881143974399107E-4i,5.189890768244992,6686.032265845678
5.0E9,5.190202049945913+0.00713263756558978i,5.190202049945913,363.83469664750515
5.0E9,5.190731078305618+9.25612620386178E-4i,5.190731078305618,2803.9435526170637
5.0E9,5.191305627089336+9.55713334470834E-4i,5.191305627089336,2715.9324034982174
5.0E9,5.191994663314657+9.387811483117485E-4i,5.191994663314657,2765.2848976844334
5.0E9,5.195776304119448+0.0024200963213383037i,5.195776304119448,1073.4647745851298
5.0E9,5.196070603757394+0.0019174262473674807i,5.196070603757394,1354.959704679987
5.0E9,5.205990952415674+0.021952875240235467i,5.205990952415674,118.57196142749625
5.0E9,5.206538352498433+0.022040805266250307i,5.206538352498433,118.11134596953399
5.0E9,5.207976735731782+0.0637589019281134i,5.207976735731782,40.84117337531666
5.0E9,5.208643392471854+0.06324623767901637i,5.208643392471854,41.17749595562078
5.0E9,5.214391846101668+0.013991647441407924i,5.214391846101668,186.33945244610038
5.0E9,5.215978140673825+0.013939528693373414i,5.215978140673825,187.09305943584025
5.0E9,5.216187685168409+1.1635948684039168E-4i,5.216187685168409,22414.10574594302
5.0E9,5.21640267179834+2.318310141959144E-4i,5.21640267179834,11250.441814032038
5.0E9,5.2177793232373535+2.5757419464465196E-4i,5.2177793232373535,10128.691910375135
5.0E9,5.218794730631202+1.164706281492314E-4i,5.218794730631202,22403.909095194664
5.0E9,5.237504696656645+0.07692940709223259i,5.237504696656645,34.04097922123116
5.0E9,5.239976482216457+0.07772287502304502i,5.239976482216457,33.709358285207486
5.0E9,5.2428069328268325+0.01984681201993086i,5.2428069328268325,132.08184084078144
5.0E9,5.243753018354198+0.1808418571905498i,5.243753018354198,14.498172878276042
5.0E9,5.244063002364248+0.18509032156549543i,5.244063002364248,14.16622694803791
5.0E9,5.2451210338862735+0.02000550676400749i,5.2451210338862735,131.09193123072816
5.0E9,5.249585159339638+6.671396937220468E-5i,5.249585159339638,39343.97254982398
5.0E9,5.257374598283809+0.05575816429676335i,5.257374598283809,47.14443763161146
5.0E9,5.257425932315657+0.17669002462781783i,5.257425932315657,14.877540323484498
5.0E9,5.258126438330753+6.332796070244411E-5i,5.258126438330753,41515.0462766111
5.0E9,5.260543535598121+0.17879716225205716i,5.260543535598121,14.71092569182427
5.0E9,5.2616894301952675+0.05694362840216394i,5.2616894301952675,46.20086195627214
5.0E9,5.274945586578412+1.528836575263423E-5i,5.274945586578412,172515.02455942763
5.0E9,5.2776672734633285+1.80093329657284E-5i,5.2776672734633285,146525.8953095787
5.0E9,5.290499724279925+0.01192354429391771i,5.290499724279925,221.85096955519552
5.0E9,5.292215294069058+0.012213707224988636i,5.292215294069058,216.65065309742522
5.0E9,5.2988080649398475+4.989447916792395E-5i,5.2988080649398475,53100.14407712601
5.0E9,5.299469635864757+0.12220383992211027i,5.299469635864757,21.68290963378282
5.0E9,5.3001435755310595+1.0689997542122916E-4i,5.3001435755310595,24790.200159758453
5.0E9,5.302455112224147+0.12343147711930114i,5.302455112224147,21.479347229633838
5.0E9,5.307206503842917+0.03162969624140328i,5.307206503842917,83.89594486360863
5.0E9,5.30969074029332+0.03223288006446788i,5.30969074029332,82.36450993013328
5.0E9,5.31383621287839+0.011514532152059056i,5.31383621287839,230.7447728967502
5.0E9,5.316849317337214+0.015043947442027602i,5.316849317337214,176.71057871698522
5.0E9,5.317108380476932+0.011623871418166653i,5.317108380476932,228.71503775269565
5.0E9,5.31958893660414+0.015332592698609955i,5.31958893660414,173.47323577852595
5.0E9,5.3263954574258845+0.027043927903956395i,5.3263954574258845,98.47673526460368
5.0E9,5.328601398619312+0.027020535523494406i,5.328601398619312,98.60280885229093
5.0E9,5.331352960996627+0.02658285284080747i,5.331352960996627,100.27804376233917
5.0E9,5.341369946975374+6.1013264984221414E-5i,5.341369946975374,43772.202228127775
5.0E9,5.342042325054629+6.065585043872926E-5i,5.342042325054629,44035.672457109686
