% Model:              6inch_1inch_ALUMINA_only_WGM_testing_LN_with_fieldnormplot.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 20 2025, 17:59
% Table:              Table 1 - 
% Eigenfrequency (GHz)                            Frequency (GHz)                                   Quality factor (1)
6.038439742662855+0.0182180138446573i             6.038439742662855                                 165.7271696616291
6.039160212991244+0.018087866541064885i           6.039160212991244                                 166.93953925634452
6.044343646002356+0.05748821497075996i            6.044343646002356                                 52.5702846146525
6.044678870185344+0.012495198092228722i           6.044678870185344                                 241.88007367185236
6.047505634196734+0.012696951582567345i           6.047505634196734                                 238.14793633220737
6.057966221962713+0.03129924476392418i            6.057966221962713                                 96.77495843198723
6.0592105686638735+0.031093209668476597i          6.0592105686638735                                97.43623500546674
6.05982793862502+0.02767455071244209i             6.05982793862502                                  109.48376364969505
6.061411938341075+0.02722272034071837i            6.061411938341075                                 111.33001886800272
6.078960285750937+0.003377314527577361i           6.078960285750937                                 899.9695225471849
6.0799135282885235+0.0034796846485190503i         6.0799135282885235                                873.6299611052581
6.083403184094082+0.0037772016276396065i          6.083403184094082                                 805.279117161616
6.084102029024525+0.004784150090826742i           6.084102029024525                                 635.8602796231609
6.084492327847778+0.003230730534166732i           6.084492327847778                                 941.6589009050684
6.086159794751969+0.004824205673832451i           6.086159794751969                                 630.7939800084225
6.087844734201588+0.0033375235098800967i          6.087844734201588                                 912.0302398139959
6.094417523093547+0.003921663353227641i           6.094417523093547                                 777.0194652324845
6.095120185776172+0.05789432820943955i            6.095120185776172                                 52.64004587570614
6.096578378609042+0.05560105204466445i            6.096578378609042                                 54.82430776410172
6.096688173350462+0.0034385807343351236i          6.096688173350462                                 886.5122916081981
6.100022188841742+0.0034859311610580283i          6.100022188841742                                 874.9487449703827
6.101164219259893+0.0034826213552199003i          6.101164219259893                                 875.9442381117905
6.10310627376103+0.0660344625589952i              6.10310627376103                                  46.21152378054501
6.106812895603724+0.003651097024744839i           6.106812895603724                                 836.298358303763
6.107259906606628+0.02481773477175909i            6.107259906606628                                 123.04225109126958
6.109392149127122+0.06777284855012697i            6.109392149127122                                 45.07256430728613
6.110289524485543+0.024362463168006956i           6.110289524485543                                 125.4037714156432
6.114777531343886+0.00316934304530159i            6.114777531343886                                 964.6758719301107
6.117232483529167+0.046705833878680346i           6.117232483529167                                 65.48681369675191
6.118087665571889+0.015250127494455413i           6.118087665571889                                 200.59136121308762
6.119620926815582+0.0032097409810630754i          6.119620926815582                                 953.288904450593
6.120175910433009+0.015810515784145104i           6.120175910433009                                 193.54763607934802
6.121440853746564+0.0446746053155884i             6.121440853746564                                 68.5114150478079
6.124031080802764+0.014658371657409382i           6.124031080802764                                 208.89192960622074
6.12453512069087+0.052258437738748796i            6.12453512069087                                  58.59852863674132
6.125554609209866+0.05376149032368547i            6.125554609209866                                 56.96972472609411
6.1266928823971964+0.014509584223371758i          6.1266928823971964                                211.125721732551
6.133795666213233+0.0059657448809541215i          6.133795666213233                                 514.0846439642114
6.1390371917449205+0.009422455964345013i          6.1390371917449205                                325.76629781955506
6.140148129538144+0.028416884652813765i           6.140148129538144                                 108.03696824187521
6.140165788594263+0.07487341600834685i            6.140165788594263                                 41.00364398967559
6.141748342194042+0.006490115416366917i           6.141748342194042                                 473.1617196441257
6.143686841141798+0.010115882333967874i           6.143686841141798                                 303.66539656714184
6.144457201424557+0.02884916152470009i            6.144457201424557                                 106.4928212240032
6.144759042784046+0.12199264074200566i            6.144759042784046                                 25.1849579015967
6.1467279827967625+0.02969141448463279i           6.1467279827967625                                103.51019123689927
6.147087791878343+0.0743652295488555i             6.147087791878343                                 41.330389411626236
6.148272642986871+0.01679365444675265i            6.148272642986871                                 183.05344624307634
6.148694496176458+0.12371416559230695i            6.148694496176458                                 24.85040604177509
6.149445350994019+0.005730088251878637i           6.149445350994019                                 536.5925515176747
6.149464449974443+0.028123441755472444i           6.149464449974443                                 109.32986978341368
6.15118300789984+0.0035109592868894026i           6.15118300789984                                  875.9974846289933
6.15211883614334+0.005511772294593449i            6.15211883614334                                  558.0889872916206
6.154181216282519+0.051414551475495215i           6.154181216282519                                 59.8486327281847
6.155379027065195+0.016972265643004247i           6.155379027065195                                 181.33639776025908
6.15573259607412+0.0469333469187193i              6.15573259607412                                  65.57951861748555
6.156355021834761+0.07707447645395436i            6.156355021834761                                 39.93770249943037
6.157365456196324+0.0034668410398928434i          6.157365456196324                                 888.0368879541477
6.170257687269615+0.1126743136268496i             6.170257687269615                                 27.380941976287666
6.1730193603569985+0.0034748517440675434i         6.1730193603569985                                888.2421200984926
6.173741232838625+0.003459622717107233i           6.173741232838625                                 892.256430493208
6.174694244684016+0.01450315662229829i            6.174694244684016                                 212.87414890047305
6.176008908685651+0.0034195492992387527i          6.176008908685651                                 903.0442856987805
6.17716925049324+0.0034974481130612507i           6.17716925049324                                  883.0966251399909
6.177505529771929+0.03774983142020808i            6.177505529771929                                 81.82163068501825
6.177574205946871+0.003568187023726223i           6.177574205946871                                 865.6460780880947
6.178802835797862+0.014558152516386157i           6.178802835797862                                 212.21109027547328
6.183135785567868+0.03789177083626876i            6.183135785567868                                 81.58942758686766
6.183345988292753+0.0035499227836139945i          6.183345988292753                                 870.9127444735299
6.183669243053071+0.003430708421165732i           6.183669243053071                                 901.2233748725142
6.185582281161803+0.027027143555526847i           6.185582281161803                                 114.43277881833167
6.185833839571305+0.0033489554789667905i          6.185833839571305                                 923.54674142753
6.186674564149811+0.028126424913522144i           6.186674564149811                                 109.97975361553125
6.1897855262611925+0.11574997425686283i           6.1897855262611925                                26.73774040124333
6.190466989237015+0.1112018094498592i             6.190466989237015                                 27.834380662790792
6.193229926616565+0.003316274177543123i           6.193229926616565                                 933.7632528328595
