% Model,6inch_1inch_ALUMINA_only_WGM_testing.mph
% Version,COMSOL 6.1.0.282
% Date,"Mar 24 2025, 15:16"
% Table,Table 1 - 
% Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
1.7745196837838606+0.18564818739771877i,1.7745196837838606,4.779253998268948
1.7745446799467053+0.18565326392788753i,1.7745446799467053,4.7791906331255865
1.7876843256815418+0.27784221533897746i,1.7876843256815418,3.2170855021086386
1.8081357957378286+0.05110040541190931i,1.8081357957378286,17.691990710864594
1.808155595227706+0.051104389859656124i,1.808155595227706,17.69080503840569
1.8479684852264364+0.007001733742284566i,1.8479684852264364,131.9650641716255
1.847977844258539+0.007001662382037117i,1.847977844258539,131.96707749002277
1.9489362505454284+0.46547069728365653i,1.9489362505454284,2.0935112155489266
1.9490069843282702+0.4654428207147427i,1.9490069843282702,2.093712586795666
1.953323164689794+0.5273268683531277i,1.953323164689794,1.8520990318491974
1.9533701922658853+0.5273264617739438i,1.9533701922658853,1.852145050425388
1.9549571175446914+0.07199024196724052i,1.9549571175446914,13.577931287092376
1.9549601724058763+0.071987616622621i,1.9549601724058763,13.578447683955964
1.9669431242985993+0.47099315330660113i,1.9669431242985993,2.0880803791835416
1.966988666323788+0.47098234652564286i,1.966988666323788,2.08817663850241
1.9689304963934247+0.09716644556055011i,1.9689304963934247,10.1317408753337
1.9689374417963497+0.09717171484590413i,1.9689374417963497,10.131227203917879
2.066080778592013+0.4488197294175442i,2.066080778592013,2.301682215789922
2.066122775857352+0.4488618928062817i,2.066122775857352,2.301512791540362
2.0673766915530623+0.4457416023758779i,2.0673766915530623,2.319030443348339
2.0674196581355466+0.4457615705391032i,2.0674196581355466,2.318974755534908
2.0724928999848995+0.512869530836603i,2.0724928999848995,2.020487448927028
2.0869136114361635+0.001930998503657799i,2.0869136114361635,540.3716283267495
2.0869247966826854+0.0019301212227186718i,2.0869247966826854,540.6201362169232
2.0877592857941356+0.07050272473643591i,2.0877592857941356,14.806231203112487
2.087785025043619+0.07048994811831824i,2.087785025043619,14.809097472587485
2.104700688897542+0.14211341757553947i,2.104700688897542,7.405003428964764
2.117817968781853+0.43355723108361743i,2.117817968781853,2.442374174556672
2.126536020278345+0.0519016555583617i,2.126536020278345,20.486206050663693
2.1278476218607643+0.37582664697414947i,2.1278476218607643,2.830889771910085
2.1278597614585073+0.3758212653173604i,2.1278597614585073,2.8309464602297676
2.1472726583818895+0.02606249109256376i,2.1472726583818895,41.19469337669254
2.147298877394371+0.026064900417913428i,2.147298877394371,41.19138847579508
2.1532641890395334+0.2419351722799738i,2.1532641890395334,4.450085055321595
2.1533279523753897+0.24192790874842096i,2.1533279523753897,4.450350444302438
2.181030313883263+0.5038853202348782i,2.181030313883263,2.164212992816114
2.1811135263666945+0.5038597944219741i,2.1811135263666945,2.164405208068704
2.1866898962836006+0.05404215056831382i,2.1866898962836006,20.23133677405603
2.1867185611846565+0.05405636265298196i,2.1867185611846565,20.226282845022578
2.2105210711201515+0.06412140105120016i,2.2105210711201515,17.236999152241523
2.2687507073975994+0.6027139407263288i,2.2687507073975994,1.8821123538834483
2.268797112809223+0.6026100113424038i,2.268797112809223,1.8824754568507238
2.269813375475092+0.5961245604487599i,2.269813375475092,1.9038079673872073
2.269903497723974+0.5960505149799245i,2.269903497723974,1.9041200709309227
2.2844139051927836+0.39994120702959135i,2.2844139051927836,2.855937154062449
2.2844374506292175+0.39989383664939276i,2.2844374506292175,2.8563049005330137
2.28466523583761+0.3991289876464436i,2.28466523583761,2.862063777063233
2.2846955547885033+0.39907741116288936i,2.2846955547885033,2.8624716544730346
2.3174408423651998+5.107573882882775E-4i,2.3174408423651998,2268.631737400545
2.317468694334343+5.106317504923885E-4i,2.317468694334343,2269.217192330549
2.336438277396826+0.008203113686397045i,2.336438277396826,142.4116723672418
2.336460057753311+0.008201902359435085i,2.336460057753311,142.43403270130108
2.3382070314744117+0.08086815041556494i,2.3382070314744117,14.456909299018477
2.338247130860014+0.08087576222763662i,2.338247130860014,14.455796560400113
2.356699537784292+0.128797540986787i,2.356699537784292,9.148852997224765
2.3567712106975596+0.12877207170763832i,2.3567712106975596,9.15094080356309
2.3619458749153797+0.6319148188333042i,2.3619458749153797,1.8688799538490082
2.3619567657392206+0.6318949966301377i,2.3619567657392206,1.8689471971889398
2.387893630049396+0.3811568575424994i,2.387893630049396,3.1324290548585276
2.3879350906936687+0.3811914457384367i,2.3879350906936687,3.1321992103833898
2.3914183793981323+0.5352226550216427i,2.3914183793981323,2.2340406903192758
2.3914643438669185+0.5351951728678939i,2.3914643438669185,2.234198349596495
2.399783601642325+0.03619213947326431i,2.399783601642325,33.15338132213878
2.3998118597110105+0.036200496568120986i,2.3998118597110105,33.146117970994105
2.4184438844096636+0.05044041039739161i,2.4184438844096636,23.973277233037017
2.4184939543720487+0.05044648761242034i,2.4184939543720487,23.970885475251556
2.4413780937880682+0.051777286194857275i,2.4413780937880682,23.575763362724828
2.441406126224605+0.05179118104762744i,2.441406126224605,23.569708943106313
2.454331437449577+0.08196237697442282i,2.454331437449577,14.972305148101524
2.454342154473635+0.08196478523003829i,2.454342154473635,14.971930613771512
2.47132838109051+0.4186378202123491i,2.47132838109051,2.951630576326045
2.5050026354918686+0.3674874137829147i,2.5050026354918686,3.408283578620253
2.505024559537071+0.36754023248091044i,2.505024559537071,3.40782360427328
2.5051382412366463+0.36737780609228776i,2.5051382412366463,3.4094850038482445
2.505145992812292+0.3673091419719946i,2.505145992812292,3.4101329187762177
2.510685185781476+0.6102609883002272i,2.510685185781476,2.057058565036691
2.5131470497335626+0.48287406595444793i,2.5131470497335626,2.6022800010662004
2.51325492677938+0.4829335890852953i,2.51325492677938,2.6020709509351305
2.5216930065922614+0.002278447905511714i,2.5216930065922614,553.3795616946346
2.521722241936481+0.002279425777736441i,2.521722241936481,553.1485750855749
2.522071726889873+0.5552925073055246i,2.522071726889873,2.270939814340244
2.5221366561441925+0.5552325617030763i,2.5221366561441925,2.2712434663485785
2.5384697880532205+0.061005705056758126i,2.5384697880532205,20.805183594644912
2.5385272532400878+0.061028989143341074i,2.5385272532400878,20.797716698844166
2.5427065245470843+1.3103853041059589E-4i,2.5427065245470843,9702.133092380434
2.542740062004133+1.3093651407557034E-4i,2.542740062004133,9709.820365832345
2.5548142654590587+0.5758671741811234i,2.5548142654590587,2.2182322417421823
2.554985608435775+0.5757646927331256i,2.554985608435775,2.2187758651085296
2.556272977558677+0.5741805839738582i,2.556272977558677,2.226018302349162
2.556468042537108+0.5741185694163088i,2.556468042537108,2.2264286322738185
2.607636687263784+0.5421878812477209i,2.607636687263784,2.4047353117363186
2.607705025495992+0.542151704125833i,2.607705025495992,2.404958801799455
2.610180457813398+0.023863810775931915i,2.610180457813398,54.689095600060696
2.610196660963306+0.023871061230462398i,2.610196660963306,54.672824047562145
2.61808179817421+0.5170966492229802i,2.61808179817421,2.531520753526728
2.618137423397988+0.5170568351325339i,2.618137423397988,2.5317694743624246
2.62320573786392+0.434083887044586i,2.62320573786392,3.0215423978574023
2.6235076493353326+0.43403286221831855i,2.6235076493353326,3.022245407786321
