% Model,6inch_1inch_ALUMINA_only_WGM_testing.mph
% Version,COMSOL 6.1.0.282
% Date,"Mar 24 2025, 15:55"
% Table,Table 1 - 
% Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
3.566737311809244+0.06238960111408637i,3.566737311809244,28.584389450471605
3.566908320210015+0.062406092445656466i,3.566908320210015,28.57820591247639
3.5676051841466494+0.093238686223071i,3.5676051841466494,19.131571500327944
3.5677374686669068+0.0930670382681183i,3.5677374686669068,19.167567460288975
3.615094665268562+0.012411489729610058i,3.615094665268562,145.63500208375632
3.615351316166079+0.012406504731071145i,3.615351316166079,145.70386239049697
3.6341402471273954+0.04554439313746007i,3.6341402471273954,39.89668098287087
3.6346213260667937+0.045624749709472535i,3.6346213260667937,39.83168509647934
3.6362461924062104+8.936270955958782E-7i,3.6362461924062104,2034543.3852257638
3.6364927187631237+6.887097852931961E-7i,3.6364927187631237,2640076.2675493304
3.6443674197450617+0.030582968564582078i,3.6443674197450617,59.58164937535819
3.6444176393004666+0.030543117817098283i,3.6444176393004666,59.66020988957932
3.654253565761175+1.0066358926802344E-6i,3.654253565761175,1815082.0929062464
3.654432167175432+1.0272328812012114E-6i,3.654432167175432,1778774.9175737358
3.68354639564756+0.023289390736815078i,3.68354639564756,79.08206868255971
3.685041377376216+3.117560068333532E-4i,3.685041377376216,5910.136928566106
3.6853525466104986+3.1316730700822347E-4i,3.6853525466104986,5883.999485479058
3.7031958899169415+0.023697490740509614i,3.7031958899169415,78.13476815894526
3.7033555112069405+0.02373024608374208i,3.7033555112069405,78.03028038854094
3.7131366650385202+0.10638859718336444i,3.7131366650385202,17.450820686350436
3.7136120157879153+0.10651473864227494i,3.7136120157879153,17.432385710769655
3.7141245924396307+0.026006309152151984i,3.7141245924396307,71.40814505260721
3.7142383356746236+0.026071316859217614i,3.7142383356746236,71.23227330117467
3.7145438266707407+3.384159436900212E-4i,3.7145438266707407,5488.133605893508
3.7146571815309493+3.3811887513570337E-4i,3.7146571815309493,5493.123062177582
3.7205867213636554+3.4291444861245663E-4i,3.7205867213636554,5424.9488996721475
3.7208583624623683+3.4234261559298396E-4i,3.7208583624623683,5434.407218069149
3.7362758121756885+0.34033259410999234i,3.7362758121756885,5.489153664441788
3.7367762800993276+0.34061913109255004i,3.7367762800993276,5.485270701198523
3.7373892237709394+0.3404086000552394i,3.7373892237709394,5.489563458685326
3.738013829572727+0.340714282807339i,3.738013829572727,5.485554932967738
3.752058557235674+0.040780960217780465i,3.752058557235674,46.002577393944975
3.7523059351143986+0.04068950833076473i,3.7523059351143986,46.10901051705921
3.7690547528937026+0.31429101484730687i,3.7690547528937026,5.9961223433715345
3.7695157995021917+0.31562774815826067i,3.7695157995021917,5.971458183727397
3.7707632516281318+0.05220153525519779i,3.7707632516281318,36.117359702104466
3.7974127106454043+0.07781770137417761i,3.7974127106454043,24.399414552133678
3.7977814040817375+0.07799335131167695i,3.7977814040817375,24.346827903990473
3.8104512742269128+0.05997965400666608i,3.8104512742269128,31.764531967818815
3.810593220302427+0.06018582267668811i,3.810593220302427,31.656900668887854
3.8157285915082384+0.03312647253883261i,3.8157285915082384,57.59334301343494
3.81606144921306+0.03326759420333445i,3.81606144921306,57.35403386684589
3.8182118260926994+0.32498319157918504i,3.8182118260926994,5.874475857565018
3.8188931689105976+0.32597825671501807i,3.8188931689105976,5.857588796557697
3.8396575011558567+0.2871886619688621i,3.8396575011558567,6.684904401922671
3.84000502007991+0.28714582842479897i,3.84000502007991,6.686506715324917
3.8401580488476097+0.28802838010254467i,3.8401580488476097,6.6662841479031085
3.8404135596945688+0.28793338471672925i,3.8404135596945688,6.668927195560864
3.8477053991625185+0.38571076620909495i,3.8477053991625185,4.987811770175824
3.8477691855985596+0.38622589047756706i,3.8477691855985596,4.981241911101306
3.849404187318438+0.007380098648931103i,3.849404187318438,260.79625560804436
3.8496161222898153+0.007382209007207167i,3.8496161222898153,260.7360560051523
3.8510590460252208+1.4656261801964925E-6i,3.8510590460252208,1313793.0729065305
3.851443339150918+3.79466320226918E-6i,3.851443339150918,507481.5779234089
3.8518929288865054+3.160648099478118E-6i,3.8518929288865054,609351.7543953287
3.852643007138929+2.7073174661055237E-6i,3.852643007138929,711524.0557068757
3.8581101292530544+0.3053287843838623i,3.8581101292530544,6.317960059086014
3.8584795121330226+0.3055636478908015i,3.8584795121330226,6.313708353017041
3.8702510453696144+0.043084581419899556i,3.8702510453696144,44.91457173101436
3.8708133940408214+0.04319028877992715i,3.8708133940408214,44.81115435189908
3.876428647455931+0.03313395200744304i,3.876428647455931,58.49632193867411
3.8767139213019615+0.03321648648600366i,3.8767139213019615,58.35526769117322
3.9012220505287507+9.472466689332673E-5i,3.9012220505287507,20592.429503721953
3.901539167510449+9.440600937659771E-5i,3.901539167510449,20663.61661335937
3.908246121154842+1.2003279538269903E-4i,3.908246121154842,16279.90962259202
3.9083978989826935+1.2096553878907418E-4i,3.9083978989826935,16155.005541692784
3.9110942287956654+0.4123997662251011i,3.9110942287956654,4.741872509526186
3.911109065506862+0.41279227735761476i,3.911109065506862,4.737381583956506
3.9240248657878536+0.04590580064222101i,3.9240248657878536,42.73996761728195
3.9243136823066425+0.04591300783736737i,3.9243136823066425,42.736403768266605
3.9273524206925083+0.012604003517120141i,3.9273524206925083,155.79781516872586
3.9277434260734405+0.012614699582284195i,3.9277434260734405,155.6812114491207
3.9355840094191397+0.30664483622304617i,3.9355840094191397,6.417169872960929
3.940530928852475+0.02257068130271218i,3.940530928852475,87.2931320947535
3.9412618056845385+0.022614495121872247i,3.9412618056845385,87.14016794194613
3.954661918302028+0.019034562720196584i,3.954661918302028,103.88108138953835
3.9551039286675276+0.01903139540952348i,3.9551039286675276,103.90998251994591
3.9554248893962813+0.04886568188926627i,3.9554248893962813,40.47242089407046
3.9564642663024676+0.2600430312695844i,3.9564642663024676,7.607326077892152
3.9567628294656196+0.2602391905386877i,3.9567628294656196,7.602165571748118
3.9573580407248357+1.0574512795143987E-4i,3.9573580407248357,18711.77479941264
3.957850817185318+1.0499417981690596E-4i,3.957850817185318,18847.953401260977
3.962659421912809+0.25907694446190244i,3.962659421912809,7.647649678251325
3.9632926330663425+0.2600522702073362i,3.9632926330663425,7.620184645776139
3.9645415866929152+0.058081983004569994i,3.9645415866929152,34.12884152372155
3.9650967422644805+0.05815569102537644i,3.9650967422644805,34.09035876243218
3.9736441420664312+0.3293829627269889i,3.9736441420664312,6.031951545350586
3.9738758040254964+0.32932846309485286i,3.9738758040254964,6.033301474584273
3.9752967535516146+0.3307225777915739i,3.9752967535516146,6.01001718736134
3.97547371351448+0.3304992956444613i,3.97547371351448,6.014345213296831
3.9765744232045503+0.38650039322110874i,3.9765744232045503,5.144334252888632
3.9770648881109167+0.3866926784066391i,3.9770648881109167,5.1424103819321685
3.980536597330725+0.34338471710242346i,3.980536597330725,5.796030514869166
3.9807097797816624+0.34304202869154093i,3.9807097797816624,5.802072992287873
3.991132502831458+0.34571946201974163i,3.991132502831458,5.772212648247661
3.9912378261282706+0.3464611970240399i,3.9912378261282706,5.760006979730158
3.9972457309377423+0.3778816397281772i,3.9972457309377423,5.289018188093359
3.9973930025615645+0.3782869017841822i,3.9973930025615645,5.283546672787169
3.997772956682858+0.37868343180731506i,3.997772956682858,5.27851580091975
3.9977862633266636+0.37814098644506267i,3.9977862633266636,5.286105456208557
3.9981350823652346+0.42499235946501457i,3.9981350823652346,4.70377289535056
3.998168792067118+0.42380877435853165i,3.998168792067118,4.716949051041552
4.002203885554002+0.3427101204792612i,4.002203885554002,5.839051207412755
4.018852794378254+0.04138717156795859i,4.018852794378254,48.55191406084872
4.019283980405601+0.041382723819394014i,4.019283980405601,48.56234207717815
4.021171891065037+0.43946522303054003i,4.021171891065037,4.575074067676103
4.027844956534376+0.08146487734762678i,4.027844956534376,24.721358993439367
4.028264121783009+0.0811400337644475i,4.028264121783009,24.822913763366227
4.029145436616794+0.0588312539365296i,4.029145436616794,34.24323949446716
4.029356863743009+0.05844382396816239i,4.029356863743009,34.47205016853469
4.043907534355479+0.05084018618394787i,4.043907534355479,39.77077817657845
4.049892379892145+2.4866895681904936E-6i,4.049892379892145,814314.024496262
4.0504460771460185+1.9452837531985853E-6i,4.0504460771460185,1041093.8945246326
4.051637449464177+0.058816320232095896i,4.051637449464177,34.44313953572711
4.05237389770076+0.05888091631079146i,4.05237389770076,34.411606948430396
4.062724340882005+0.2815007900260397i,4.062724340882005,7.2161863924186305
4.062911936630778+0.2810373803130496i,4.062911936630778,7.2284191023006805
4.06328099162967+0.28221589571678435i,4.06328099162967,7.198887541946513
4.063328462259689+0.2824359825556669i,4.063328462259689,7.193361882384842
4.067585157500988+5.505498316707569E-6i,4.067585157500988,369411.17075243325
4.067918787170095+3.853799415668299E-6i,4.067918787170095,527780.2952887552
4.073571185736628+0.156961807699267i,4.073571185736628,12.97631330018013
4.074399497066212+0.1563645797071937i,4.074399497066212,13.028524441711419
4.078152738626917+0.01266208119028856i,4.078152738626917,161.03801094541788
4.078514556641605+0.012690619022544604i,4.078514556641605,160.69013455514715
4.0845080391901085+0.0037975503591150227i,4.0845080391901085,537.7819453251383
4.084990374166432+0.003813174641968997i,4.084990374166432,535.6416578991356
4.090505217049191+0.009620272588510035i,4.090505217049191,212.5981971620369
