% Model,6inch_1inch_ALUMINA_only_WGM_testing.mph
% Version,COMSOL 6.1.0.282
% Date,"Mar 24 2025, 15:44"
% Table,Table 1 - 
% Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
4.117384467047415+2.8531277447282652E-5i,4.117384467047415,72155.62770813753
4.117800366970015+2.9504873951911817E-5i,4.117800366970015,69781.69731688
4.143109910071018+0.005677548791095494i,4.143109910071018,364.8678384383903
4.143463495999061+0.005678244375485589i,4.143463495999061,364.85427730862
4.174693196370983+0.04308232113657102i,4.174693196370983,48.45018892015126
4.175371083292258+0.043044352933645204i,4.175371083292258,48.500799741708036
4.177297466570401+0.026673997687725284i,4.177297466570401,78.30280101757471
4.178105085942519+0.02665839782330228i,4.178105085942519,78.3637695265094
4.19153435852948+0.03033525982139306i,4.19153435852948,69.08683794383595
4.191714883741633+3.649527786925672E-5i,4.191714883741633,57428.18151376091
4.191861962542935+0.030507326893737047i,4.191861962542935,68.70254442717983
4.192692691354963+3.6566873830697304E-5i,4.192692691354963,57329.1103686756
4.204006983884439+0.015693149715824275i,4.204006983884439,133.94401570149125
4.20437057926788+0.015618327431403478i,4.20437057926788,134.59733757451616
4.217613316380206+0.022112237068261178i,4.217613316380206,95.36830903540648
4.224096535495425+0.10923153753798522i,4.224096535495425,19.335517153306103
4.224937434516618+0.10944566586920107i,4.224937434516618,19.30152921526311
4.233043039005509+0.08874388815011633i,4.233043039005509,23.84977223358204
4.23361817530162+0.08902539346465435i,4.23361817530162,23.777587554176264
4.247621622954733+0.033811398832423595i,4.247621622954733,62.81345595914028
4.247920042689907+0.033922337369754245i,4.247920042689907,62.612431395683075
4.250184778571595+4.479425522646977E-6i,4.250184778571595,474411.81431453745
4.251601124202004+3.071668241157886E-6i,4.251601124202004,692067.1098580839
4.258196601700516+0.06451396444459273i,4.258196601700516,33.00213092126458
4.259220865979255+0.06499384759243183i,4.259220865979255,32.76633884401097
4.26349525881765+0.03262001384397728i,4.26349525881765,65.35091124133336
4.263807698343709+0.03277816790950616i,4.263807698343709,65.04036025007885
4.277154298720937+0.03927686488220528i,4.277154298720937,54.448774253603155
4.2777561093483545+0.03921109807065562i,4.2777561093483545,54.54777243983504
4.282157658971177+0.0013380452075045573i,4.282157658971177,1600.1543277290918
4.282336833545394+2.1432967719732358E-5i,4.282336833545394,99900.69713031017
4.282875182631657+0.0013377450437080847i,4.282875182631657,1600.7815550413068
4.28365279135356+1.1563015124634226E-5i,4.28365279135356,185230.78735007124
4.285571302607266+0.27617021951210935i,4.285571302607266,7.758930905327674
4.2861352490166995+0.2764122852461475i,4.2861352490166995,7.753156205050471
4.2862070572381965+0.2775486406706714i,4.2862070572381965,7.721542153622085
4.286482261711293+0.2776962901981334i,4.286482261711293,7.717932167284144
4.297229477221926+2.017516880573584E-5i,4.297229477221926,106497.98072569819
4.297752797070122+1.9497165486704143E-5i,4.297752797070122,110214.81045542037
4.31387393651468+0.003727851068859788i,4.31387393651468,578.6006276578713
4.314218777758969+0.0037421509454084144i,4.314218777758969,576.435697102555
4.315645787380032+0.06250174209236148i,4.315645787380032,34.52420398940736
4.316755655170964+0.06262849156372532i,4.316755655170964,34.46319356724892
4.317804256402451+0.05921298298342928i,4.317804256402451,36.459945427937534
4.318800846658285+0.05923634266085703i,4.318800846658285,36.453979539085545
4.319422769006152+0.0017315278408517089i,4.319422769006152,1247.2865486475523
4.320401957513196+0.0017246491369591187i,4.320401957513196,1252.5451887364402
4.3266449718609765+0.04109549681382215i,4.3266449718609765,52.64135133178075
4.327228215198096+0.04119704961097492i,4.327228215198096,52.518666458645114
4.33167304351071+0.06526220176194444i,4.33167304351071,33.18669096785351
4.333414797825041+1.201224020283446E-5i,4.333414797825041,180374.96439683708
4.334082426956248+1.0679241032301754E-5i,4.334082426956248,202920.90111304936
4.354294388940001+0.029893087469160962i,4.354294388940001,72.83112514610752
4.355131511602094+0.029877158122099776i,4.355131511602094,72.88396529890598
4.3584041144712735+0.00246097494022304i,4.3584041144712735,885.5035545539257
4.358728275212559+0.002468694542064308i,4.358728275212559,882.8002413712585
4.3816767641189855+0.02039889942953318i,4.3816767641189855,107.39983250702407
4.381931907683035+0.020412491204281576i,4.381931907683035,107.33456940238416
4.383211615788766+0.25176807323394745i,4.383211615788766,8.704859912312642
4.385309402406261+0.2504691739587838i,4.385309402406261,8.754189853175083
4.407099814488593+0.35041957608491187i,4.407099814488593,6.2883185119496385
4.407179114991671+0.3500642511797606i,4.407179114991671,6.294814594947817
4.40769723218373+0.3504542415840734i,4.40769723218373,6.288548844865858
4.407743281183979+0.3500574282351992i,4.407743281183979,6.29574310621752
4.424743999627603+1.5350377681691698E-5i,4.424743999627603,144124.92289701014
4.425387374129583+1.5289222880457067E-5i,4.425387374129583,144722.44301527532
4.428576071582306+0.03431569181057466i,4.428576071582306,64.52698223349827
4.4290369801632465+0.034454776188501825i,4.4290369801632465,64.27319330028467
4.4455369986749655+0.05495927494431754i,4.4455369986749655,40.443919640306376
4.446695841102467+0.054850620251813496i,4.446695841102467,40.53459943286099
4.448906573009718+0.3130612736772564i,4.448906573009718,7.105488521068595
4.449509558294618+0.31351890657092335i,4.449509558294618,7.096078521963176
4.450054732686218+0.02174362473838479i,4.450054732686218,102.33010333438976
4.4504389146572665+0.021858475249498112i,4.4504389146572665,101.80122043872781
4.451148322725933+0.3161019385209482i,4.451148322725933,7.040684950483078
4.451509531582712+0.012050845082541098i,4.451509531582712,184.69698602432143
4.451744591151728+0.3161048825582887i,4.451744591151728,7.041562526847146
4.452494446607249+0.012066384522339633i,4.452494446607249,184.499940241583
