,Freq (Hz),Complex (decimal)
0,6040000000.0,(0.09732819+0.01719666j)
1,6040600000.0,(0.09788513+0.01083374j)
2,6041200000.0,(0.09809113+0.00510406j)
3,6041800000.0,(0.09824371-0.00125885j)
4,6042400000.0,(0.09806061-0.007720947j)
5,6043000000.0,(0.09703064-0.01393127j)
6,6043600000.0,(0.0958252-0.01999664j)
7,6044200000.0,(0.09444427-0.02619934j)
8,6044800000.0,(0.09272003-0.03193665j)
9,6045400000.0,(0.09083557-0.03754425j)
10,6046000000.0,(0.08843994-0.04302216j)
11,6046600000.0,(0.08515167-0.04860687j)
12,6047200000.0,(0.08184814-0.05392456j)
13,6047800000.0,(0.07849884-0.05913544j)
14,6048400000.0,(0.07346344-0.0636673j)
15,6049000000.0,(0.07057571-0.06815338j)
16,6049600000.0,(0.06609344-0.0722084j)
17,6050200000.0,(0.06170654-0.07595062j)
18,6050800000.0,(0.0555954-0.07968903j)
19,6051400000.0,(0.05116272-0.0819931j)
20,6052000000.0,(0.04547119-0.08683014j)
21,6052600000.0,(0.03970337-0.08917236j)
22,6053200000.0,(0.03450012-0.09101105j)
23,6053800000.0,(0.02819061-0.09286499j)
24,6054400000.0,(0.02253723-0.0947113j)
25,6055000000.0,(0.01681519-0.09555054j)
26,6055600000.0,(0.00998688-0.09738159j)
27,6056200000.0,(0.0045166-0.09722137j)
28,6056800000.0,(-0.001548767-0.09779358j)
29,6057400000.0,(-0.007820129-0.09705353j)
30,6058000000.0,(-0.01377869-0.09597778j)
31,6058600000.0,(-0.01937866-0.09552765j)
32,6059200000.0,(-0.02539825-0.09447479j)
33,6059800000.0,(-0.03134918-0.09148407j)
34,6060400000.0,(-0.03672791-0.0900116j)
35,6061000000.0,(-0.04334259-0.08721924j)
36,6061600000.0,(-0.04763794-0.08451843j)
37,6062200000.0,(-0.05329895-0.08175659j)
38,6062800000.0,(-0.05814362-0.07780457j)
39,6063400000.0,(-0.06296539-0.07388306j)
40,6064000000.0,(-0.06783676-0.06986237j)
41,6064600000.0,(-0.07182312-0.06547928j)
42,6065200000.0,(-0.07575226-0.06150818j)
43,6065800000.0,(-0.07962036-0.05643463j)
44,6066400000.0,(-0.0827713-0.05139923j)
45,6067000000.0,(-0.08663177-0.04587555j)
46,6067600000.0,(-0.08905792-0.04034424j)
47,6068200000.0,(-0.09152222-0.03494263j)
48,6068800000.0,(-0.09369659-0.02889252j)
49,6069400000.0,(-0.09529877-0.02313995j)
50,6070000000.0,(-0.09632111-0.01739502j)
51,6070600000.0,(-0.0976181-0.01087189j)
52,6071200000.0,(-0.09825897-0.005264282j)
53,6071800000.0,(-0.09862518+0.00139618j)
54,6072400000.0,(-0.09790039+0.00785828j)
55,6073000000.0,(-0.09738922+0.01389313j)
56,6073600000.0,(-0.09662628+0.02030182j)
57,6074200000.0,(-0.09531403+0.02588654j)
58,6074800000.0,(-0.09364319+0.03180695j)
59,6075400000.0,(-0.09102631+0.03775787j)
60,6076000000.0,(-0.0881958+0.04338074j)
61,6076600000.0,(-0.08602142+0.04922485j)
62,6077200000.0,(-0.08261871+0.05474091j)
63,6077800000.0,(-0.07843018+0.05958557j)
64,6078400000.0,(-0.0745697+0.0639801j)
65,6079000000.0,(-0.0705452+0.06977081j)
66,6079600000.0,(-0.06580353+0.07444j)
67,6080200000.0,(-0.0615921+0.07804108j)
68,6080800000.0,(-0.05609894+0.08090973j)
69,6081400000.0,(-0.05049896+0.08567047j)
70,6082000000.0,(-0.04425812+0.08787537j)
71,6082600000.0,(-0.03870392+0.09117126j)
72,6083200000.0,(-0.03356171+0.09315491j)
73,6083800000.0,(-0.02755737+0.09552765j)
74,6084400000.0,(-0.02168274+0.09674072j)
75,6085000000.0,(-0.01512146+0.0987854j)
76,6085600000.0,(-0.008628845+0.09889984j)
77,6086200000.0,(-0.002799988+0.09892273j)
78,6086800000.0,(0.00398254+0.09898376j)
79,6087400000.0,(0.00994873+0.0983429j)
80,6088000000.0,(0.01634979+0.0976181j)
81,6088600000.0,(0.02249908+0.09642792j)
82,6089200000.0,(0.02841949+0.0951004j)
83,6089800000.0,(0.03438568+0.09257507j)
84,6090400000.0,(0.04011536+0.09050751j)
85,6091000000.0,(0.04650116+0.08703613j)
86,6091600000.0,(0.05170441+0.08400726j)
87,6092200000.0,(0.05654907+0.08068085j)
88,6092800000.0,(0.06171417+0.076828j)
89,6093400000.0,(0.0664978+0.07253265j)
90,6094000000.0,(0.07091141+0.06850052j)
91,6094600000.0,(0.07524109+0.06369781j)
92,6095200000.0,(0.07873535+0.05856323j)
93,6095800000.0,(0.08250427+0.05338287j)
94,6096400000.0,(0.08558655+0.04776001j)
95,6097000000.0,(0.08847809+0.04281616j)
96,6097600000.0,(0.09080505+0.03695679j)
97,6098200000.0,(0.09272003+0.03132629j)
98,6098800000.0,(0.09365082+0.02510071j)
99,6099400000.0,(0.09529877+0.01909637j)
100,6100000000.0,(0.09657288+0.01329803j)
101,6100600000.0,(0.09668732+0.0067749j)
102,6101200000.0,(0.09680939+0.00105286j)
103,6101800000.0,(0.09664154-0.005218506j)
104,6102400000.0,(0.09578705-0.01145172j)
105,6103000000.0,(0.09512329-0.01725006j)
106,6103600000.0,(0.09393311-0.02311707j)
107,6104200000.0,(0.09168243-0.02884674j)
108,6104800000.0,(0.09005737-0.03447723j)
109,6105400000.0,(0.08725739-0.04020691j)
110,6106000000.0,(0.08481598-0.04521942j)
111,6106600000.0,(0.08145142-0.05017853j)
112,6107200000.0,(0.07868195-0.05514526j)
113,6107800000.0,(0.0743103-0.05917358j)
114,6108400000.0,(0.070961-0.06446075j)
115,6109000000.0,(0.06682587-0.06880188j)
116,6109600000.0,(0.06283188-0.07214737j)
117,6110200000.0,(0.05761719-0.07600403j)
118,6110800000.0,(0.05290985-0.07971191j)
119,6111400000.0,(0.04863739-0.08246613j)
120,6112000000.0,(0.04283905-0.08502197j)
121,6112600000.0,(0.03735352-0.08755493j)
122,6113200000.0,(0.03206635-0.08946991j)
123,6113800000.0,(0.02587891-0.09099579j)
124,6114400000.0,(0.02052307-0.0917511j)
125,6115000000.0,(0.01557159-0.09397888j)
126,6115600000.0,(0.00946045-0.09549713j)
127,6116200000.0,(0.00346375-0.09577179j)
128,6116800000.0,(-0.002029419-0.09567261j)
129,6117400000.0,(-0.008232117-0.09518433j)
130,6118000000.0,(-0.01409149-0.09408569j)
131,6118600000.0,(-0.01892853-0.09395599j)
132,6119200000.0,(-0.02573395-0.09259796j)
133,6119800000.0,(-0.03105927-0.09054565j)
134,6120400000.0,(-0.03730011-0.08860779j)
135,6121000000.0,(-0.04206085-0.08676147j)
136,6121600000.0,(-0.04720306-0.0838623j)
137,6122200000.0,(-0.0526886-0.08087921j)
138,6122800000.0,(-0.05728149-0.07785797j)
139,6123400000.0,(-0.06260681-0.07423401j)
140,6124000000.0,(-0.0674057-0.07016754j)
141,6124600000.0,(-0.07118607-0.06621552j)
142,6125200000.0,(-0.07533264-0.06221008j)
143,6125800000.0,(-0.07929993-0.05710602j)
144,6126400000.0,(-0.0825882-0.05237579j)
145,6127000000.0,(-0.08573151-0.04724121j)
146,6127600000.0,(-0.08890533-0.04140472j)
147,6128200000.0,(-0.09135437-0.03632355j)
148,6128800000.0,(-0.09394073-0.03063965j)
149,6129400000.0,(-0.09602356-0.02442932j)
150,6130000000.0,(-0.09740448-0.01904297j)
151,6130600000.0,(-0.09873199-0.01200104j)
152,6131200000.0,(-0.09944153-0.006271362j)
153,6131800000.0,(-0.09971619+0.00011444j)
154,6132400000.0,(-0.1000443+0.00598907j)
155,6133000000.0,(-0.09967804+0.0128479j)
156,6133600000.0,(-0.09854889+0.0194931j)
157,6134200000.0,(-0.09734344+0.02549744j)
158,6134800000.0,(-0.09580231+0.03205109j)
159,6135400000.0,(-0.09331512+0.03821564j)
160,6136000000.0,(-0.09095001+0.04454041j)
161,6136600000.0,(-0.08860779+0.04992676j)
162,6137200000.0,(-0.08568573+0.05579376j)
163,6137800000.0,(-0.08174133+0.06072235j)
164,6138400000.0,(-0.07775879+0.06620026j)
165,6139000000.0,(-0.07337189+0.07103729j)
166,6139600000.0,(-0.06882477+0.07621002j)
167,6140200000.0,(-0.06320953+0.07991791j)
168,6140800000.0,(-0.05828094+0.08420563j)
169,6141400000.0,(-0.05311584+0.08808136j)
170,6142000000.0,(-0.04698944+0.09105682j)
171,6142600000.0,(-0.04088593+0.09481812j)
172,6143200000.0,(-0.03549957+0.09686279j)
173,6143800000.0,(-0.02852631+0.09873962j)
174,6144400000.0,(-0.02206421+0.100769j)
175,6145000000.0,(-0.01496887+0.10186j)
176,6145600000.0,(-0.00868988+0.102005j)
177,6146200000.0,(-0.002235413+0.1031952j)
178,6146800000.0,(0.00436401+0.1028214j)
179,6147400000.0,(0.01073456+0.1027069j)
180,6148000000.0,(0.01731873+0.101738j)
181,6148600000.0,(0.02403259+0.1002884j)
182,6149200000.0,(0.03046417+0.09790039j)
183,6149800000.0,(0.03668213+0.09599304j)
184,6150400000.0,(0.04226685+0.09384918j)
185,6151000000.0,(0.04873657+0.09028625j)
