,Freq (Hz),Complex (decimal)
0,9080000000.0,(0.1301575-0.006248474j)
1,9080500000.0,(0.1286163-0.01277924j)
2,9081000000.0,(0.1283264-0.0200119j)
3,9081500000.0,(0.1267624-0.0269928j)
4,9082000000.0,(0.1252365-0.03399658j)
5,9082500000.0,(0.1227417-0.04008484j)
6,9083000000.0,(0.1210403-0.04645538j)
7,9083500000.0,(0.1186829-0.05355072j)
8,9084000000.0,(0.1152878-0.05970001j)
9,9084500000.0,(0.1115723-0.06642914j)
10,9085000000.0,(0.1078644-0.07283783j)
11,9085500000.0,(0.1051331-0.07707977j)
12,9086000000.0,(0.1005707-0.08338165j)
13,9086500000.0,(0.09603119-0.08813477j)
14,9087000000.0,(0.09122086-0.09352493j)
15,9087500000.0,(0.08473206-0.09767914j)
16,9088000000.0,(0.07977295-0.1026459j)
17,9088500000.0,(0.07518768-0.1057663j)
18,9089000000.0,(0.06822968-0.1102295j)
19,9089500000.0,(0.06147766-0.112381j)
20,9090000000.0,(0.05608368-0.1168518j)
21,9090500000.0,(0.05007935-0.1189499j)
22,9091000000.0,(0.04238129-0.1218491j)
23,9091500000.0,(0.03721619-0.1239777j)
24,9092000000.0,(0.03075409-0.1249924j)
25,9092500000.0,(0.0238113-0.1266479j)
26,9093000000.0,(0.0167618-0.1272125j)
27,9093500000.0,(0.0095749-0.1280441j)
28,9094000000.0,(0.0035248-0.1279984j)
29,9094500000.0,(-0.003189087-0.1278229j)
30,9095000000.0,(-0.0103302-0.1276627j)
31,9095500000.0,(-0.01719666-0.1259308j)
32,9096000000.0,(-0.02397919-0.125824j)
33,9096500000.0,(-0.02929688-0.1248245j)
34,9097000000.0,(-0.03679657-0.1221313j)
35,9097500000.0,(-0.04315948-0.1201553j)
36,9098000000.0,(-0.04915619-0.1180801j)
37,9098500000.0,(-0.05477905-0.1152649j)
38,9099000000.0,(-0.06233215-0.1115036j)
39,9099500000.0,(-0.06778717-0.1085052j)
40,9100000000.0,(-0.07254791-0.1054688j)
41,9100500000.0,(-0.07789612-0.1008911j)
42,9101000000.0,(-0.08300018-0.09701157j)
43,9101500000.0,(-0.08847427-0.09262085j)
44,9102000000.0,(-0.09254456-0.08732986j)
45,9102500000.0,(-0.09725952-0.08267975j)
46,9103000000.0,(-0.1010513-0.07698059j)
47,9103500000.0,(-0.1046066-0.07149506j)
48,9104000000.0,(-0.1088715-0.06645203j)
49,9104500000.0,(-0.1108932-0.0603714j)
50,9105000000.0,(-0.113945-0.05440521j)
51,9105500000.0,(-0.1171646-0.04880524j)
52,9106000000.0,(-0.1189117-0.04214478j)
53,9106500000.0,(-0.1210785-0.03622437j)
54,9107000000.0,(-0.123497-0.02980804j)
55,9107500000.0,(-0.1243286-0.02344513j)
56,9108000000.0,(-0.1249466-0.01720428j)
57,9108500000.0,(-0.1261139-0.01020813j)
58,9109000000.0,(-0.1267929-0.004119873j)
59,9109500000.0,(-0.126709+0.0024338j)
60,9110000000.0,(-0.126503+0.0094376j)
61,9110500000.0,(-0.1250305+0.0151062j)
62,9111000000.0,(-0.1243668+0.0226059j)
63,9111500000.0,(-0.1239014+0.02890778j)
64,9112000000.0,(-0.1214371+0.03399658j)
65,9112500000.0,(-0.1203232+0.04039001j)
66,9113000000.0,(-0.1166763+0.04763031j)
67,9113500000.0,(-0.1155014+0.0535202j)
68,9114000000.0,(-0.1120529+0.05986023j)
69,9114500000.0,(-0.1092529+0.06493378j)
70,9115000000.0,(-0.1062546+0.07073212j)
71,9115500000.0,(-0.101387+0.07505798j)
72,9116000000.0,(-0.09732819+0.08255386j)
73,9116500000.0,(-0.09304428+0.08527756j)
74,9117000000.0,(-0.08814621+0.09146881j)
75,9117500000.0,(-0.08332825+0.09601593j)
76,9118000000.0,(-0.0791626+0.1015701j)
77,9118500000.0,(-0.07401276+0.1036682j)
78,9119000000.0,(-0.06829834+0.1075287j)
79,9119500000.0,(-0.06206512+0.1110458j)
80,9120000000.0,(-0.05796051+0.1139679j)
81,9120500000.0,(-0.05095673+0.117981j)
82,9121000000.0,(-0.04540253+0.1199341j)
83,9121500000.0,(-0.03907776+0.1224823j)
84,9122000000.0,(-0.0329361+0.1247787j)
85,9122500000.0,(-0.02667236+0.1271057j)
86,9123000000.0,(-0.01940918+0.1285172j)
87,9123500000.0,(-0.01247406+0.1284943j)
88,9124000000.0,(-0.005264282+0.129715j)
89,9124500000.0,(0.0013046+0.1289597j)
90,9125000000.0,(0.0084381+0.1297073j)
91,9125500000.0,(0.0152664+0.1296616j)
92,9126000000.0,(0.0218124+0.1294937j)
93,9126500000.0,(0.0286179+0.1266937j)
94,9127000000.0,(0.034935+0.1266632j)
95,9127500000.0,(0.0411911+0.1245651j)
96,9128000000.0,(0.04853821+0.1224213j)
97,9128500000.0,(0.05467224+0.1199417j)
98,9129000000.0,(0.06049347+0.1163864j)
99,9129500000.0,(0.06742859+0.1132889j)
100,9130000000.0,(0.07274628+0.1093292j)
101,9130500000.0,(0.0789566+0.1056061j)
102,9131000000.0,(0.08493805+0.101387j)
103,9131500000.0,(0.08954239+0.09751892j)
104,9132000000.0,(0.09485245+0.09218979j)
105,9132500000.0,(0.1005096+0.0869751j)
106,9133000000.0,(0.104866+0.08215332j)
107,9133500000.0,(0.1090012+0.07628632j)
108,9134000000.0,(0.1133957+0.06968689j)
109,9134500000.0,(0.1171951+0.0643692j)
110,9135000000.0,(0.1208572+0.0584259j)
111,9135500000.0,(0.1240921+0.05190277j)
112,9136000000.0,(0.1274338+0.0451355j)
113,9136500000.0,(0.1297379+0.0384216j)
114,9137000000.0,(0.1307449+0.030983j)
115,9137500000.0,(0.1327591+0.0237885j)
116,9138000000.0,(0.1341324+0.0175171j)
117,9138500000.0,(0.1352921+0.0097122j)
118,9139000000.0,(0.1359634+0.0024948j)
119,9139500000.0,(0.1358795-0.004684448j)
120,9140000000.0,(0.1350403-0.0118866j)
121,9140500000.0,(0.1349869-0.01996613j)
122,9141000000.0,(0.1331558-0.02664948j)
123,9141500000.0,(0.1316299-0.03422546j)
124,9142000000.0,(0.129982-0.04151154j)
125,9142500000.0,(0.1270599-0.04811859j)
126,9143000000.0,(0.1246872-0.05538177j)
127,9143500000.0,(0.120575-0.06131744j)
128,9144000000.0,(0.1187439-0.0684433j)
129,9144500000.0,(0.1137848-0.07496643j)
130,9145000000.0,(0.1103821-0.08088684j)
131,9145500000.0,(0.1049652-0.08672333j)
132,9146000000.0,(0.1011353-0.09316254j)
133,9146500000.0,(0.09606934-0.0969696j)
134,9147000000.0,(0.09061432-0.1027527j)
135,9147500000.0,(0.08377075-0.1071091j)
136,9148000000.0,(0.07865906-0.1131287j)
137,9148500000.0,(0.07314301-0.1174927j)
138,9149000000.0,(0.06620026-0.1213303j)
139,9149500000.0,(0.05970764-0.1238861j)
140,9150000000.0,(0.0522232-0.1263275j)
141,9150500000.0,(0.0459442-0.1299591j)
142,9151000000.0,(0.0384903-0.1313858j)
