,Freq (Hz),Complex (decimal)
0,6040000000.0,(0.09981537-0.009391785j)
1,6040600000.0,(0.09908295-0.01599884j)
2,6041200000.0,(0.09745026-0.02233887j)
3,6041800000.0,(0.09614563-0.0281601j)
4,6042400000.0,(0.09317017-0.03420258j)
5,6043000000.0,(0.09132385-0.03948975j)
6,6043600000.0,(0.08843994-0.04628754j)
7,6044200000.0,(0.08460236-0.05123901j)
8,6044800000.0,(0.08122253-0.05641937j)
9,6045400000.0,(0.07778168-0.06174469j)
10,6046000000.0,(0.07312012-0.0660553j)
11,6046600000.0,(0.06829453-0.0703392j)
12,6047200000.0,(0.06494141-0.07479095j)
13,6047800000.0,(0.06026459-0.07850647j)
14,6048400000.0,(0.05467224-0.0821228j)
15,6049000000.0,(0.04880524-0.08495331j)
16,6049600000.0,(0.04385376-0.08898163j)
17,6050200000.0,(0.03804779-0.09136963j)
18,6050800000.0,(0.03295898-0.09371948j)
19,6051400000.0,(0.02701569-0.09497833j)
20,6052000000.0,(0.02117157-0.0974884j)
21,6052600000.0,(0.01498413-0.09783936j)
22,6053200000.0,(0.00801086-0.09857941j)
23,6053800000.0,(0.00157928-0.09861755j)
24,6054400000.0,(-0.004318237-0.09889221j)
25,6055000000.0,(-0.01036072-0.09894562j)
26,6055600000.0,(-0.01644897-0.09797668j)
27,6056200000.0,(-0.0228653-0.09603882j)
28,6056800000.0,(-0.02937317-0.09439087j)
29,6057400000.0,(-0.03501892-0.09278107j)
30,6058000000.0,(-0.04088593-0.09072113j)
31,6058600000.0,(-0.04667664-0.08807373j)
32,6059200000.0,(-0.05257416-0.08487701j)
33,6059800000.0,(-0.05725098-0.08140564j)
34,6060400000.0,(-0.06227112-0.07780457j)
35,6061000000.0,(-0.0674057-0.07336426j)
36,6061600000.0,(-0.07201385-0.06868744j)
37,6062200000.0,(-0.07630157-0.06397247j)
38,6062800000.0,(-0.07991791-0.05873871j)
39,6063400000.0,(-0.08345032-0.05432129j)
40,6064000000.0,(-0.08687592-0.04821777j)
41,6064600000.0,(-0.08970642-0.04262543j)
42,6065200000.0,(-0.09279633-0.03705597j)
43,6065800000.0,(-0.09487152-0.03063202j)
44,6066400000.0,(-0.09603882-0.02471161j)
45,6067000000.0,(-0.09766388-0.01865387j)
46,6067600000.0,(-0.09867096-0.01261902j)
47,6068200000.0,(-0.09921265-0.005989075j)
48,6068800000.0,(-0.0991745+0.00061035j)
49,6069400000.0,(-0.09894562+0.00746918j)
50,6070000000.0,(-0.09761047+0.0133667j)
51,6070600000.0,(-0.09677887+0.01925659j)
52,6071200000.0,(-0.09503937+0.02544403j)
53,6071800000.0,(-0.09358978+0.03092194j)
54,6072400000.0,(-0.09098816+0.03624725j)
55,6073000000.0,(-0.08804321+0.04115295j)
56,6073600000.0,(-0.08673096+0.04714966j)
57,6074200000.0,(-0.08377075+0.05278778j)
58,6074800000.0,(-0.08042145+0.05886078j)
59,6075400000.0,(-0.07583618+0.06447601j)
60,6076000000.0,(-0.07131195+0.06868744j)
61,6076600000.0,(-0.06607056+0.07314301j)
62,6077200000.0,(-0.061409+0.07693481j)
63,6077800000.0,(-0.05729675+0.08088684j)
64,6078400000.0,(-0.05267334+0.08416748j)
65,6079000000.0,(-0.04651642+0.08756256j)
66,6079600000.0,(-0.04008484+0.08989716j)
67,6080200000.0,(-0.03262329+0.09365082j)
68,6080800000.0,(-0.02787018+0.09473419j)
69,6081400000.0,(-0.01990509+0.09513092j)
70,6082000000.0,(-0.01386261+0.09587097j)
71,6082600000.0,(-0.009773254+0.09413147j)
72,6083200000.0,(-0.004600525+0.09451294j)
73,6083800000.0,(0.00067902+0.09449768j)
74,6084400000.0,(0.00598907+0.09591675j)
75,6085000000.0,(0.0118103+0.09576416j)
76,6085600000.0,(0.01786041+0.09481812j)
77,6086200000.0,(0.02416992+0.09450531j)
78,6086800000.0,(0.02940369+0.09313965j)
79,6087400000.0,(0.03609467+0.09074402j)
80,6088000000.0,(0.04173279+0.08882141j)
81,6088600000.0,(0.04747009+0.08560944j)
82,6089200000.0,(0.05295563+0.08226776j)
83,6089800000.0,(0.0579834+0.07894897j)
84,6090400000.0,(0.06266785+0.07426453j)
85,6091000000.0,(0.06659317+0.0699234j)
86,6091600000.0,(0.06919479+0.0657196j)
87,6092200000.0,(0.07199097+0.06562805j)
88,6092800000.0,(0.07966614+0.06191254j)
89,6093400000.0,(0.08508301+0.05593109j)
90,6094000000.0,(0.08937836+0.04936981j)
91,6094600000.0,(0.09236145+0.04269409j)
92,6095200000.0,(0.0952301+0.03622437j)
93,6095800000.0,(0.09718323+0.02963257j)
94,6096400000.0,(0.09925842+0.02271271j)
95,6097000000.0,(0.1007614+0.01683807j)
96,6097600000.0,(0.1015472+0.00917053j)
97,6098200000.0,(0.1021881+0.00299072j)
98,6098800000.0,(0.1018829-0.003501892j)
99,6099400000.0,(0.1016541-0.01155853j)
100,6100000000.0,(0.1005936-0.01885986j)
101,6100600000.0,(0.09849548-0.02640533j)
102,6101200000.0,(0.09667206-0.03456116j)
103,6101800000.0,(0.0917511-0.04412842j)
104,6102400000.0,(0.08349609-0.05161285j)
105,6103000000.0,(0.06988144-0.05215073j)
106,6103600000.0,(0.06726837-0.04404831j)
107,6104200000.0,(0.07176971-0.04478455j)
108,6104800000.0,(0.07276917-0.05037689j)
109,6105400000.0,(0.07230377-0.05589294j)
110,6106000000.0,(0.06929016-0.06147003j)
111,6106600000.0,(0.06685257-0.06639099j)
112,6107200000.0,(0.06214905-0.07139587j)
113,6107800000.0,(0.05835724-0.07564545j)
114,6108400000.0,(0.05367279-0.07969666j)
115,6109000000.0,(0.04828644-0.08345032j)
116,6109600000.0,(0.04255676-0.08770752j)
117,6110200000.0,(0.03687286-0.08957672j)
118,6110800000.0,(0.03108215-0.09042358j)
119,6111400000.0,(0.02607727-0.09207916j)
120,6112000000.0,(0.01992035-0.09484863j)
121,6112600000.0,(0.01496124-0.09680176j)
122,6113200000.0,(0.00812531-0.09901428j)
123,6113800000.0,(0.00091553-0.09870148j)
124,6114400000.0,(-0.004951477-0.09909058j)
125,6115000000.0,(-0.01156616-0.09854889j)
126,6115600000.0,(-0.01856232-0.09785461j)
127,6116200000.0,(-0.02519989-0.09686279j)
128,6116800000.0,(-0.03224945-0.09436035j)
129,6117400000.0,(-0.03860474-0.09217072j)
130,6118000000.0,(-0.04452515-0.08853149j)
131,6118600000.0,(-0.04998779-0.08432007j)
132,6119200000.0,(-0.0535202-0.07836914j)
133,6119800000.0,(-0.05297089-0.07600403j)
134,6120400000.0,(-0.05810547-0.07872772j)
135,6121000000.0,(-0.06690979-0.07592773j)
136,6121600000.0,(-0.07409668-0.07112885j)
137,6122200000.0,(-0.07962036-0.06497192j)
138,6122800000.0,(-0.08480835-0.05801392j)
139,6123400000.0,(-0.08831787-0.05175781j)
140,6124000000.0,(-0.09126282-0.0439682j)
141,6124600000.0,(-0.09380341-0.03606415j)
142,6125200000.0,(-0.09397125-0.02750397j)
143,6125800000.0,(-0.09208679-0.01943207j)
144,6126400000.0,(-0.08893585-0.01480103j)
145,6127000000.0,(-0.08664703-0.01170349j)
146,6127600000.0,(-0.08638-0.01054382j)
147,6128200000.0,(-0.08747864-0.008262634j)
148,6128800000.0,(-0.08983612-0.005142212j)
149,6129400000.0,(-0.09160614-0.0006332397j)
150,6130000000.0,(-0.09380341+0.00478363j)
151,6130600000.0,(-0.09439087+0.01059723j)
152,6131200000.0,(-0.09493256+0.01646423j)
153,6131800000.0,(-0.09496307+0.02284241j)
154,6132400000.0,(-0.09399414+0.02939606j)
155,6133000000.0,(-0.09231567+0.0355835j)
156,6133600000.0,(-0.0903244+0.0419693j)
157,6134200000.0,(-0.08856201+0.04897308j)
158,6134800000.0,(-0.08573151+0.05422211j)
159,6135400000.0,(-0.0824585+0.06003571j)
160,6136000000.0,(-0.07843781+0.06568909j)
161,6136600000.0,(-0.07535553+0.07145691j)
162,6137200000.0,(-0.06960297+0.07585907j)
163,6137800000.0,(-0.06469727+0.08074951j)
164,6138400000.0,(-0.0594635+0.08502197j)
165,6139000000.0,(-0.05364227+0.08943939j)
166,6139600000.0,(-0.04788971+0.09353638j)
167,6140200000.0,(-0.04130554+0.09694672j)
168,6140800000.0,(-0.03477478+0.09882355j)
169,6141400000.0,(-0.02832031+0.1014404j)
170,6142000000.0,(-0.02170563+0.1030655j)
171,6142600000.0,(-0.01481628+0.1049957j)
172,6143200000.0,(-0.008125305+0.1054916j)
