,Freq (Hz),Complex (decimal)
0,9080000000.0,(0.1099777-0.05890656j)
1,9080500000.0,(0.1075439-0.06715393j)
2,9081000000.0,(0.103508-0.07401276j)
3,9081500000.0,(0.09959412-0.08126068j)
4,9082000000.0,(0.09618759-0.0876236j)
5,9082500000.0,(0.09033585-0.09344482j)
6,9083000000.0,(0.08390045-0.09905243j)
7,9083500000.0,(0.07772827-0.1041794j)
8,9084000000.0,(0.07054138-0.1074295j)
9,9084500000.0,(0.06536865-0.11203j)
10,9085000000.0,(0.05771637-0.1155396j)
11,9085500000.0,(0.04966736-0.1220779j)
12,9086000000.0,(0.04299164-0.1207199j)
13,9086500000.0,(0.03551483-0.1226883j)
14,9087000000.0,(0.0282974-0.1264267j)
15,9087500000.0,(0.0213928-0.1279449j)
16,9088000000.0,(0.0127716-0.1290665j)
17,9088500000.0,(0.0037613-0.1298523j)
18,9089000000.0,(-0.005119324-0.1292877j)
19,9089500000.0,(-0.01499939-0.127533j)
20,9090000000.0,(-0.02516174-0.1243515j)
21,9090500000.0,(-0.03435516-0.1211319j)
22,9091000000.0,(-0.04219818-0.1153412j)
23,9091500000.0,(-0.050354-0.1075821j)
24,9092000000.0,(-0.05597687-0.09719086j)
25,9092500000.0,(-0.05817413-0.08462906j)
26,9093000000.0,(-0.05303955-0.07346725j)
27,9093500000.0,(-0.04257965-0.06790543j)
28,9094000000.0,(-0.03212738-0.07289505j)
29,9094500000.0,(-0.03011322-0.08358002j)
30,9095000000.0,(-0.03609467-0.09208679j)
31,9095500000.0,(-0.04516602-0.09712982j)
32,9096000000.0,(-0.05538177-0.0983963j)
33,9096500000.0,(-0.0644455-0.09716797j)
34,9097000000.0,(-0.07382584-0.09356689j)
35,9097500000.0,(-0.08160019-0.08965683j)
36,9098000000.0,(-0.08772659-0.08384323j)
37,9098500000.0,(-0.09423828-0.0790863j)
38,9099000000.0,(-0.09876251-0.07219696j)
39,9099500000.0,(-0.1043549-0.06700897j)
40,9100000000.0,(-0.1090088-0.05979919j)
41,9100500000.0,(-0.1132813-0.05301666j)
42,9101000000.0,(-0.1162338-0.04545593j)
43,9101500000.0,(-0.1185226-0.0381546j)
44,9102000000.0,(-0.1214447-0.02992249j)
45,9102500000.0,(-0.1224442-0.02162933j)
46,9103000000.0,(-0.1241608-0.0144577j)
47,9103500000.0,(-0.1235504-0.005432129j)
48,9104000000.0,(-0.1231384+0.00204468j)
49,9104500000.0,(-0.1226501+0.01190186j)
50,9105000000.0,(-0.1194077+0.01965332j)
51,9105500000.0,(-0.1168747+0.02797699j)
52,9106000000.0,(-0.1129227+0.03661346j)
53,9106500000.0,(-0.1085739+0.04281616j)
54,9107000000.0,(-0.1025848+0.05117798j)
55,9107500000.0,(-0.09278488+0.0581665j)
56,9108000000.0,(-0.08135223+0.063591j)
57,9108500000.0,(-0.06585312+0.06314087j)
58,9109000000.0,(-0.05212402+0.05189514j)
59,9109500000.0,(-0.05113602+0.03371429j)
60,9110000000.0,(-0.06340027+0.02068329j)
61,9110500000.0,(-0.08013916+0.02287674j)
62,9111000000.0,(-0.08997345+0.03152847j)
63,9111500000.0,(-0.09416962+0.0428772j)
64,9112000000.0,(-0.09433746+0.05372238j)
65,9112500000.0,(-0.09348297+0.06266022j)
66,9113000000.0,(-0.09018326+0.07142639j)
67,9113500000.0,(-0.0853157+0.07830811j)
68,9114000000.0,(-0.07999039+0.08540344j)
69,9114500000.0,(-0.0759201+0.0915451j)
70,9115000000.0,(-0.07052612+0.09706879j)
71,9115500000.0,(-0.06384277+0.1016541j)
72,9116000000.0,(-0.05731964+0.1049347j)
73,9116500000.0,(-0.05249023+0.1091385j)
74,9117000000.0,(-0.04499054+0.1116562j)
75,9117500000.0,(-0.03927612+0.1151581j)
76,9118000000.0,(-0.03231812+0.1175919j)
77,9118500000.0,(-0.02541351+0.120285j)
78,9119000000.0,(-0.01828003+0.1212769j)
79,9119500000.0,(-0.0103302+0.1222992j)
80,9120000000.0,(-0.00504303+0.1228638j)
81,9120500000.0,(0.00141144+0.1236343j)
82,9121000000.0,(0.00960541+0.1229324j)
83,9121500000.0,(0.0163269+0.1213913j)
84,9122000000.0,(0.02285004+0.1221695j)
85,9122500000.0,(0.02997589+0.1209793j)
86,9123000000.0,(0.03614807+0.1185913j)
87,9123500000.0,(0.04284668+0.1164017j)
88,9124000000.0,(0.05016327+0.1142578j)
89,9124500000.0,(0.05665588+0.1116714j)
90,9125000000.0,(0.06188965+0.1090088j)
91,9125500000.0,(0.06768799+0.105011j)
92,9126000000.0,(0.07436371+0.1016464j)
93,9126500000.0,(0.08028412+0.09622955j)
94,9127000000.0,(0.08608246+0.09253693j)
95,9127500000.0,(0.09084702+0.08489609j)
96,9128000000.0,(0.09396744+0.08082199j)
97,9128500000.0,(0.09766388+0.07733154j)
98,9129000000.0,(0.1022491+0.07207489j)
99,9129500000.0,(0.1066055+0.06663513j)
100,9130000000.0,(0.1105042+0.05991364j)
101,9130500000.0,(0.1141663+0.05418396j)
102,9131000000.0,(0.1166077+0.04758453j)
103,9131500000.0,(0.1196976+0.04058838j)
104,9132000000.0,(0.1219711+0.03401184j)
105,9132500000.0,(0.1236801+0.0259552j)
106,9133000000.0,(0.1252365+0.0180969j)
107,9133500000.0,(0.1255722+0.0118103j)
108,9134000000.0,(0.1242905+0.00463867j)
109,9134500000.0,(0.1230087-0.00100708j)
110,9135000000.0,(0.1239624-0.005050659j)
111,9135500000.0,(0.1245575-0.01107788j)
112,9136000000.0,(0.1260147-0.01882935j)
113,9136500000.0,(0.1249313-0.02659607j)
114,9137000000.0,(0.1243439-0.03482056j)
115,9137500000.0,(0.1222382-0.04245758j)
116,9138000000.0,(0.1193237-0.05065155j)
117,9138500000.0,(0.1153717-0.05776978j)
