,Freq (Hz),Complex (decimal)
0,120000000.0,(-0.0005373657+0.0006415248j)
1,126100000.0,(-0.0006883144+0.0004604459j)
2,132200000.0,(-0.0002998412+0.0007369518j)
3,138300000.0,(0.0001263618+0.0008239746j)
4,144400000.0,(0.0006140172+0.00062868j)
5,150500000.0,(0.0009739399+0.0002183914j)
6,156600000.0,(0.001034439-0.0005857944j)
7,162700000.0,(0.0005229712-0.001169741j)
8,168800000.0,(-0.0003938675-0.001219511j)
9,174900000.0,(-0.001120806-0.0007795691j)
10,181000000.0,(-0.001353621+1.20401e-05j)
11,187100000.0,(-0.00119096+0.0008673668j)
12,193200000.0,(-0.0005186796+0.001371264j)
13,199300000.0,(0.0005505085+0.001626492j)
14,205400000.0,(0.001645446+0.0009758472j)
15,211500000.0,(0.002015233-0.000275135j)
16,217600000.0,(0.001411676-0.00142777j)
17,223700000.0,(0.000294805-0.002008915j)
18,229800000.0,(-0.0009633303-0.001899481j)
19,235900000.0,(-0.001935482-0.001078963j)
20,242000000.0,(-0.002368808+0.00024724j)
21,248100000.0,(-0.001876473+0.001886487j)
22,254200000.0,(-0.0002530813+0.002760768j)
23,260300000.0,(0.001606584+0.002245426j)
24,266400000.0,(0.002657413+0.00090611j)
25,272500000.0,(0.002651215-0.0008023977j)
26,278600000.0,(0.001742005-0.002249956j)
27,284700000.0,(0.000153542-0.003068447j)
28,290800000.0,(-0.001883388-0.002755284j)
29,296900000.0,(-0.003406525-0.001110315j)
30,303000000.0,(-0.003473997+0.001385927j)
31,309100000.0,(-0.001740694+0.003217936j)
32,315200000.0,(0.000403404+0.003560781j)
33,321300000.0,(0.002418518+0.002675533j)
34,327400000.0,(0.003656149+0.00095582j)
35,333500000.0,(0.003786564-0.001525402j)
36,339600000.0,(0.002280474-0.003782034j)
37,345700000.0,(-0.0006625652-0.004568815j)
38,351800000.0,(-0.003452301-0.003241062j)
39,357900000.0,(-0.004705191-0.000369072j)
40,364000000.0,(-0.004029036+0.00238204j)
41,370100000.0,(-0.001796484+0.004346848j)
42,376200000.0,(0.000990391+0.004748344j)
43,382300000.0,(0.003924131+0.003488302j)
44,388400000.0,(0.005487442+0.000411034j)
45,394500000.0,(0.004613876-0.003237009j)
46,400600000.0,(0.001780033-0.005379677j)
47,406700000.0,(-0.001870632-0.005403519j)
48,412800000.0,(-0.00468874-0.003364563j)
49,418900000.0,(-0.005972385-5.960464e-05j)
50,425000000.0,(-0.005049229+0.003798008j)
51,431100000.0,(-0.001756191+0.006448269j)
52,437200000.0,(0.002659798+0.006202221j)
53,443300000.0,(0.00587368+0.003266335j)
54,449400000.0,(0.006749153-0.0009307861j)
55,455500000.0,(0.004869461-0.004680634j)
56,461600000.0,(0.001376152-0.006958961j)
57,467700000.0,(-0.003177166-0.006717205j)
58,473800000.0,(-0.006819248-0.003565311j)
59,479900000.0,(-0.007917404+0.001516819j)
60,486000000.0,(-0.005197525+0.006153107j)
61,492100000.0,(-0.000357151+0.0078969j)
62,498200000.0,(0.004236698+0.006514072j)
63,504300000.0,(0.00726223+0.003027916j)
64,510400000.0,(0.00798893-0.001796722j)
65,516500000.0,(0.005779266-0.00645113j)
66,522600000.0,(0.000638008-0.009231091j)
67,528700000.0,(-0.005642891-0.007738113j)
68,534800000.0,(-0.009242058-0.002477169j)
69,540900000.0,(-0.008404255+0.003577709j)
70,547000000.0,(-0.004707336+0.007693768j)
71,553100000.0,(0.000582695+0.009006977j)
72,559200000.0,(0.005770683+0.007305622j)
73,565300000.0,(0.009398937+0.002866268j)
74,571400000.0,(0.009794712-0.003718853j)
75,577500000.0,(0.00544405-0.009187222j)
76,583600000.0,(-0.001255989-0.01074791j)
77,589700000.0,(-0.00742054-0.007806778j)
78,595800000.0,(-0.01077747-0.002144814j)
79,601900000.0,(-0.01031017+0.004743576j)
80,608000000.0,(-0.005595207+0.01045799j)
81,614100000.0,(0.002069473+0.01214695j)
82,620200000.0,(0.009477615+0.008166313j)
83,626300000.0,(0.01228142+0.000819206j)
84,632400000.0,(0.01021385-0.006674767j)
85,638500000.0,(0.004562378-0.0115633j)
86,644600000.0,(-0.002760887-0.01231384j)
87,650700000.0,(-0.009901047-0.008677483j)
88,656800000.0,(-0.01390743-0.0008153915j)
89,662900000.0,(-0.01174831+0.008394241j)
90,669000000.0,(-0.003854752+0.01382065j)
91,675100000.0,(0.005227089+0.01325035j)
92,681200000.0,(0.01183891+0.007566452j)
93,687300000.0,(0.01431656-0.0004987717j)
94,693400000.0,(0.01165581-0.009215355j)
95,699500000.0,(0.004317284-0.01490116j)
96,705600000.0,(-0.006159782-0.01489449j)
97,711700000.0,(-0.01443577-0.007882118j)
98,717800000.0,(-0.01609039+0.00272274j)
99,723900000.0,(-0.01098013+0.01163864j)
100,730000000.0,(-0.002202988+0.01578617j)
101,736100000.0,(0.007372856+0.01446247j)
102,742200000.0,(0.01502037+0.00756073j)
103,748300000.0,(0.0172739-0.003194809j)
104,754400000.0,(0.01187706-0.01336479j)
105,760500000.0,(0.00116634-0.01801586j)
106,766600000.0,(-0.00990963-0.0151825j)
107,772700000.0,(-0.0169487-0.006453514j)
108,778800000.0,(-0.01799393+0.00481796j)
109,784900000.0,(-0.01210594+0.01532555j)
110,791000000.0,(-0.0003614426+0.02026081j)
111,797100000.0,(0.01303673+0.01628208j)
112,803200000.0,(0.02022934+0.00455189j)
113,809300000.0,(0.01824951-0.00852108j)
114,815400000.0,(0.0096426-0.01721001j)
115,821500000.0,(-0.001867294-0.01968098j)
116,827600000.0,(-0.01316929-0.01542568j)
117,833700000.0,(-0.02080822-0.005161285j)
118,839800000.0,(-0.02056885+0.00923252j)
119,845900000.0,(-0.01057243+0.02063751j)
120,852000000.0,(0.0047245+0.02289581j)
121,858100000.0,(0.01738262+0.01509094j)
122,864200000.0,(0.02292633+0.00183868j)
123,870300000.0,(0.0200634-0.01184845j)
124,876400000.0,(0.00950241-0.02224541j)
125,882500000.0,(-0.00620079-0.02437401j)
126,888600000.0,(-0.02058697-0.0156374j)
127,894700000.0,(-0.02586555+0.00063705j)
128,900800000.0,(-0.01984024+0.01594543j)
129,906900000.0,(-0.006599426+0.02425003j)
130,913000000.0,(0.00852585+0.02384758j)
131,919100000.0,(0.02164459+0.01500893j)
132,925200000.0,(0.02753067-0.0008678436j)
133,931300000.0,(0.02221298-0.01863098j)
134,937400000.0,(0.00534821-0.02886581j)
135,943500000.0,(-0.01343346-0.02618408j)
136,949600000.0,(-0.02616501-0.01255798j)
137,955700000.0,(-0.02879143+0.00526619j)
138,961800000.0,(-0.02060127+0.02171898j)
139,967900000.0,(-0.003393173+0.03120995j)
140,974000000.0,(0.01743317+0.02752304j)
141,980100000.0,(0.03142357+0.01048279j)
142,986200000.0,(0.03048515-0.01150322j)
143,992300000.0,(0.01640511-0.02641487j)
144,998400000.0,(-0.002281189-0.03048134j)
145,1004500000.0,(-0.01878738-0.02380371j)
146,1010600000.0,(-0.03020287-0.00897789j)
147,1016700000.0,(-0.03106308+0.01112556j)
148,1022800000.0,(-0.01831245+0.02924728j)
149,1028900000.0,(0.00426292+0.03546524j)
150,1035000000.0,(0.02532768+0.02500916j)
151,1041100000.0,(0.03487778+0.00411034j)
152,1047200000.0,(0.03016663-0.01708984j)
153,1053300000.0,(0.01457977-0.03251076j)
154,1059400000.0,(-0.008113861-0.03547478j)
155,1065500000.0,(-0.02909279-0.02379036j)
156,1071600000.0,(-0.03788757-0.0003242493j)
157,1077700000.0,(-0.02942657+0.0233345j)
158,1083800000.0,(-0.009000778+0.03522873j)
159,1089900000.0,(0.01302338+0.03342819j)
160,1096000000.0,(0.03004837+0.02013206j)
161,1102100000.0,(0.03753471-0.00122261j)
162,1108200000.0,(0.03018951-0.02457237j)
163,1114300000.0,(0.00857925-0.04006577j)
164,1120400000.0,(-0.01939964-0.03653526j)
165,1126500000.0,(-0.03722191-0.01577568j)
166,1132600000.0,(-0.03767014+0.00973701j)
167,1138700000.0,(-0.02439117+0.0287323j)
168,1144800000.0,(-0.003482819+0.03801155j)
169,1150900000.0,(0.01981735+0.03386497j)
170,1157000000.0,(0.03773117+0.01589775j)
171,1163100000.0,(0.04075241-0.01139069j)
172,1169200000.0,(0.0244751-0.03529549j)
173,1175300000.0,(-0.002218246-0.04140854j)
174,1181400000.0,(-0.0261898-0.03110313j)
175,1187500000.0,(-0.03899765-0.009435654j)
176,1193600000.0,(-0.03723526+0.01520538j)
177,1199700000.0,(-0.02142334+0.03555489j)
178,1205800000.0,(0.00436401+0.04210281j)
179,1211900000.0,(0.02944374+0.03025246j)
180,1218000000.0,(0.0418148+0.00605392j)
181,1224100000.0,(0.03647995-0.02048111j)
182,1230200000.0,(0.01706886-0.03786659j)
183,1236300000.0,(-0.008907318-0.04085159j)
184,1242400000.0,(-0.03182793-0.02765274j)
185,1248500000.0,(-0.04254913-0.002958298j)
186,1254600000.0,(-0.03563881+0.02386475j)
187,1260700000.0,(-0.0135231+0.03991508j)
188,1266800000.0,(0.01277733+0.03993034j)
189,1272900000.0,(0.03344345+0.02484322j)
190,1279000000.0,(0.04223061+0.0007267j)
191,1285100000.0,(0.03543091-0.02550888j)
192,1291200000.0,(0.01338959-0.04301834j)
193,1297300000.0,(-0.01686096-0.04258347j)
194,1303400000.0,(-0.03974342-0.02287865j)
195,1309500000.0,(-0.0445385+0.00643158j)
196,1315600000.0,(-0.03099251+0.03117752j)
197,1321700000.0,(-0.006654739+0.04271317j)
198,1327800000.0,(0.01958084+0.03878784j)
199,1333900000.0,(0.03906441+0.02038193j)
200,1340000000.0,(0.04430771-0.007354736j)
201,1346100000.0,(0.03114319-0.03313065j)
202,1352200000.0,(0.00433922-0.04514313j)
203,1358300000.0,(-0.02371597-0.03849792j)
204,1364400000.0,(-0.04182625-0.01726913j)
205,1370500000.0,(-0.04451942+0.01100159j)
206,1376600000.0,(-0.02989578+0.03607559j)
207,1382700000.0,(-0.001764297+0.04818726j)
208,1388800000.0,(0.02895355+0.03931427j)
209,1394900000.0,(0.04652786+0.01262474j)
210,1401000000.0,(0.04379654-0.0177784j)
211,1407100000.0,(0.02460098-0.03962898j)
212,1413200000.0,(-0.003139496-0.04598999j)
213,1419300000.0,(-0.03009987-0.03664017j)
214,1425400000.0,(-0.04744911-0.01176453j)
215,1431500000.0,(-0.04590988+0.02055168j)
216,1437600000.0,(-0.02340317+0.04464149j)
217,1443700000.0,(0.0089817+0.048666j)
218,1449800000.0,(0.03574181+0.03310013j)
219,1455900000.0,(0.04768944+0.00566864j)
220,1462000000.0,(0.04278946-0.02293205j)
221,1468100000.0,(0.02176857-0.04537773j)
222,1474200000.0,(-0.0108223-0.05150604j)
223,1480300000.0,(-0.04216003-0.03383636j)
224,1486400000.0,(-0.05366898+0.00083923j)
225,1492500000.0,(-0.03989792+0.03308678j)
226,1498600000.0,(-0.01190948+0.04818344j)
227,1504700000.0,(0.01772881+0.04463196j)
228,1510800000.0,(0.03987694+0.02663612j)
229,1516900000.0,(0.04906845-0.0009536743j)
230,1523000000.0,(0.04057884-0.03086281j)
231,1529100000.0,(0.01329422-0.0508461j)
232,1535200000.0,(-0.02133179-0.04857254j)
233,1541300000.0,(-0.04603958-0.02449799j)
234,1547400000.0,(-0.05075073+0.00791168j)
235,1553500000.0,(-0.03602791+0.03601646j)
236,1559600000.0,(-0.007335663+0.05043411j)
237,1565700000.0,(0.02429962+0.04582405j)
238,1571800000.0,(0.0475235+0.02185822j)
239,1577900000.0,(0.05049896-0.01194j)
240,1584000000.0,(0.03251839-0.03995323j)
241,1590100000.0,(0.00237274-0.0500412j)
242,1596200000.0,(-0.0265007-0.04146194j)
243,1602300000.0,(-0.04554749-0.01846695j)
244,1608400000.0,(-0.04867172+0.01116562j)
245,1614500000.0,(-0.03402138+0.0388031j)
246,1620600000.0,(-0.003932953+0.052845j)
247,1626700000.0,(0.030159+0.04493713j)
248,1632800000.0,(0.05163956+0.01718521j)
249,1638900000.0,(0.05147171-0.01700211j)
250,1645000000.0,(0.03066254-0.04434967j)
251,1651100000.0,(-0.001712799-0.05485916j)
252,1657200000.0,(-0.03449059-0.04320145j)
253,1663300000.0,(-0.05467224-0.01338577j)
254,1669400000.0,(-0.05085754+0.02312851j)
255,1675500000.0,(-0.02599716+0.04889297j)
256,1681600000.0,(0.00753784+0.05335236j)
257,1687700000.0,(0.03729439+0.03856468j)
258,1693800000.0,(0.05278397+0.00994492j)
259,1699900000.0,(0.04949188-0.02288437j)
260,1706000000.0,(0.02704239-0.04985809j)
261,1712100000.0,(-0.008655548-0.05717087j)
262,1718200000.0,(-0.04256439-0.04037094j)
263,1724300000.0,(-0.05835342-0.005886078j)
264,1730400000.0,(-0.05000305+0.03009033j)
265,1736500000.0,(-0.02227402+0.05436325j)
266,1742600000.0,(0.01459122+0.05731583j)
267,1748700000.0,(0.0471077+0.03752899j)
268,1754800000.0,(0.06097412+0.00091171j)
269,1760900000.0,(0.04837418-0.03641891j)
270,1767000000.0,(0.01622009-0.05709839j)
271,1773100000.0,(-0.02114487-0.05482483j)
272,1779200000.0,(-0.04868317-0.03180695j)
273,1785300000.0,(-0.05846405+0.00221252j)
274,1791400000.0,(-0.04683685+0.03706741j)
275,1797500000.0,(-0.01607132+0.05937195j)
276,1803600000.0,(0.02396393+0.05793381j)
277,1809700000.0,(0.05470657+0.03164673j)
278,1815800000.0,(0.06282425-0.007968903j)
279,1821900000.0,(0.04576492-0.04437637j)
280,1828000000.0,(0.01075363-0.06356049j)
281,1834100000.0,(-0.03077698-0.05772018j)
282,1840200000.0,(-0.06038284-0.02649689j)
283,1846300000.0,(-0.06331253+0.01670456j)
284,1852400000.0,(-0.03979874+0.05055237j)
285,1858500000.0,(-0.001743317+0.06210709j)
286,1864600000.0,(0.03347015+0.05097198j)
287,1870700000.0,(0.05728149+0.02323151j)
288,1876800000.0,(0.06248474-0.01465988j)
289,1882900000.0,(0.04314041-0.05067444j)
290,1889000000.0,(0.00289154-0.06972885j)
291,1895100000.0,(-0.0421257-0.05578995j)
292,1901200000.0,(-0.06690979-0.01638794j)
293,1907300000.0,(-0.0616188+0.02672958j)
294,1913400000.0,(-0.03302383+0.05622864j)
295,1919500000.0,(0.00506592+0.06524277j)
296,1925600000.0,(0.04341507+0.05099106j)
297,1931700000.0,(0.0671196+0.01479721j)
298,1937800000.0,(0.06385422-0.0305748j)
299,1943900000.0,(0.03020477-0.06314087j)
300,1950000000.0,(-0.01489258-0.0669632j)
301,1956100000.0,(-0.04995346-0.04408455j)
302,1962200000.0,(-0.06544113-0.007083893j)
303,1968300000.0,(-0.05887604+0.03259659j)
304,1974400000.0,(-0.02927399+0.06350327j)
305,1980500000.0,(0.01568222+0.0701828j)
