,Freq (Hz),Complex (decimal)
0,120000000.0,(-0.0003588647-6.152689e-05j)
1,126100000.0,(-0.0003941208+0.0002096891j)
2,132200000.0,(-0.0001746118+0.0004207492j)
3,138300000.0,(7.15554e-05+0.0005117953j)
4,144400000.0,(0.0004006922+0.0003255308j)
5,150500000.0,(0.0005761087+1.70767e-05j)
6,156600000.0,(0.0005246699-0.0003373623j)
7,162700000.0,(0.0002685487-0.0006398559j)
8,168800000.0,(-0.0002112389-0.0006817579j)
9,174900000.0,(-0.0006228387-0.0004686117j)
10,181000000.0,(-0.0007790327+6.3777e-05j)
11,187100000.0,(-0.0007015467+0.0005403757j)
12,193200000.0,(-0.0002830029+0.0008574128j)
13,199300000.0,(0.000310421+0.0009766817j)
14,205400000.0,(0.0008828044+0.0005198121j)
15,211500000.0,(0.001091599-0.0001404285j)
16,217600000.0,(0.0008150935-0.0008251071j)
17,223700000.0,(0.0002303123-0.001182079j)
18,229800000.0,(-0.0006001592-0.001089811j)
19,235900000.0,(-0.00112474-0.0005847812j)
20,242000000.0,(-0.001285672+0.0002410412j)
21,248100000.0,(-0.0009433031+0.001081645j)
22,254200000.0,(-0.0001816154+0.001516402j)
23,260300000.0,(0.0008022785+0.001347423j)
24,266400000.0,(0.001459897+0.0005136132j)
25,272500000.0,(0.001598954-0.000482142j)
26,278600000.0,(0.001053452-0.001325369j)
27,284700000.0,(7.54595e-05-0.001795053j)
28,290800000.0,(-0.001067877-0.001535177j)
29,296900000.0,(-0.001869559-0.000557065j)
30,303000000.0,(-0.001899958+0.0008001328j)
31,309100000.0,(-0.001042485+0.00182271j)
32,315200000.0,(0.000243902+0.002058625j)
33,321300000.0,(0.001367688+0.001521111j)
34,327400000.0,(0.002119303+0.000453115j)
35,333500000.0,(0.002138138-0.0009813309j)
36,339600000.0,(0.001187325-0.002145767j)
37,345700000.0,(-0.0003864765-0.002518296j)
38,351800000.0,(-0.001881361-0.00178957j)
39,357900000.0,(-0.00269115-0.0002191067j)
