,Freq (Hz),Complex (decimal)
0,6300000000.0,(-0.05060577-0.09815216j)
1,6301500000.0,(-0.06537628-0.08917236j)
2,6303000000.0,(-0.07866669-0.07739258j)
3,6304500000.0,(-0.08926392-0.06419373j)
4,6306000000.0,(-0.09796906-0.04941559j)
5,6307500000.0,(-0.1039734-0.03372955j)
6,6309000000.0,(-0.1082993-0.01739502j)
7,6310500000.0,(-0.1095276-0.0007629395j)
8,6312000000.0,(-0.1083832+0.01605988j)
9,6313500000.0,(-0.1050034+0.0322876j)
10,6315000000.0,(-0.09970856+0.04844666j)
11,6316500000.0,(-0.09128571+0.06331635j)
12,6318000000.0,(-0.08136749+0.07704163j)
13,6319500000.0,(-0.06774902+0.08988953j)
14,6321000000.0,(-0.05466461+0.1006393j)
15,6322500000.0,(-0.0375061+0.1075058j)
16,6324000000.0,(-0.01961517+0.1124115j)
17,6325500000.0,(-0.002342224+0.115593j)
18,6327000000.0,(0.01663208+0.1164474j)
19,6328500000.0,(0.03596497+0.112793j)
20,6330000000.0,(0.05384064+0.1056137j)
21,6331500000.0,(0.07115173+0.09631348j)
22,6333000000.0,(0.08646393+0.0832901j)
23,6334500000.0,(0.09918976+0.06898499j)
24,6336000000.0,(0.1097031+0.05110168j)
25,6337500000.0,(0.1166077+0.03251648j)
26,6339000000.0,(0.1213074+0.01228333j)
27,6340500000.0,(0.120903-0.008163452j)
28,6342000000.0,(0.1172256-0.02724457j)
29,6343500000.0,(0.1106415-0.04667664j)
30,6345000000.0,(0.1018448-0.06317902j)
31,6346500000.0,(0.08930206-0.07816315j)
32,6348000000.0,(0.07627869-0.0920105j)
33,6349500000.0,(0.05936432-0.1021576j)
34,6351000000.0,(0.04194641-0.109787j)
35,6352500000.0,(0.02391815-0.1145706j)
36,6354000000.0,(0.00518799-0.1151733j)
37,6355500000.0,(-0.01371002-0.1144714j)
38,6357000000.0,(-0.03085327-0.1105881j)
39,6358500000.0,(-0.04785156-0.1037216j)
40,6360000000.0,(-0.06255341-0.0952301j)
41,6361500000.0,(-0.07553101-0.08423615j)
42,6363000000.0,(-0.08779144-0.07158661j)
43,6364500000.0,(-0.09772491-0.05696106j)
44,6366000000.0,(-0.1050186-0.04116058j)
45,6367500000.0,(-0.1098633-0.02466583j)
46,6369000000.0,(-0.1125565-0.00769043j)
47,6370500000.0,(-0.1126785+0.01002502j)
48,6372000000.0,(-0.1101379+0.02711487j)
49,6373500000.0,(-0.1043854+0.0438385j)
50,6375000000.0,(-0.0969696+0.06034088j)
51,6376500000.0,(-0.08716583+0.07389832j)
52,6378000000.0,(-0.07390594+0.08786774j)
53,6379500000.0,(-0.06057739+0.09841919j)
54,6381000000.0,(-0.04415131+0.1072388j)
55,6382500000.0,(-0.02598572+0.1130981j)
56,6384000000.0,(-0.006980896+0.1162186j)
57,6385500000.0,(0.01118469+0.1162491j)
58,6387000000.0,(0.02863312+0.1138077j)
59,6388500000.0,(0.04721832+0.1077423j)
60,6390000000.0,(0.0633316+0.09920502j)
61,6391500000.0,(0.07879639+0.0877533j)
62,6393000000.0,(0.09194183+0.07429504j)
63,6394500000.0,(0.1031494+0.05850983j)
64,6396000000.0,(0.1109314+0.04144287j)
65,6397500000.0,(0.11586+0.02336884j)
66,6399000000.0,(0.1180191+0.00376129j)
67,6400500000.0,(0.1175537-0.01441956j)
68,6402000000.0,(0.1138535-0.03248596j)
69,6403500000.0,(0.1075592-0.04963684j)
70,6405000000.0,(0.09781647-0.06667328j)
71,6406500000.0,(0.08647156-0.08163452j)
72,6408000000.0,(0.07308197-0.0933609j)
73,6409500000.0,(0.05760956-0.1036835j)
74,6411000000.0,(0.03939056-0.1116714j)
75,6412500000.0,(0.02224731-0.1175079j)
76,6414000000.0,(0.00271606-0.1199799j)
77,6415500000.0,(-0.01553345-0.1181412j)
78,6417000000.0,(-0.03395081-0.1158371j)
79,6418500000.0,(-0.05185699-0.1084213j)
80,6420000000.0,(-0.06824493-0.1000824j)
81,6421500000.0,(-0.08358765-0.08766174j)
82,6423000000.0,(-0.09706879-0.07354736j)
83,6424500000.0,(-0.107605-0.05728912j)
84,6426000000.0,(-0.1163635-0.03942108j)
85,6427500000.0,(-0.1212006-0.02068329j)
86,6429000000.0,(-0.1232986-0.0006713867j)
87,6430500000.0,(-0.1218185+0.01898193j)
88,6432000000.0,(-0.1173096+0.03866577j)
89,6433500000.0,(-0.1093903+0.0572052j)
90,6435000000.0,(-0.09986115+0.07545471j)
91,6436500000.0,(-0.08718872+0.08997345j)
92,6438000000.0,(-0.07091522+0.1028748j)
93,6439500000.0,(-0.05255127+0.1137543j)
94,6441000000.0,(-0.03366852+0.1197968j)
95,6442500000.0,(-0.01304626+0.1236801j)
96,6444000000.0,(0.00700378+0.1238937j)
