,Freq (Hz),Complex (decimal)
0,1220000000.0,(0.02351761-0.003293037j)
1,1221600000.0,(0.02268314-0.007203102j)
2,1223200000.0,(0.02128983-0.01106071j)
3,1224800000.0,(0.01898193-0.01452637j)
4,1226400000.0,(0.01627827-0.01764297j)
5,1228000000.0,(0.0132246-0.02021408j)
6,1229600000.0,(0.00939465-0.02206993j)
7,1231200000.0,(0.00565815-0.0235281j)
8,1232800000.0,(0.00158691-0.02388573j)
9,1234400000.0,(-0.002379417-0.02406406j)
10,1236000000.0,(-0.006406784-0.02347088j)
11,1237600000.0,(-0.01032829-0.02192783j)
12,1239200000.0,(-0.01387978-0.019804j)
13,1240800000.0,(-0.01726818-0.01724339j)
14,1242400000.0,(-0.01989079-0.01403427j)
15,1244000000.0,(-0.02208042-0.01057339j)
16,1245600000.0,(-0.02344799-0.006601334j)
17,1247200000.0,(-0.02422237-0.002462387j)
18,1248800000.0,(-0.02423954+0.00171375j)
19,1250400000.0,(-0.02360153+0.00573254j)
20,1252000000.0,(-0.02229023+0.00966263j)
21,1253600000.0,(-0.02030468+0.01325035j)
22,1255200000.0,(-0.01795292+0.01628113j)
23,1256800000.0,(-0.01488781+0.01898766j)
24,1258400000.0,(-0.0114727+0.02151871j)
25,1260000000.0,(-0.007581711+0.02274227j)
26,1261600000.0,(-0.003499985+0.02362347j)
27,1263200000.0,(0.00031567+0.02403355j)
28,1264800000.0,(0.00436783+0.02362728j)
29,1266400000.0,(0.00806618+0.02269363j)
30,1268000000.0,(0.01187706+0.02092361j)
31,1269600000.0,(0.01511002+0.01883698j)
32,1271200000.0,(0.01798439+0.01610756j)
33,1272800000.0,(0.02044582+0.01300335j)
34,1274400000.0,(0.02237701+0.00955868j)
35,1276000000.0,(0.02383327+0.00559044j)
36,1277600000.0,(0.02457809+0.00165367j)
37,1279200000.0,(0.02457047-0.002355576j)
38,1280800000.0,(0.02401924-0.006556511j)
39,1282400000.0,(0.02268219-0.01049232j)
40,1284000000.0,(0.02052879-0.01432037j)
41,1285600000.0,(0.01796627-0.01780033j)
42,1287200000.0,(0.01492786-0.02070904j)
43,1288800000.0,(0.0113945-0.02310753j)
44,1290400000.0,(0.00718117-0.02489662j)
45,1292000000.0,(0.00267982-0.02580643j)
46,1293600000.0,(-0.001686096-0.02591515j)
47,1295200000.0,(-0.006448746-0.02529144j)
48,1296800000.0,(-0.01060581-0.02393627j)
49,1298400000.0,(-0.0146904-0.02178192j)
50,1300000000.0,(-0.01821041-0.01877594j)
51,1301600000.0,(-0.02129459-0.01535606j)
52,1303200000.0,(-0.02353764-0.01143169j)
53,1304800000.0,(-0.02506256-0.007194519j)
54,1306400000.0,(-0.02589417-0.002759933j)
55,1308000000.0,(-0.02583694+0.00172234j)
56,1309600000.0,(-0.02533531+0.0059166j)
57,1311200000.0,(-0.02354145+0.01025486j)
58,1312800000.0,(-0.02157116+0.01400471j)
59,1314400000.0,(-0.01883698+0.01760769j)
60,1316000000.0,(-0.01563072+0.02016926j)
61,1317600000.0,(-0.01187325+0.02266407j)
62,1319200000.0,(-0.008003235+0.02419186j)
63,1320800000.0,(-0.003885269+0.02502251j)
64,1322400000.0,(0.00021362+0.02549934j)
65,1324000000.0,(0.00459862+0.02483177j)
66,1325600000.0,(0.00865936+0.02380371j)
67,1327200000.0,(0.01241398+0.02207756j)
68,1328800000.0,(0.01578617+0.01966381j)
69,1330400000.0,(0.01894188+0.01684284j)
70,1332000000.0,(0.02142334+0.01353168j)
71,1333600000.0,(0.02347088+0.00975037j)
72,1335200000.0,(0.02476883+0.00578499j)
73,1336800000.0,(0.02544975+0.00163841j)
74,1338400000.0,(0.0254612-0.002832413j)
75,1340000000.0,(0.02467728-0.006877899j)
76,1341600000.0,(0.02331638-0.0110836j)
77,1343200000.0,(0.02119732-0.01475811j)
78,1344800000.0,(0.01824665-0.01826668j)
79,1346400000.0,(0.0155201-0.02124691j)
80,1348000000.0,(0.01157951-0.02351093j)
81,1349600000.0,(0.00742149-0.02499008j)
82,1351200000.0,(0.00337982-0.02581024j)
83,1352800000.0,(-0.001205444-0.02607155j)
84,1354400000.0,(-0.005796432-0.02581215j)
85,1356000000.0,(-0.01010323-0.02449799j)
86,1357600000.0,(-0.01424313-0.02253056j)
87,1359200000.0,(-0.01784706-0.01988792j)
88,1360800000.0,(-0.02083683-0.01669979j)
89,1362400000.0,(-0.02352238-0.01297283j)
90,1364000000.0,(-0.02545929-0.008733749j)
91,1365600000.0,(-0.02659035-0.004434586j)
92,1367200000.0,(-0.02701187+0.0002327j)
93,1368800000.0,(-0.02656555+0.00488091j)
94,1370400000.0,(-0.02563095+0.00936317j)
95,1372000000.0,(-0.02369881+0.01350117j)
96,1373600000.0,(-0.0210762+0.01743984j)
97,1375200000.0,(-0.0179224+0.0206995j)
98,1376800000.0,(-0.01423931+0.02343845j)
99,1378400000.0,(-0.009899139+0.02569199j)
100,1380000000.0,(-0.005384445+0.02707481j)
101,1381600000.0,(-0.0005702972+0.02748108j)
102,1383200000.0,(0.00393677+0.02746391j)
103,1384800000.0,(0.00868034+0.0264473j)
104,1386400000.0,(0.01311684+0.02454281j)
105,1388000000.0,(0.01710129+0.02206516j)
106,1389600000.0,(0.02042675+0.01880455j)
107,1391200000.0,(0.02344227+0.01494408j)
108,1392800000.0,(0.02566528+0.01080322j)
109,1394400000.0,(0.02707291+0.00628853j)
110,1396000000.0,(0.0275898+0.00153732j)
111,1397600000.0,(0.02754402-0.003175735j)
112,1399200000.0,(0.02668762-0.007659912j)
113,1400800000.0,(0.02496052-0.01200199j)
114,1402400000.0,(0.02255535-0.01598549j)
