,Freq (Hz),Complex (decimal)
0,120000000.0,(-0.0007289946-0.0001033843j)
1,126100000.0,(-0.0006097853+0.0005007982j)
2,132200000.0,(-0.0002493262+0.0007364154j)
3,138300000.0,(0.0002428889+0.0008067489j)
4,144400000.0,(0.0006117523+0.0006541014j)
5,150500000.0,(0.0009815693+5.73397e-05j)
6,156600000.0,(0.0009298325-0.0005576015j)
7,162700000.0,(0.0004532337-0.001229346j)
8,168800000.0,(-0.0004645586-0.001209557j)
9,174900000.0,(-0.001070857-0.0006781816j)
10,181000000.0,(-0.001367807+9.08375e-05j)
11,187100000.0,(-0.001139045+0.0008886456j)
12,193200000.0,(-0.0004593134+0.001593828j)
13,199300000.0,(0.0006121397+0.001654148j)
14,205400000.0,(0.00160706+0.0009622574j)
15,211500000.0,(0.00194943-0.0002315044j)
16,217600000.0,(0.001328826-0.001433849j)
17,223700000.0,(0.000210643-0.001969695j)
18,229800000.0,(-0.0009900331-0.001706719j)
19,235900000.0,(-0.001923561-0.000983119j)
20,242000000.0,(-0.002314091+0.000371695j)
21,248100000.0,(-0.001715899+0.001799226j)
22,254200000.0,(-0.0002117157+0.00272274j)
23,260300000.0,(0.001606345+0.00219667j)
24,266400000.0,(0.002670169+0.000801325j)
25,272500000.0,(0.002577901-0.0008705854j)
26,278600000.0,(0.001669765-0.002237201j)
27,284700000.0,(6.2704e-05-0.003067255j)
28,290800000.0,(-0.001921415-0.002599955j)
29,296900000.0,(-0.003317595-0.0008614063j)
30,303000000.0,(-0.003296375+0.001503229j)
31,309100000.0,(-0.001621246+0.003132105j)
32,315200000.0,(0.000525236+0.003483534j)
33,321300000.0,(0.00235641+0.002568364j)
34,327400000.0,(0.00354147+0.000766039j)
35,333500000.0,(0.003626347-0.001550913j)
36,339600000.0,(0.002034426-0.003738642j)
37,345700000.0,(-0.0008804798-0.004426956j)
38,351800000.0,(-0.003497601-0.002968311j)
39,357900000.0,(-0.004559755-0.0002491474j)
40,364000000.0,(-0.003709316+0.002421141j)
41,370100000.0,(-0.001677513+0.004318237j)
42,376200000.0,(0.001159668+0.004684448j)
43,382300000.0,(0.00392437+0.003167629j)
44,388400000.0,(0.005270004+0.000125885j)
45,394500000.0,(0.004391909-0.003172636j)
46,400600000.0,(0.001398087-0.005323887j)
47,406700000.0,(-0.001931667-0.005119801j)
48,412800000.0,(-0.004654646-0.003046513j)
49,418900000.0,(-0.005750656+0.000260353j)
50,425000000.0,(-0.004750729+0.003806114j)
51,431100000.0,(-0.001329899+0.006158829j)
52,437200000.0,(0.002779484+0.005928993j)
53,443300000.0,(0.005897999+0.0029006j)
54,449400000.0,(0.006418228-0.001145363j)
55,455500000.0,(0.004618168-0.004738331j)
56,461600000.0,(0.001053333-0.006748676j)
57,467700000.0,(-0.00330925-0.006382465j)
58,473800000.0,(-0.006658077-0.003233433j)
59,479900000.0,(-0.007460594+0.001782894j)
60,486000000.0,(-0.004761696+0.006032944j)
61,492100000.0,(-0.0001215935+0.007559299j)
62,498200000.0,(0.004247665+0.006062508j)
63,504300000.0,(0.00705719+0.00259304j)
64,510400000.0,(0.007570744-0.001960754j)
65,516500000.0,(0.005289078-0.006393909j)
66,522600000.0,(0.000185966-0.008906841j)
67,528700000.0,(-0.005619049-0.007202625j)
68,534800000.0,(-0.008951664-0.001996517j)
69,540900000.0,(-0.007874489+0.003835678j)
70,547000000.0,(-0.004222393+0.007464886j)
71,553100000.0,(0.000724792+0.00861454j)
72,559200000.0,(0.005735874+0.006901264j)
73,565300000.0,(0.009045124+0.002414227j)
74,571400000.0,(0.009169579-0.003813744j)
75,577500000.0,(0.004957676-0.008956432j)
76,583600000.0,(-0.001517296-0.01020908j)
77,589700000.0,(-0.007283688-0.007175922j)
78,595800000.0,(-0.01027203-0.001693726j)
79,601900000.0,(-0.009710312+0.004898071j)
80,608000000.0,(-0.005110741+0.01006699j)
81,614100000.0,(0.002493858+0.0116148j)
82,620200000.0,(0.009277821+0.007617474j)
83,626300000.0,(0.01175976+0.000296593j)
84,632400000.0,(0.009589195-0.00674057j)
85,638500000.0,(0.004012108-0.01090431j)
86,644600000.0,(-0.003199577-0.01163864j)
87,650700000.0,(-0.00982666-0.007935524j)
88,656800000.0,(-0.01331329-0.0002241135j)
89,662900000.0,(-0.0109272+0.008371353j)
90,669000000.0,(-0.00333786+0.01331711j)
91,675100000.0,(0.005382538+0.01239586j)
92,681200000.0,(0.01155186+0.006957054j)
