,Freq (Hz),Complex (decimal)
0,120000000.0,(-0.0002800673+0.0003274232j)
1,126100000.0,(-0.0004094988+0.000229314j)
2,132200000.0,(-0.0002257526+0.0004145503j)
3,138300000.0,(0.000140518+0.000528872j)
4,144400000.0,(0.0004939735+0.0003394783j)
5,150500000.0,(0.0005363822+5.69224e-05j)
6,156600000.0,(0.0004918575-0.0003561974j)
7,162700000.0,(0.0001535118-0.0006477833j)
8,168800000.0,(-0.0002547801-0.0006632805j)
9,174900000.0,(-0.0006509423-0.0004425943j)
10,181000000.0,(-0.0008000731+0.0001024008j)
11,187100000.0,(-0.0006492734+0.0005709231j)
12,193200000.0,(-0.0001822114+0.000862956j)
13,199300000.0,(0.0003919005+0.000880301j)
14,205400000.0,(0.0008410215+0.0004341602j)
15,211500000.0,(0.00101167-0.0001759529j)
16,217600000.0,(0.0007158518-0.0008532405j)
17,223700000.0,(7.39694e-05-0.001140177j)
18,229800000.0,(-0.0005896688-0.001007438j)
19,235900000.0,(-0.001117587-0.0004807711j)
20,242000000.0,(-0.0012905+0.000287354j)
21,248100000.0,(-0.0008821487+0.001040816j)
22,254200000.0,(-7.331371e-06+0.001479566j)
23,260300000.0,(0.0009040236+0.001118064j)
24,266400000.0,(0.001437902+0.0003983974j)
25,272500000.0,(0.001456797-0.0005851388j)
26,278600000.0,(0.0008089542-0.001359403j)
27,284700000.0,(-5.102158e-05-0.001691103j)
28,290800000.0,(-0.001151323-0.001404762j)
29,296900000.0,(-0.001796484-0.000415802j)
30,303000000.0,(-0.001746774+0.0008192062j)
31,309100000.0,(-0.0008833408+0.001769423j)
32,315200000.0,(0.000380397+0.002008796j)
33,321300000.0,(0.001495838+0.001350045j)
34,327400000.0,(0.002085209+0.00029695j)
35,333500000.0,(0.001887202-0.001059771j)
36,339600000.0,(0.00095129-0.002065897j)
37,345700000.0,(-0.0006062984-0.002330899j)
38,351800000.0,(-0.001925468-0.001578331j)
39,357900000.0,(-0.002496719-5.948544e-05j)
40,364000000.0,(-0.002043962+0.001503587j)
41,370100000.0,(-0.0007996559+0.00252223j)
42,376200000.0,(0.000823975+0.002556682j)
43,382300000.0,(0.002300858+0.00162816j)
44,388400000.0,(0.002848625-0.0001232624j)
45,394500000.0,(0.002268076-0.001834273j)
46,400600000.0,(0.000735044-0.002959967j)
47,406700000.0,(-0.001213551-0.002842665j)
48,412800000.0,(-0.002697945-0.001503706j)
49,418900000.0,(-0.003198385+0.000363111j)
50,425000000.0,(-0.002402902+0.002293944j)
51,431100000.0,(-0.0005545616+0.003418207j)
52,437200000.0,(0.001665592+0.003134489j)
53,443300000.0,(0.003238916+0.001468182j)
54,449400000.0,(0.003512383-0.0008146763j)
55,455500000.0,(0.002403736-0.002825022j)
56,461600000.0,(0.000288963-0.003725052j)
57,467700000.0,(-0.002077818-0.003359079j)
58,473800000.0,(-0.003659248-0.001445532j)
59,479900000.0,(-0.003947735+0.001143217j)
60,486000000.0,(-0.002395868+0.003464222j)
61,492100000.0,(5.6505e-05+0.004257917j)
62,498200000.0,(0.002575636+0.003267765j)
63,504300000.0,(0.004057407+0.00114584j)
64,510400000.0,(0.004091024-0.001488686j)
65,516500000.0,(0.00265336-0.003641844j)
66,522600000.0,(-0.0001759529-0.004757881j)
67,528700000.0,(-0.003256798-0.003759623j)
68,534800000.0,(-0.004981995-0.0009531975j)
69,540900000.0,(-0.004359961+0.002336502j)
70,547000000.0,(-0.002131939+0.004448414j)
71,553100000.0,(0.000809669+0.004704714j)
72,559200000.0,(0.003458738+0.00349617j)
73,565300000.0,(0.004990339+0.000996351j)
74,571400000.0,(0.004727364-0.002472639j)
75,577500000.0,(0.002489567-0.004921675j)
76,583600000.0,(-0.001000881-0.005684376j)
77,589700000.0,(-0.004351139-0.00393486j)
78,595800000.0,(-0.005918503-0.0004506111j)
79,601900000.0,(-0.005073547+0.003222227j)
80,608000000.0,(-0.002156734+0.005771637j)
81,614100000.0,(0.001720428+0.006118774j)
82,620200000.0,(0.005132675+0.003811121j)
83,626300000.0,(0.006482124+2.9564e-05j)
84,632400000.0,(0.005223036-0.00391674j)
85,638500000.0,(0.001893997-0.006408215j)
86,644600000.0,(-0.002326012-0.006439209j)
87,650700000.0,(-0.005805492-0.003832817j)
88,656800000.0,(-0.007137299+0.000417709j)
89,662900000.0,(-0.005486012+0.004804134j)
90,669000000.0,(-0.001486301+0.007229805j)
91,675100000.0,(0.003165722+0.006748199j)
92,681200000.0,(0.006727219+0.003659248j)
93,687300000.0,(0.007724762-0.001131535j)
94,693400000.0,(0.005658627-0.005653381j)
95,699500000.0,(0.001238346-0.008000374j)
96,705600000.0,(-0.004079342-0.007279396j)
97,711700000.0,(-0.007751942-0.0033741j)
98,717800000.0,(-0.008252621+0.002014637j)
99,723900000.0,(-0.005407333+0.006635666j)
100,730000000.0,(-0.0004010201+0.008812428j)
101,736100000.0,(0.004909992+0.007303715j)
102,742200000.0,(0.008443832+0.002968311j)
103,748300000.0,(0.008621693-0.002735138j)
104,754400000.0,(0.005282879-0.00750351j)
105,760500000.0,(-0.0002470016-0.009356022j)
106,766600000.0,(-0.005839348-0.007450104j)
107,772700000.0,(-0.00937748-0.002684116j)
108,778800000.0,(-0.009463787+0.003633022j)
109,784900000.0,(-0.00550127+0.008944988j)
110,791000000.0,(0.001218796+0.01073122j)
111,797100000.0,(0.007651806+0.00758028j)
112,803200000.0,(0.01072645+0.001368046j)
113,809300000.0,(0.00924921-0.005157471j)
114,815400000.0,(0.004316807-0.009636879j)
115,821500000.0,(-0.002074242-0.01043892j)
116,827600000.0,(-0.007954121-0.007452011j)
117,833700000.0,(-0.01137781-0.001376629j)
118,839800000.0,(-0.01029015+0.00605011j)
119,845900000.0,(-0.004264355+0.01136971j)
120,852000000.0,(0.003661633+0.01169157j)
121,858100000.0,(0.009985924+0.007218361j)
122,864200000.0,(0.0123558-8.201599e-05j)
123,870300000.0,(0.009980202-0.007575035j)
124,876400000.0,(0.003716469-0.01240349j)
125,882500000.0,(-0.004673958-0.01250648j)
126,888600000.0,(-0.01161051-0.007194996j)
127,894700000.0,(-0.01366997+0.001503944j)
128,900800000.0,(-0.009874821+0.009457588j)
129,906900000.0,(-0.002370834+0.0134716j)
130,913000000.0,(0.006055832+0.01252937j)
131,919100000.0,(0.01265812+0.006729126j)
132,925200000.0,(0.01460361-0.002331734j)
133,931300000.0,(0.01055193-0.01101303j)
134,937400000.0,(0.001673698-0.01532936j)
135,943500000.0,(-0.00821209-0.0133934j)
136,949600000.0,(-0.01486206-0.005700111j)
137,955700000.0,(-0.01550198+0.004401207j)
138,961800000.0,(-0.01007938+0.01328564j)
139,967900000.0,(0.00022602+0.01690483j)
140,974000000.0,(0.01092148+0.01349068j)
141,980100000.0,(0.01706886+0.00384045j)
142,986200000.0,(0.01568985-0.007458687j)
143,992300000.0,(0.007920265-0.01532078j)
144,998400000.0,(-0.002640724-0.01670647j)
145,1004500000.0,(-0.01206493-0.01218033j)
146,1010600000.0,(-0.01733875-0.002753258j)
147,1016700000.0,(-0.01593685+0.00814438j)
148,1022800000.0,(-0.008099556+0.01674271j)
149,1028900000.0,(0.00399303+0.0186348j)
150,1035000000.0,(0.01480293+0.01244164j)
151,1041100000.0,(0.01956081+0.0008049j)
152,1047200000.0,(0.01617813-0.011446j)
153,1053300000.0,(0.00603962-0.01908588j)
154,1059400000.0,(-0.00701046-0.01880836j)
155,1065500000.0,(-0.01746941-0.01069546j)
156,1071600000.0,(-0.02023411+0.00209236j)
157,1077700000.0,(-0.0147438+0.01384068j)
158,1083800000.0,(-0.003570557+0.0197773j)
159,1089900000.0,(0.00874043+0.01836205j)
160,1096000000.0,(0.01851273+0.00963306j)
161,1102100000.0,(0.02108097-0.003718376j)
162,1108200000.0,(0.0150404-0.01611519j)
163,1114300000.0,(0.00175858-0.02234268j)
164,1120400000.0,(-0.01270676-0.01862431j)
165,1126500000.0,(-0.02116394-0.00680542j)
166,1132600000.0,(-0.02075386+0.00722408j)
167,1138700000.0,(-0.0124445+0.01800442j)
168,1144800000.0,(0.00058365+0.02209663j)
169,1150900000.0,(0.01402569+0.01766205j)
170,1157000000.0,(0.02240181+0.00580406j)
171,1163100000.0,(0.02177048-0.009145737j)
172,1169200000.0,(0.01142311-0.02078819j)
173,1175300000.0,(-0.003356934-0.02332783j)
174,1181400000.0,(-0.01685905-0.01644993j)
175,1187500000.0,(-0.02323723-0.002970695j)
176,1193600000.0,(-0.02043629+0.01164627j)
177,1199700000.0,(-0.009215355+0.02165508j)
178,1205800000.0,(0.00561905+0.02324867j)
179,1211900000.0,(0.01853466+0.014781j)
180,1218000000.0,(0.02411461+0.00065708j)
181,1224100000.0,(0.01971245-0.01405907j)
182,1230200000.0,(0.0074091-0.02315903j)
183,1236300000.0,(-0.008188248-0.02318764j)
184,1242400000.0,(-0.02063084-0.01347828j)
185,1248500000.0,(-0.02454662+0.00189209j)
186,1254600000.0,(-0.01867485+0.01647186j)
187,1260700000.0,(-0.004702568+0.02402401j)
188,1266800000.0,(0.01011086+0.02233791j)
189,1272900000.0,(0.02169704+0.01207542j)
190,1279000000.0,(0.02506733-0.003056526j)
191,1285100000.0,(0.01858425-0.01785278j)
192,1291200000.0,(0.00376892-0.02612305j)
193,1297300000.0,(-0.01330471-0.02323532j)
194,1303400000.0,(-0.02493286-0.01000977j)
195,1309500000.0,(-0.02556896+0.00732327j)
196,1315600000.0,(-0.01585674+0.02087688j)
197,1321700000.0,(-0.0001020432+0.02595901j)
198,1327800000.0,(0.01523781+0.02106094j)
199,1333900000.0,(0.02502537+0.00810909j)
200,1340000000.0,(0.02518463-0.008515358j)
201,1346100000.0,(0.01513958-0.02214527j)
202,1352200000.0,(-0.001070023-0.02732086j)
203,1358300000.0,(-0.01759338-0.02140808j)
204,1364400000.0,(-0.02735901-0.006633759j)
205,1370500000.0,(-0.02590084+0.01152134j)
206,1376600000.0,(-0.01368999+0.02524376j)
207,1382700000.0,(0.00449562+0.02866745j)
208,1388800000.0,(0.02103424+0.02010632j)
209,1394900000.0,(0.02882957+0.00336456j)
210,1401000000.0,(0.02492905-0.01490402j)
211,1407100000.0,(0.01111889-0.02684402j)
212,1413200000.0,(-0.007221222-0.02850723j)
213,1419300000.0,(-0.02309418-0.01862049j)
214,1425400000.0,(-0.030056-0.0009746552j)
215,1431500000.0,(-0.02454948+0.01770592j)
216,1437600000.0,(-0.008871078+0.0290699j)
217,1443700000.0,(0.01031113+0.02851677j)
218,1449800000.0,(0.02539253+0.01669598j)
219,1455900000.0,(0.03055763-0.001726151j)
220,1462000000.0,(0.02407646-0.0200634j)
221,1468100000.0,(0.00719452-0.03114128j)
222,1474200000.0,(-0.01371384-0.02968597j)
223,1480300000.0,(-0.0296936-0.01476097j)
224,1486400000.0,(-0.03227425+0.00687408j)
225,1492500000.0,(-0.0205307+0.02480221j)
226,1498600000.0,(-0.001358032+0.0314827j)
227,1504700000.0,(0.01723003+0.02574348j)
228,1510800000.0,(0.02904701+0.01082993j)
229,1516900000.0,(0.03004074-0.008239746j)
230,1523000000.0,(0.01963139-0.02488136j)
231,1529100000.0,(0.00082779-0.03232002j)
232,1535200000.0,(-0.01955032-0.02667618j)
233,1541300000.0,(-0.0320549-0.009290695j)
234,1547400000.0,(-0.03105736+0.0120945j)
235,1553500000.0,(-0.01706696+0.02869987j)
236,1559600000.0,(0.00358582+0.03285027j)
237,1565700000.0,(0.02264214+0.02411461j)
238,1571800000.0,(0.03248405+0.00545502j)
239,1577900000.0,(0.02925873-0.01519203j)
240,1584000000.0,(0.0145359-0.02952957j)
241,1590100000.0,(-0.006278992-0.03191948j)
242,1596200000.0,(-0.02377033-0.0221014j)
243,1602300000.0,(-0.03228569-0.00387001j)
244,1608400000.0,(-0.02896881+0.01600647j)
245,1614500000.0,(-0.01397133+0.03074265j)
246,1620600000.0,(0.00730515+0.03351212j)
247,1626700000.0,(0.0267334+0.02252769j)
248,1632800000.0,(0.03530884+0.00169563j)
249,1638900000.0,(0.02911949-0.02013588j)
250,1645000000.0,(0.01089287-0.03380966j)
251,1651100000.0,(-0.01199913-0.03376961j)
252,1657200000.0,(-0.03011894-0.01992607j)
253,1663300000.0,(-0.03633118+0.00260353j)
254,1669400000.0,(-0.0272789+0.0239563j)
255,1675500000.0,(-0.006719589+0.03547859j)
256,1681600000.0,(0.01590157+0.03213882j)
257,1687700000.0,(0.03156662+0.01623726j)
258,1693800000.0,(0.03483772-0.005495071j)
259,1699900000.0,(0.02523613-0.02544594j)
260,1706000000.0,(0.0059433-0.03599739j)
261,1712100000.0,(-0.01724434-0.03315163j)
262,1718200000.0,(-0.0346756-0.01612854j)
263,1724300000.0,(-0.03785515+0.0087986j)
264,1730400000.0,(-0.0246315+0.03035164j)
265,1736500000.0,(-0.001014709+0.03916168j)
266,1742600000.0,(0.02303505+0.03149414j)
267,1748700000.0,(0.03729248+0.01104546j)
268,1754800000.0,(0.03634834-0.01375961j)
269,1760900000.0,(0.02052498-0.03276634j)
270,1767000000.0,(-0.003274918-0.0385685j)
271,1773100000.0,(-0.02621078-0.02895927j)
272,1779200000.0,(-0.03809166-0.00759697j)
273,1785300000.0,(-0.03487968+0.0163765j)
274,1791400000.0,(-0.01838875+0.03409195j)
275,1797500000.0,(0.00587654+0.0389328j)
276,1803600000.0,(0.02825928+0.02816772j)
277,1809700000.0,(0.04035187+0.00547791j)
278,1815800000.0,(0.03604317-0.02010727j)
279,1821900000.0,(0.01598549-0.0388813j)
280,1828000000.0,(-0.01145935-0.04040718j)
281,1834100000.0,(-0.03387642-0.02485085j)
282,1840200000.0,(-0.04140472+0.00130653j)
283,1846300000.0,(-0.03153801+0.0256176j)
284,1852400000.0,(-0.01054192+0.03850746j)
285,1858500000.0,(0.01404381+0.03708839j)
286,1864600000.0,(0.03364182+0.02227783j)
287,1870700000.0,(0.04115868-0.00211525j)
288,1876800000.0,(0.03225517-0.02713966j)
289,1882900000.0,(0.00938606-0.04218292j)
290,1889000000.0,(-0.01875305-0.03899574j)
291,1895100000.0,(-0.03861046-0.01901817j)
292,1901200000.0,(-0.04143715+0.00842094j)
293,1907300000.0,(-0.02794075+0.03120041j)
294,1913400000.0,(-0.004043579+0.04166412j)
295,1919500000.0,(0.02207947+0.03638268j)
296,1925600000.0,(0.04014969+0.01589394j)
297,1931700000.0,(0.0417347-0.01236916j)
298,1937800000.0,(0.02487183-0.03579712j)
299,1943900000.0,(-0.001928329-0.04258156j)
300,1950000000.0,(-0.02655411-0.03211021j)
301,1956100000.0,(-0.03961372-0.01005936j)
302,1962200000.0,(-0.03832626+0.01469803j)
303,1968300000.0,(-0.02272415+0.03466797j)
304,1974400000.0,(0.00315285+0.04291344j)
305,1980500000.0,(0.0292778+0.032444j)
306,1986600000.0,(0.04339218+0.00715446j)
307,1992700000.0,(0.03812218-0.02095222j)
308,1998800000.0,(0.01719856-0.03891373j)
309,2004900000.0,(-0.009189606-0.04057121j)
310,2011000000.0,(-0.03108788-0.02717972j)
311,2017100000.0,(-0.04129791-0.003608704j)
312,2023200000.0,(-0.03549957+0.02197838j)
313,2029300000.0,(-0.01540375+0.03964233j)
314,2035400000.0,(0.01207352+0.04084396j)
315,2041500000.0,(0.03396988+0.02463722j)
316,2047600000.0,(0.04144669-0.000831604j)
317,2053700000.0,(0.03255272-0.02467155j)
318,2059800000.0,(0.0130043-0.0385952j)
319,2065900000.0,(-0.01318359-0.04060936j)
320,2072000000.0,(-0.03659058-0.02484322j)
321,2078100000.0,(-0.04459+0.00374222j)
322,2084200000.0,(-0.03190994+0.03054619j)
323,2090300000.0,(-0.006153107+0.04244423j)
324,2096400000.0,(0.01957893+0.03630447j)
325,2102500000.0,(0.03614044+0.01797104j)
326,2108600000.0,(0.03952026-0.006004333j)
327,2114700000.0,(0.02950478-0.02794647j)
328,2120800000.0,(0.00746536-0.04160309j)
329,2126900000.0,(-0.019701-0.03897285j)
330,2133000000.0,(-0.04053116-0.0189476j)
331,2139100000.0,(-0.04387856+0.01010895j)
332,2145200000.0,(-0.02801895+0.03429794j)
333,2151300000.0,(-0.0009040833+0.04391098j)
334,2157400000.0,(0.02495384+0.0356102j)
335,2163500000.0,(0.04116631+0.01373863j)
336,2169600000.0,(0.04107857-0.01371193j)
337,2175700000.0,(0.02511406-0.03603554j)
338,2181800000.0,(-0.001722336-0.04345512j)
339,2187900000.0,(-0.02747345-0.03416252j)
340,2194000000.0,(-0.04221153-0.01099205j)
341,2200100000.0,(-0.04079056+0.01626396j)
342,2206200000.0,(-0.02317429+0.03763008j)
343,2212300000.0,(0.00393867+0.04470825j)
344,2218400000.0,(0.03072166+0.03381348j)
345,2224500000.0,(0.04561043+0.00818253j)
346,2230600000.0,(0.04094696-0.02157593j)
347,2236700000.0,(0.01944733-0.04199982j)
348,2242800000.0,(-0.0103054-0.0445137j)
349,2248900000.0,(-0.03491974-0.02909851j)
350,2255000000.0,(-0.04487991-0.002388j)
351,2261100000.0,(-0.03741455+0.02452087j)
352,2267200000.0,(-0.01530647+0.04194641j)
353,2273300000.0,(0.01333237+0.0421505j)
354,2279400000.0,(0.03543091+0.02539444j)
355,2285500000.0,(0.04391861+0.00216103j)
356,2291600000.0,(0.03714371-0.02639961j)
357,2297700000.0,(0.01355553-0.04421425j)
358,2303800000.0,(-0.01611137-0.04309845j)
359,2309900000.0,(-0.03880119-0.0248394j)
360,2316000000.0,(-0.04611588+0.00345039j)
361,2322100000.0,(-0.03535271+0.03108215j)
362,2328200000.0,(-0.00925827+0.04727745j)
363,2334300000.0,(0.02190399+0.04272842j)
364,2340400000.0,(0.04369354+0.01968193j)
365,2346500000.0,(0.04516602-0.01134682j)
366,2352600000.0,(0.02800751-0.03507614j)
367,2358700000.0,(0.00167847-0.0426712j)
368,2364800000.0,(-0.02202797-0.03533363j)
369,2370900000.0,(-0.03793144-0.01688194j)
370,2377000000.0,(-0.04217529+0.00765038j)
371,2383100000.0,(-0.03151512+0.03194237j)
372,2389200000.0,(-0.005786896+0.04678345j)
373,2395300000.0,(0.02573013+0.04180908j)
374,2401400000.0,(0.04712868+0.01598358j)
375,2407500000.0,(0.04590034-0.01725388j)
376,2413600000.0,(0.02470398-0.04006958j)
377,2419700000.0,(-0.003932953-0.04560471j)
378,2425800000.0,(-0.02902222-0.03405571j)
379,2431900000.0,(-0.04360771-0.01107025j)
380,2438000000.0,(-0.04228783+0.01709747j)
381,2444100000.0,(-0.02412605+0.03962326j)
382,2450200000.0,(0.00489807+0.04656982j)
383,2456300000.0,(0.032341+0.03369713j)
384,2462400000.0,(0.04573059+0.00743484j)
385,2468500000.0,(0.04081535-0.02121925j)
386,2474600000.0,(0.02076721-0.04129982j)
387,2480700000.0,(-0.007968903-0.04575729j)
388,2486800000.0,(-0.03399467-0.03238678j)
389,2492900000.0,(-0.04680252-0.005390167j)
390,2499000000.0,(-0.04071617+0.02408409j)
391,2505100000.0,(-0.01848602+0.04249191j)
392,2511200000.0,(0.01111984+0.04760361j)
393,2517300000.0,(0.03896904+0.03059959j)
394,2523400000.0,(0.04912376+0.00034332j)
395,2529500000.0,(0.03861618-0.02961922j)
396,2535600000.0,(0.012743-0.04610252j)
397,2541700000.0,(-0.01672745-0.04374123j)
398,2547800000.0,(-0.03894615-0.02522087j)
399,2553900000.0,(-0.04573822+0.00139618j)
400,2560000000.0,(-0.03633881+0.0284462j)
401,2566100000.0,(-0.01331711+0.0453949j)
402,2572200000.0,(0.01735306+0.04550552j)
403,2578300000.0,(0.04230118+0.0257988j)
404,2584400000.0,(0.04936218-0.006000519j)
405,2590500000.0,(0.03517151-0.03477478j)
406,2596600000.0,(0.0069046-0.04800034j)
407,2602700000.0,(-0.02299881-0.04200745j)
408,2608800000.0,(-0.04293823-0.02009201j)
409,2614900000.0,(-0.04654694+0.00910187j)
410,2621000000.0,(-0.03207016+0.03516006j)
411,2627100000.0,(-0.004871368+0.04774857j)
412,2633200000.0,(0.02466965+0.0417099j)
413,2639300000.0,(0.04489517+0.01858139j)
414,2645400000.0,(0.04725266-0.01228714j)
415,2651500000.0,(0.03057098-0.03821564j)
416,2657600000.0,(0.00196457-0.04945374j)
417,2663700000.0,(-0.02907181-0.04063416j)
418,2669800000.0,(-0.04777908-0.01468277j)
419,2675900000.0,(-0.0465889+0.01703644j)
420,2682000000.0,(-0.02706528+0.04073715j)
421,2688100000.0,(0.00251389+0.04883957j)
422,2694200000.0,(0.03082657+0.03797913j)
423,2700300000.0,(0.04851532+0.01313782j)
424,2706400000.0,(0.04773712-0.01931763j)
425,2712500000.0,(0.02613068-0.04501724j)
426,2718600000.0,(-0.006767273-0.05154419j)
427,2724700000.0,(-0.03591537-0.03601074j)
428,2730800000.0,(-0.05066299-0.008174896j)
429,2736900000.0,(-0.04497147+0.02403641j)
430,2743000000.0,(-0.02227783+0.04608536j)
431,2749100000.0,(0.00947952+0.05050659j)
432,2755200000.0,(0.03851318+0.03588104j)
433,2761300000.0,(0.05351639+0.00512314j)
