,Freq (Hz),Complex (decimal)
0,120000000.0,(-0.0002468973+0.0003423691j)
1,126100000.0,(-0.0003675371+0.0002174675j)
2,132200000.0,(-0.0001458228+0.0003941506j)
3,138300000.0,(0.0001155436+0.0004530847j)
4,144400000.0,(0.0003596544+0.0003402978j)
5,150500000.0,(0.0005331337+1.07288e-05j)
6,156600000.0,(0.0005147755-0.0003599524j)
7,162700000.0,(0.0002221167-0.000672996j)
8,168800000.0,(-0.0002575219-0.0006500781j)
9,174900000.0,(-0.0006334186-0.0004741251j)
10,181000000.0,(-0.0008193254+7.84397e-05j)
11,187100000.0,(-0.0006158352+0.0005657375j)
12,193200000.0,(-0.0001751184+0.0008391142j)
13,199300000.0,(0.0003473163+0.0008542538j)
14,205400000.0,(0.0009379983+0.0004749298j)
15,211500000.0,(0.000982523-0.0001860261j)
16,217600000.0,(0.0007254481-0.0007925034j)
17,223700000.0,(0.0001065135-0.001157045j)
18,229800000.0,(-0.0006367564-0.001057029j)
19,235900000.0,(-0.001154244-0.0004987121j)
20,242000000.0,(-0.001268089+0.0003117323j)
21,248100000.0,(-0.0008488894+0.001089275j)
22,254200000.0,(4.24981e-05+0.001367867j)
23,260300000.0,(0.0009130239+0.001142621j)
24,266400000.0,(0.001475632+0.0004189014j)
25,272500000.0,(0.001456738-0.0005328059j)
26,278600000.0,(0.0009212494-0.001365304j)
27,284700000.0,(-0.0001567602-0.001697779j)
28,290800000.0,(-0.001164794-0.001386166j)
29,296900000.0,(-0.001862645-0.0004236698j)
30,303000000.0,(-0.001767397+0.0009129047j)
31,309100000.0,(-0.0008118153+0.001743674j)
32,315200000.0,(0.0003689528+0.001938581j)
33,321300000.0,(0.001416206+0.00132525j)
34,327400000.0,(0.002087474+0.00031364j)
35,333500000.0,(0.001944661-0.001065016j)
36,339600000.0,(0.00096786-0.002137661j)
37,345700000.0,(-0.0005533695-0.002338767j)
38,351800000.0,(-0.00191474-0.001539946j)
39,357900000.0,(-0.002542138-8.72612e-05j)
40,364000000.0,(-0.002076864+0.001519322j)
41,370100000.0,(-0.0007410049+0.002508163j)
42,376200000.0,(0.000865221+0.002494574j)
43,382300000.0,(0.002282023+0.001573682j)
