,Freq (Hz),Complex (decimal)
0,6180000000.0,(-0.07551575-0.06241608j)
1,6182300000.0,(-0.08835983-0.0424118j)
2,6184600000.0,(-0.09626007-0.02004242j)
3,6186900000.0,(-0.09890747+0.00376129j)
4,6189200000.0,(-0.09611511+0.02815247j)
5,6191500000.0,(-0.08779526+0.05066681j)
6,6193800000.0,(-0.07188797+0.07228851j)
7,6196100000.0,(-0.05203629+0.08891678j)
8,6198400000.0,(-0.02750397+0.09906769j)
9,6200700000.0,(-0.001579285+0.1020966j)
10,6203000000.0,(0.02568817+0.0990448j)
11,6205300000.0,(0.0496254+0.08830643j)
12,6207600000.0,(0.0700531+0.07137299j)
13,6209900000.0,(0.08480835+0.04933929j)
14,6212200000.0,(0.09067154+0.02413177j)
15,6214500000.0,(0.08640671+0.00155258j)
16,6216800000.0,(0.08133698-0.008384705j)
17,6219100000.0,(0.0839386-0.02492905j)
18,6221400000.0,(0.07941055-0.04600525j)
19,6223700000.0,(0.06649399-0.06575775j)
20,6226000000.0,(0.0475769-0.07971573j)
21,6228300000.0,(0.02766418-0.08932877j)
22,6230600000.0,(0.00553131-0.09487915j)
23,6232900000.0,(-0.02093887-0.09095001j)
24,6235200000.0,(-0.03754425-0.0872879j)
25,6237500000.0,(-0.05916595-0.07620239j)
26,6239800000.0,(-0.07657242-0.0582695j)
27,6242100000.0,(-0.08576584-0.04007721j)
28,6244400000.0,(-0.09533691-0.02019501j)
29,6246700000.0,(-0.09954071+0.00344086j)
30,6249000000.0,(-0.09690857+0.02890778j)
31,6251300000.0,(-0.08761978+0.05301285j)
32,6253600000.0,(-0.07211304+0.07526398j)
33,6255900000.0,(-0.05138016+0.09152985j)
34,6258200000.0,(-0.02709961+0.1015015j)
35,6260500000.0,(-0.0004119873+0.1053314j)
36,6262800000.0,(0.02740479+0.102272j)
37,6265100000.0,(0.05347824+0.09200668j)
38,6267400000.0,(0.07400894+0.07466888j)
39,6269700000.0,(0.09007645+0.05295563j)
40,6272000000.0,(0.09963226+0.02812195j)
41,6274300000.0,(0.1018677+0.00222015j)
42,6276600000.0,(0.09741211-0.02261353j)
43,6278900000.0,(0.08883286-0.04489136j)
44,6281200000.0,(0.07486725-0.06658554j)
45,6283500000.0,(0.05147552-0.07616425j)
46,6285800000.0,(0.03795242-0.09080124j)
47,6288100000.0,(0.01082611-0.09757233j)
48,6290400000.0,(-0.01586914-0.09521484j)
49,6292700000.0,(-0.04154587-0.08312607j)
50,6295000000.0,(-0.05897903-0.05513j)
51,6297300000.0,(-0.02462387-0.04353142j)
52,6299600000.0,(-0.06255341-0.06868744j)
53,6301900000.0,(-0.08939743-0.04404831j)
54,6304200000.0,(-0.09926605-0.01524353j)
55,6306500000.0,(-0.09770203+0.0146637j)
56,6308800000.0,(-0.08779144+0.03281784j)
57,6311100000.0,(-0.08127213+0.05485535j)
58,6313400000.0,(-0.06642914+0.07592392j)
59,6315700000.0,(-0.04518127+0.09173203j)
60,6318000000.0,(-0.016716+0.1009903j)
61,6320300000.0,(0.0072403+0.09822845j)
62,6322600000.0,(0.03000641+0.08914566j)
63,6324900000.0,(0.04360199+0.07968903j)
64,6327200000.0,(0.06222534+0.07395172j)
65,6329500000.0,(0.08304596+0.0575943j)
66,6331800000.0,(0.09797668+0.0330658j)
67,6334100000.0,(0.09140015+0.00692749j)
68,6336400000.0,(0.1022873-0.0152359j)
69,6338700000.0,(0.09522629-0.04221344j)
70,6341000000.0,(0.08120728-0.06496429j)
71,6343300000.0,(0.06150436-0.08279037j)
72,6345600000.0,(0.03884125-0.09514618j)
73,6347900000.0,(0.01366425-0.1012039j)
74,6350200000.0,(-0.01171875-0.100914j)
75,6352500000.0,(-0.03553772-0.09443283j)
76,6354800000.0,(-0.05721283-0.08192825j)
77,6357100000.0,(-0.07424164-0.06584167j)
78,6359400000.0,(-0.08796692-0.0458374j)
79,6361700000.0,(-0.09610748-0.02326202j)
80,6364000000.0,(-0.09872437+0.0002594j)
81,6366300000.0,(-0.09593964+0.02407074j)
82,6368600000.0,(-0.08779907+0.04530716j)
83,6370900000.0,(-0.07374954+0.0658493j)
84,6373200000.0,(-0.05676651+0.08253098j)
85,6375500000.0,(-0.03554916+0.09361267j)
86,6377800000.0,(-0.01130676+0.100296j)
87,6380100000.0,(0.01423645+0.1006775j)
88,6382400000.0,(0.03954697+0.09415817j)
89,6384700000.0,(0.06279755+0.081604j)
90,6387000000.0,(0.0814743+0.06201935j)
91,6389300000.0,(0.09281921+0.03728867j)
92,6391600000.0,(0.09441376+0.01348877j)
93,6393900000.0,(0.09479523-0.006240845j)
94,6396200000.0,(0.09141541-0.02854919j)
95,6398500000.0,(0.08246231-0.05020142j)
96,6400800000.0,(0.06773376-0.06887436j)
97,6403100000.0,(0.04960251-0.08430099j)
98,6405400000.0,(0.02567291-0.09340668j)
99,6407700000.0,(0.00100708-0.09521866j)
100,6410000000.0,(-0.02084732-0.09263992j)
101,6412300000.0,(-0.04166412-0.08470917j)
102,6414600000.0,(-0.06173706-0.07091522j)
103,6416900000.0,(-0.07726669-0.05209732j)
104,6419200000.0,(-0.0845108-0.02656555j)
105,6421500000.0,(-0.06732559-0.01215744j)
106,6423800000.0,(-0.09270477-0.008907318j)
107,6426100000.0,(-0.09429932+0.02232361j)
108,6428400000.0,(-0.0849762+0.04769897j)
109,6430700000.0,(-0.06985092+0.06830978j)
110,6433000000.0,(-0.04878998+0.08455276j)
111,6435300000.0,(-0.02387238+0.09389496j)
112,6437600000.0,(-0.006069183+0.09187698j)
113,6439900000.0,(0.01681519+0.0930481j)
114,6442200000.0,(0.04043579+0.08618546j)
115,6444500000.0,(0.05999756+0.07357025j)
116,6446800000.0,(0.07684708+0.05659866j)
117,6449100000.0,(0.08800507+0.03599167j)
118,6451400000.0,(0.09424973+0.01274109j)
119,6453700000.0,(0.09421158-0.01066589j)
120,6456000000.0,(0.08942413-0.03321457j)
121,6458300000.0,(0.07586288-0.05503845j)
122,6460600000.0,(0.06136322-0.07059479j)
123,6462900000.0,(0.04066849-0.08431625j)
124,6465200000.0,(0.01683426-0.09049606j)
125,6467500000.0,(-0.007675171-0.08970261j)
126,6469800000.0,(-0.03044891-0.0779686j)
127,6472100000.0,(-0.01977158-0.05495071j)
128,6474400000.0,(-0.05271149-0.07805252j)
129,6476700000.0,(-0.07435608-0.05614853j)
130,6479000000.0,(-0.08507538-0.03353119j)
131,6481300000.0,(-0.08923721-0.01124573j)
132,6483600000.0,(-0.08788681+0.01117325j)
133,6485900000.0,(-0.08150482+0.0315361j)
134,6488200000.0,(-0.07030487+0.04885101j)
135,6490500000.0,(-0.05679703+0.06374359j)
136,6492800000.0,(-0.03953934+0.07333755j)
137,6495100000.0,(-0.02234268+0.07805634j)
138,6497400000.0,(-0.00718689+0.08106995j)
139,6499700000.0,(0.00948334+0.08434677j)
140,6502000000.0,(0.02796555+0.08261108j)
141,6504300000.0,(0.05400085+0.07781219j)
142,6506600000.0,(0.07406998+0.06094742j)
143,6508900000.0,(0.08858871+0.03972244j)
144,6511200000.0,(0.09645081+0.01330566j)
145,6513500000.0,(0.09420395-0.01662064j)
146,6515800000.0,(0.08237457-0.0223732j)
147,6518100000.0,(0.08068085-0.04886246j)
148,6520400000.0,(0.06561279-0.07034302j)
149,6522700000.0,(0.04323578-0.08704376j)
150,6525000000.0,(0.02127075-0.08378601j)
151,6527300000.0,(-4.196167e-05-0.09354782j)
152,6529600000.0,(-0.02455139-0.09020615j)
153,6531900000.0,(-0.04579163-0.07931519j)
154,6534200000.0,(-0.06150055-0.066082j)
155,6536500000.0,(-0.0783577-0.0501709j)
156,6538800000.0,(-0.08820343-0.02546692j)
157,6541100000.0,(-0.08733368-0.004077911j)
158,6543400000.0,(-0.08243561+0.01790237j)
159,6545700000.0,(-0.08003998+0.03360367j)
160,6548000000.0,(-0.06816483+0.05113602j)
161,6550300000.0,(-0.05424118+0.06484985j)
162,6552600000.0,(-0.03844452+0.07610321j)
163,6554900000.0,(-0.01967621+0.08314133j)
164,6557200000.0,(0.00088501+0.08519745j)
165,6559500000.0,(0.02096558+0.08316803j)
166,6561800000.0,(0.04005051+0.07544327j)
167,6564100000.0,(0.05685043+0.06424713j)
168,6566400000.0,(0.07086563+0.04917145j)
169,6568700000.0,(0.08076477+0.03072357j)
170,6571000000.0,(0.08634949+0.01026535j)
171,6573300000.0,(0.08691025-0.01078033j)
172,6575600000.0,(0.08183289-0.03132629j)
173,6577900000.0,(0.07165527-0.05121994j)
174,6580200000.0,(0.05728149-0.06700897j)
175,6582500000.0,(0.03963089-0.0798912j)
176,6584800000.0,(0.01879501-0.0864296j)
177,6587100000.0,(-0.003334045-0.08833694j)
178,6589400000.0,(-0.0244751-0.08416367j)
179,6591700000.0,(-0.04476547-0.07577515j)
180,6594000000.0,(-0.0617485-0.06165695j)
181,6596300000.0,(-0.07441711-0.04454422j)
182,6598600000.0,(-0.08222198-0.02466583j)
183,6600900000.0,(-0.08522034-0.00359726j)
184,6603200000.0,(-0.08266449+0.01665497j)
185,6605500000.0,(-0.07511139+0.03565598j)
186,6607800000.0,(-0.06241226+0.05136871j)
187,6610100000.0,(-0.04950714+0.06011963j)
188,6612400000.0,(-0.03755188+0.07326126j)
189,6614700000.0,(-0.01699066+0.08103943j)
190,6617000000.0,(0.00336838+0.08146667j)
191,6619300000.0,(0.0190773+0.08106232j)
192,6621600000.0,(0.04103851+0.07347488j)
193,6623900000.0,(0.05759811+0.06109238j)
194,6626200000.0,(0.07079315+0.04541397j)
195,6628500000.0,(0.07919312+0.02679443j)
196,6630800000.0,(0.08348846+0.00650406j)
197,6633100000.0,(0.08273697-0.01533127j)
198,6635400000.0,(0.07443619-0.03310394j)
199,6637700000.0,(0.06672668-0.0500946j)
200,6640000000.0,(0.05187607-0.06716156j)
201,6642300000.0,(0.02428055-0.07283783j)
202,6644600000.0,(0.016716-0.07944489j)
203,6646900000.0,(-0.005462646-0.08107376j)
204,6649200000.0,(-0.02587128-0.0750351j)
205,6651500000.0,(-0.0431633-0.06239319j)
206,6653800000.0,(-0.04587936-0.03824615j)
207,6656100000.0,(-0.0524559-0.07176971j)
208,6658400000.0,(-0.08195114-0.03900146j)
209,6660700000.0,(-0.08714676-0.01257706j)
210,6663000000.0,(-0.08607864+0.00960922j)
211,6665300000.0,(-0.08044815+0.03082657j)
212,6667600000.0,(-0.06948853+0.05023193j)
213,6669900000.0,(-0.05474854+0.06583023j)
214,6672200000.0,(-0.03627396+0.07654572j)
215,6674500000.0,(-0.0169487+0.08192062j)
216,6676800000.0,(0.00113678+0.08414841j)
217,6679100000.0,(0.02294922+0.08447266j)
218,6681400000.0,(0.04605865+0.07553482j)
219,6683700000.0,(0.06617737+0.05817032j)
220,6686000000.0,(0.06417847+0.02756882j)
221,6688300000.0,(0.07373428+0.02751541j)
222,6690600000.0,(0.08095551+0.00704193j)
223,6692900000.0,(0.08008575-0.0138588j)
224,6695200000.0,(0.07423401-0.03322601j)
225,6697500000.0,(0.06301498-0.05015182j)
226,6699800000.0,(0.04857254-0.06225204j)
227,6702100000.0,(0.03157425-0.07123947j)
228,6704400000.0,(0.01310349-0.07507324j)
229,6706700000.0,(-0.003414154-0.07354355j)
230,6709000000.0,(-0.01765823-0.07087708j)
231,6711300000.0,(-0.03236771-0.06686401j)
232,6713600000.0,(-0.04676056-0.0616951j)
233,6715900000.0,(-0.06365967-0.04976654j)
234,6718200000.0,(-0.07666397-0.02939224j)
235,6720500000.0,(-0.07894516-0.01563263j)
236,6722800000.0,(-0.08230972+0.00577164j)
237,6725100000.0,(-0.08027267+0.02600479j)
238,6727400000.0,(-0.07155228+0.04710388j)
239,6729700000.0,(-0.05841446+0.06459427j)
240,6732000000.0,(-0.03929138+0.0774765j)
241,6734300000.0,(-0.01655579+0.08600235j)
242,6736600000.0,(0.01002121+0.08033371j)
243,6738900000.0,(0.01935196+0.07894135j)
244,6741200000.0,(0.04014969+0.07298279j)
245,6743500000.0,(0.05756378+0.06018448j)
246,6745800000.0,(0.0702095+0.04379272j)
247,6748100000.0,(0.07826614+0.02507782j)
248,6750400000.0,(0.08085632+0.00539017j)
249,6752700000.0,(0.07870865-0.01345062j)
250,6755000000.0,(0.07275391-0.03178024j)
251,6757300000.0,(0.06246567-0.04610825j)
252,6759600000.0,(0.05173492-0.0594635j)
253,6761900000.0,(0.0364151-0.07039642j)
254,6764200000.0,(0.0189743-0.07742691j)
255,6766500000.0,(0.0004425-0.08013916j)
256,6768800000.0,(-0.01890945-0.07871246j)
257,6771100000.0,(-0.0373764-0.07253265j)
258,6773400000.0,(-0.05432129-0.06200409j)
259,6775700000.0,(-0.06825256-0.0473938j)
260,6778000000.0,(-0.07819748-0.02882385j)
261,6780300000.0,(-0.08396912-0.008255005j)
262,6782600000.0,(-0.08106613+0.01385498j)
263,6784900000.0,(-0.07484055+0.02960587j)
264,6787200000.0,(-0.06815338+0.04649353j)
265,6789500000.0,(-0.05487442+0.06244278j)
266,6791800000.0,(-0.03830719+0.07515335j)
267,6794100000.0,(-0.01832199+0.08246994j)
268,6796400000.0,(0.00268936+0.08509827j)
269,6798700000.0,(0.02407074+0.08123779j)
270,6801000000.0,(0.04262924+0.07143402j)
271,6803300000.0,(0.0565834+0.05737305j)
272,6805600000.0,(0.06986618+0.0486412j)
273,6807900000.0,(0.0814743+0.02660751j)
274,6810200000.0,(0.08430481+0.00518036j)
275,6812500000.0,(0.08142853-0.01652145j)
276,6814800000.0,(0.07594299-0.02928925j)
277,6817100000.0,(0.06682587-0.05302429j)
278,6819400000.0,(0.05065155-0.06746674j)
279,6821700000.0,(0.03219604-0.0776062j)
280,6824000000.0,(0.01152802-0.08256912j)
281,6826300000.0,(-0.00951004-0.08227921j)
282,6828600000.0,(-0.03130341-0.07585907j)
283,6830900000.0,(-0.05250549-0.06007004j)
284,6833200000.0,(-0.03246498-0.04244423j)
285,6835500000.0,(-0.06233597-0.04196167j)
286,6837800000.0,(-0.06232071-0.02099228j)
287,6840100000.0,(-0.08256149-0.01757813j)
288,6842400000.0,(-0.0824585+0.00999832j)
289,6844700000.0,(-0.07673645+0.02957916j)
290,6847000000.0,(-0.06678391+0.04844666j)
291,6849300000.0,(-0.05062866+0.06518555j)
292,6851600000.0,(-0.03451538+0.06067657j)
293,6853900000.0,(-0.02048874+0.07801437j)
294,6856200000.0,(0.00023651+0.08098602j)
295,6858500000.0,(0.02036285+0.07839203j)
296,6860800000.0,(0.03993607+0.07107544j)
297,6863100000.0,(0.05495071+0.05867004j)
298,6865400000.0,(0.06625366+0.04442596j)
299,6867700000.0,(0.07581329+0.02902985j)
300,6870000000.0,(0.08250809+0.01006699j)
301,6872300000.0,(0.08391571-0.01205444j)
302,6874600000.0,(0.07644653-0.03372574j)
303,6876900000.0,(0.06562042-0.04981995j)
304,6879200000.0,(0.049366-0.06644821j)
305,6881500000.0,(0.03346252-0.07129669j)
306,6883800000.0,(0.01504135-0.07814026j)
307,6886100000.0,(-0.003669739-0.07765198j)
308,6888400000.0,(-0.01700211-0.07575226j)
309,6890700000.0,(-0.03824234-0.07331085j)
310,6893000000.0,(-0.05638123-0.06094742j)
311,6895300000.0,(-0.06954575-0.04450226j)
312,6897600000.0,(-0.078022-0.02615738j)
313,6899900000.0,(-0.08176041-0.006809235j)
314,6902200000.0,(-0.08078384+0.0136261j)
315,6904500000.0,(-0.07513046+0.03188705j)
316,6906800000.0,(-0.06509399+0.04989624j)
317,6909100000.0,(-0.05082703+0.06419373j)
318,6911400000.0,(-0.0323143+0.06806946j)
319,6913700000.0,(-0.01825714+0.07819748j)
320,6916000000.0,(0.00165939+0.08159637j)
321,6918300000.0,(0.02125168+0.07878876j)
322,6920600000.0,(0.03992844+0.07175827j)
323,6922900000.0,(0.05636215+0.06010437j)
324,6925200000.0,(0.06950378+0.04479599j)
325,6927500000.0,(0.07833481+0.0267601j)
326,6929800000.0,(0.08294678+0.0067215j)
327,6932100000.0,(0.08231354-0.01449966j)
328,6934400000.0,(0.0753212-0.03173065j)
329,6936700000.0,(0.06578064-0.05059814j)
330,6939000000.0,(0.05147552-0.06545639j)
331,6941300000.0,(0.03360367-0.07580948j)
332,6943600000.0,(0.01263809-0.08140564j)
333,6945900000.0,(-0.008552551-0.08111572j)
334,6948200000.0,(-0.02639389-0.06843948j)
335,6950500000.0,(-0.03528595-0.0685463j)
336,6952800000.0,(-0.05367661-0.06011963j)
337,6955100000.0,(-0.06742859-0.04488754j)
338,6957400000.0,(-0.07671356-0.02755737j)
339,6959700000.0,(-0.08163071-0.008270264j)
340,6962000000.0,(-0.08101654+0.0109787j)
341,6964300000.0,(-0.07651138+0.03120041j)
342,6966600000.0,(-0.06838226+0.04890823j)
343,6968900000.0,(-0.05387878+0.06526566j)
344,6971200000.0,(-0.03735352+0.07634354j)
345,6973500000.0,(-0.0166893+0.08382416j)
346,6975800000.0,(0.00569534+0.08649063j)
347,6978100000.0,(0.02761078+0.08295441j)
348,6980400000.0,(0.04856491+0.07281113j)
349,6982700000.0,(0.06824493+0.0534668j)
350,6985000000.0,(0.06635666+0.03455734j)
351,6987300000.0,(0.07624817+0.02148438j)
352,6989600000.0,(0.07978058+0.00249863j)
353,6991900000.0,(0.07759476-0.01663971j)
354,6994200000.0,(0.07180786-0.0347023j)
355,6996500000.0,(0.06098557-0.05146408j)
356,6998800000.0,(0.04529953-0.06416321j)
357,7001100000.0,(0.02807999-0.0719986j)
358,7003400000.0,(0.00865936-0.07674026j)
359,7005700000.0,(0.00104523-0.06771469j)
360,7008000000.0,(-0.01847458-0.07424545j)
361,7010300000.0,(-0.03717804-0.06881714j)
362,7012600000.0,(-0.05342484-0.05749512j)
363,7014900000.0,(-0.06591797-0.0429306j)
364,7017200000.0,(-0.07424927-0.02409363j)
365,7019500000.0,(-0.07082748-0.004863739j)
366,7021800000.0,(-0.08311462+0.00428391j)
367,7024100000.0,(-0.07773972+0.03125381j)
368,7026400000.0,(-0.06186676+0.04784393j)
369,7028700000.0,(-0.05391693+0.05857086j)
370,7031000000.0,(-0.0382576+0.07243729j)
371,7033300000.0,(-0.01910782+0.08124542j)
372,7035600000.0,(0.00202179+0.08252716j)
373,7037900000.0,(0.02241898+0.07971573j)
374,7040200000.0,(0.04061127+0.07167435j)
375,7042500000.0,(0.05657196+0.05972672j)
376,7044800000.0,(0.06911469+0.04427338j)
377,7047100000.0,(0.07810593+0.02573776j)
378,7049400000.0,(0.08152008+0.00434113j)
379,7051700000.0,(0.07715225-0.008705139j)
380,7054000000.0,(0.07471848-0.02895737j)
381,7056300000.0,(0.06658936-0.04603958j)
382,7058600000.0,(0.05335617-0.06086731j)
383,7060900000.0,(0.03839874-0.07215881j)
384,7063200000.0,(0.0200119-0.08031845j)
385,7065500000.0,(-0.001365662-0.08388138j)
386,7067800000.0,(-0.02522278-0.07368088j)
387,7070100000.0,(-0.03338242-0.07629013j)
388,7072400000.0,(-0.05408478-0.06727982j)
389,7074700000.0,(-0.07069397-0.05234528j)
390,7077000000.0,(-0.08308029-0.03276062j)
391,7079300000.0,(-0.09007263-0.01033783j)
392,7081600000.0,(-0.09085083+0.01379395j)
393,7083900000.0,(-0.08370209+0.03706741j)
394,7086200000.0,(-0.07092667+0.05743027j)
395,7088500000.0,(-0.05337143+0.07382202j)
396,7090800000.0,(-0.03188324+0.08325577j)
397,7093100000.0,(-0.008598328+0.08764267j)
398,7095400000.0,(0.01239777+0.08179474j)
399,7097700000.0,(0.03130341+0.07429504j)
400,7100000000.0,(0.04242325+0.061409j)
401,7102300000.0,(0.0542984+0.05617142j)
402,7104600000.0,(0.06771851+0.0418396j)
403,7106900000.0,(0.0754509+0.02435684j)
404,7109200000.0,(0.07760239+0.00557709j)
405,7111500000.0,(0.07821274-0.01093292j)
406,7113800000.0,(0.0735321-0.02801132j)
407,7116100000.0,(0.06668472-0.04487228j)
408,7118400000.0,(0.05557632-0.05912399j)
409,7120700000.0,(0.04135513-0.070755j)
410,7123000000.0,(0.02394867-0.08081055j)
411,7125300000.0,(0.00387573-0.08520126j)
412,7127600000.0,(-0.01662445-0.08517838j)
413,7129900000.0,(-0.03795242-0.08060455j)
414,7132200000.0,(-0.05760193-0.06970978j)
415,7134500000.0,(-0.07484818-0.05387878j)
416,7136800000.0,(-0.08705521-0.03316879j)
417,7139100000.0,(-0.09337616-0.009727478j)
418,7141400000.0,(-0.09336853+0.01437378j)
419,7143700000.0,(-0.08638382+0.03839874j)
420,7146000000.0,(-0.07339478+0.05895233j)
421,7148300000.0,(-0.05469131+0.07512665j)
422,7150600000.0,(-0.03335953+0.08624268j)
423,7152900000.0,(-0.01124573+0.08837891j)
424,7155200000.0,(0.01167297+0.08933258j)
425,7157500000.0,(0.03430939+0.08223343j)
426,7159800000.0,(0.0554924+0.06333923j)
427,7162100000.0,(0.04555511+0.05744934j)
428,7164400000.0,(0.07065964+0.04836655j)
429,7166700000.0,(0.08228683+0.02841949j)
